"Catostomus_catostomus"	"Catostomus_macrocheilus"	"Cottus_asper"	"Cottus_cognatus"	"Lota_lota"	"Mylocheilus_caurinus"	"Oncorhynchus_nerka"	"Oncorhynchus_tshawytscha"	"Prosopium_williamsoni"	"Ptychocheilus_oregonensis"	"Richardsonius_balteatus"	"Salmo_gairdneri"	"Salvelinus_malma"	"Salvelinus_namaycush"	"Acolpenteron_catostomi"	"Anoncohaptor_anomalum"	"Pseudomurraytrema_copulata"	"Tetraonchus_alaskensis"	"Tetraonchus_variabilis"	"Octomacrum_lanceatum"	"Octomacrum_micronfibulum"	"Allocreadium_isosporum"	"Bunodera_luciopercae"	"Crepidostomum_farionis"	"Phyllodistomum_sp."	"Brachyphallus_crenatus"	"Genolinea_oncorhynchi"	"Lampritrema_miescheri"	"Diplostomum_sp.1_(L)"	"Diplostomum_sp.2_(L)"	"Neascus_sp._(L)"	"Tetracotyle_sp._(L)"	"Glaridacris_catostomi"	"Proteocephalus_ptychocheilus"	"Proteocephalus_salmonidicola"	"Proteocephalus_sp."	"Proteocephalus_tumidocollus"	"Bothriocephalus_opsariichthydis"	"Diphyllobothrium_sp._(L)"	"Eubothrium_salvelini"	"Ligula_intestinalis_(L)"	"Phyllobothrium_sp._(L)"	"Hysterothylacium_brachyurum"	"Eustrongylides_sp._(L)"	"Philometroides_huronensis"	"Philonema_agubernaculum"	"Philonema_oncorhynchi"	"Philonema_sp."	"Haplonema_hamatulum"	"Cystidicola_farionis"	"Cystidicoloides_tenuissima"	"Rhabdochona_canadensis"	"Rhabdochona_cascadilla"	"Rhabdochona_cotti"	"Rhabdochona_kisutchi"	"Rhabdochona_milleri"	"Rhabdochona_zacconis"	"Neoechinorhynchus_cristatus"	"Neoechinorhynchus_rutili"	"Octospinifer_macilentus"	"Ergasilus_nerkae"	"Salmincola_californiensis"	"Salmincola_edwardsii"	"Salmincola_extensus"	"Salmincola_thymalli"
"Catostomus_catostomus"	1.00583484669571	0.0019284950860363	1.11702738004489e-07	0.000243272106468164	4.2457772876987e-07	0.000103350372165592	0.000103205880713804	0.000563272524060989	0.000244963646491447	0.000102770165428996	0.000242930677892361	0.000245133717069358	0.000244665647738529	0.000243567300767346	0.011203492670864	0.0111759427410634	0.011203492670864	1.63110431825686e-06	1.3609091471747e-06	5.63272524060989e-06	1.2918796520699e-06	1.2918796520699e-06	1.44196304158446e-06	1.13673896997677e-05	4.9214959096894e-06	5.63272524060989e-06	5.63272524060989e-06	5.63272524060989e-06	4.09475184082906e-06	0.0112276129397178	0.011181575466304	0.0112327641470145	0.0111759427410634	2.5692541357249e-06	1.63110431825686e-06	5.58513690022446e-06	1.44196304158446e-06	2.5692541357249e-06	7.57247856578667e-06	1.35462346157309e-05	1.2918796520699e-06	5.63272524060989e-06	1.06144432192468e-08	7.01384508596016e-06	0.0111759427410635	2.80287218875916e-06	5.63272524060989e-06	5.72405001593858e-06	2.81348663197841e-06	1.63110431825686e-06	3.07306735984131e-06	1.63110431825686e-06	9.38956891514861e-06	8.10907021560548e-06	5.72405001593858e-06	1.36090914717471e-06	2.75499298005186e-05	0.011203492670864	9.20358288404353e-06	2.75499298005186e-05	2.58195316099246e-06	7.07468828219434e-06	6.47154633353651e-06	1.3609091471747e-06	1.3609091471747e-06
"Catostomus_macrocheilus"	0.00247949368204667	1.00534225675002	1.43373067171484e-07	0.000312454491774227	4.24076456106775e-07	0.00013274107814532	0.000132434348537802	1.80890373046134e-06	0.000314359468820924	0.000131996016273378	0.000312015966586465	0.000314216461074818	0.000313977258730269	0.00031268822574465	0.0143895821690865	2.75499298005186e-05	0.0143895821690865	2.09318172486846e-06	1.74644149344958e-06	1.80890373046134e-08	1.6592634768165e-06	1.6592634768165e-06	1.84833212396952e-06	7.37207564771737e-06	6.31530677746451e-06	1.80890373046133e-08	1.80890373046134e-08	1.80890373046134e-08	5.25403709423559e-06	0.0144205527810277	2.75680188378232e-05	0.0144271673742681	2.75499298005186e-05	3.29990040683445e-06	2.09318172486846e-06	7.16865335857421e-06	1.84833212396952e-06	3.29990040683445e-06	9.71717762763662e-06	1.01730190330872e-05	1.6592634768165e-06	1.80890373046134e-08	1.06019114026694e-08	8.99845766052467e-06	2.75499298005186e-05	3.59477361741909e-06	1.80890373046134e-08	7.34338469901008e-06	3.60537552882176e-06	2.09318172486846e-06	3.94151384883798e-06	2.09318172486846e-06	1.20597956963653e-05	1.04151497258076e-05	7.34338469901009e-06	1.74644149344958e-06	0.014362032239286	0.0143895821690865	1.18103593525051e-05	0.014362032239286	3.31469283353903e-06	1.86642116127413e-06	8.30659787181303e-06	1.74644149344958e-06	1.74644149344958e-06
"Cottus_asper"	1.0053246420404e-06	1.00361147020039e-06	1.00200551283889	1.00025204526353e-06	1.71092033995588e-06	0.0020187716618808	0.00201395960659296	1.34207470657238e-06	0.0020202164141484	1.18742578837685e-06	2.2624208618913e-06	1.00868396125567e-05	0.00201871430713351	4.23640289458728e-06	2.55075805175974e-08	1.11702738004489e-08	2.55075805175974e-08	1.34580953808901e-05	1.12234245230467e-05	1.34207470657238e-08	2.523464577351e-05	2.523464577351e-05	5.93343506620983e-08	4.99715430925754e-05	1.19854392013345e-07	1.34207470657238e-08	1.34207470657238e-08	1.34207470657238e-08	3.65174046472188e-05	2.49356376400396e-05	2.45910208661727e-08	7.53744641406709e-05	1.11702738004489e-08	2.96856447094214e-08	1.34580953808901e-05	0.100275641944649	5.93343506620983e-08	2.96856447094214e-08	3.6517773997472e-05	2.48147950430159e-05	2.523464577351e-05	1.34207470657238e-08	4.27730084988971e-08	2.48133129078072e-05	1.11702738004489e-08	1.12827588737088e-05	1.34207470657238e-08	4.99153493370108e-05	1.13255318822077e-05	1.34580953808901e-05	1.35174297315522e-05	1.34580953808901e-05	2.53100598022397e-05	3.33417348421177e-08	4.99153493370109e-05	1.12234245230467e-05	1.43373067171484e-08	2.55075805175974e-08	4.99758693783621e-05	1.43373067171484e-08	5.04091408559219e-05	7.2755097727822e-08	2.47420399452881e-05	1.12234245230467e-05	1.12234245230467e-05
"Cottus_cognatus"	0.000729816319404493	0.000729060480806531	3.33417348421178e-07	1.00407110249285	9.85727040418776e-07	0.000308692760434672	0.00030797897971742	1.38793532499945e-06	0.000731049914929887	0.000306960100622957	0.000725601085988743	0.000730715934993333	0.000730161077705768	0.000727163873846145	1.85242199414131e-05	8.10907021560548e-06	1.85242199414131e-05	4.86774051803846e-06	4.06138841627715e-06	1.38793532499945e-08	3.8586595054334e-06	3.8586595054334e-06	4.29832902937255e-06	1.71157177394164e-05	1.46863843700318e-05	1.38793532499945e-08	1.38793532499945e-08	1.38793532499945e-08	1.22183769510831e-05	0.0335353631858736	8.12294956885547e-06	0.0335507455851411	8.10907021560547e-06	7.67400251557393e-06	4.86774051803846e-06	1.66708674210589e-05	4.29832902937255e-06	7.67400251557393e-06	2.25975100327767e-05	2.36293926575974e-05	3.85865950543341e-06	1.38793532499945e-08	2.46431760104694e-08	2.09261036552725e-05	8.10907021560549e-06	8.3597174456497e-06	1.38793532499945e-08	1.70771952101559e-05	8.38436062166016e-06	4.86774051803846e-06	9.166069547411e-06	4.86774051803845e-06	2.80453623717248e-05	0.0334690367497615	1.70771952101559e-05	4.06138841627715e-06	1.04151497258076e-05	1.85242199414131e-05	2.74652505508151e-05	1.04151497258076e-05	7.70839675190116e-06	4.31220838262254e-06	1.93171842749748e-05	4.06138841627715e-06	4.06138841627715e-06
"Lota_lota"	9.55299889732208e-07	7.42133798186857e-07	4.2773008498897e-07	7.39295280314082e-07	1.00427020434912	1.78256463628748e-06	0.000423005094128338	0.000423142837398297	0.00177032784675051	0.000505850898239748	7.3917702732292e-07	0.00176959726599753	0.000929809620333348	3.68598832195926e-06	2.12163546219161e-08	1.06144432192468e-08	2.12163546219161e-08	6.19873080222232e-06	9.83515470416947e-06	4.23142837398298e-06	2.22820579535934e-08	2.22820579535934e-08	1.04093956823384e-05	0.0251427173819674	1.04620526583664e-05	4.23142837398298e-06	4.23142837398298e-06	4.23142837398297e-06	2.02668324444615e-05	2.65664369296347e-05	4.24204281720222e-06	4.45225551201862e-05	1.06144432192468e-08	1.26462724559937e-05	6.19873080222232e-06	2.13865042494485e-05	1.04093956823384e-05	1.26462724559937e-05	2.55847710391401e-05	3.07273665387412e-05	2.22820579535935e-08	4.23142837398298e-06	0.0251067551087281	0.0251458446623728	1.06144432192468e-08	2.02445503865079e-05	4.23142837398298e-06	3.17308448653344e-05	0.0251269996591146	6.19873080222233e-06	1.66081264845607e-05	6.19873080222232e-06	4.69212921976908e-08	2.46431760104694e-08	3.17308448653345e-05	9.83515470416947e-06	1.06019114026694e-08	2.12163546219161e-08	3.17835018413625e-05	1.06019114026694e-08	5.30984573455783e-06	1.46408240563214e-05	1.60865424824198e-05	9.83515470416947e-06	9.83515470416947e-06
"Mylocheilus_caurinus"	0.000116269168686291	0.000116148443377155	0.0002523464577351	0.000115759785163002	8.91282318143738e-07	1.00581747515811	0.000998969708905868	8.40252549352595e-07	0.000792768421977124	0.000115669410400896	0.0007452519277325	0.000539694206019154	0.000371761669912346	0.000117164208119977	2.9511431288864e-06	1.2918796520699e-06	2.9511431288864e-06	2.47841113274898e-06	4.40426901098402e-06	8.40252549352595e-09	0.0125727184394764	0.0125727184394764	3.17467180011267e-06	2.25751578886161e-05	4.84844620182663e-06	8.40252549352595e-09	8.40252549352595e-09	8.40252549352595e-09	0.0125802973802875	4.33826599042961e-05	1.30028217756342e-06	0.0126314799560021	1.2918796520699e-06	2.8917352600224e-06	2.47841113274898e-06	0.012617322886755	3.17467180011267e-06	2.8917352600224e-06	2.1739836574134e-05	1.17395288710532e-05	0.0125727184394764	8.40252549352596e-09	2.22820579535935e-08	1.29713692618217e-05	1.2918796520699e-06	7.57894081109669e-06	8.40252549352596e-09	2.2544473305169e-05	7.60122286905029e-06	2.47841113274898e-06	5.65308293286164e-06	2.47841113274898e-06	0.0125975601704008	3.8586595054334e-06	2.2544473305169e-05	4.40426901098402e-06	1.6592634768165e-06	2.9511431288864e-06	2.4218247706883e-05	1.6592634768165e-06	0.0125852055608377	3.18307432560619e-06	8.55645454544696e-06	4.40426901098402e-06	4.40426901098402e-06
"Oncorhynchus_nerka"	0.00011610661580303	0.000115880054970577	0.000251744950824119	0.000115492117394033	0.000211502547064169	0.000998969708905868	1.00239605296596	0.000212241951348949	0.00177881551229823	0.000115809213458189	0.000115924707583424	0.00152636206640915	0.00146294314291592	0.000683164546076523	2.94550286564509e-06	1.29007350892256e-06	2.94550286564509e-06	9.75295428610616e-06	9.88230840165681e-06	2.12241951348949e-06	1.24871213613234e-05	1.24871213613234e-05	8.97860039064204e-06	0.012565974508343	1.87380939060209e-05	2.12241951348949e-06	2.12241951348949e-06	2.12241951348949e-06	3.13480301536222e-05	4.90327536253442e-05	3.41249302241205e-06	0.0125943657673976	1.29007350892255e-06	2.89523033645473e-06	9.75295428610615e-06	0.012587247541206	8.97860039064204e-06	2.89523033645473e-06	0.0125585710643822	4.04957761072734e-05	1.24871213613234e-05	2.12241951348949e-06	5.28756367660424e-06	3.6796657091464e-05	1.29007350892256e-06	1.88609087922988e-05	2.12241951348949e-06	0.0125585645251529	2.41484724689031e-05	9.75295428610616e-06	1.87315546767482e-05	9.75295428610615e-06	1.63512782807708e-05	3.84973724646775e-06	0.0125585645251529	9.88230840165681e-06	1.65542935672253e-06	2.94550286564509e-06	0.0125683240186683	1.65542935672253e-06	0.0125424377834358	1.11010199041315e-05	2.93947562031419e-05	9.88230840165681e-06	9.88230840165681e-06
"Oncorhynchus_tshawytscha"	0.00050694527165489	1.26623261132293e-06	1.34207470657238e-07	4.16380597499835e-07	0.000169257134959319	6.72202039482076e-07	0.000169793561079159	1.00742240603363	0.000373999685154767	4.67896554120784e-07	4.16106298947759e-07	0.000878575044912524	0.000373253207726332	0.000203407136321183	5.65081427791451e-06	5.6327252406099e-06	5.65081427791451e-06	2.48835471817555e-06	2.07777602863759e-06	0.0100742240603363	8.40252549352596e-09	8.40252549352596e-09	5.16808849948543e-06	0.0100903121274701	8.07390473264519e-06	0.0100742240603363	0.0100742240603363	0.0100742240603363	7.25426705361655e-06	1.83185993205878e-05	0.0100798567855769	2.04611187734238e-05	5.63272524060989e-06	1.16974138530196e-08	2.48835471817555e-06	6.71037353286188e-06	5.16808849948544e-06	1.16974138530196e-08	1.22741002747723e-05	0.0100868640958158	8.40252549352596e-09	0.0100742240603363	4.23142837398298e-06	1.39773450341346e-05	5.6327252406099e-06	7.24586452812303e-06	0.0100742240603363	1.18566387597881e-05	1.1477292902106e-05	2.48835471817555e-06	7.65644321766098e-06	2.48835471817555e-06	2.22727354584512e-08	1.38793532499945e-08	1.18566387597881e-05	2.07777602863759e-06	1.80890373046134e-08	5.65081427791451e-06	1.47624549929478e-05	1.80890373046134e-08	2.13082203898302e-06	0.0100793921488358	7.4719469799729e-06	2.07777602863759e-06	2.07777602863759e-06
"Prosopium_williamsoni"	0.000122481823245723	0.00012225090454147	0.000112234245230467	0.000121841652488314	0.000393406188166779	0.000352341520878722	0.000790584672132545	0.000207777602863759	1.00415483884411	0.000164243272203354	0.000121858825139135	0.00162893883340293	0.00113463990139101	0.000673571815216679	3.10735064062428e-06	1.36090914717471e-06	3.10735064062428e-06	7.56426600927343e-06	0.00557863799357838	2.07777602863759e-06	4.40426901098403e-06	4.40426901098403e-06	9.58199313766429e-06	0.00561757949185979	1.92044476407597e-05	2.07777602863759e-06	2.07777602863759e-06	2.07777602863759e-06	0.00559262425572704	0.00561663740712329	3.43868517581229e-06	0.00563503006634102	1.3609091471747e-06	4.10608180508384e-06	7.56426600927343e-06	0.00561171226152334	9.5819931376643e-06	4.10608180508384e-06	0.0056077247496208	0.00560748448325706	4.40426901098403e-06	2.07777602863759e-06	9.83515470416947e-06	0.00560972548923457	1.36090914717471e-06	0.00558821998671605	2.07777602863759e-06	0.00560566656112698	0.00559805514142022	7.56426600927343e-06	1.71462591469377e-05	7.56426600927343e-06	8.46622984895517e-06	4.06138841627715e-06	0.00560566656112698	0.00557863799357838	1.74644149344957e-06	3.10735064062428e-06	0.00561528901563008	1.74644149344957e-06	1.42865774126408e-05	1.16597691663019e-05	0.00559582471409075	0.00557863799357838	0.00557863799357838
"Ptychocheilus_oregonensis"	0.000231232872215241	0.000230993028478411	2.96856447094214e-07	0.000230220075467218	0.000505850898239747	0.000231338820801792	0.000231618426916379	1.16974138530196e-06	0.000739094724915092	1.00576118598355	0.000229980562916856	0.000738677038778423	0.000738013396266043	0.000231337674628753	5.86915454255935e-06	2.5692541357249e-06	5.86915454255935e-06	4.92008930844029e-06	4.10608180508385e-06	1.16974138530196e-08	2.8917352600224e-06	2.8917352600224e-06	4.34515905163778e-06	2.89245303714634e-05	7.64998297490569e-06	1.16974138530196e-08	1.16974138530196e-08	1.16974138530196e-08	1.1342976116744e-05	3.78853299104583e-05	2.58095154957792e-06	0.0251877019450958	2.5692541357249e-06	0.0251440296495888	4.92008930844029e-06	1.48428223547107e-05	4.34515905163778e-06	0.0251440296495888	1.46512951164443e-05	1.66878515022828e-05	2.8917352600224e-06	1.16974138530196e-08	1.26462724559937e-05	0.02517004725221	2.5692541357249e-06	8.45124085672163e-06	1.16974138530196e-08	1.62665605016166e-05	2.10975133127153e-05	4.92008930844029e-06	9.26524836007807e-06	4.92008930844029e-06	1.05577540239176e-05	7.67400251557393e-06	1.62665605016167e-05	4.10608180508385e-06	3.29990040683445e-06	5.86915454255935e-06	1.95713844248846e-05	3.29990040683445e-06	5.78696559647713e-06	4.3568564654908e-06	1.2330995036792e-05	4.10608180508385e-06	4.10608180508385e-06
