"Phoenicophorium_borsigianum"	"Nephrosperma_vanhoutteanum"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Canthium_bibracteatum"	"Alstonia_macrophylla"	"Lasioglossum_mahense"	"Rhiparida_seychellensis"	"Apis_mellifera"	"Phelsuma_sp1_M_PL_097"	"Unidentified_sp1_M_PL_097"	"Cratopus_aurostriatus"	"Eagris_sabadius"	"Hemipyrellia_germana"	"Hemipyrellia_sp1_M_PL_097"	"Neophyllomyza_approximatonervis"	"Rhynchium_brunneum"
"Phoenicophorium_borsigianum"	1.00680097128665	0.000511029792523358	0.000510175227652918	0.00176992573389221	0.000508908060289407	0	0.0252757669943739	0.0251700242821663	8.87791101979216e-05	1.2775744813084e-05	1.70058409217639e-05	0.0252290218066294	0	1.2775744813084e-05	0.0251700242821663	1.69636020096469e-05	1.69636020096469e-05
"Nephrosperma_vanhoutteanum"	0.000511029792523358	1.00637913266331	0.00135174280936043	0.00135012599723194	0.000508978838581914	0	0.025279282316235	1.2775744813084e-05	0.0252495406101359	0.0251594783165828	4.50580936453477e-05	5.77799447208152e-05	0	0.0251594783165828	1.2775744813084e-05	1.69659612860638e-05	1.69659612860638e-05
"Erythroxylum_sechellarum"	0.000680233636870557	0.00180232374581391	1.00514379143186	0.00179715768193415	0.000677503604533785	0	0.0336493456918446	1.70058409217639e-05	0.0336097563974384	4.50580936453477e-05	0.0335047930477286	7.69110969862356e-05	0	4.50580936453477e-05	1.70058409217639e-05	2.25834534844595e-05	2.25834534844595e-05
"Memecylon_eleagni"	0.00235990097852295	0.00180016799630925	0.00179715768193415	1.00346656130139	0.00067722214285725	0	0.0336353664285767	5.89975244630737e-05	0.0335537948326851	4.50041999077313e-05	5.99052560644717e-05	0.033507882901176	0	4.50041999077313e-05	5.89975244630737e-05	2.2574071428575e-05	2.2574071428575e-05
"Canthium_bibracteatum"	0.000678544080385876	0.000678638451442551	0.000677503604533785	0.00067722214285725	1.00738910182179	0	0.0336587238156018	1.69636020096469e-05	6.21234861990983e-05	1.69659612860638e-05	2.25834534844595e-05	3.95376734382219e-05	0	1.69659612860638e-05	1.69636020096469e-05	0.033579636727393	0.033579636727393
"Alstonia_macrophylla"	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0.101010101010101	0	0	0	0
"Lasioglossum_mahense"	0.0202206135954991	0.020223425852988	0.0201896074151068	0.020181219857146	0.0201952342893611	0	1.00302996970493	0.000505515339887478	0.00185127988873313	0.000505585646324701	0.000672986913836893	0.00117822266845901	0	0.000505585646324701	0.000505515339887478	0.000673174476312035	0.000673174476312035
"Rhiparida_seychellensis"	0.100680097128665	5.11029792523358e-05	5.10175227652918e-05	0.000176992573389221	5.08908060289407e-05	0	0.00252757669943739	1.00251700242822	8.87791101979216e-06	1.2775744813084e-06	1.70058409217639e-06	0.00252290218066294	0	1.2775744813084e-06	0.00251700242821663	1.69636020096469e-06	1.69636020096469e-06
"Apis_mellifera"	0.000118372146930562	0.0336660541468479	0.0336097563974384	0.0335537948326851	6.21234861990982e-05	0	0.00308546648122188	2.95930367326405e-06	1.00308043639468	0.000841651353671196	0.00112032521324795	0.00112141913142943	0	0.000841651353671197	2.95930367326405e-06	2.07078287330328e-06	2.07078287330328e-06
"Phelsuma_sp1_M_PL_097"	5.11029792523358e-05	0.100637913266331	0.000135174280936043	0.000135012599723194	5.08978838581914e-05	0	0.0025279282316235	1.2775744813084e-06	0.00252495406101359	1.00251594783166	4.50580936453477e-06	5.77799447208152e-06	0	0.00251594783165828	1.2775744813084e-06	1.69659612860638e-06	1.69659612860638e-06
