"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"
"R1"	1.0020171534256	0.00201715342560413	0.00201715342560413	0.00203239639859358	0.00201715342560413	0	0	0	0.100857671280207	5.08099099648396e-05	0	5.08099099648396e-05	0	0	5.08099099648396e-05
"R2"	0.00201715342560413	1.0020171534256	0.00201715342560413	0.00203239639859358	0.00201715342560413	0	0	0	0.100857671280207	5.08099099648396e-05	0	5.08099099648396e-05	0	0	5.08099099648396e-05
"R3"	0.00201715342560413	0.00201715342560413	1.0020171534256	0.00203239639859358	0.00201715342560413	0	0	0	0.100857671280207	5.08099099648396e-05	0	5.08099099648396e-05	0	0	5.08099099648396e-05
"R4"	0.000508099099648396	0.000508099099648396	0.000508099099648396	1.00806861370242	0.000508099099648396	0	0	0	0.0254049549824198	0.0252017153425604	0	0.0252017153425604	0	0	0.0252017153425604
"R5"	0.00201715342560413	0.00201715342560413	0.00201715342560413	0.00203239639859358	1.0020171534256	0	0	0	0.100857671280207	5.08099099648396e-05	0	5.08099099648396e-05	0	0	5.08099099648396e-05
"R6"	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0.101010101010101	0	0
"R7"	0	0	0	0	0	0	1.01010101010101	0	0	0	0.101010101010101	0	0	0	0
"R8"	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0.101010101010101	0
"C1"	0.0201715342560413	0.0201715342560413	0.0201715342560413	0.0203239639859358	0.0201715342560413	0	0	0	1.00857671280207	0.000508099099648396	0	0.000508099099648395	0	0	0.000508099099648395
"C2"	5.08099099648396e-05	5.08099099648396e-05	5.08099099648396e-05	0.100806861370242	5.08099099648396e-05	0	0	0	0.00254049549824198	1.00252017153426	0	0.00252017153425604	0	0	0.00252017153425604
"C3"	0	0	0	0	0	0	0.101010101010101	0	0	0	1.01010101010101	0	0	0	0
"C4"	5.08099099648396e-05	5.08099099648396e-05	5.08099099648396e-05	0.100806861370242	5.08099099648396e-05	0	0	0	0.00254049549824198	0.00252017153425604	0	1.00252017153426	0	0	0.00252017153425604
"C5"	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	1.01010101010101	0	0
"C6"	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	1.01010101010101	0
"C7"	5.08099099648396e-05	5.08099099648396e-05	5.08099099648396e-05	0.100806861370242	5.08099099648396e-05	0	0	0	0.00254049549824198	0.00252017153425604	0	0.00252017153425604	0	0	1.00252017153426
