"Entacmaea_quadricolor"	"Heteractis_crispa"	"Heteractis_magnifica"	"Stichodactyla_mertensii"	"Heteractis_aurora"	"Heteractis_malu"	"Amphiprion_clarkii"	"Amphiprion_perideraion"	"Amphiprion_ocellaris"	"Amphiprion_sandaracinos"	"Premnas_biaculeatus"
"Entacmaea_quadricolor"	1.00604233437152	0.00101466575363413	2.55583313257967e-06	0.00101720874338413	0.00101212269966721	0.00101212269966721	0.0506061349833606	5.08610793383354e-05	1.27791656628984e-07	5.08604371692066e-05	0.0503021167185762
"Heteractis_crispa"	0.00101466575363413	1.00352472365923	0.00252777008478394	0.00101466575363413	0.00100959242486596	0.00100959242486596	0.0504796212432979	0.0503026246872005	0.000126388504239197	5.07332876817064e-05	5.07332876817064e-05
"Heteractis_magnifica"	2.55583313257967e-06	0.00252777008478394	1.00756304224203	2.55583313257967e-06	2.54305396691677e-06	2.54305396691677e-06	0.000127152698345839	0.0505045406163405	0.0503781521121014	1.27791656628983e-07	1.27791656628984e-07
"Stichodactyla_mertensii"	0.00101720874338413	0.00101466575363413	2.55583313257967e-06	1.00604233437152	0.00101212269966721	0.00101212269966721	0.0506061349833606	5.08610793383354e-05	1.27791656628984e-07	0.0503021167185762	5.08604371692066e-05
"Heteractis_aurora"	0.00202424539933442	0.00201918484973192	5.08610793383354e-06	0.00202424539933442	1.00201412417234	0.00201412417233775	0.100706208616888	0.000101213547883287	2.54305396691677e-07	0.000101212269966721	0.000101212269966721
"Heteractis_malu"	0.00202424539933442	0.00201918484973192	5.08610793383354e-06	0.00202424539933442	0.00201412417233775	1.00201412417234	0.100706208616888	0.000101213547883287	2.54305396691677e-07	0.000101212269966721	0.000101212269966721
"Amphiprion_clarkii"	0.0202424539933442	0.0201918484973192	5.08610793383354e-05	0.0202424539933442	0.0201412417233775	0.0201412417233775	1.00706208616888	0.00101213547883287	2.54305396691677e-06	0.00101212269966721	0.00101212269966721
"Amphiprion_perideraion"	5.08610793383354e-05	0.0503026246872005	0.0505045406163406	5.08610793383354e-05	5.06067739416438e-05	5.06067739416438e-05	0.00253033869708219	1.00504035826518	0.00252522703081703	2.54305396691677e-06	2.54305396691677e-06
"Amphiprion_ocellaris"	2.55583313257967e-07	0.000252777008478395	0.100756304224203	2.55583313257967e-07	2.54305396691677e-07	2.54305396691677e-07	1.27152698345839e-05	0.00505045406163406	1.00503781521121	1.27791656628984e-08	1.27791656628984e-08
"Amphiprion_sandaracinos"	0.000101720874338413	0.000101466575363413	2.55583313257967e-07	0.100604233437152	0.000101212269966721	0.000101212269966721	0.00506061349833606	5.08610793383354e-06	1.27791656628984e-08	1.00503021167186	5.08604371692066e-06
"Premnas_biaculeatus"	0.100604233437152	0.000101466575363413	2.55583313257967e-07	0.000101720874338413	0.000101212269966721	0.000101212269966721	0.00506061349833606	5.08610793383354e-06	1.27791656628984e-08	5.08604371692066e-06	1.00503021167186
