"Coregonus_artedii"	"Coregonus_clupeaformis"	"Salvelinus_namaycush"	"Oncorhynchus_kisutch"	"Esox_lucius"	"Catostomus_catostomus"	"Catostomus_commersoni"	"Lota_lota"	"Pungitius_pungitius"	"Stizostedion_vitreum"	"Gyrodactylus__sp."	"Discocotyle__sagittata"	"Diplostomum__spathaceum_(L)"	"Apatemon__gracilis_(L)"	"Cotylurus__erraticus_(L)"	"Lissorchis__attenuatum"	"Bunodera__luciopercae"	"Crepidostomum__farionis"	"Phyllodistomum__coregoni"	"Glaridacris__sp."	"Hunterella__nodulosa"	"Cyathocephalus__truncatus"	"Eubothrium__rugosum"	"Eubothrium__salvelini"	"Bothriocephalus__cuspidatus"	"Diphyllobothrium__sp._(L)"	"Schistocephalus__solidus_(L)"	"Triaenophorus__crassus"	"Triaenophorus__crassus_(L)"	"Triaenophorus__nodulosus"	"Triaenophorus__nodulosus_(L)"	"Proteocephalus__exiguus"	"Proteocephalus__filicollis"	"Proteocephalus__pinguis"	"Proteocephalus__sp._A"	"Raphidascaris__acus"	"Raphidascaris__acus_(L)"	"Haplonema__hamulatum"	"Philonema__agubernaculum"	"Cystidicola__farionis"	"Rhabdochona__cascadilla"	"Neoechinorhynchus__strigosus"	"Metechinorhynchus__salmonis"	"Pomphorhynchus__bulbocolli"	"Cystobranchus__verrilli"	"Ergasilus__auritus"	"Ergasilus__nerkae"	"Ergasilus__sp._A"	"Salmincola__extensus"	"Salmincola__extumescens"
"Coregonus_artedii"	1.00369071315197	0.00226125930878619	0.000520470352446756	0.00201923166746022	7.40478923692576e-05	7.28878877005765e-05	0.000194228635691984	0.00025442171291056	0.000941014210369822	7.27352813051446e-05	7.84178508641519e-06	0.0071987175250545	2.94227265505743e-05	7.84178508641519e-06	0.00719213622680192	2.4278579461498e-06	7.84178508641519e-06	0.0071987175250545	1.50750620585746e-05	4.25005513866421e-06	2.4278579461498e-06	0.00720295788693634	4.24036188184266e-06	2.0928962744586e-05	2.42450937683815e-06	0.0071987175250545	2.33226954592633e-05	1.05782703384654e-06	0.00716921937965692	1.05782703384654e-06	3.30111097128439e-05	1.50750620585746e-05	0.00717706116474334	1.05782703384654e-06	2.42450937683815e-06	1.05782703384654e-06	1.43476644919996e-05	4.24036188184266e-06	0.00718364246299593	0.0071987175250545	4.25005513866421e-06	1.79087683189979e-05	0.0072250379429777	0.00721549304749265	4.24036188184266e-06	0.0072130651895465	0.00720522340446009	4.25005513866421e-06	0.0071842944417155	1.50750620585746e-05
"Coregonus_clupeaformis"	0.00211050868820045	1.00433899291496	0.000709020919180955	0.00155133996072758	6.89690488589261e-05	6.80771199684406e-05	0.000181329416871966	0.000237569837277093	0.00076726745860955	6.79347363542859e-05	6.39389548841292e-06	0.00672174934787779	0.00671084994307791	6.39389548841292e-06	0.00671706224364673	2.26661771089958e-06	6.39389548841292e-06	0.0067217493478778	0.00669559328609974	3.96854571011059e-06	2.26661771089958e-06	0.00672570884516575	3.95949728795156e-06	1.99437612092447e-05	2.26449121180953e-06	0.0067217493478778	1.84601673344517e-05	9.85272126556087e-07	1.50750620585746e-05	9.85272126556087e-07	3.02971539856091e-05	0.00669559328609974	2.14689575469875e-05	9.85272126556087e-07	2.26449121180953e-06	9.85272126556087e-07	1.52566569781749e-05	3.95949728795156e-06	2.61560617780574e-05	0.0067217493478778	3.96854571011059e-06	1.43328895569384e-05	0.0067481838111924	0.00673927262256687	3.95949728795156e-06	0.00673700600485597	0.00673061210936756	3.96854571011059e-06	0.00671066834815832	0.00669559328609974
"Salvelinus_namaycush"	0.000910823116781823	0.00132941422346429	1.00288963398893	0.00185068881834817	0.000128440647468259	0.000127129909726421	0.000338372622910435	0.000443461306156612	0.00195618098008092	0.000126864487144621	1.6301508167341e-05	2.85878467406905e-05	0.0125612846945187	1.6301508167341e-05	3.16701490626874e-05	4.22965778638044e-06	1.6301508167341e-05	2.85878467406905e-05	8.86276148976194e-06	7.40790552954098e-06	4.22965778638044e-06	3.59788685099673e-05	7.39102176927686e-06	0.0125493396307069	4.22881623815403e-06	2.85878467406905e-05	3.13555804050888e-05	1.8348663924037e-06	6.50587940558445e-06	1.8348663924037e-06	0.0125730321606436	8.86276148976194e-06	2.28073875729254e-05	1.8348663924037e-06	4.22881623815403e-06	1.8348663924037e-06	0.0125524219330289	7.39102176927686e-06	1.97250852509286e-05	2.85878467406905e-05	7.40790552954098e-06	1.92837300241282e-05	0.012601872389699	0.012585239437556	7.39102176927686e-06	0.0125810097797696	0.0125647082716023	7.40790552954097e-06	1.53686408953464e-05	8.86276148976194e-06
"Oncorhynchus_kisutch"	0.00201923166746022	0.00166214995792241	0.00105753646762753	1.00303163752889	0.000554064603937357	7.34334335752113e-05	0.000434030406670056	0.000434229646723093	0.000761866605132742	7.28297830739577e-05	6.34888837610619e-06	0.00719001577969339	3.0649093940933e-05	6.34888837610619e-06	3.18529714345905e-05	5.4253800833757e-06	6.34888837610619e-06	0.0071900157796934	1.10809997194827e-05	7.26121592275598e-06	5.42538008337569e-06	0.00719725294047211	7.23716077871822e-06	0.00717773090248025	2.42765943579859e-06	0.0071900157796934	0.00717877579363869	7.91520862767653e-06	1.44230833390016e-05	7.91520862767653e-06	0.00719131695163508	1.10809997194827e-05	2.07719717151077e-05	7.91520862767653e-06	2.42765943579859e-06	7.91520862767654e-06	1.95680942214503e-05	7.23716077871822e-06	0.00717893477997391	0.0071900157796934	7.26121592275598e-06	0.00717785228534596	0.0072344251186798	0.00721500925399822	7.23716077871822e-06	0.00720958387391484	0.00720323498553874	7.26121592275598e-06	2.55040830584843e-05	1.10809997194827e-05
"Esox_lucius"	0.000148095784738515	0.000147790818983413	0.000146789311392296	0.00110812920787471	1.00685754205538	0.000145919171132978	0.000627884903225694	0.000145667968693586	0.000628028439944093	0.000145162439645317	5.23357033286744e-06	9.95830778807915e-06	8.05370885182722e-06	5.23357033286744e-06	7.27666949327006e-06	7.84856129032117e-06	5.23357033286744e-06	9.95830778807915e-06	9.85272126556088e-07	1.14965405686456e-05	7.84856129032117e-06	1.23861072663056e-05	2.42779947822643e-06	9.75007502008023e-06	4.83874798817722e-06	9.95830778807915e-06	0.0143968279511802	0.0143836791722197	1.05782703384654e-06	0.0143836791722197	1.74114448311741e-05	9.85272126556088e-07	6.29139736671398e-06	0.0143836791722197	4.83874798817722e-06	0.0143836791722197	7.06843672527114e-06	2.42779947822643e-06	8.97303566152307e-06	9.95830778807916e-06	1.14965405686456e-05	0.0143994429421377	0.0144194690047681	2.48753058036715e-05	2.42779947822643e-06	1.70267445133503e-05	1.17931741804829e-05	1.14965405686456e-05	2.04309916040262e-06	9.85272126556088e-07
"Catostomus_catostomus"	0.000255107606952018	0.000255289199881652	0.000254259819452843	0.00025701701751324	0.000255358549482711	1.00402444247995	0.00403741994134694	0.000253572321395923	0.000255072703701039	0.000253470461334733	2.12560586417532e-06	5.35996103110572e-06	7.00578160654687e-06	2.12560586417532e-06	5.64973105590075e-06	5.04677492668368e-05	2.12560586417532e-06	5.35996103110572e-06	1.70192799921102e-06	0.0251510788112656	5.04677492668368e-05	9.58616638770442e-06	4.22620535659871e-06	5.01408358254082e-06	8.44901537782442e-06	5.35996103110572e-06	7.60942098188005e-06	3.64797927832445e-06	1.82219719251441e-06	3.64797927832445e-06	1.13658948033149e-05	1.70192799921102e-06	3.94780305668974e-06	3.64797927832445e-06	8.44901537782442e-06	3.64797927832445e-06	5.30385360733586e-06	4.22620535659871e-06	3.6580330318947e-06	5.35996103110572e-06	0.0251510788112656	5.59515643845415e-05	0.0251780658259168	6.11315639052784e-05	4.22620535659871e-06	1.06638146384416e-05	8.53820877426625e-06	0.0251510788112656	3.52412519172543e-06	1.70192799921102e-06
"Catostomus_commersoni"	0.000339900112460972	0.000339992656634937	0.000338372622910435	0.000759553211672597	0.000549399290322482	0.00201870997067347	1.00516056550421	0.000127774184305482	0.0003394300498725	0.000127312497949385	2.8285837489375e-06	1.01198557404251e-05	9.32485924621753e-06	2.8285837489375e-06	7.52305940598688e-06	0.0125645070688026	2.8285837489375e-06	1.01198557404251e-05	2.26661771089958e-06	0.0126149748180694	0.0125645070688026	1.22494254788498e-05	2.12956973842471e-06	9.65503786975614e-06	4.24374993164617e-06	1.01198557404251e-05	1.61025251226344e-05	7.84856129032117e-06	2.4278579461498e-06	7.84856129032117e-06	1.46131913571183e-05	2.26661771089958e-06	5.2564416950873e-06	7.84856129032117e-06	4.24374993164617e-06	7.84856129032117e-06	7.05824153531794e-06	2.12956973842471e-06	7.8532380295255e-06	1.01198557404251e-05	0.0126149748180694	0.0125777810101763	0.0126463747963056	0.0125816851660783	2.12956973842471e-06	1.7178097275743e-05	1.43495135268055e-05	0.0126149748180694	4.69447565704938e-06	2.26661771089958e-06
"Lota_lota"	0.000593650663457972	0.000593924593192733	0.000591281741542149	0.00101320250902055	0.00016994596347585	0.000169048214263948	0.000170365579073976	1.0060375222004	0.000592845635235801	0.000169223001341975	4.94038029363167e-06	1.54370199485124e-05	1.62908993508601e-05	4.94038029363167e-06	1.31402394634259e-05	2.12956973842471e-06	4.94038029363167e-06	1.54370199485124e-05	3.95949728795156e-06	6.35577509502342e-06	2.12956973842471e-06	0.0167827290566219	0.0167672920366734	1.46281825479951e-05	5.64076671139916e-06	1.54370199485124e-05	1.46053405505763e-05	2.42779947822643e-06	4.24036188184266e-06	2.42779947822643e-06	0.016786860599515	3.95949728795156e-06	9.18074217547433e-06	2.42779947822643e-06	5.64076671139916e-06	2.42779947822643e-06	1.23314020629085e-05	0.0167672920366734	1.14775226605609e-05	1.54370199485124e-05	6.35577509502342e-06	1.17945299953694e-05	0.0168094847999695	2.98979917498457e-05	0.0167672920366734	2.7768422011421e-05	2.28280417177893e-05	6.35577509502342e-06	8.19985916979421e-06	3.95949728795156e-06
"Pungitius_pungitius"	0.00109784991209813	0.000959084323261937	0.00130412065338728	0.000888844372654866	0.000366349923300721	8.50242345670129e-05	0.000226286699915	0.000296422817617901	1.00479218041307	8.48467511325966e-05	0.00837326817010896	2.05845689509343e-05	0.00839596357376471	0.00837326817010896	0.00838750385068379	2.8285837489375e-06	0.00837326817010896	2.05845689509343e-05	6.39389548841291e-06	4.95418961311283e-06	2.8285837489375e-06	2.5524949244566e-05	4.94038029363168e-06	2.26503965434472e-05	2.82822503775322e-06	2.05845689509343e-05	0.00838485062881792	5.23357033286744e-06	7.84178508641518e-06	5.23357033286744e-06	0.00840085894694604	6.39389548841291e-06	0.00838110995519537	5.23357033286744e-06	2.82822503775322e-06	5.23357033286744e-06	0.0083895696782763	4.94038029363168e-06	1.41906734625214e-05	2.05845689509343e-05	4.95418961311283e-06	1.44110424579111e-05	0.0084281106125046	0.00841298283097617	4.94038029363168e-06	0.00841015424722723	3.68860771182753e-05	4.95418961311283e-06	1.42356805748281e-05	6.39389548841291e-06
"Stizostedion_vitreum"	0.000339431312757341	0.00033967368177143	0.000338305299052323	0.000339872321011803	0.000338712359172405	0.000337960615112977	0.000339499994531693	0.00033844600268395	0.000339387004530386	1.00704972151039	2.82822503775322e-06	7.11666002444627e-06	9.32153248771678e-06	2.82822503775322e-06	7.5172256264009e-06	4.24374993164617e-06	2.82822503775322e-06	7.11666002444627e-06	2.26449121180953e-06	1.26927653094706e-05	4.24374993164617e-06	1.27574267358454e-05	5.64076671139916e-06	6.65647567395262e-06	0.0335683240503462	7.11666002444627e-06	1.0094632461729e-05	4.83874798817722e-06	2.42450937683815e-06	4.83874798817722e-06	1.5125467423105e-05	2.26449121180953e-06	5.25273441459137e-06	4.83874798817722e-06	0.0335683240503462	4.83874798817722e-06	7.05704127590725e-06	5.64076671139916e-06	4.85216881263674e-06	7.11666002444628e-06	1.26927653094706e-05	1.1510157355622e-05	0.0336056700316556	1.84174512319997e-05	5.64076671139916e-06	1.41737013003535e-05	1.13454762626003e-05	1.26927653094706e-05	4.68900058864768e-06	2.26449121180953e-06
