"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"C1"	"C2"	"C3"
"R1"	1.0038260944048	0.000480007423451593	0.000480007423451593	0.000480007423451593	0.000480007423451593	0.000480007423451593	0.000480007423451593	0.000480007423451593	0.000480007423451593	0.000480007423451593	0.000480007423451593	0.000198966807648329	0.000480007423451593	0.000198966807648329	0.000198966807648329	0.000198966807648329	0.000198966807648329	0.0334608698134934	0.0337248738963917	0.0338243573002159
"R2"	0.00072001113517739	1.00071761109806	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000297455377434252	0.000717611098060132	0.000297455377434252	0.000297455377434252	0.000297455377434252	0.000297455377434252	2.40003711725797e-05	0.0504186864751056	0.0505674141638228
"R3"	0.00072001113517739	0.000717611098060132	1.00071761109806	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000297455377434252	0.000717611098060132	0.000297455377434252	0.000297455377434252	0.000297455377434252	0.000297455377434252	2.40003711725797e-05	0.0504186864751056	0.0505674141638228
"R4"	0.00072001113517739	0.000717611098060132	0.000717611098060132	1.00071761109806	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000297455377434252	0.000717611098060132	0.000297455377434252	0.000297455377434252	0.000297455377434252	0.000297455377434252	2.40003711725797e-05	0.0504186864751056	0.0505674141638228
"R5"	0.00072001113517739	0.000717611098060132	0.000717611098060132	0.000717611098060132	1.00071761109806	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000297455377434252	0.000717611098060132	0.000297455377434252	0.000297455377434252	0.000297455377434252	0.000297455377434252	2.40003711725797e-05	0.0504186864751056	0.0505674141638228
"R6"	0.00072001113517739	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	1.00071761109806	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000297455377434252	0.000717611098060132	0.000297455377434252	0.000297455377434252	0.000297455377434252	0.000297455377434252	2.40003711725797e-05	0.0504186864751056	0.0505674141638228
"R7"	0.00072001113517739	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	1.00071761109806	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000297455377434252	0.000717611098060132	0.000297455377434252	0.000297455377434252	0.000297455377434252	0.000297455377434252	2.40003711725797e-05	0.0504186864751056	0.0505674141638228
"R8"	0.00072001113517739	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	1.00071761109806	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000297455377434252	0.000717611098060132	0.000297455377434252	0.000297455377434252	0.000297455377434252	0.000297455377434252	2.40003711725797e-05	0.0504186864751056	0.0505674141638228
"R9"	0.00072001113517739	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	1.00071761109806	0.000717611098060132	0.000717611098060132	0.000297455377434252	0.000717611098060132	0.000297455377434252	0.000297455377434252	0.000297455377434252	0.000297455377434252	2.40003711725797e-05	0.0504186864751056	0.0505674141638228
"R10"	0.00072001113517739	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	0.000717611098060132	1.00071761109806	0.000717611098060132	0.000297455377434252	0.000717611098060132	0.000297455377434252	0.000297455377434252	0.000297455377434252	0.000297455377434252	2.40003711725797e-05	0.0504186864751056	0.0505674141638228
