"Senecio_erucaeformis"	"Calandrinia_affinis"	"Oxalis_compacta"	"Senecio_sp1_M_PL_002"	"Astragalus_curvicaulis"	"Cerastium_arvense"	"Chaetanthera_euphrasioides"	"Senecio_bustillosianus"	"Chuquiraga_oppositifolia"	"Discaria_nana"	"Laretia_acaulis"	"Senecio_francisci"	"Anarthrophyllum_cumingii"	"Anarthrophyllum_gayanum"	"Azorella_monantha"	"Euphorbia_portulacoides"	"Loasa_caespitosa"	"Nassauvia_heterophylla"	"Tropaeolum_polyph"	"Berberis_empetrifolia"	"Nassauvia_axillaris"	"Sanicula_graveolens"	"Azorella_bolacina"	"Chaetanthera_pusilla"	"Oxalis_geminata"	"Calandrinia_sericea"	"Calceolaria_biflora"	"Cerastium_montioides"	"Mutisia_sinuata"	"Oxalis_cinerea"	"Ranunculus_peduncularis"	"Stenodraba_stenophylla"	"Werneria_pygmaea"	"Acaena_pinnatifida"	"Calandrinia_dianthoides"	"Calceolaria_arachnoides"	"Cardamine_nivalis"	"Chaetanthera_apiculata"	"Erigeron_andicola"	"Nassauvia_pungens"	"Nothoscordum_andinum"	"Tristagma_bivalve"	"Viola_philippii"	"Unidentified_sp1_M_PL_002"	"Unidentified_sp2_M_PL_002"	"Scaeva_melanostom"	"Bombus_dahlbomii"	"Unidentified_sp3_M_PL_002"	"Caenohalictus_sp1_M_PL_002"	"Hypodynerus_sp1_M_PL_002"	"Yramea_modesta"	"Auca_coctei"	"Habromyia_lipoflava"	"Andinus_venustus"	"Etcheverrius_chilensis"	"Unidentified_sp4_M_PL_002"	"Unidentified_sp5_M_PL_002"	"Unidentified_sp6_M_PL_002"	"Villa_sp1_M_PL_002"	"Villa_verdensis"	"Anthidium_funereum"	"Centris_cineraria"	"Faunula_leucoglene"	"Lyophlaeba_lugubris"	"Megachile_semirufa"	"Megachile_sp1_M_PL_002"	"Megachile_sp2_M_PL_002"	"Prosopochaeta_caliginosa"	"Prosopochaeta_sp1_M_PL_002"	"Pseudolucia_chilensis"	"Unidentified_sp7_M_PL_002"	"Unidentified_sp8_M_PL_002"	"Vibrissomyia_sp1_M_PL_002"	"Alloscirtetica_sp1_M_PL_002"	"Anthidium_sp1_M_PL_002"	"Centris_nigerrima"	"Gayella_reedi"	"Hypodynerus_sp2_M_PL_002"	"Phulia_nymphula"	"Unidentified_sp10_M_PL_002"	"Unidentified_sp9_M_PL_002"	"Villa_gayi"	"Villa_hypoxantha"	"Alloscirtetica_rufitarsis"	"Ateloglutus_sp1_M_PL_002"	"Centris_cana"	"Chilicola_sp1_M_PL_002"	"Colletes_fulvipes"	"Colletes_sp1_M_PL_002"	"Dasybasis_sp1_M_PL_002"	"Hypodynerus_sp3_M_PL_002"	"Megachile_sp3_M_PL_002"	"Megachile_sp4_M_PL_002"	"Megachile_sp5_M_PL_002"	"Spathipalpus_philippii"	"Tatochila_mercedis"	"Tatochila_sp1_M_PL_002"	"Unidentified_sp11_M_PL_002"	"Unidentified_sp12_M_PL_002"	"Unidentified_sp13_M_PL_002"	"Unidentified_sp14_M_PL_002"	"Unidentified_sp15_M_PL_002"	"Unidentified_sp16_M_PL_002"	"Villa_arenari"	"Villa_flavicura"	"Villa_semifuscata"	"Yramea_lathonoides"
"Senecio_erucaeformis"	1.00397545212441	0.000152432163147697	0.000272018856802584	0.00079970549798534	0.000705506001590116	0.000314963739323102	0.000104136563396608	0.00131502274203063	0.00046305040803086	7.20427106851733e-07	4.89644301847136e-05	0.000145324096931181	8.93189042428017e-07	0.000361027538644891	4.8753909173321e-05	4.90218296357949e-05	9.08203115105679e-05	1.04577461357411e-06	4.99330929173411e-07	0.000104181962987887	0.00012131477494193	4.85126754836613e-05	4.8577070398963e-05	4.38529598599133e-07	4.84159389312361e-05	4.29042765439278e-07	0	2.71405973400229e-07	0.000234354485191356	3.05041071813867e-07	0.000150879760498049	4.83526611652485e-05	4.84006220843737e-05	1.39318540487896e-07	4.81108978594223e-05	0	4.81108978594223e-05	7.62150811082184e-08	0.000180242443781004	5.44855078472207e-08	0.000120061959048675	2.89724224951381e-07	1.31253529204659e-07	4.6355875992221e-05	0.00721663467891335	1.25386686439107e-05	0.00721834160535225	1.41158651671499e-05	0.00719382038470388	0.0072037175429205	7.87521175227952e-06	0.00720626075622262	5.24253804615018e-06	0.00719438778748756	1.74242427176722e-05	1.00222225586658e-05	1.34734722407357e-05	1.98848504809504e-05	0.00720969775124014	6.63398680165493e-06	0.00719167350686203	1.42934745696475e-05	1.26865111816041e-05	1.87876458685517e-05	0.00719145851689625	0.00719145851689626	4.09321665548303e-06	4.29571453019163e-06	2.15964040305008e-06	0.00718574383021463	2.28645243324655e-06	1.63456523541662e-06	4.20457332586711e-06	1.4275610788799e-05	1.82639284879483e-06	0	7.07292379674972e-06	1.19041888198469e-06	3.43937890782433e-06	7.2909654739564e-06	2.38537198822766e-06	4.1910030271971e-06	2.21392073510221e-06	1.78637808485603e-08	1.20071184475289e-08	0	0.00717125322946005	7.05506001590117e-06	7.05506001590116e-06	1.04136563396608e-06	0.00717125322946005	1.78637808485603e-08	1.81640623021136e-06	1.81640623021136e-06	1.46176532866378e-08	2.2668238066882e-06	1.46176532866378e-08	0.00717125322946005	9.80436592715897e-07	9.98661858346822e-09	1.17255510113613e-06	2.41763305826243e-06	1.17255510113613e-06	1.04136563396608e-06	1.04136563396608e-06	2.09154922714821e-08	2.2668238066882e-06
"Calandrinia_affinis"	0.000164157714159059	1.00399514652012	0.000593267618543659	0.00013971733500103	0.000161203245361355	0.000112454941567515	0.000634855675006245	4.98912463567599e-05	0.000101173555715873	0.000463339200765995	0.000343208282718966	4.96052879023294e-05	0.000389009513190204	0.000194701450478203	0.000514122347479589	0.000139194287457344	4.46202930533108e-07	7.64489810354917e-07	8.69558747395585e-05	0.000159724051769814	4.91068649548957e-05	0.000525909110918441	0.000101053367818062	9.52931566218763e-08	0.000246199533837732	0.000135001523500067	0	3.94235226807597e-07	2.17858252740467e-07	0.000194220535830756	0.000162627880544952	5.2240199001986e-05	0.000100653499836359	8.63270216706844e-05	5.19789980069761e-05	0	5.19789980069761e-05	4.23619292105811e-07	7.37249412436638e-08	5.99253442122482e-07	1.50765235456783e-07	4.86745018293826e-05	1.44474629238331e-07	0.00778792029270122	0.00779684970104642	0.00776943195036159	1.07161142923401e-05	3.19894385362545e-05	0.0077454217776583	9.04591412740696e-06	8.66847775429984e-06	4.19534120431079e-06	0.0077517083904452	8.30159031449877e-06	3.78631475644255e-06	0.00774485129554536	3.6376684266731e-06	8.40044892263497e-06	2.94899764974655e-06	8.31515076031685e-06	2.94162515562218e-06	1.32862517269817e-05	7.33860382779076e-06	5.71968538168534e-06	3.28350001831728e-06	3.28350001831728e-06	6.69193837459898e-06	2.38117626394743e-05	0.00774104435557869	6.33674170161864e-06	1.27085787631743e-05	1.79776032636745e-05	7.49281792707798e-06	5.50606146317761e-06	1.74804155340183e-06	0	9.39222271741763e-06	0.00773081977888013	0.00772798348543752	1.28544738712555e-06	0.00773618731638928	7.4731061657376e-06	0.00772938814536639	7.78019026380408e-06	7.72232001276658e-06	0	1.17255510113613e-06	1.61203245361355e-06	1.61203245361355e-06	6.34855675006245e-06	1.17255510113613e-06	7.78019026380408e-06	8.92405861066216e-09	8.92405861066216e-09	3.17643855406254e-09	4.94389682119715e-06	3.17643855406254e-09	1.17255510113613e-06	2.78388574914688e-06	1.73911749479117e-06	0.00772303958861633	2.6120099500993e-06	0.00772303958861633	6.34855675006245e-06	6.34855675006245e-06	1.52897962070983e-08	4.94389682119715e-06
"Oxalis_compacta"	0.000317355332936348	0.00064270658675563	1.00388462455298	0.000386683547007202	5.36138082414655e-05	0.000526030537309471	5.46214430852302e-05	0.00036893782593833	0.000368079518913759	0.00050233692318965	0.00050087687859438	0.000194024249531099	2.94181010760421e-07	5.20184141409471e-07	0.000221704962649075	1.30126197170922e-06	0.000386745614358899	1.03013938522285e-06	0.000421502545915123	5.33134021356571e-05	5.32528798921385e-05	0.00028063633096163	5.32772180972542e-05	3.24526476411596e-07	3.99750399239997e-07	5.30255186228008e-05	0	0.000140488695701273	0.000105406610054925	1.25001575255942e-07	4.8775741596172e-07	2.76129471340759e-07	5.2905644259195e-05	3.94623187589907e-07	2.74748823984056e-07	0	2.74748823984056e-07	0.000280069481159243	2.3738112879359e-07	6.54685353538361e-10	1.57011568319353e-07	5.26308954352109e-05	0.000140060997214973	0.00842094326963374	4.12123235976084e-05	3.55160868830916e-05	0.00839957691845866	2.97259070447402e-05	1.49106014384365e-05	9.42069409916116e-06	0.00840365983289834	2.05949287095654e-05	0.00839180343071212	0.00837779606532284	1.28945186627541e-05	4.97387559609614e-06	1.01275351308954e-05	1.03085439253036e-05	9.4952451517436e-06	9.06086008383645e-06	9.47150703886423e-06	5.52425385458052e-07	0.00837448081495409	6.35353531007819e-06	6.49234014848615e-06	6.49234014848615e-06	0.00838187016781368	0.00838106906085882	1.77502781273395e-05	5.79253246230913e-06	0.00840208443477729	1.96405606061508e-08	1.28309545890107e-05	5.46541765242844e-07	1.61649632054805e-05	0	5.42021702629863e-07	4.94978044141236e-06	0.0083706491014294	3.5359077604972e-06	1.19598050952379e-05	5.80651980394702e-06	5.49011125204946e-06	5.88362021520842e-09	8.37228205316082e-06	0	2.2668238066882e-06	5.36138082414655e-07	5.36138082414655e-07	5.46214430852302e-07	2.2668238066882e-06	5.88362021520842e-09	7.73491228717798e-06	7.73491228717798e-06	1.08175492137199e-08	0.0083657052046082	1.08175492137199e-08	2.2668238066882e-06	2.60252394341845e-08	8.43005091830246e-06	4.94389682119715e-06	1.3806473567038e-08	4.94389682119715e-06	5.46214430852302e-07	5.46214430852302e-07	2.06027877044571e-08	0.00836570520460821
"Senecio_sp1_M_PL_002"	0.00101780699743589	0.000165120486819399	0.000421836596735129	1.00244628413885	2.48306523801429e-06	0.000649865864385057	0.000104040979911569	0.000650752337566379	0.000405485298672152	0.000115695116731141	0.000278308954938813	0.000344802755142227	2.70978926737913e-07	0.000305392949973089	0.000176491154098052	0.0002782824921072	0.000115338746324563	0.000801787164205803	0.000102617559325862	1.49188858759061e-06	0.000229715931222799	0.000163480855531607	0.000175969239273969	0.000229865310794025	6.14760285052847e-05	0.00010197663697108	0	5.5005761289347e-07	0.000115037639121628	3.05107184011541e-07	6.14454023784384e-05	6.14783128857017e-05	6.15135099957592e-05	0.000101634048296594	6.11709213212732e-05	0	6.11709213212732e-05	1.82058759809758e-07	0.000228745002781535	6.90453615176165e-08	4.28118473421492e-07	3.42588674485958e-07	2.97838568773106e-07	5.48141879177534e-05	0.00917563819819098	0.00914706434669342	0.00915175631979367	0.0091564583422568	1.92136740015615e-05	2.56871084052895e-05	1.78703141263863e-05	3.20342562103364e-05	1.48820201735048e-05	2.4050966641344e-05	0.00913331501554928	9.44247289975696e-06	0.00914142533783445	1.86091290763481e-05	0.00914980011126141	2.93215243127861e-05	0.00912692561098325	6.13810923037667e-06	0.00912316200124255	1.22877188709235e-05	1.38024040097288e-05	1.38024040097288e-05	7.87443108580124e-06	1.22408089433965e-05	6.72823261839853e-06	0.00912652594660705	5.46176279429274e-06	2.0713608455285e-06	7.56657132361094e-06	6.13268965184191e-06	4.35912611300851e-06	0	3.02502309149012e-08	1.27557716945321e-06	4.7854625637112e-06	0.00912918378091003	5.35717897920863e-06	7.53906844296627e-06	2.31056739003415e-06	5.41957853475826e-09	1.92825194551901e-06	0	7.27004998168491e-06	2.4830652380143e-08	2.4830652380143e-08	1.04040979911569e-06	7.27004998168491e-06	5.41957853475826e-09	2.30677492649126e-06	2.30677492649126e-06	7.66217702646751e-06	3.51530497279274e-06	7.66217702646751e-06	7.2700499816849e-06	5.56564984214399e-06	2.05235118651724e-06	1.27015759091846e-06	3.07391564428509e-06	1.27015759091846e-06	1.04040979911569e-06	1.04040979911569e-06	1.60357432841161e-05	3.51530497279274e-06
"Astragalus_curvicaulis"	0.000987708402226163	0.000209564218969761	6.43365698897586e-05	2.73137176181572e-06	1.00439682213307	0.000313796811149657	0.000208394921050673	0.000736422874724549	6.42335082266943e-05	6.35265660866213e-05	6.35424036162637e-05	6.37475343029701e-05	0.000843373093245423	0.00100897883532786	6.35316973093672e-05	7.29881680896316e-07	2.59938026279663e-07	4.67006879590387e-07	1.86930934772948e-07	0.000207908481722311	0.000232162107103633	3.87524195920772e-07	6.32895834797805e-05	5.43538546064118e-08	7.1212875465964e-07	6.31312085896684e-05	0	2.53835810286545e-07	5.71900246177967e-07	5.47778310269106e-07	0.000144025153313403	1.65176326020637e-07	6.32069668520405e-05	8.85921820185351e-08	1.64350444390534e-07	0	1.64350444390534e-07	5.33416115002791e-08	3.62008005401674e-07	1.70991774811962e-09	0.000168282886124244	6.30426164076499e-05	7.93488398692907e-08	0.010086818625224	2.46525666585801e-05	7.97329638166817e-06	1.92225778527174e-05	6.60933021920082e-06	0.0100702562008309	0.0100969731674546	4.76093039215743e-06	1.658090115095e-05	5.5366206439303e-06	1.60259853160062e-05	2.1596598230281e-06	2.18427357008395e-05	8.97619157905935e-06	1.57145065354178e-05	1.4480320216067e-05	6.2937163646446e-06	1.44441194155268e-05	0.0100810152599021	3.69893684629136e-06	1.83659934678941e-05	0.0100583875100938	0.0100583875100938	5.45075461635707e-07	1.60486624758374e-06	3.94144250124458e-06	2.72594673748384e-05	1.60024834500837e-06	5.12975324435886e-08	5.23460911251762e-06	0.0100641477980372	8.93737922105221e-09	0	0.0100608356831956	1.8479494318522e-05	2.1481705360282e-06	3.41707899719507e-08	1.62172055851157e-06	5.22191732200329e-06	3.69598166412028e-06	1.68674618649085e-05	1.05877610144369e-06	0	7.05506001590116e-06	0.0100439682213307	0.0100439682213307	2.08394921050673e-06	7.05506001590116e-06	1.68674618649085e-05	5.19876052559325e-09	5.19876052559325e-09	1.81179515354706e-09	5.36138082414655e-07	1.81179515354706e-09	7.05506001590116e-06	1.45976336179263e-08	3.73861869545896e-09	1.61203245361355e-06	8.25881630103186e-09	1.61203245361355e-06	2.08394921050673e-06	2.08394921050673e-06	9.34013759180775e-09	5.36138082414655e-07
"Cerastium_arvense"	0.000440949235052343	0.000146191424037769	0.000631236644771366	0.000714852450823563	0.000313796811149657	1.00253084950462	0.00123747922408046	0.000380206563855344	0.000127400127964326	1.05185378520228e-06	1.49747465016419e-06	0.000420964203223127	4.33141924046138e-07	0.000168794246716038	1.0423262634131e-06	0.000252451695608248	0.000126863860705482	0.000504879139969294	0.000169374145164736	0.000396000387249246	0.000420167642002886	7.19781643548695e-07	8.74598233075096e-07	3.939058983285e-07	2.82133689833786e-07	6.63570830656028e-07	0	0.000503477758505434	0.000126135289200672	1.13391858786496e-07	0.00014391432995085	1.69589779947025e-07	5.1517530787409e-07	3.17137353829228e-07	1.6874183104729e-07	0	1.6874183104729e-07	1.76516263194473e-07	3.3710179638183e-07	5.04148804920324e-10	0.000167704109791909	3.464334768268e-07	0.000168049185998358	5.5429356292288e-05	2.53112746570935e-05	2.85423618446305e-05	0.0100549865392352	2.87538340160804e-05	0.0100621911683862	0.0100622465875145	0.0100829511599014	2.23978730116089e-05	6.44819012129423e-06	1.43353438709513e-05	1.56511943602524e-05	4.51550839926304e-06	0.0100524089275395	0.0100440596042782	1.34840718552732e-05	0.0100547969401401	1.3450361675635e-05	6.52251588429824e-06	0.0100370674590632	2.42062663698568e-05	1.0089671143281e-05	1.0089671143281e-05	1.11850654904991e-05	5.3032578250195e-06	1.16292683736345e-06	1.30241809714024e-05	5.2954878958342e-06	1.51244641476097e-08	0.0100628571752123	6.51385304581733e-06	5.92476011740437e-06	0	3.14663094997749e-06	1.13321225415607e-06	6.38485478876986e-06	1.65962414432365e-05	1.14254395676387e-06	0.010037683287287	1.34993416564797e-05	8.66283848092275e-09	1.7530896420038e-08	0	3.14963739323102e-06	3.13796811149657e-06	3.13796811149657e-06	1.23747922408046e-05	3.14963739323102e-06	8.66283848092275e-09	2.53727721410964e-06	2.53727721410964e-06	1.313019661095e-08	5.26030537309471e-06	1.313019661095e-08	3.14963739323102e-06	5.04903391216497e-06	3.38748290329473e-06	1.12454941567515e-06	8.47948899735126e-09	1.12454941567515e-06	1.23747922408046e-05	1.23747922408046e-05	1.00975827993859e-05	5.26030537309471e-06
"Chaetanthera_euphrasioides"	0.000145791188755251	0.000825312377508118	6.55457317022763e-05	0.000114445077902726	0.000208394921050673	0.00123747922408046	1.00492763362144	6.47344840202518e-05	6.39568028229541e-05	6.40679138079105e-05	0.000176113371785498	0.000316141062031999	4.94849489730495e-07	6.90332130412492e-07	6.41162634532514e-05	0.000113287814894897	4.18420060005983e-07	0.000253377097994265	0.000113133004801511	0.000207921465960168	6.4146732792078e-05	0.000112954795553001	6.35827050763009e-05	1.85777687994078e-07	3.69356800670649e-07	0.000175187388953039	0	0.000336571715631763	3.70130485555599e-07	1.60246931280302e-07	0.000144259624411095	2.10160672754118e-07	6.3319611376856e-05	0.000112076887445574	2.09109869390347e-07	0	2.09109869390347e-07	5.39803677029257e-08	6.83990043429647e-08	6.7974046554192e-10	2.85769316321996e-07	6.31105015074656e-05	6.22391823869926e-07	0.0100976802411945	3.13664804085521e-05	0.0100869198701016	1.6742948584135e-05	2.10474959555974e-05	0.0100835360179193	1.71461589793198e-05	3.73435094321956e-05	8.0421814126956e-06	1.21801178765366e-05	3.3008716187368e-06	7.38156680296472e-06	6.3826876325904e-06	2.00864123196075e-05	2.04859300279092e-05	2.73596017371859e-06	0.0100719876881156	2.72912027328429e-06	2.10765284290959e-06	1.39614164707726e-05	7.44904980900867e-06	3.77265968467533e-06	3.77265968467533e-06	2.81724292808264e-06	6.30530718276895e-06	8.69868058259266e-06	2.09558207569002e-06	1.61941103108777e-06	2.03922139662576e-08	0.0100784797142368	2.09775585311498e-06	2.27102849723034e-06	0	2.09384620030134e-06	6.35845373985706e-06	6.89477118091475e-06	6.10795175900099e-06	9.17242663888747e-06	0.0100616511284552	0.0100556248929645	9.89698979460989e-09	1.06779856346517e-06	0	1.04136563396608e-06	2.08394921050673e-06	2.08394921050673e-06	0.0100492763362144	1.04136563396608e-06	9.89698979460989e-09	8.36840120011966e-09	8.36840120011966e-09	6.19258959980262e-09	5.46214430852302e-07	6.19258959980262e-09	1.04136563396608e-06	2.26575629789793e-06	2.26266009603022e-06	6.34855675006245e-06	1.05080336377059e-08	6.34855675006245e-06	0.0100492763362144	0.0100492763362144	5.06754195988529e-06	5.46214430852302e-07
"Senecio_bustillosianus"	0.00184103183884288	6.48586202637878e-05	0.000442725391125996	0.000715827571323017	0.000736422874724549	0.000380206563855344	6.47344840202518e-05	1.00248435733813	0.000642656758831578	6.38852667414238e-05	6.41643371489635e-05	0.000265726918127345	6.44166181878827e-07	1.86058282619596e-06	6.39111322394651e-05	0.000252503078847611	0.000126863223441666	1.32924406915475e-06	7.25367017471861e-07	0.000649984652208489	0.000399220603753734	6.65053537826211e-07	6.3664389119012e-05	5.45270814231213e-07	3.05381096341675e-07	6.32924577931156e-05	0	3.48429535142016e-07	0.000327410224421262	1.40390599160695e-08	8.87867590634452e-07	2.92806066759402e-07	6.33950456088072e-05	1.88754220733998e-07	2.91342036425606e-07	0	2.91342036425606e-07	1.59001093815174e-07	0.000251741887823993	3.63923841935094e-10	5.73192797269991e-07	6.31037035723816e-05	1.99535136624914e-07	0.010096592571581	4.37013054638408e-05	1.69878798660598e-05	0.0100816114897457	2.15474808163844e-05	4.17567887946193e-05	3.43915678361995e-05	1.19721081974948e-05	0.010069504039972	7.60067343257999e-06	0.0100523941250416	2.16654270187869e-05	5.47005442965378e-07	2.03166889894437e-05	0.0100499453169021	0.0100696755129597	8.90477732892813e-06	0.0100445013241773	7.41432372740699e-06	1.39989672736005e-05	0.0100510737047804	0.0100453580295489	0.0100453580295489	6.24115006856605e-06	4.77541021697834e-06	2.8418895540473e-06	1.9694962452494e-05	4.77003281445521e-06	1.09177152580528e-08	4.46683195551306e-06	7.40144040376941e-06	2.55177180918275e-06	0	7.37711207088307e-06	5.11795787205175e-07	4.1882907229509e-06	6.53410825704689e-06	5.15538802013254e-07	4.44941047875596e-06	1.14625730377012e-06	1.28833236375765e-08	1.0647544456904e-06	0	1.31502274203063e-05	7.36422874724549e-06	7.36422874724549e-06	6.47344840202518e-07	1.31502274203063e-05	1.28833236375765e-08	2.53726446883331e-06	2.53726446883331e-06	1.81756938077071e-08	3.6893782593833e-06	1.81756938077071e-08	1.31502274203063e-05	5.05006157695223e-06	1.45073403494372e-08	4.98912463567599e-07	1.46403033379701e-08	4.98912463567599e-07	6.47344840202518e-07	6.47344840202518e-07	2.65848813830951e-08	3.6893782593833e-06
"Chuquiraga_oppositifolia"	0.00108045095207201	0.000219209370717724	0.000736159037827519	0.000743389714232279	0.00010705584704449	0.00021233354660721	0.00010659467137159	0.00107109459805263	1.00159740939939	0.000106416322800315	0.000218248127018222	0.000859454144374023	1.753180167683e-07	9.37091534313379e-07	0.000217827429192975	0.000113289768273993	0.000210878709948735	1.57511699325959e-06	1.19969621815826e-06	0.00010614811989156	0.000105906742258059	0.000112759461811756	0.000217215113050066	0.000421016939060636	0.000112114764181922	0.000105118848852681	0	4.84921780372301e-07	0.000544542642022608	2.61806815524023e-07	0.000112166180014646	0.000112415032529044	0.000216710266196667	2.61540022412952e-07	0.000111852957366398	0	0.000111852957366398	2.64490435738057e-07	6.3124163138454e-07	1.25426392870912e-07	2.26674643141387e-07	0.000104857308830268	3.7780417141208e-07	0.016777169412843	0.0167779436049598	2.35386020171656e-05	0.0167581793981635	4.0387748271952e-05	2.19255853773664e-05	1.36004785884832e-05	2.26682502847248e-05	0.0167532699772782	1.75885073246623e-05	0.0167178532680861	0.0167284063786759	5.45521690612443e-06	1.15605946735913e-05	1.77537798093672e-05	2.52496652553816e-05	1.75450202592202e-05	2.51865410922431e-05	1.09280666146654e-06	1.50160824258373e-05	1.60123175342668e-05	1.94990112514855e-05	1.94990112514855e-05	1.03762267719005e-05	1.25911139774936e-05	7.81637989246263e-06	1.44943369424031e-05	7.93471307214171e-06	3.76279178612737e-06	3.21352826880662e-06	1.08930030113117e-06	4.24156812333787e-06	0	1.07406483078027e-06	1.68973228893324e-06	7.82088457716053e-06	6.78959065106774e-06	4.50521247389177e-06	3.189282179788e-06	2.75217264231378e-06	3.506360335366e-09	1.77360538000525e-06	0	7.71750680051433e-06	1.0705584704449e-06	1.0705584704449e-06	1.0659467137159e-06	7.71750680051433e-06	3.506360335366e-09	4.2175741989747e-06	4.2175741989747e-06	1.40338979686879e-05	6.13465864856265e-06	1.40338979686879e-05	7.71750680051433e-06	2.26579536547986e-06	2.39939243631652e-08	1.68622592859788e-06	5.62075162645218e-06	1.68622592859788e-06	1.0659467137159e-06	1.0659467137159e-06	3.15023398651919e-08	6.13465864856265e-06
"Discaria_nana"	1.68099658265404e-06	0.00100390160165966	0.0010046738463793	0.000212107714007092	0.000105877610144369	1.7530896420038e-06	0.000106779856346517	0.00010647544456904	0.000106416322800315	1.00344100193626	0.000651891641064534	0.000315834015135715	4.77806463495014e-07	4.10616969616416e-07	0.00120943336918798	0.000211227679564508	4.47966403101213e-07	0.000211029185744906	8.57855655481886e-07	0.000105728819996058	0.000105633315261024	1.82236313253616e-06	0.000315399149728738	2.25837722362372e-07	6.3985434190006e-07	0.00010548555306352	0	2.65068908647785e-07	3.27534977858436e-07	1.95079918278061e-07	6.2410096992115e-07	4.47009470976884e-07	0.000105583889459978	3.46438027164058e-07	4.44774423622e-07	0	4.44774423622e-07	0.000559611671605046	7.53136217959133e-08	1.0395476246568e-09	6.23933111390516e-08	0.000105139115036355	2.28449478470531e-07	0.0168222584058169	6.67161635432999e-05	3.11794224447653e-05	1.3193767916198e-05	0.0167852208215008	1.25528582409405e-05	3.7435986683431e-06	1.37069687082319e-05	8.13064394529802e-06	0.0167751648290718	1.1222648997304e-05	8.97328550186493e-06	7.76161482613616e-06	8.80719943836278e-06	7.95005943330204e-06	3.01254487183653e-06	1.05698134270452e-05	3.00501350965694e-06	1.07654457010592e-06	1.03180648950999e-05	6.34880782711745e-06	2.13553766558161e-06	2.13553766558161e-06	8.39839849433249e-06	1.92827018158831e-05	0.0167559276863343	1.94847140335887e-06	0.0167883501481514	3.1186428739704e-08	1.0985829053176e-06	1.06698844083602e-06	2.6116441171662e-08	0	1.06833223071359e-06	7.73187614203648e-06	1.60946020659274e-05	6.14883566041714e-06	7.76787909107999e-06	1.08532945988521e-06	8.79011857623176e-06	9.55612926990028e-09	0.0167240166989377	0	1.20071184475289e-08	1.05877610144369e-06	1.05877610144369e-06	1.06779856346517e-06	1.20071184475289e-08	9.55612926990028e-09	8.95932806202426e-09	8.95932806202426e-09	7.52792407874574e-09	8.37228205316082e-06	7.52792407874574e-09	1.20071184475289e-08	4.22455359129015e-06	1.71571131096377e-08	7.72232001276658e-06	2.23504735488442e-08	7.72232001276658e-06	1.06779856346517e-06	1.06779856346517e-06	4.22058371489812e-06	8.37228205316082e-06
