"Prunus_spinosa"	"Prunus_domestica"	"Prunus_avium"	"Prunus_cerasus"	"Prunus_padus"	"Prunus_laurocerasus"	"Chloroclystis_rectangulata"	"Diloba_caeruleocephala"	"Lomographa_temerata"	"Abraxas_grossulariata"	"Acronicta_psi"	"Acronicta_tridens"	"Allophyes_oxycanthae"	"Angerona_prunaria"	"Aporia_crataegi"	"Callimorpha_dominula"	"Conistra_ligula"	"Cosmia_pyralina"	"Dasycampa_rubiginea"	"Ennomos_autumnaria"	"Epirrita_dilutata"	"Naenia_typica"	"Nola_cucullatella"	"Odontopera_bidentata"	"Phalera_bucephala"	"Selenia_lunalaria"	"Strymonidia_pruni"	"Thalera_fimbrialis"	"Thecla_betulae"	"Theria_rupicaprarian"	"Xestia_baja"	"Acronicta_aceris"	"Acronicta_strigosa"	"Agriopis_aurantiaria"	"Agriopis_marginaria"	"Agrochola_lota"	"Aleucis_distinctata"	"Alsophila_aescularia"	"Amphipyra_pyramidea"	"Apocheima_pilosaria"	"Biston_betularia"	"Blepharita_satura"	"Brachionycha_sphinx"	"Campaea_margaritata"	"Catocala_nupta"	"Chloroclysta_siterata"	"Chloroclystis_chloerata"	"Cilix_glaucata"	"Colocasia_coryli"	"Colotois_pennaria"	"Crocallis_elinguaria"	"Dasychira_fascelina"	"Diarsia_mendica"	"Egira_conspicillaris"	"Electrophaes_corylata"	"Epirrita_christyi"	"Erannis_defoliaria"	"Eriogaster_lanestris"	"Eupithecia_exiguata"	"Euproctis_chrysorrhoea"	"Eupsilia_transversa"	"Eurois_occulata"	"Gastropacha_quercifolia"	"Graphiphora_augur"	"Hydrelia_sylvata"	"Lasiocampa_quercus"	"Lasiocampa_trifolii"	"Lithophane_semibrunnea"	"Lithophane_socia"	"Lomographa_bimaculata"	"Malacosoma_neustria"	"Nola_confusalis"	"Nymphalis_polychlorus"	"Operophtera_brumata"	"Opisthograptis_luteolata"	"Orgyia_antiqua"	"Orgyia_recens"	"Orthosia_gothica"	"Orthosia_gracilis"	"Orthosia_incerta"	"Orthosia_munda"	"Ourapteryx_sambucaria"	"Perconia_strigillaria"	"Plagodis_pulveraria"	"Plemyria_rubiginata"	"Saturnia_pavonia"	"Selenia_dentaria"	"Selenia_tetralunaria"	"Semiothisa_alternaria"	"Smerinthus_ocellata"	"Stauropus_fagi"	"Trichiura_crataegi"	"Triphosa_dubitata"	"Xestia_triangulum"
"Prunus_spinosa"	1.00833825586703	0.00143333854101348	4.71893466476213e-05	0.000117654779397843	0.000117578474195122	4.6993092726698e-05	0.00140435495623321	0.00140979278180094	0.00140901275500144	0.00140509347252827	0.00140509347252826	0.00140509347252827	0.00140341116930027	0.00140509347252827	0.00140509347252827	0.00140509347252827	0.00140509347252826	0.00140509347252827	0.00140509347252826	0.00140509347252827	0.00140509347252826	0.00140509347252826	0.00140509347252826	0.00140509347252827	7.56504219789278e-06	0.00140509347252827	0.00140509347252827	0.00140509347252826	0.00140509347252826	0.00140509347252826	0.00140438908228849	4.62367271294672e-06	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981532	9.43786932952435e-07	4.62367271294672e-06	0.00140046979981532	4.6236727129467e-06	0.00140046979981531	0.00140046979981532	0.00140046979981532	4.62367271294671e-06	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981533	0.00140046979981532	4.62367271294671e-06	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981533	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981532	4.6236727129467e-06	4.62367271294669e-06	4.62367271294671e-06	9.43786932952433e-07	0.00140046979981532	0.00140046979981532	9.43786932952433e-07	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981532	4.6236727129467e-06	0.00140046979981532	0.00140046979981532	2.94136948494608e-06	0.00140046979981532	0.00140046979981532	0.00140046979981532	9.43786932952433e-07	0.00140046979981532	0.00140046979981532	0.00140046979981532	0.00140046979981532	3.91928247317076e-06	0.00140046979981532
"Prunus_domestica"	0.00332904435332163	1.00639001397314	2.93046461034104e-07	0.000163661161528303	0.000109267029011595	0.000108730537546031	8.72106268037497e-06	0.00326191612638091	0.0032546853069267	0.00325104307262632	0.00325104307262629	0.00325104307262631	8.71520175115429e-06	0.00325104307262631	0.00325104307262632	0.00325104307262631	0.0032510430726263	0.00325104307262631	0.0032510430726263	0.00325104307262632	0.00325104307262629	0.00325104307262631	0.00325104307262629	0.00325104307262632	0.00325051092895157	0.00325104307262631	0.00325104307262632	0.00325104307262631	0.0032510430726263	0.00325104307262631	8.26590701333321e-06	0.00324641939991338	4.62367271294671e-06	4.62367271294669e-06	4.6236727129467e-06	4.62367271294669e-06	4.62367271294671e-06	5.86092922068211e-09	0.00324641939991338	4.62367271294671e-06	0.00324641939991336	4.62367271294668e-06	4.62367271294669e-06	4.62367271294669e-06	0.00324641939991337	4.6236727129467e-06	4.6236727129467e-06	4.62367271294668e-06	4.62367271294669e-06	4.62367271294672e-06	4.6236727129467e-06	0.00324641939991337	4.62367271294669e-06	4.62367271294671e-06	4.62367271294671e-06	4.6236727129467e-06	4.62367271294671e-06	4.6236727129467e-06	4.62367271294671e-06	4.62367271294671e-06	4.6236727129467e-06	4.6236727129467e-06	4.6236727129467e-06	4.6236727129467e-06	4.6236727129467e-06	4.62367271294671e-06	0.00324641939991336	0.00324641939991336	0.00324641939991337	5.86092922068209e-09	4.6236727129467e-06	4.62367271294671e-06	5.86092922068209e-09	4.62367271294669e-06	4.6236727129467e-06	4.62367271294671e-06	4.6236727129467e-06	4.62367271294671e-06	4.6236727129467e-06	4.6236727129467e-06	0.00324641939991336	4.6236727129467e-06	4.6236727129467e-06	4.09152903820756e-06	4.6236727129467e-06	4.6236727129467e-06	4.6236727129467e-06	5.86092922068209e-09	4.6236727129467e-06	4.6236727129467e-06	4.6236727129467e-06	4.6236727129467e-06	3.6422343003865e-06	4.6236727129467e-06
"Prunus_avium"	0.000679526591725751	1.81688805841145e-06	1.00874303486226	0.000676520669102141	7.93290641118531e-08	3.17607980659905e-08	0.0201927175009056	9.52823941979712e-07	9.52292164310178e-07	9.49647862173117e-07	9.4964786217311e-07	9.49647862173115e-07	1.78568036605061e-05	9.49647862173113e-07	9.49647862173116e-07	9.49647862173113e-07	9.49647862173111e-07	9.49647862173115e-07	9.49647862173111e-07	9.49647862173118e-07	9.49647862173109e-07	9.49647862173113e-07	9.49647862173109e-07	9.49647862173118e-07	1.69188776567743e-05	9.49647862173115e-07	9.49647862173117e-07	9.49647862173114e-07	9.49647862173111e-07	9.49647862173113e-07	9.46431235089493e-07	5.86092922068212e-09	9.43786932952431e-07	9.43786932952428e-07	9.4378693295243e-07	9.43786932952428e-07	9.43786932952432e-07	0.0201748606972453	5.86092922068212e-09	9.43786932952431e-07	5.86092922068209e-09	9.43786932952427e-07	9.43786932952429e-07	9.43786932952428e-07	5.8609292206821e-09	9.4378693295243e-07	9.4378693295243e-07	9.43786932952427e-07	9.43786932952428e-07	9.43786932952435e-07	9.4378693295243e-07	5.8609292206821e-09	9.43786932952428e-07	9.43786932952431e-07	9.43786932952432e-07	9.43786932952431e-07	9.43786932952432e-07	9.43786932952431e-07	9.43786932952434e-07	9.43786932952433e-07	9.43786932952431e-07	9.43786932952431e-07	9.4378693295243e-07	9.43786932952432e-07	9.43786932952431e-07	9.43786932952433e-07	5.86092922068209e-09	5.86092922068208e-09	5.8609292206821e-09	0.0201748606972453	9.43786932952431e-07	9.43786932952433e-07	0.0201748606972453	9.4378693295243e-07	9.43786932952432e-07	9.43786932952433e-07	9.43786932952432e-07	9.43786932952433e-07	9.43786932952432e-07	9.43786932952431e-07	5.86092922068209e-09	9.43786932952431e-07	9.43786932952432e-07	1.69130167275536e-05	9.43786932952432e-07	9.43786932952432e-07	9.43786932952432e-07	0.0201748606972453	9.43786932952431e-07	9.43786932952432e-07	9.43786932952432e-07	9.43786932952432e-07	2.64430213706178e-09	9.43786932952432e-07
"Prunus_cerasus"	0.00211778602916118	0.00126837400184435	0.000845650836377676	1.00586858017549	3.83844139203111e-07	2.35213997429888e-07	0.0251665688905996	7.05641992289664e-06	7.04569332779374e-06	7.03289852315364e-06	7.03289852315363e-06	7.03289852315363e-06	0.0251496558738723	7.03289852315364e-06	7.03289852315365e-06	7.03289852315364e-06	7.03289852315363e-06	7.03289852315365e-06	7.03289852315363e-06	7.03289852315366e-06	7.03289852315363e-06	7.03289852315364e-06	7.03289852315363e-06	7.03289852315366e-06	0.0251508060334255	7.03289852315366e-06	7.03289852315367e-06	7.03289852315364e-06	7.03289852315362e-06	7.03289852315364e-06	2.95416428958618e-06	4.09152903820759e-06	2.94136948494608e-06	2.94136948494607e-06	2.94136948494607e-06	2.94136948494607e-06	2.94136948494608e-06	1.69130167275537e-05	4.09152903820759e-06	2.94136948494608e-06	4.09152903820757e-06	2.94136948494606e-06	2.94136948494607e-06	2.94136948494607e-06	4.09152903820758e-06	2.94136948494607e-06	2.94136948494607e-06	2.94136948494606e-06	2.94136948494607e-06	2.94136948494609e-06	2.94136948494607e-06	4.09152903820757e-06	2.94136948494607e-06	2.94136948494608e-06	2.94136948494608e-06	2.94136948494608e-06	2.94136948494608e-06	2.94136948494608e-06	2.94136948494608e-06	2.94136948494608e-06	2.94136948494608e-06	2.94136948494608e-06	2.94136948494607e-06	2.94136948494608e-06	2.94136948494608e-06	2.94136948494608e-06	4.09152903820757e-06	4.09152903820756e-06	4.09152903820757e-06	1.69130167275536e-05	2.94136948494608e-06	2.94136948494608e-06	1.69130167275536e-05	2.94136948494607e-06	2.94136948494608e-06	2.94136948494608e-06	2.94136948494608e-06	2.94136948494608e-06	2.94136948494608e-06	2.94136948494607e-06	4.09152903820756e-06	2.94136948494607e-06	2.94136948494608e-06	0.0251467145043872	2.94136948494608e-06	2.94136948494608e-06	2.94136948494608e-06	1.69130167275536e-05	2.94136948494608e-06	2.94136948494608e-06	2.94136948494608e-06	2.94136948494608e-06	1.27948046401037e-08	2.94136948494608e-06
"Prunus_padus"	0.00282188338068295	0.00112909263311982	1.32215106853089e-07	5.11792185604148e-07	1.00614913718638	2.52893537577165e-07	3.93472157994791e-06	7.58680612731497e-06	0.0335458660896529	7.56151677355727e-06	7.56151677355723e-06	7.56151677355726e-06	3.93207727781086e-06	7.56151677355725e-06	7.56151677355727e-06	7.56151677355726e-06	7.56151677355724e-06	7.56151677355727e-06	7.56151677355724e-06	7.56151677355728e-06	7.56151677355723e-06	7.56151677355725e-06	7.56151677355723e-06	7.56151677355728e-06	3.65502910502661e-06	7.56151677355727e-06	7.56151677355728e-06	7.56151677355726e-06	7.56151677355724e-06	7.56151677355726e-06	0.0335422238553524	3.64223430038651e-06	3.91928247317076e-06	3.91928247317075e-06	3.91928247317076e-06	3.91928247317075e-06	3.91928247317076e-06	2.64430213706179e-09	3.64223430038652e-06	3.91928247317076e-06	3.6422343003865e-06	3.91928247317074e-06	3.91928247317075e-06	3.91928247317075e-06	3.64223430038651e-06	3.91928247317076e-06	3.91928247317076e-06	3.91928247317074e-06	3.91928247317075e-06	3.91928247317077e-06	3.91928247317076e-06	3.6422343003865e-06	3.91928247317075e-06	3.91928247317076e-06	3.91928247317076e-06	3.91928247317076e-06	3.91928247317077e-06	3.91928247317076e-06	3.91928247317077e-06	3.91928247317077e-06	3.91928247317076e-06	3.91928247317076e-06	3.91928247317076e-06	3.91928247317076e-06	3.91928247317076e-06	3.91928247317077e-06	3.6422343003865e-06	3.6422343003865e-06	3.64223430038651e-06	2.64430213706178e-09	3.91928247317076e-06	3.91928247317077e-06	2.64430213706178e-09	3.91928247317076e-06	3.91928247317076e-06	3.91928247317077e-06	3.91928247317076e-06	3.91928247317077e-06	3.91928247317076e-06	3.91928247317076e-06	3.6422343003865e-06	3.91928247317076e-06	3.91928247317076e-06	1.27948046401037e-08	3.91928247317076e-06	3.91928247317076e-06	3.91928247317076e-06	2.64430213706178e-09	3.91928247317076e-06	3.91928247317076e-06	3.91928247317076e-06	3.91928247317076e-06	0.0335383045728792	3.91928247317076e-06
"Prunus_laurocerasus"	0.00338350267632225	0.00337064666392693	1.58803990329951e-07	9.40855989719551e-07	7.58680612731495e-07	1.00334500242017	4.72600675221936e-06	0.100350072605044	1.55976523810306e-05	1.55723630272729e-05	1.55723630272728e-05	1.55723630272728e-05	4.72283067241279e-06	1.55723630272728e-05	1.55723630272729e-05	1.55723630272728e-05	1.55723630272728e-05	1.55723630272728e-05	1.55723630272728e-05	1.55723630272729e-05	1.55723630272727e-05	1.55723630272728e-05	1.55723630272727e-05	1.55723630272729e-05	1.0896575154346e-05	1.55723630272728e-05	1.55723630272728e-05	1.55723630272728e-05	1.55723630272727e-05	1.55723630272728e-05	4.7245986264275e-06	1.08730537546031e-05	4.69930927266979e-06	4.69930927266978e-06	4.69930927266979e-06	4.69930927266978e-06	4.6993092726698e-06	3.17607980659905e-09	1.08730537546031e-05	4.69930927266979e-06	1.0873053754603e-05	4.69930927266977e-06	4.69930927266978e-06	4.69930927266978e-06	1.08730537546031e-05	4.69930927266979e-06	4.69930927266979e-06	4.69930927266977e-06	4.69930927266978e-06	4.69930927266981e-06	4.69930927266979e-06	1.0873053754603e-05	4.69930927266978e-06	4.69930927266979e-06	4.6993092726698e-06	4.69930927266979e-06	4.6993092726698e-06	4.69930927266979e-06	4.69930927266981e-06	4.6993092726698e-06	4.69930927266979e-06	4.69930927266979e-06	4.69930927266979e-06	4.6993092726698e-06	4.6993092726698e-06	4.6993092726698e-06	1.0873053754603e-05	1.0873053754603e-05	1.0873053754603e-05	3.17607980659904e-09	4.69930927266979e-06	4.6993092726698e-06	3.17607980659903e-09	4.69930927266979e-06	4.6993092726698e-06	4.6993092726698e-06	4.6993092726698e-06	4.6993092726698e-06	4.6993092726698e-06	4.69930927266979e-06	1.0873053754603e-05	4.69930927266979e-06	4.6993092726698e-06	2.35213997429888e-08	4.6993092726698e-06	4.6993092726698e-06	4.6993092726698e-06	3.17607980659903e-09	4.6993092726698e-06	4.6993092726698e-06	4.6993092726698e-06	4.6993092726698e-06	2.52893537577166e-08	4.6993092726698e-06
"Chloroclystis_rectangulata"	0.0337045189495973	9.01176476972079e-05	0.0336545291681761	0.0335554251874662	3.93472157994791e-06	1.57533558407313e-06	1.00155878804492	4.72600675221937e-05	4.72336913497848e-05	4.71025339637866e-05	4.71025339637862e-05	4.71025339637865e-05	0.000885697461561102	4.71025339637864e-05	4.71025339637866e-05	4.71025339637864e-05	4.71025339637863e-05	4.71025339637865e-05	4.71025339637863e-05	4.71025339637866e-05	4.71025339637862e-05	4.71025339637864e-05	4.71025339637862e-05	4.71025339637866e-05	0.000839176331776005	4.71025339637865e-05	4.71025339637866e-05	4.71025339637864e-05	4.71025339637863e-05	4.71025339637864e-05	4.69429892604388e-05	2.90702089345833e-07	4.68118318744406e-05	4.68118318744404e-05	4.68118318744405e-05	4.68118318744404e-05	4.68118318744406e-05	0.000673090583363528	2.90702089345833e-07	4.68118318744406e-05	2.90702089345832e-07	4.68118318744403e-05	4.68118318744404e-05	4.68118318744404e-05	2.90702089345832e-07	4.68118318744405e-05	4.68118318744405e-05	4.68118318744404e-05	4.68118318744404e-05	4.68118318744407e-05	4.68118318744405e-05	2.90702089345832e-07	4.68118318744404e-05	4.68118318744406e-05	4.68118318744406e-05	4.68118318744406e-05	4.68118318744406e-05	4.68118318744406e-05	4.68118318744407e-05	4.68118318744407e-05	4.68118318744406e-05	4.68118318744406e-05	4.68118318744405e-05	4.68118318744406e-05	4.68118318744406e-05	4.68118318744407e-05	2.90702089345832e-07	2.90702089345831e-07	2.90702089345832e-07	0.000673090583363526	4.68118318744406e-05	4.68118318744407e-05	0.000673090583363526	4.68118318744405e-05	4.68118318744406e-05	4.68118318744406e-05	4.68118318744406e-05	4.68118318744407e-05	4.68118318744406e-05	4.68118318744406e-05	2.90702089345832e-07	4.68118318744406e-05	4.68118318744406e-05	0.000838885629686659	4.68118318744406e-05	4.68118318744406e-05	4.68118318744406e-05	0.000673090583363526	4.68118318744406e-05	4.68118318744406e-05	4.68118318744406e-05	4.68118318744406e-05	1.31157385998264e-07	4.68118318744406e-05
"Diloba_caeruleocephala"	0.0338350267632225	0.0337064666392693	1.58803990329951e-06	9.40855989719551e-06	7.58680612731495e-06	0.0334500242016815	4.72600675221936e-05	1.00350072605044	0.000155976523810306	0.000155723630272729	0.000155723630272728	0.000155723630272728	4.72283067241278e-05	0.000155723630272728	0.000155723630272729	0.000155723630272728	0.000155723630272728	0.000155723630272728	0.000155723630272728	0.000155723630272729	0.000155723630272727	0.000155723630272728	0.000155723630272727	0.000155723630272729	0.00010896575154346	0.000155723630272728	0.000155723630272728	0.000155723630272728	0.000155723630272727	0.000155723630272728	4.7245986264275e-05	0.000108730537546031	4.69930927266979e-05	4.69930927266978e-05	4.69930927266979e-05	4.69930927266978e-05	4.6993092726698e-05	3.17607980659905e-08	0.000108730537546031	4.69930927266979e-05	0.00010873053754603	4.69930927266977e-05	4.69930927266978e-05	4.69930927266978e-05	0.00010873053754603	4.69930927266979e-05	4.69930927266979e-05	4.69930927266977e-05	4.69930927266978e-05	4.69930927266981e-05	4.69930927266979e-05	0.00010873053754603	4.69930927266978e-05	4.69930927266979e-05	4.6993092726698e-05	4.69930927266979e-05	4.6993092726698e-05	4.69930927266979e-05	4.69930927266981e-05	4.6993092726698e-05	4.69930927266979e-05	4.69930927266979e-05	4.69930927266979e-05	4.6993092726698e-05	4.6993092726698e-05	4.6993092726698e-05	0.00010873053754603	0.00010873053754603	0.00010873053754603	3.17607980659903e-08	4.69930927266979e-05	4.6993092726698e-05	3.17607980659903e-08	4.69930927266979e-05	4.6993092726698e-05	4.6993092726698e-05	4.6993092726698e-05	4.6993092726698e-05	4.6993092726698e-05	4.69930927266979e-05	0.00010873053754603	4.69930927266979e-05	4.6993092726698e-05	2.35213997429888e-07	4.6993092726698e-05	4.6993092726698e-05	4.6993092726698e-05	3.17607980659903e-08	4.6993092726698e-05	4.6993092726698e-05	4.6993092726698e-05	4.6993092726698e-05	2.52893537577166e-07	4.6993092726698e-05
"Lomographa_temerata"	0.0338163061200344	0.0336317481715759	1.58715360718362e-06	9.39425777039166e-06	0.0335458660896527	5.19921746034349e-06	4.72336913497846e-05	0.000155976523810306	1.00127365213839	0.000155456602064271	0.00015545660206427	0.000155456602064271	4.72019482776411e-05	0.000155456602064271	0.000155456602064271	0.000155456602064271	0.000155456602064271	0.000155456602064271	0.000155456602064271	0.000155456602064272	0.00015545660206427	0.000155456602064271	0.00015545660206427	0.000155456602064272	0.00010872436667515	0.000155456602064271	0.000155456602064272	0.000155456602064271	0.000155456602064271	0.000155456602064271	0.00116516262815514	0.00010848951023089	4.69670918333812e-05	4.6967091833381e-05	4.69670918333811e-05	4.6967091833381e-05	4.69670918333812e-05	3.17430721436726e-08	0.00010848951023089	4.69670918333812e-05	0.00010848951023089	4.6967091833381e-05	4.69670918333811e-05	4.6967091833381e-05	0.00010848951023089	4.69670918333811e-05	4.69670918333811e-05	4.6967091833381e-05	4.6967091833381e-05	4.69670918333814e-05	4.69670918333811e-05	0.00010848951023089	4.6967091833381e-05	4.69670918333812e-05	4.69670918333812e-05	4.69670918333812e-05	4.69670918333812e-05	4.69670918333812e-05	4.69670918333813e-05	4.69670918333813e-05	4.69670918333811e-05	4.69670918333812e-05	4.69670918333811e-05	4.69670918333812e-05	4.69670918333811e-05	4.69670918333812e-05	0.00010848951023089	0.00010848951023089	0.00010848951023089	3.17430721436726e-08	4.69670918333811e-05	4.69670918333812e-05	3.17430721436726e-08	4.69670918333811e-05	4.69670918333812e-05	4.69670918333812e-05	4.69670918333812e-05	4.69670918333812e-05	4.69670918333812e-05	4.69670918333811e-05	0.00010848951023089	4.69670918333811e-05	4.69670918333811e-05	2.34856444259792e-07	4.69670918333811e-05	4.69670918333811e-05	4.69670918333811e-05	3.17430721436726e-08	4.69670918333811e-05	4.69670918333811e-05	4.69670918333811e-05	4.69670918333811e-05	0.00111819553632176	4.69670918333811e-05
"Abraxas_grossulariata"	0.0505833650110175	0.0503911676257077	2.37411965543278e-06	1.40657970463073e-05	1.13422751603359e-05	7.78618151363643e-06	7.06538009456797e-05	0.000233585445409092	0.000233184903096406	1.00023280682726	0.000232806827257728	0.000232806827257729	7.06063185525711e-05	0.000232806827257729	0.000232806827257729	0.000232806827257729	0.000232806827257728	0.000232806827257729	0.000232806827257728	0.00023280682725773	0.000232806827257728	0.000232806827257728	0.000232806827257727	0.00023280682725773	0.000162903798557473	0.000232806827257729	0.000232806827257729	0.000232806827257729	0.000232806827257728	0.000232806827257728	7.06327494650911e-05	0.000162552153631316	7.02546736264135e-05	7.02546736264132e-05	7.02546736264134e-05	7.02546736264132e-05	7.02546736264135e-05	4.74823931086558e-08	0.000162552153631316	7.02546736264135e-05	0.000162552153631315	7.02546736264131e-05	7.02546736264133e-05	7.02546736264133e-05	0.000162552153631316	7.02546736264134e-05	7.02546736264134e-05	7.02546736264132e-05	7.02546736264133e-05	7.02546736264137e-05	7.02546736264134e-05	0.000162552153631316	7.02546736264133e-05	7.02546736264135e-05	7.02546736264136e-05	7.02546736264135e-05	7.02546736264136e-05	7.02546736264135e-05	7.02546736264137e-05	7.02546736264137e-05	7.02546736264135e-05	7.02546736264135e-05	7.02546736264134e-05	7.02546736264136e-05	7.02546736264135e-05	7.02546736264137e-05	0.000162552153631315	0.000162552153631315	0.000162552153631315	4.74823931086557e-08	7.02546736264135e-05	7.02546736264137e-05	4.74823931086557e-08	7.02546736264134e-05	7.02546736264136e-05	7.02546736264136e-05	7.02546736264136e-05	7.02546736264137e-05	7.02546736264136e-05	7.02546736264135e-05	0.000162552153631315	7.02546736264135e-05	7.02546736264136e-05	3.51644926157683e-07	7.02546736264136e-05	7.02546736264136e-05	7.02546736264136e-05	4.74823931086557e-08	7.02546736264136e-05	7.02546736264136e-05	7.02546736264136e-05	7.02546736264136e-05	3.78075838677862e-07	7.02546736264136e-05
