"Gastonia_mauritiana"	"Pemphis_acidula"	"Stachytapheta_jamaicensis"	"Turnera_angustifolia"	"Scaevola_sericea"	"Thespesia_populnea"	"Tourneortia_argentea"	"Leucaena_leucocephala"	"Morinda_citrifolia"	"Dracaena_concinna"	"Hibiscus_tiliaceus"	"Passiflora_suberosa"	"Suriana_maritima"	"Ipomoea_macrantha"	"Apis_mellifera"	"Phelsuma_ornata"	"Unidentified_sp1_M_PL_011"	"Leptotes_pirithous"	"Syrphid_sp1_M_PL_011"	"Unidentified_sp2_M_PL_011"	"Unidentified_sp3_M_PL_011"	"Xylocopa_fenestrata"	"Phalantha_phalantha"	"Unidentified_sp4_M_PL_011"	"Lucilia_sp1_M_PL_011"	"Ornidia_obesa"	"Protaetia_aurichalcea"
"Gastonia_mauritiana"	1.00509344999827	0.000696939139241319	0.000571550365562794	0.00031859481704257	0.000234155015797151	0.000443714540677761	0.000863043203499528	0.000442814854034966	0.000484803435990144	0.000127993853665892	0.000232530939506343	0.000232530939506343	0.000253101858639392	0.000105787139580345	0.0126944567496414	0.0126743799925998	0.0126170348717173	0.01261362482419	3.75016121968294e-05	2.48808646677498e-05	2.6990599283842e-05	2.38414240564688e-05	2.11414917467352e-05	0.0125852442050658	0.0125636681249783	0.0125636681249783	0.0125636681249783
"Pemphis_acidula"	0.000929252185655092	1.00231961792241	0.00159644052908381	0.000982942084134805	0.000869364681437148	0.000591193605795299	0.000311598220162828	0.000589158738329333	0.000644836755129577	0.000169847575086706	0.000309198283891263	0.000309198283891263	0.000337580871314459	0.000140780364684884	0.0168936437621861	0.0168417919206379	0.0167976272662842	0.0167819235619157	4.28896764098028e-05	5.82720022843477e-05	6.10460239789754e-05	0.0167467199240922	0.016731934307525	1.94056078247593e-05	1.16156523206886e-05	1.16156523206886e-05	1.16156523206886e-05
"Stachytapheta_jamaicensis"	0.000762067154083726	0.00159644052908381	1.00271035066454	0.000982233577242899	0.000145137141579037	0.000980774060928102	0.000702070882675558	0.000422240620901089	0.000477752003852078	0.000560120421221347	0.000142137103071902	0.000142137103071902	0.000336952257879453	0.000140596580879565	0.0168715897055478	0.000154052219233707	0.0168062110697512	0.0167807450390088	0.0167573969708703	4.01207129783066e-05	0.0167560032008104	4.98804422357307e-05	0.0167384465198937	2.70776114929355e-05	9.52583942604657e-06	9.52583942604657e-06	9.52583942604657e-06
"Turnera_angustifolia"	0.000509751707268112	0.00117953050096177	0.00117868029269148	1.00251519470948	0.00151088452215043	0.00117558510248848	0.000171237236770084	0.000505607162711919	0.000171603788612673	2.17260191998129e-06	0.000169903454321741	0.000169903454321741	0.000672423573822083	0.000168531993487097	0.0202238392184517	0.000137146083464432	0.0201422225034107	8.50167145465987e-05	2.40342325601091e-05	0.0201216971859345	0.0200993381932967	0.0201077348489261	3.93035132275541e-05	1.06528272601035e-05	6.3718963408514e-06	6.3718963408514e-06	6.3718963408514e-06
"Scaevola_sericea"	0.000468310031594301	0.00130404702215572	0.000217705712368555	0.00188860565268804	1.0021371766947	0.000465675860609202	0.000464108195488382	0.00046390777933892	0.00046407947290865	0.000252869844519056	0.000462306212285854	0.000462306212285854	0.000839545888117029	0.000210365521955219	0.0252438626346263	0.0251940690330635	9.60940231839548e-05	8.86630311398065e-05	2.78746256526383e-05	0.025133178824827	5.30424381084667e-05	0.0251129356474571	2.53625455754046e-05	1.74565802821383e-05	5.85387539492877e-06	5.85387539492877e-06	5.85387539492877e-06
"Thespesia_populnea"	0.000887429081355521	0.000886790408692949	0.00147116109139215	0.0014694813781106	0.000465675860609202	1.00171820750085	0.000465207057965526	0.000881645361962002	0.000463762986152125	0.000253586333690732	0.000462443277811993	0.000462443277811993	2.69191232992988e-06	0.00021048457227649	0.0252581486731788	0.0251958705535503	0.0251521250490005	6.59854170065963e-05	4.88288446568773e-05	4.11661196939385e-05	0.0250968641666066	5.58113642223245e-05	3.9299191668085e-05	2.27230399660822e-05	1.1092863516944e-05	1.1092863516944e-05	1.1092863516944e-05
"Tourneortia_argentea"	0.00172608640699906	0.000467397330244242	0.00105310632401334	0.000214046545962604	0.000464108195488382	0.000465207057965526	1.00255492385047	0.000464091628651017	0.000464036146888979	0.00109034679637824	0.000462786651384653	0.000462786651384653	1.78191989770421e-06	0.000210304595278001	0.0252365514333602	0.0252482056106651	7.8298635981872e-05	6.2474775216299e-05	0.0251359422081476	1.59727318013469e-05	3.34628794352792e-05	2.36735913105324e-05	2.53417275709597e-05	0.0250854491763493	2.15760800874882e-05	2.15760800874882e-05	2.15760800874882e-05
"Leucaena_leucocephala"	0.00118083961075991	0.00117831747665867	0.000844481241802177	0.000842678604519865	0.000618543705785226	0.00117552714928267	0.000618788838201356	1.00117351660134	0.000617113849559926	0.00033720857896894	0.000615730499487984	0.000615730499487984	2.46469672431598e-06	0.000280068748427939	0.0336082498113527	0.0335661751060045	0.0334671661113094	6.91675035970595e-05	4.64048372668506e-05	3.24403995712438e-05	6.03164381858337e-05	5.19557893460058e-05	3.37133119743474e-05	3.02302160895328e-05	1.47604951344989e-05	1.47604951344989e-05	1.47604951344989e-05
"Morinda_citrifolia"	0.00129280916264038	0.00128967351025915	0.000955504007704156	0.000286006314354456	0.000618772630544866	0.000618350648202833	0.000618714862518638	0.000617113849559926	1.00128479091074	0.000337200364953117	0.000615525031326983	0.000615525031326983	0.00067109067861514	0.000279933098260722	0.0335919717912867	0.0335591933066261	9.53290939765508e-05	0.0334632939707879	4.82529566056911e-05	5.47439759814678e-05	3.71039592872292e-05	4.268400055503e-05	3.74196252993885e-05	3.16279860959707e-05	1.61601145330048e-05	1.61601145330048e-05	1.61601145330048e-05
"Dracaena_concinna"	0.000511975414663569	0.000509542725260117	0.00168036126366404	5.43150479995322e-06	0.000505739689038112	0.000507172667381464	0.00218069359275648	0.000505812868453411	0.000505800547429676	1.00217592107145	0.000504603760649616	0.000504603760649616	1.62456513267927e-06	1.72666967960936e-06	0.000207200361553123	0.0502877090970007	7.25464682276799e-05	5.9839339002987e-05	0.0501913194144526	1.28333505785858e-05	4.0793967841603e-05	2.12445010762872e-05	3.64983998154026e-05	6.09170325022066e-05	6.39969268329462e-06	6.39969268329462e-06	6.39969268329462e-06
