"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Allomerus_septemarticulatus"	"Pheidole_sp2"
"Cordia_nodosa"	1.01010101010101	0	0	0	0	0.0505050505050505	0	0	0	0	0.0505050505050505
"Hirtella_myrmecophila"	0	1.00756942862206	0	0	0.0025315814789499	0	0.050631629578998	0	0	0.050378471431103	0
"Maieta_guianensis"	0	0	1.01010101010101	0	0	0	0	0.101010101010101	0	0	0
"Myrcia_madida"	0	0	0	1.01010101010101	0	0	0	0	0.101010101010101	0	0
"Hirtella_physophora"	0	0.0050631629578998	0	0	1.00503784714311	0	0.100756942862206	0	0	0.00025315814789499	0
"Azteca_r.am.1"	0.101010101010101	0	0	0	0	1.0050505050505	0	0	0	0	0.00505050505050505
"Allomerus_octoarticulatus"	0	0.050631629578998	0	0	0.050378471431103	0	1.00756942862206	0	0	0.0025315814789499	0
"Pheidole_minutula"	0	0	0.101010101010101	0	0	0	0	1.01010101010101	0	0	0
"Myrcidris_sp."	0	0	0	0.101010101010101	0	0	0	0	1.01010101010101	0	0
"Allomerus_septemarticulatus"	0	0.100756942862206	0	0	0.00025315814789499	0	0.0050631629578998	0	0	1.00503784714311	0
"Pheidole_sp2"	0.101010101010101	0	0	0	0	0.00505050505050505	0	0	0	0	1.0050505050505
