"Humiria_balsamifera"	"Poecilandra_retusa"	"Bonnetia_sessilis"	"Brocchinia_acuminata"	"Clusia_pusilla"	"Ilex_retusa"	"Phthirusa_adunca"	"Stegolepsis_angustata"	"Calea_lucidivenia"	"Tibouchina_fraterna"	"Clusia_grandiflora"	"Cybianthus_quelchii"	"Digomphia_laurifolia"	"Vaccinium_puberulum"	"Vismia_lauriformis"	"Borreria_capitata"	"Heliamphora_heterodoxa"	"Macairea_pachyphylla"	"Marcetia_taxifolia"	"Siphanthera_cordifolia"	"Vaccinium_euryanthum"	"Vernonia_bolivariensis"	"Befaria_glauca"	"Chromolanea_sp1_M_PL_031"	"Cyrilla_racemiflora"	"Declieuxia_fruticosa"	"Epidendrum_ibaguense"	"Eriopsis_biloba"	"Galactophora_schomburgkiana"	"Mandevilla_benthamii"	"Meriana_sclerophylla"	"Miconia_ciliata"	"Mikania_psilotachya"	"Pagameopsis_garryoides"	"Philodendron_ptarianum"	"Remijia_densiflora"	"Sipanea_galioides"	"Ternstroemia_crassifolia"	"Xyris_setigera"	"Catasetum_discolor"	"Epistephium_duckei"	"Irlbachia_nemorosa"	"Macairea_parvifolia"	"Notopora_schomburgkii"	"Pogonia_stricta"	"Sauvagesia_angustifolia"	"Sobralia_liliastrum"	"Tococa_nitens"	"Apis_mellifera"	"Melipona_scutellaris"	"Xylocopa_sp1_M_PL_031"	"Bombus_volucelloides"	"Euglossa_sp1_M_PL_031"	"Bombus_pullatus"	"Politmus_milleri"	"Bombus_atratus"	"Augochloropsis_sp1_M_PL_031"	"Cerciris_sp1_M_PL_031"	"Polybia_scrobalis"	"Calicopis_sp1_M_PL_031"	"Ceratina_sp1_M_PL_031"	"Augochlora_sp1_M_PL_031"	"Campsomeris_sp1_M_PL_031"	"Copestylum_sp1_M_PL_031"	"Dialictus_sp1_M_PL_031"	"Exomalopsis_sp1_M_PL_031"	"Polistes_lanio"	"Sphex_ichneumoneus"	"Eulaema_meriana"	"Pachodynerus_nasidens"	"Panoquina_bola"	"Polybia_occidentalis"	"Psedagochloropsis_sp1_M_PL_031"	"Sphex_sp1_M_PL_031"	"Augochloropsis_sp2_M_PL_031"	"Augochloropsis_sp3_M_PL_031"	"Brachygastra_lecheguana"	"Coereba_flaveola"	"Cyclocephala_sp1_M_PL_031"	"Cyclocephala_sp2_M_PL_031"	"Cylindromia_sp1_M_PL_031"	"Dialictus_sp2_M_PL_031"	"Eristalis_sp1_M_PL_031"	"Hylaeus_sp1_M_PL_031"	"Melipona_compresipes"	"Montezumia_azurescens"	"Oxybelus_sp1_M_PL_031"	"Pepsis_sp1_M_PL_031"	"Pereirapsis_sp1_M_PL_031"	"Polistes_vibex"	"Pyrrhogige_sp1_M_PL_031"	"Sarcodexia_innota"	"Sticia_sp1_M_PL_031"	"Tachites_sp1_M_PL_031"	"Vehilius_inca"	"Volucella_sp1_M_PL_031"	"Zonotrichia_capensis"
"Humiria_balsamifera"	1.00394052675067	0.00014676116399696	0.000146682553294657	0.000948966211659527	0.000146682553294657	0.000185599772283344	0.0015665883758765	0.000146604015974052	0.00030706594621434	9.23159017330871e-05	0.000146042684658407	0.000674488863186939	0.000146042684658407	5.46980140413081e-05	5.48804798385229e-05	0.000230321470339443	5.4498548499034e-05	5.47432786389267e-05	0.000184611636669528	5.42600511024347e-05	1.96553992770314e-07	5.44872509698271e-05	3.87541931968892e-07	3.45930961443848e-07	1.33573063895893e-07	0.000183969656192376	2.58600012553539e-07	6.35159675933014e-08	9.18918015020873e-05	1.69292012175309e-07	0.000229520908137786	0	3.4884324464274e-07	5.43629269141111e-05	0	6.4973014364617e-07	2.83994554481227e-07	5.43301029469196e-05	5.43301029469196e-05	1.59587858274627e-10	1.9229829915038e-07	4.54486510827658e-07	6.33563797350267e-08	1.95243632818512e-07	1.95243632818512e-07	1.57148022907601e-07	9.15775264408592e-05	6.33563797350267e-08	0.00918269074056756	4.08557579596415e-05	0.00915775264408592	1.73068469235342e-05	5.06851037880214e-06	1.17911886480103e-05	1.36670542972958e-05	1.5421921962359e-05	7.85740114538006e-06	0.00917782402501843	0.00918568449827936	1.13029832683528e-05	0.00916826532306234	1.36345953248298e-05	0.00915422966108104	9.13664143960518e-06	1.04129708525858e-05	1.23952707602127e-05	0.00916597411689048	0.00916266855547737	3.19175716549253e-09	2.65810397152827e-06	3.9288576353056e-06	1.62080854848981e-05	3.9288576353056e-06	0.00914028872153628	0	0	6.15372122231759e-06	6.55179975901046e-09	0	0	2.65142531833348e-06	1.80866837008116e-06	5.117765770239e-06	2.65142531833348e-06	5.117765770239e-06	6.67865319479466e-09	1.7442162232137e-08	2.65142531833348e-06	7.6773823446481e-06	8.46460060876547e-09	1.37201199596307e-06	1.68622215796735e-05	0.00912673206136971	0.00912673206136971	1.41997277240614e-08	1.35566601665647e-05	6.55179975901046e-09
"Poecilandra_retusa"	0.00020179660049582	1.00223916419455	0.000984115791403152	3.49562797877791e-07	0.000984115791403152	1.22585007636195e-07	7.49191572789031e-05	0.00198732045024301	7.5310166647618e-07	0.000447800757628902	0.000551525141027412	2.14325970285031e-07	0.000551525141027412	7.52577420763724e-05	7.53621720200347e-05	1.98978100097443e-07	0.00025518442127519	7.51737665899846e-05	5.91130637194656e-08	7.48544841688948e-05	1.01757591957873e-07	0.000326870840829367	0.000140568911871147	1.68027819151177e-07	8.82223876474958e-11	2.05113137486067e-07	2.68533218275825e-07	1.67875808778857e-07	0.000127008146197729	0.000181062637947511	6.63195821510377e-07	0	1.25326959064432e-07	7.456221553567e-05	0	1.01415814867634e-07	5.7669234858224e-10	7.50270965174166e-05	7.50270965174166e-05	4.21798514519742e-10	0.000140467832663135	3.36606856146446e-10	1.67454010264338e-07	1.01079208011488e-07	1.01079208011488e-07	0.000251843744311951	0.000126418564891713	1.67454010264338e-07	0.0126543775859382	7.66455697820412e-05	0.0126418564891713	0.0126421049396822	1.3396320821147e-05	0.0126110127330442	7.07554456080413e-06	0.0126120736956697	0.0125921872155975	2.92215324590113e-06	2.91711056434474e-06	2.29523554735731e-08	2.944580619787e-06	1.00982056843934e-08	2.91733991981617e-06	1.89574646074538e-06	3.7410097280733e-06	4.40010217704132e-06	2.91014637463202e-06	2.9097819796303e-06	8.43597029039485e-09	1.75562551418517e-09	0.0125563798445783	6.74496865019981e-09	0.0125563798445783	1.83950830421739e-06	0	0	1.97043545731552e-09	3.39191973192912e-09	0	0	1.75121439480279e-09	2.4951494722965e-06	1.25516944412697e-08	1.75121439480279e-09	1.25516944412697e-08	4.41111938237479e-12	6.26634795322161e-09	1.75121439480279e-09	6.63260333658144e-09	9.05313189737556e-06	1.88405430050087e-06	5.35814925712577e-09	1.834514549962e-06	1.834514549962e-06	2.8834617429112e-11	4.99375425539702e-09	3.39191973192912e-09
"Bonnetia_sessilis"	0.000230501155177318	0.0011247037616036	1.00123301744626	3.99422076432002e-07	0.00123301744626432	2.94943015722423e-07	8.57759641364526e-05	0.000837106164431466	0.000111733628406149	0.000621007777936438	0.000629031751981714	2.45315499288468e-07	0.000629031751981714	0.000196420184743125	0.000196815730513798	3.66060417999993e-07	0.000401413457485791	0.000196323691187513	1.14196003382104e-07	8.55640698229464e-05	1.16072111011824e-07	0.000483538387859367	0.00016028044376374	3.00581603309416e-07	2.12265574467379e-10	4.49974120851968e-07	3.68794178488193e-07	2.54134410218673e-07	0.000255116469789527	0.000206505192762372	0.000111137678359291	0	1.43308712790627e-07	8.51679525445468e-05	0	1.15682583186661e-07	4.73223334267678e-08	0.000195940790687231	0.000195940790687231	6.38528668891138e-10	0.000160165145466802	3.84286248249075e-10	2.53495881549782e-07	1.15298296938412e-07	1.15298296938412e-07	0.000287597597172136	0.000144201039477616	2.53495881549782e-07	0.0144543112638044	0.0144190059405484	0.0144201039477616	0.0144148630920122	2.02796705239825e-05	0.0143830866758992	8.0708807856888e-06	0.0143784123997186	0.0143798798586068	3.35368102847956e-06	3.33648141389317e-06	1.88342887038536e-06	8.88992189519944e-06	1.15285874474722e-08	5.18306310340405e-06	6.77694523033378e-06	4.2777650768002e-06	1.14870150084713e-05	3.32696885078378e-06	3.32654199296489e-06	1.27705733778228e-08	4.22408493190085e-09	2.60174565119231e-05	9.91950131649178e-09	2.60174565119231e-05	2.10117107672985e-06	0	0	3.80653344607014e-09	3.86907036706079e-09	0	0	4.21347165317748e-09	2.85213566076488e-06	1.86222714010248e-06	4.21347165317748e-09	1.86222714010248e-06	1.0613278723369e-11	7.16543563953133e-09	4.21347165317748e-09	1.22020139333331e-08	1.03252596381186e-05	4.92039326284494e-06	6.13288748221171e-09	2.09546504706653e-06	2.09546504706653e-06	2.36611667133839e-09	5.70602966331431e-09	3.86907036706079e-09
"Brocchinia_acuminata"	0.00149123261832211	3.99500340431762e-07	3.99422076432002e-07	1.00432498001325	3.99422076432002e-07	0.000722695178990248	0.000770332199566879	3.99073686585937e-07	1.41282137723211e-06	3.83337845275412e-07	3.97508705452648e-07	0.000290409591777141	3.97508705452648e-07	6.21693943283093e-07	1.48166953276561e-07	6.18313821778903e-07	1.46595246334061e-07	1.47796535893369e-07	0.000288984544165096	2.76179785400303e-07	0.000207824685783336	1.46526399738688e-07	0.000206554620359497	3.72329442468418e-07	5.20111679733896e-07	8.45459499736429e-07	0.000206569338535028	1.3047849232295e-07	1.37259206535345e-07	4.97990393163543e-10	6.16312015095924e-07	0	9.36660605742474e-10	1.46040506503246e-07	0	0.000687438238928999	2.4339576437519e-07	1.46099745892863e-07	1.46099745892863e-07	3.27835407846608e-10	1.15432481383766e-07	0.000480999051050885	1.30150656915103e-07	0.000206439187878113	0.000206439187878113	4.26653845824621e-10	1.36267989843014e-07	1.30150656915103e-07	2.46684499640904e-05	1.2885817000305e-07	1.36267989843014e-05	1.03889233245389e-05	1.04120525532083e-05	3.46850308838408e-08	0.0144507431514679	4.19823015201714e-08	2.1332692291231e-08	4.21881354867961e-05	0.014388954178283	9.68715142213258e-06	2.46128319361437e-05	0.0144299715315266	2.45849528976168e-05	1.03633062142538e-05	2.79593190814128e-08	5.09037000151811e-08	3.18216456690915e-05	0.0143720611203497	6.55670815693216e-09	1.03502224267045e-05	1.06948069209104e-08	0.0143578239313177	1.06948069209104e-08	0.0143610563746416	0	0	9.63281813883653e-06	6.92748952611119e-06	0	0	1.03242168427178e-05	9.20599284667677e-09	2.35470229538684e-08	1.03242168427178e-05	2.35470229538684e-08	2.60055839866948e-08	4.68330302871237e-11	1.03242168427178e-05	2.06104607259634e-08	2.48995196581772e-11	3.70417383191401e-09	7.26023979442852e-06	1.35566601665647e-05	1.35566601665647e-05	1.21697882187595e-08	0.014347499714475	6.92748952611119e-06
"Clusia_pusilla"	0.000230501155177318	0.0011247037616036	0.00123301744626432	3.99422076432002e-07	1.00123301744626	2.94943015722423e-07	8.57759641364526e-05	0.000837106164431466	0.000111733628406149	0.000621007777936438	0.000629031751981714	2.45315499288468e-07	0.000629031751981714	0.000196420184743125	0.000196815730513798	3.66060417999993e-07	0.000401413457485791	0.000196323691187513	1.14196003382104e-07	8.55640698229464e-05	1.16072111011824e-07	0.000483538387859367	0.00016028044376374	3.00581603309416e-07	2.12265574467379e-10	4.49974120851968e-07	3.68794178488193e-07	2.54134410218673e-07	0.000255116469789527	0.000206505192762372	0.000111137678359291	0	1.43308712790627e-07	8.51679525445468e-05	0	1.15682583186661e-07	4.73223334267678e-08	0.000195940790687231	0.000195940790687231	6.38528668891138e-10	0.000160165145466802	3.84286248249075e-10	2.53495881549782e-07	1.15298296938412e-07	1.15298296938412e-07	0.000287597597172136	0.000144201039477616	2.53495881549782e-07	0.0144543112638044	0.0144190059405484	0.0144201039477616	0.0144148630920122	2.02796705239825e-05	0.0143830866758992	8.0708807856888e-06	0.0143784123997186	0.0143798798586068	3.35368102847956e-06	3.33648141389317e-06	1.88342887038536e-06	8.88992189519944e-06	1.15285874474722e-08	5.18306310340405e-06	6.77694523033378e-06	4.2777650768002e-06	1.14870150084713e-05	3.32696885078378e-06	3.32654199296489e-06	1.27705733778228e-08	4.22408493190085e-09	2.60174565119231e-05	9.91950131649178e-09	2.60174565119231e-05	2.10117107672985e-06	0	0	3.80653344607014e-09	3.86907036706079e-09	0	0	4.21347165317748e-09	2.85213566076488e-06	1.86222714010248e-06	4.21347165317748e-09	1.86222714010248e-06	1.0613278723369e-11	7.16543563953133e-09	4.21347165317748e-09	1.22020139333331e-08	1.03252596381186e-05	4.92039326284494e-06	6.13288748221171e-09	2.09546504706653e-06	2.09546504706653e-06	2.36611667133839e-09	5.70602966331431e-09	3.86907036706079e-09
"Ilex_retusa"	0.000291656785016683	1.40097151584223e-07	2.94943015722423e-07	0.000722695178990249	2.94943015722423e-07	1.00652199319056	0.00029045082761938	1.39714845539484e-07	0.000482424810790047	3.34071289564191e-07	1.38943347960088e-07	0.000289827928800198	1.38943347960088e-07	0.000480382298512453	7.50970302161862e-07	1.71517407037368e-07	2.6698189539904e-07	7.49092876406457e-07	6.92465986418835e-07	2.63436456294778e-07	1.49656569417334e-07	2.66967417940349e-07	1.49028760125426e-07	3.5347716519599e-07	0.000724377109169167	0.00028862977830449	2.99852660046903e-07	1.51574641901148e-07	1.82110803797535e-07	3.98777390382078e-10	3.25788816801528e-07	0	3.79340462191673e-10	1.11741977441325e-07	0	4.94777779747368e-07	2.03299863420743e-07	2.6658511189561e-07	2.6658511189561e-07	3.80840808796855e-10	3.69901170873938e-10	3.46118920792816e-07	1.51193801092351e-07	1.48658858954552e-07	1.48658858954552e-07	3.82306044739533e-10	2.68902255833699e-08	1.51193801092351e-07	1.89319707258455e-05	2.01786751678415e-05	2.68902255833699e-06	3.32911053786544e-08	1.20955040873881e-05	2.77748452401118e-08	1.04061201268186e-05	1.91212514640119e-08	1.91153022369767e-08	0.0144073635269989	2.43937201180233e-05	8.09133456414557e-06	6.82272954349451e-06	1.03835676237845e-05	1.48411363689206e-05	0.0143989355879839	1.13233127964214e-08	1.44752329353254e-05	1.40464210757582e-05	1.7124939698471e-05	7.61681617593709e-09	0.0144151044724664	3.74714075965256e-09	0.0143892098338507	3.74714075965256e-09	1.29756421610513e-05	0	0	2.30821995472945e-08	4.98855231391114e-09	0	0	0.014378885617008	8.78121520982594e-09	8.04041351316744e-06	0.014378885617008	8.04041351316744e-06	3.62188554584583e-05	1.89670231095837e-11	0.014378885617008	5.7172469012456e-09	1.99388695191039e-11	1.87742575540465e-08	7.24569822000496e-06	2.65142531833348e-06	2.65142531833348e-06	1.01649931710372e-08	1.03242168427178e-05	4.98855231391114e-09
"Phthirusa_adunca"	0.00246178173352022	8.56218940330321e-05	8.57759641364526e-05	0.000770332199566879	8.57759641364526e-05	0.00029045082761938	1.0024553218798	8.54944840960151e-05	0.000481280230992969	9.69990839146018e-07	8.51567026464491e-05	0.00105719796800322	8.51567026464491e-05	8.55147587365568e-05	8.58367433251212e-05	0.000361077384982166	8.50834196456962e-05	8.56221514668084e-05	0.000289211675057272	8.49377018381403e-05	1.59522693228243e-07	8.51022104779685e-05	2.58932477279164e-07	5.0573960132109e-07	2.09032621532479e-07	0.000288410749540342	2.21467281243569e-07	6.3166783147268e-08	6.97890393092077e-07	1.09164929391609e-07	0.00035971302521332	0	5.4673460684782e-07	8.51355690265233e-05	0	5.27392832343023e-07	4.44956310235419e-07	8.49748005409516e-05	8.49748005409516e-05	1.58710510420271e-10	1.00473268672442e-07	3.68933623736302e-07	6.30080726368477e-08	1.58459208606722e-07	1.58459208606722e-07	1.27409937017006e-07	3.14657944850211e-07	6.30080726368477e-08	0.0143805665757607	4.98202182714427e-05	3.14657944850211e-05	9.04259418051977e-06	5.04064581094782e-06	7.60333733212557e-06	1.10921446024705e-05	9.00020041300565e-06	6.3704968508503e-06	0.0143881699307242	0.0143902452305865	1.77092611473697e-05	0.0143731917106031	1.10680087120891e-05	0.0143511914836929	1.43085036890498e-05	1.63200280144074e-05	1.94205277757054e-05	0.0143696000957098	0.0143541748922178	3.17421020840543e-09	4.15974916849634e-06	2.29162344821312e-06	1.5154043245518e-05	2.29162344821312e-06	3.33845796491912e-05	0	0	9.64038916857572e-06	5.31742310760811e-09	0	0	4.14929753741971e-06	2.83125672793801e-06	8.02133718321616e-06	4.14929753741971e-06	8.02133718321616e-06	1.0451631076624e-08	2.7336730342391e-08	4.14929753741971e-06	1.20359128327389e-05	5.45824646958045e-09	2.14591858312803e-06	2.64299492000804e-05	2.23798339410929e-05	2.23798339410929e-05	2.2247815511771e-08	1.10047457080983e-05	5.31742310760811e-09
"Stegolepsis_angustata"	0.000230377739387796	0.0022712233717063	0.000837106164431466	3.99073686585937e-07	0.000837106164431466	1.39714845539484e-07	8.54944840960151e-05	1.00227011728242	7.22125255347934e-07	0.000511213898085982	0.000629739211356015	2.44643633390887e-07	0.000629739211356015	8.5744253965204e-05	8.58629977933832e-05	2.26915560008839e-07	0.000291205821875469	8.56483402988998e-05	6.74173075056086e-08	8.54207934865406e-05	1.1619857744654e-07	8.65873225661791e-05	0.000160517974320505	1.91696863598604e-07	1.00550446591928e-10	2.33816930035783e-07	3.06523345619464e-07	1.91580784109945e-07	0.000144895659668217	0.000206758380494641	6.20131782886825e-07	0	1.4301768073025e-07	8.50872606752228e-05	0	1.15808250202548e-07	6.00440444928706e-10	8.54812332833009e-05	8.54812332833009e-05	4.81358754045088e-10	0.000160402550400241	3.84329938984642e-10	1.910994253559e-07	1.15423920263564e-07	1.15423920263564e-07	1.10608928287824e-06	0.000144359384467812	1.910994253559e-07	0.0144406428740924	6.97157760525998e-05	0.0144359384467812	0.0144362295360217	1.5287954028472e-05	0.0144007212014518	8.07967441844944e-06	0.0144019391043039	5.5304464143912e-05	3.33549572184523e-06	3.32975724522762e-06	2.38975297081625e-08	3.35426329928845e-06	1.15298981695393e-08	3.32772827906628e-06	2.15763769641742e-06	4.26907776979795e-06	5.01321046796636e-06	3.32180894897859e-06	3.32139391080933e-06	9.62717508090177e-09	2.00095388717937e-09	0.0143465348247524	7.69697903036315e-09	0.0143465348247524	2.10004413800911e-06	0	0	2.24724358352029e-09	3.87328591488468e-09	0	0	1.99592636484977e-09	2.84735978288469e-06	1.20354209224656e-08	1.99592636484977e-09	1.20354209224656e-08	5.02752232959639e-12	7.15088403651248e-09	1.99592636484977e-09	7.56385200029464e-09	1.03379190247321e-05	2.14657494483458e-06	6.11609083477218e-09	2.0943430853436e-06	2.0943430853436e-06	3.00220222464353e-11	5.70105266551338e-09	3.87328591488468e-09
"Calea_lucidivenia"	0.000562954234726289	1.00413555530157e-06	0.000130355899807174	1.64829160677079e-06	0.000130355899807174	0.000562828945921721	0.000561493602825131	8.4247946457259e-07	1.00501754211982	0.000130271309879218	6.87285348241147e-07	1.41302577992294e-06	6.87285348241147e-07	0.000689426179498237	0.00013030724570931	4.94017436485626e-07	0.000129880067895967	0.000129981477595036	0.000422115179750481	8.89306333796069e-07	7.63581593873599e-10	0.000129888988581901	7.1864443026738e-08	0.000420675991970648	4.05058615272919e-07	6.79121067153733e-07	5.13990942636274e-07	5.14525228542496e-07	0.000129534236070859	1.5350291939203e-07	0.000129845418992182	0	1.18058585292696e-09	3.74284210687385e-07	0	1.548606544265e-09	0.000422274130169911	0.000129727332491172	0.000129727332491172	1.29277695613693e-09	7.11059519768236e-08	7.90115494350558e-10	5.13232451586359e-07	7.58491049914442e-10	7.58491049914442e-10	1.61656090728983e-07	1.80013107450922e-07	5.13232451586359e-07	6.34286197198328e-05	0.0168160489852431	1.80013107450922e-05	6.39953567791412e-06	4.10585961269087e-05	1.06914783356549e-05	5.30943734940109e-08	3.78340566298075e-06	8.08280453644916e-06	2.12487981644784e-05	2.72684816125898e-05	0.0168065103807624	1.96478411509471e-05	2.37034648305167e-08	0.0167634314716172	0.0167755684366644	3.52404877098698e-08	7.62435311592497e-06	1.31744285979532e-05	1.3162649976409e-05	2.58555391227385e-08	8.06066644393109e-06	2.45871153637353e-08	8.06396053612131e-06	2.45871153637352e-08	5.14131279319286e-06	0	0	1.40705059916827e-05	2.54527197957866e-11	0	0	8.04041351316744e-06	2.96435444598689e-08	0.0167502923686637	8.04041351316745e-06	0.0167502923686637	2.0252930763646e-08	5.9029292646348e-11	8.04041351316745e-06	1.64672478828542e-08	7.6751459696015e-09	3.25768114273274e-06	3.53256444980736e-08	5.11776577023899e-06	5.11776577023899e-06	2.11137065084955e-05	2.35470229538684e-08	2.54527197957866e-11
"Tibouchina_fraterna"	0.000203094983812792	0.000716481212206244	0.000869410889111013	5.36672983385577e-07	0.000869410889111013	4.67699805389867e-07	1.35798717480443e-06	0.000715699457320374	0.000156325571855061	1.00111838621727	0.000426701843124585	1.3832774180844e-07	0.000426701843124585	0.000407656464731048	0.000156310369603358	2.43071225311658e-07	0.000442695106043394	0.000155919593679349	4.20175849089618e-07	0.000253226061411499	3.43689094282904e-07	0.000156397276044903	0.000223911130617462	0.000251995117886948	3.36595757747295e-10	3.41931601332362e-07	0.000251955557430947	0.000252247948412399	0.000356122740007676	0.000288522195863678	0.000155088412237136	0	1.56278086129586e-09	7.69369909791226e-07	0	3.42226532099518e-07	3.82872652919952e-07	0.000155615521159034	0.000155615521159034	6.33788815106531e-07	0.000223569732783808	8.28698445166694e-10	0.000251614159597293	3.41397833654351e-07	3.41397833654351e-07	7.81754885869052e-07	0.000201275033791476	0.000251614159597293	0.00013052854028182	0.0201302018081059	0.0201275033791476	0.0201212759505427	0.0201291327677834	0.0200955709419052	2.38978483558046e-05	6.53556963879845e-05	3.90877442934526e-05	1.89295405084778e-06	1.8908486635317e-06	1.52383315862141e-05	9.62824083747854e-06	2.48609533550008e-08	4.47114404902902e-06	1.28035192416518e-05	4.66490087096814e-08	9.12217560946219e-06	1.86917604498987e-06	1.87338460835017e-06	1.26757763021306e-05	6.69825557917118e-09	1.91802931142977e-05	1.43481826967921e-08	1.91802931142977e-05	1.85398479156725e-06	0	0	1.40058616363206e-08	1.14563031427635e-08	0	0	6.68142579128381e-09	8.44086871371663e-06	2.60542619758435e-06	6.68142579128381e-09	2.60542619758435e-06	1.68297878873648e-11	7.8139043064793e-11	6.68142579128382e-09	8.10237417705528e-09	1.44261097931839e-05	3.90775924008394e-06	3.45819354521100e-09	1.84631803466174e-06	1.84631803466174e-06	1.91436326459976e-08	7.66675690550825e-09	1.14563031427635e-08
