"Leucanthemum_vulgare"	"Lotus_corniculatus"	"Lathyrus_pratensis"	"Vicia_cracca"	"Hypochoeris_radicata"	"Ranunculus_acris"	"Trifolium_dubium"	"Prunella_vulgaris"	"Achillea_millefolium"	"Centaurea_nigra"	"Trifolium_repens"	"Vicia_sativa"	"Lychnis_flos-cuculi"	"Plantago_lanceolata"	"Trifolium_pratense"	"Cirsium_arvense"	"Taraxacum_officinale"	"Bombus_terrestris.lucorum"	"Phaonia_incarna"	"Tropidia_scitta"	"Helophilus_sp1_M_PL_006"	"Eristalinus_sepulcharius"	"Bombus_pascuorum"	"Lucillia_sp1_M_PL_006"	"Maniola_jurtina"	"Pollenia_sp1_M_PL_006"	"Anthomyidae_sp1_M_PL_006"	"Eristalis_nemorum"	"Chrysogaster_sp1_M_PL_006"	"Syritta_pipiens"	"Eristalis_intricarius"	"Lejogaster_splendida"	"Andrena_wilkella"	"Bombus_hortorum"	"Eristalis_tenax"	"Cheilosia_albitarsis"	"Empis_livida"	"Scathophaga_stercoraria"	"Psithyrus_vest"	"Lasiommata_megera"	"Megachile_willughbiella"	"Syrphus_sp1_M_PL_006"	"Thymelicus_sp1_M_PL_006"	"Lycaena_phlaeas"	"Odontomyia_tigrina"	"Micromoth_sp1_M_PL_006"	"Platycheirus_sp1_M_PL_006"	"Sphaerophoria_sp1_M_PL_006"	"Helophilus_trivittatus"	"Neoascia_tenur"	"Odontomyia_viridula"	"Polyommatus_icarus"	"Rhagio_tringarius"	"Zygaena_filipendulae"	"Andrena_haemorrhoa"	"Bombus_pratorum"	"Melanostoma_sp1_M_PL_006"	"Ochlodes_venata"	"Andrena_pubescens"	"Autographa_sp1_M_PL_006"	"Eriothrix_rufomaculatus"	"Eristalis_pertinax"	"Sarcophagus_sp1_M_PL_006"	"Adela_rufimatrella"	"Anosymia_sp1_M_PL_006"	"Bombus_lapidarius"	"Chloromyia_formosa"	"Lasioglossum_calceatum"	"Lasioglossum_leucozonium"	"Lasioglossum_villosulum"	"Malachius_viridus"	"Meliscaeva_sp1_M_PL_006"	"Nemotelus_pantherinus"	"Oligia_sp1_M_PL_006"	"Parhelophilus_sp1_M_PL_006"	"Pyronia_tithonus"	"Rhagonycha_fulva"	"Tetanocera_ferruginea"
"Leucanthemum_vulgare"	1.00609856599535	0.00123844629728078	0.00021919053428602	0.000206705058618945	0.000816036144032093	0.00048659405157244	0.00017808472186733	7.15910788978528e-05	0.000287896567878747	5.5886212293481e-05	2.08536056664253e-05	0.000185987523320416	2.08578710904097e-05	6.90839805551194e-05	8.96213257161926e-05	2.96018629786566e-05	2.60072696067623e-05	0.00208536056664253	0.00208052881219707	0.00206275757097233	0.00208058156854099	0.00206755584710364	0.00208578710904097	0.00205842257248768	0.00207213040850597	0.00205791206766535	0.00206275757097233	0.00205870262054256	0.00205326237958234	0.00205870262054256	0.00206755584710364	0.00205326237958234	0.00206734054963045	0.00206902215901567	0.00205842257248767	0.00205731733001211	0.00205326237958234	0.00205842257248768	0.00205842257248768	0.00206247752291745	5.16019290533658e-06	0.00206215681957032	0.00206386281344789	0.00205326237958234	0.00205842257248768	0.00205326237958234	0.00205842257248768	0.00206235579611399	0.00205326237958235	4.05495042977033e-06	0.00205806065571365	0.00205842257248768	0.00205326237958235	1.11095664944428e-05	0.00206167069924035	0.00206290363877349	0.00205326237958235	7.45691577888041e-06	0.00205842257248768	5.16019290533658e-06	0.00205326237958235	0.00205326237958235	0.00205326237958235	0.00205326237958235	0.00205326237958234	5.16019290533658e-06	2.96807869778883e-06	4.05495042977033e-06	5.44024096021395e-06	4.05495042977033e-06	0.00205326237958234	3.45419902775597e-06	0.00205326237958234	0.00205326237958234	0.00205326237958235	5.16019290533658e-06	0.00205326237958235	0.00205326237958235
"Lotus_corniculatus"	0.00252849452361492	1.00450342212087	0.000306064949200929	0.000733495789511795	0.00033305986980137	0.000289841721006322	0.000222184661091759	0.000250083646930185	0.000166747538978406	0.000218210386872933	4.2268908583723e-05	0.000169235909452954	4.23359853001733e-05	2.47670873736433e-07	0.000182326232968753	6.03010868098865e-05	5.26890991460239e-05	0.0042268908583723	0.00421853070613157	9.79593971239839e-06	0.00421512793168192	1.25750653620385e-05	0.00423359853001733	0.00419059111840895	0.00422107607669207	9.39109064166044e-06	9.79593971239839e-06	7.3805920373457e-06	5.16019290533658e-06	7.38059203734571e-06	1.25750653620385e-05	5.16019290533658e-06	0.00420754523179729	0.00420807305184874	0.00419059111840893	7.57554058038927e-06	5.16019290533658e-06	0.00419059111840895	0.00419059111840894	0.004193006466084	0.00418543092550361	7.39297558103254e-06	0.00419281151754095	5.16019290533658e-06	0.00419059111840895	5.16019290533657e-06	0.00419059111840895	1.24816745240279e-05	5.16019290533658e-06	2.41534767505268e-06	7.93931855497667e-06	0.00419059111840895	5.16019290533658e-06	0.0042071066494561	1.10836697222084e-05	0.00419970743005738	5.16019290533658e-06	0.00419358087872041	0.00419059111840895	0.00418543092550361	5.16019290533658e-06	5.16019290533658e-06	5.16019290533658e-06	5.16019290533658e-06	5.16019290533658e-06	0.00418543092550361	3.70307768486265e-06	2.41534767505268e-06	2.22039913200913e-06	2.41534767505268e-06	5.16019290533658e-06	1.23835436868217e-08	5.16019290533658e-06	5.16019290533658e-06	5.16019290533658e-06	0.00418543092550361	5.16019290533658e-06	5.16019290533658e-06
"Lathyrus_pratensis"	0.0017900560300025	0.00122425979680372	1.00177114794397	0.00121720943193201	0.00110777028395066	0.000381189529361348	0.000672749203131491	0.000337139383462705	0.00021167666364339	0.000210686884930965	0.000167822351313482	0.000671424156230624	0.000167874861737809	3.70413114019175e-07	0.000168447416033135	5.90245099381895e-07	5.95506296025054e-07	0.0167822351313481	0.0167395771615641	1.4214890209116e-05	4.76405036820043e-05	1.77428346031725e-05	0.0167874861737809	8.75425805811582e-06	4.13171569567327e-05	2.04387794771993e-05	1.4214890209116e-05	1.10383107977714e-05	3.65317557143367e-06	1.10383107977714e-05	1.77428346031725e-05	3.65317557143367e-06	0.0167296770930868	0.0167352502102737	8.7542580581158e-06	6.82975498277824e-06	3.65317557143367e-06	8.75425805811583e-06	8.75425805811582e-06	1.19308374694604e-05	5.10108248668215e-06	1.10568314534724e-05	1.61393932844535e-05	3.65317557143367e-06	8.75425805811583e-06	3.65317557143367e-06	8.75425805811583e-06	0.0167072241098639	3.65317557143367e-06	3.17657941134456e-06	7.18111996549017e-06	8.75425805811583e-06	3.65317557143368e-06	3.40770124813043e-05	2.22507975166296e-05	1.71766288597726e-05	3.65317557143367e-06	1.86256317303711e-05	8.75425805811583e-06	5.10108248668215e-06	3.65317557143367e-06	3.65317557143367e-06	3.65317557143367e-06	3.65317557143367e-06	3.65317557143367e-06	5.10108248668215e-06	1.12124867188582e-05	3.17657941134456e-06	7.38513522633771e-06	3.17657941134456e-06	3.65317557143367e-06	1.85206557009587e-08	3.65317557143367e-06	3.65317557143367e-06	3.65317557143367e-06	5.10108248668215e-06	3.65317557143367e-06	3.65317557143367e-06
"Vicia_cracca"	0.00112539420803648	0.00195598877203145	0.000811472954621339	1.00194709505877	0.000508035512622817	0.000394899568832703	0.000588859164552388	0.000663722866929542	0.000440971814889409	0.000579330666337132	0.000112122216115056	0.000448301586677564	0.000112145672122405	1.9072571446407e-07	0.000112681697487896	0.000160034989998225	0.000139762625276075	0.0112122216115056	0.0111900550116041	8.97445603130179e-06	0.011181010022086	1.63239862794586e-05	0.0112145672122405	1.04466760903415e-05	0.0112024492998758	1.35042625404829e-05	8.9744560313018e-06	5.68362629102927e-06	2.29672287354383e-06	5.68362629102928e-06	1.63239862794586e-05	2.29672287354383e-06	0.0111665310453962	0.0111679242656539	1.04466760903415e-05	5.58755261381635e-06	2.29672287354383e-06	1.04466760903416e-05	1.04466760903415e-05	1.37375058306141e-05	8.14995321679771e-06	5.69316257675249e-06	1.3833579507827e-05	2.29672287354383e-06	1.04466760903416e-05	2.29672287354383e-06	1.04466760903415e-05	1.92081755347182e-05	2.29672287354383e-06	3.29082974027252e-06	9.64625312170065e-06	1.04466760903416e-05	2.29672287354383e-06	0.0111767995477542	1.54979457002358e-05	1.60807609647364e-05	2.29672287354383e-06	0.0111408954538697	1.04466760903416e-05	8.14995321679772e-06	2.29672287354383e-06	2.29672287354383e-06	2.29672287354383e-06	2.29672287354383e-06	2.29672287354383e-06	8.14995321679772e-06	9.81431940920648e-06	3.29082974027252e-06	3.38690341748545e-06	3.29082974027252e-06	2.29672287354383e-06	9.53628572320349e-09	2.29672287354383e-06	2.29672287354383e-06	2.29672287354383e-06	8.14995321679771e-06	2.29672287354383e-06	2.29672287354383e-06
"Hypochoeris_radicata"	0.00266571807050484	0.000532895791682191	0.000443108113580263	0.00030482130757369	1.00331713598078	0.0010218085415123	0.000443480984186124	0.000135343866902354	0.000504861666896192	8.47497433413107e-05	6.73662921001667e-05	0.00013555911775251	6.73149315735452e-05	0.000224638293540226	6.7683091395612e-05	3.67245961973022e-07	8.41570617281462e-05	0.00673662921001667	0.0067269680090135	0.006702736218678	0.0067325649382517	0.00671115057979295	0.00673149315735451	7.66064009222308e-06	2.57072173381116e-05	8.82921890402671e-06	0.00670273621867801	0.00669422114749873	5.44024096021396e-06	0.00669422114749874	0.00671115057979294	5.44024096021395e-06	2.58240284724817e-05	2.1821656679859e-05	7.66064009222307e-06	1.39553121394831e-05	5.44024096021395e-06	7.66064009222309e-06	7.66064009222308e-06	1.61757112714923e-05	2.22039913200913e-06	0.00670545306217576	0.00669644154663075	5.44024096021395e-06	7.66064009222309e-06	5.44024096021395e-06	7.66064009222309e-06	0.00670160628272507	5.44024096021396e-06	8.51507117926917e-06	1.38546020751505e-05	7.66064009222309e-06	5.44024096021396e-06	1.18158906667638e-05	0.00670161249723519	1.10447946620037e-05	5.44024096021396e-06	5.60730254949458e-06	7.66064009222309e-06	2.22039913200913e-06	5.44024096021396e-06	5.44024096021396e-06	5.44024096021396e-06	5.44024096021396e-06	5.44024096021395e-06	2.22039913200913e-06	7.39134973643539e-06	8.51507117926916e-06	0.00668878090653852	8.51507117926917e-06	5.44024096021395e-06	1.12319146770113e-05	5.44024096021395e-06	5.44024096021395e-06	5.44024096021395e-06	2.22039913200913e-06	5.44024096021395e-06	5.44024096021395e-06
"Ranunculus_acris"	0.00198692571058746	0.000579683442012644	0.000190594764680674	0.000296174676624527	0.00127726067689038	1.00448207437247	0.000190698832555181	8.50239235673239e-05	0.000631029976966303	0.000105732067306982	8.4079730991152e-05	8.4979300453578e-05	2.89354020014739e-07	4.21812805672467e-07	5.05873746419539e-07	3.7093411245517e-07	0.000105164651217609	0.0084079730991152	0.00840617830006599	0.00838325397471296	0.00841317209740876	0.00839377114099575	2.89354020014739e-05	6.47029810482301e-06	2.5965387871862e-05	6.17943294110977e-06	0.00838325397471297	1.25700216090395e-05	4.05495042977033e-06	1.25700216090395e-05	0.00839377114099574	4.05495042977033e-06	1.61160211323598e-05	1.50621897677795e-05	6.470298104823e-06	0.0083747389035337	4.05495042977033e-06	6.47029810482302e-06	6.47029810482301e-06	0.00837715425120876	2.41534767505268e-06	1.25911122493231e-05	1.49853692840922e-05	4.05495042977033e-06	6.47029810482302e-06	4.05495042977033e-06	6.47029810482302e-06	1.57466010203841e-05	4.05495042977034e-06	0.00837068395310393	1.4572116712542e-05	6.47029810482302e-06	4.05495042977034e-06	1.13561777480744e-05	1.57483354849592e-05	6.495591792144e-06	4.05495042977033e-06	5.7061774153252e-06	6.47029810482302e-06	2.41534767505268e-06	4.05495042977033e-06	4.05495042977034e-06	4.05495042977034e-06	4.05495042977034e-06	4.05495042977033e-06	2.41534767505268e-06	3.17831387591968e-06	0.00837068395310392	8.51507117926916e-06	0.00837068395310393	4.05495042977033e-06	2.10906402836233e-08	4.05495042977033e-06	4.05495042977033e-06	4.05495042977033e-06	2.41534767505268e-06	4.05495042977033e-06	4.05495042977033e-06
"Trifolium_dubium"	0.00145435856191653	0.000888738644367036	0.000672749203131492	0.000883288746828583	0.00110870246046531	0.000381397665110362	1.00310988848922	0.00033681778646041	0.000211734313079302	1.48025181871865e-06	0.000167904054424384	0.000337152988970849	0.000167956553630662	3.4763182665182e-07	0.000168459691662855	4.07498818292521e-07	0.00020962555927546	0.0167904054424384	4.18458730683502e-05	1.35377423101439e-05	0.0167700447420368	1.70666475281323e-05	0.0167956553630662	6.67115638265148e-06	2.85249172804765e-05	1.139690342206e-05	1.35377423101439e-05	1.03594284342242e-05	2.96807869778884e-06	1.03594284342242e-05	1.70666475281323e-05	2.96807869778884e-06	0.0167461961039978	3.61267872349873e-05	6.67115638265147e-06	6.14639257370851e-06	2.96807869778883e-06	6.67115638265149e-06	6.67115638265148e-06	9.84947025857116e-06	3.70307768486265e-06	1.03768100255568e-05	1.40625061190869e-05	2.96807869778883e-06	6.67115638265149e-06	2.96807869778883e-06	6.67115638265149e-06	2.15719151530824e-05	2.96807869778884e-06	3.17831387591968e-06	6.4969839157772e-06	6.67115638265149e-06	2.96807869778884e-06	2.198718348287e-05	0.0167288575699213	1.50941409657943e-05	2.96807869778883e-06	1.35173970940691e-05	6.67115638265149e-06	3.70307768486265e-06	2.96807869778884e-06	2.96807869778884e-06	2.96807869778884e-06	2.96807869778884e-06	2.96807869778883e-06	3.70307768486265e-06	0.0167184981414871	3.17831387591967e-06	7.39134973643539e-06	3.17831387591968e-06	2.96807869778883e-06	1.7381591332591e-08	2.96807869778883e-06	2.96807869778883e-06	2.96807869778883e-06	3.70307768486265e-06	2.96807869778883e-06	2.96807869778883e-06
"Prunella_vulgaris"	0.000876990716498696	0.00150050188158111	0.000505709075194058	0.00149337645059147	0.000507539500883827	0.000255071770701972	0.000505226679690614	1.0014889641333	0.000361680114043908	0.000987389327617256	0.000251219435305018	0.000504176792394257	0.000251324290365816	1.73603142449838e-07	0.000252012373259439	0.000359095851539907	5.58104895405801e-07	0.0251219435305018	7.75135986552228e-05	7.29897173418825e-06	4.46483916324641e-05	1.33269736349201e-05	0.0251324290365816	8.04186814570095e-06	0.0251367096077936	1.43941967823027e-05	7.29897173418826e-06	5.17337364500516e-06	1.78977697244632e-06	5.17337364500517e-06	1.33269736349201e-05	1.78977697244632e-06	4.14838690670174e-05	4.56678442153635e-05	8.04186814570093e-06	3.91537506162941e-06	1.78977697244632e-06	8.04186814570095e-06	8.04186814570094e-06	1.0167466234884e-05	6.25209117325463e-06	5.18205380212766e-06	1.14254648182598e-05	1.78977697244632e-06	8.04186814570095e-06	1.78977697244631e-06	8.04186814570095e-06	1.36018582315728e-05	1.78977697244632e-06	2.12559808918309e-06	7.81777887317811e-06	8.04186814570095e-06	1.78977697244632e-06	0.0250929822437664	1.35938183065154e-05	2.06424868086729e-05	1.78977697244632e-06	2.28451628464932e-05	8.04186814570095e-06	6.25209117325463e-06	1.78977697244632e-06	1.78977697244632e-06	1.78977697244632e-06	1.78977697244632e-06	1.78977697244632e-06	6.25209117325463e-06	8.42044466151025e-06	2.12559808918309e-06	3.38359667255885e-06	2.12559808918309e-06	1.78977697244632e-06	8.6801571224919e-09	1.78977697244632e-06	1.78977697244632e-06	1.78977697244632e-06	6.25209117325463e-06	1.78977697244632e-06	1.78977697244632e-06
"Achillea_millefolium"	0.0023511553043431	0.000666990155913622	0.00021167666364339	0.000661457722334114	0.00126215416724048	0.00126205995393261	0.000211734313079302	0.000241120076029272	1.00233050476009	0.000449758097315282	4.70265151272071e-07	1.44710689941979e-06	3.65297976044791e-07	4.43377088800302e-07	6.18909551328757e-07	0.000239505798042563	0.000209548132381889	4.70265151272071e-05	0.0167578867530662	2.37298035290207e-05	0.0167638505905511	0.0167292382161972	3.6529797604479e-05	7.57740178095255e-06	0.0167654058629794	4.83445380379794e-06	2.37298035290207e-05	1.3212637246249e-05	4.79827613131245e-06	1.3212637246249e-05	0.0167292382161971	4.79827613131245e-06	2.19837816411543e-05	1.84910540956514e-05	7.57740178095253e-06	1.53154424140842e-05	4.79827613131245e-06	7.57740178095255e-06	7.57740178095255e-06	1.80945680637243e-05	2.77912564964009e-06	1.3234806100689e-05	1.59917628958891e-05	4.79827613131245e-06	7.57740178095255e-06	4.79827613131245e-06	7.57740178095255e-06	1.67405816403055e-05	4.79827613131245e-06	1.05171662827717e-05	0.0167103066887994	7.57740178095256e-06	4.79827613131246e-06	3.11485943757049e-05	1.67415424642374e-05	7.60834725851899e-06	4.79827613131245e-06	1.01286558977969e-05	7.57740178095255e-06	2.77912564964009e-06	4.79827613131245e-06	4.79827613131246e-06	4.79827613131246e-06	4.79827613131246e-06	4.79827613131245e-06	2.77912564964009e-06	3.52890521798837e-06	1.05171662827717e-05	8.41436111493654e-06	1.05171662827717e-05	4.79827613131245e-06	2.21688544400151e-08	4.79827613131245e-06	4.79827613131245e-06	4.79827613131245e-06	2.77912564964009e-06	4.79827613131245e-06	4.79827613131245e-06
"Centaurea_nigra"	0.000912808134126858	0.00174568309498347	0.000421373769861929	0.0017379919990114	0.000423748716706554	0.000422928269227927	2.9605036374373e-06	0.00131651910348968	0.000899516194630565	1.0017331545569	7.49138493880692e-07	2.2700341888702e-06	7.14370014380172e-07	1.57310912343168e-07	1.02062282928054e-06	0.000478790524199972	6.23757791107986e-07	7.49138493880693e-05	0.0334479169538435	8.21226743139244e-06	4.99006232886388e-05	2.32042040085685e-05	7.14370014380171e-05	9.13655330554715e-06	0.0335153366939981	1.91962459783779e-06	8.21226743139246e-06	4.68786518782639e-06	1.86287374311604e-06	4.6878651878264e-06	2.32042040085685e-05	1.86287374311604e-06	3.5519813408441e-05	3.55272225358721e-05	9.13655330554713e-06	5.3872759866821e-06	1.86287374311604e-06	9.13655330554715e-06	9.13655330554715e-06	1.26609555491132e-05	7.27367956243111e-06	4.69573073344356e-06	1.19615447502575e-05	1.86287374311604e-06	9.13655330554715e-06	1.86287374311603e-06	9.13655330554715e-06	1.17107613521919e-05	1.86287374311604e-06	3.52440224356606e-06	1.68548103202921e-05	9.13655330554716e-06	1.86287374311604e-06	0.0334506028312578	4.73720691511702e-06	9.18758444701118e-06	1.86287374311604e-06	2.65847017736689e-05	9.13655330554715e-06	7.27367956243111e-06	1.86287374311604e-06	1.86287374311604e-06	1.86287374311604e-06	1.86287374311604e-06	1.86287374311603e-06	7.27367956243111e-06	4.93417272906217e-08	3.52440224356605e-06	2.82499144471035e-06	3.52440224356606e-06	1.86287374311604e-06	7.86554561715838e-09	1.86287374311604e-06	1.86287374311604e-06	1.86287374311604e-06	7.27367956243111e-06	1.86287374311604e-06	1.86287374311604e-06
