"Cecropia_schreberiana"	"Guarea_guidonia"	"Schefflera_morototoni"	"Alchornea_latifolia"	"Dendropanax_arboreus"	"Ocotea_floribunda"	"Inga_vera"	"Ficus_sp1_M_SD_006"	"Miconia_prasina"	"Musa_acuminata"	"Phytolacca_rivinoides"	"Tournefortia_hisutissima"	"Casearia_sylvestris"	"Citrus_sinensis"	"Coffea_arabica"	"Miconia_laevigatta"	"Momordica_charantia"	"Murraya_paniculata"	"Piper_amalaga"	"Roystonea_borinquena"	"Solanum_rugosum"	"Spindalis_portoricensis"	"Loxigilla_portoricensis"	"Vireo_altiloquous"	"Turdus_plumbeus"	"Coereba_flaveola"	"Tyrannus_dominicensis"	"Nesospingus_speculiferus"	"Melanerpes_portoricensis"	"Tyrannus_caudifasciatus"	"Columba_squamosa"	"Euphonia_musica"	"Icterus_dominicensis"	"Myarchus_antillarum"	"Vireo_flavirostris"	"Vireo_latimeri"
"Cecropia_schreberiana"	1.00325526804533	0.0011357242855006	0.000860466154962231	0.000348274998805434	0.000450365596444388	0.00038621003715801	0.000721369600915337	0.000262964925387628	0.00072189854532394	0.000102963700989794	0.000262964925387628	0.000262964925387628	0	0.000160874327748674	0.000160874327748674	0.000102448882484845	0.0002244066274647	0.000373623546518506	0.000102448882484845	0.000102448882484845	0.000102448882484845	0.011269377073333	0.0112440402634056	0.0112612029424072	0.0112361230031948	0.0111928380632971	0.011220331373235	0.0112087063955552	0.0111635053887092	1.62246326500085e-05	1.2873667905267e-05	0.0111472807560592	5.14818504948971e-06	1.62246326500085e-05	1.62246326500085e-05	0
"Guarea_guidonia"	0.00146021693850077	1.00576581486325	0.000290763955082558	0.000447572376836763	0.000241624191751538	0.000290160121779639	0.000448854228141155	8.7992331601339e-07	0.00044861513504696	2.90635582370284e-07	8.7992331601339e-07	8.7992331601339e-07	0	0.000206828108401238	0.000206828108401238	2.89182404458433e-07	0.000288602180462152	1.04275821019757e-06	2.89182404458433e-07	2.89182404458433e-07	2.89182404458433e-07	3.18100644904276e-05	0.0144446561061315	0.0144779675880867	4.1351863808847e-05	3.84555391317776e-05	0.0144301090231076	3.12827463059269e-05	0.014384307702125	0.014368083069475	9.67200405932129e-06	1.62246326500085e-05	1.45317791185142e-08	0.014368083069475	0.014368083069475	0
"Schefflera_morototoni"	0.00193604884866502	0.000508836921394476	1.00192964298969	2.09306367270214e-06	0.000591205975232861	0.000866108535582532	0.000838683358358088	0.000589928604584204	2.81565594936997e-06	0.000230986118467047	0.000589928604584204	0.000589928604584204	0	8.1569302404494e-07	8.1569302404494e-07	0.000229831187874712	0.000503124090421098	7.2259227666783e-07	0.000229831187874712	0.000229831187874712	0.000229831187874712	0.0252814306662183	7.66422389194321e-05	5.70985116831458e-05	0.0252068191696645	0.0250977088405616	0.0251562045210549	2.16777683000349e-05	2.87807527511197e-05	7.26909887706394e-06	2.88702845194178e-05	2.15116538740558e-05	1.15493059233523e-05	7.26909887706394e-06	7.26909887706394e-06	0
"Alchornea_latifolia"	0.00156723749462445	0.00156650331892867	4.18612734540429e-06	1.00155699960141	0.000838561576203109	1.45793631992345e-06	0.0015593161216526	1.06909368239557e-06	0.00155932037384592	4.1862369237601e-07	1.06909368239557e-06	1.06909368239557e-06	0	0.000719507118892589	0.000719507118892589	4.1653057391413e-07	8.00513423708932e-07	2.32077243261323e-06	4.1653057391413e-07	4.1653057391413e-07	4.1653057391413e-07	4.58183631305543e-05	0.0502495489512428	0.0503654983224813	4.56794175937006e-05	6.94956071789936e-05	4.00256711854466e-05	6.96231729783969e-05	3.97923687821098e-05	2.23786188418381e-05	4.85978773307816e-08	1.74137499402717e-05	2.09311846188005e-08	2.23786188418381e-05	2.23786188418381e-05	0
"Dendropanax_arboreus"	0.00135109678933316	0.000563789780753588	0.000788274633643815	0.000559041050802073	1.0013430898198	0.000482024301920434	0.000560821487534531	0.000785315025191017	0.000560167620720875	0.000307614716245217	0.000785315025191017	0.000785315025191017	0	1.26625619515494e-06	1.26625619515494e-06	0.000306076642663991	1.17917172034016e-06	1.12656991880185e-06	0.000306076642663991	0.000306076642663991	0.000306076642663991	0.033668430693039	0.0334664876764151	8.86379336608457e-05	0.0335466867768918	5.3413101973726e-05	5.89585860170081e-05	3.37970975640556e-05	2.30663262731975e-05	8.05413972505126e-06	1.60674767306811e-05	1.50121865481463e-05	1.53807358122609e-05	8.05413972505126e-06	8.05413972505126e-06	0
"Ocotea_floribunda"	0.00115863011147403	0.00067704028415249	0.00115481138077671	9.71957546615631e-07	0.000482024301920435	1.00450056566488	2.36605157363138e-06	0.000481377844959845	1.40408030856276e-06	1.19280477330088e-06	0.000481377844959845	0.000481377844959845	0	3.25500586026631e-07	3.25500586026631e-07	1.18684074943438e-06	0.000672039441789849	4.32122761947127e-07	1.18684074943438e-06	1.18684074943438e-06	1.18684074943438e-06	0.000130552482437782	3.878741763534e-05	2.27850410218642e-05	0.0336133702947288	4.18228208104725e-05	0.0336019720894924	1.29636828584138e-05	2.25456719645883e-05	9.67200405932129e-06	0.0334833521888294	1.2873667905267e-05	5.96402386650441e-08	9.67200405932129e-06	9.67200405932129e-06	0
"Inga_vera"	0.00216410880274601	0.00104732653232936	0.00111824447781078	0.00103954408110174	0.00056082148753453	2.36605157363138e-06	1.00215478278749	1.66223552770764e-06	0.00104150938655042	6.50860995419852e-07	1.66223552770764e-06	1.66223552770764e-06	0	0.000480384829094912	0.000480384829094912	6.47606690442753e-07	1.34353589778772e-06	1.96530544867977e-06	6.47606690442753e-07	6.47606690442753e-07	6.47606690442753e-07	7.12367359487028e-05	0.0335495551204094	0.0336269380366439	7.10240186085424e-05	0.0334571611915587	6.71767948893858e-05	5.8959163460393e-05	3.90074609685497e-05	1.49618076047052e-05	7.88683857877127e-08	2.40456533638446e-05	3.25430497709926e-08	1.49618076047052e-05	1.49618076047052e-05	0
"Ficus_sp1_M_SD_006"	0.00118334216424433	3.07973160604687e-06	0.00117985720916841	1.06909368239557e-06	0.00117797253778653	0.000722066767439768	2.49335329156147e-06	1.00117709512261	1.51051832722128e-06	0.000461078463662586	0.00117709512260709	0.00117709512260709	0	1.91678502959808e-07	1.91678502959808e-07	0.000458773071344273	1.337826952152e-06	4.41424644825712e-07	0.000458773071344273	0.000458773071344273	0.000458773071344273	0.05046503784787	5.26449107661455e-05	1.34174952071866e-05	0.0502825435883972	4.2727788274977e-05	6.68913476075998e-05	1.32427393447714e-05	1.31922424351821e-05	4.39961658006695e-08	2.40688922479923e-05	1.31482462693814e-05	2.30539231831293e-05	4.39961658006695e-08	4.39961658006695e-08	0
"Miconia_prasina"	0.00216569563597182	0.00104676864844291	3.7542079324933e-06	0.00103954691589728	0.000560167620720875	1.40408030856276e-06	0.00104150938655042	1.00701221814752e-06	1.00215758424342	3.94308782400277e-07	1.00701221814752e-06	1.00701221814752e-06	0	0.00048038630739455	0.00048038630739455	3.92337238488275e-07	7.84725061208306e-07	0.00111803732752368	3.92337238488275e-07	3.92337238488275e-07	3.92337238488275e-07	4.31570962337103e-05	0.0335496365101636	0.0336270415176185	4.3027248576147e-05	5.88741195941241e-05	3.92362530604153e-05	0.0335411198257105	3.901712267903e-05	1.49538378348987e-05	4.68026769520919e-08	2.40632848441313e-05	1.97154391200138e-08	1.49538378348987e-05	1.49538378348987e-05	0
"Musa_acuminata"	0.000463336654454074	1.017224538296e-06	0.000461972236934094	4.1862369237601e-07	0.000461422074367826	1.78920715995132e-06	9.76291493129778e-07	0.000461078463662586	5.91463173600415e-07	1.00548706665929	0.000461078463662586	0.000461078463662586	0	7.50129871363615e-08	7.50129871363615e-08	0.000459631325997255	3.3610547075402e-07	1.72839481224405e-07	0.000459631325997255	0.000459631325997255	0.000459631325997255	0.0505594458596981	2.06166423143789e-05	5.2509090995453e-06	0.000101299636573156	1.6730034022613e-05	1.6805273537701e-05	5.18518443673216e-06	5.16271682860822e-06	1.45317791185142e-08	5.96402386650441e-08	5.14818504948971e-06	0.0502743533329647	1.45317791185142e-08	1.45317791185142e-08	0
"Phytolacca_rivinoides"	0.00118334216424433	3.07973160604687e-06	0.00117985720916841	1.06909368239557e-06	0.00117797253778653	0.000722066767439768	2.49335329156147e-06	0.00117709512260709	1.51051832722128e-06	0.000461078463662586	1.00117709512261	0.00117709512260709	0	1.91678502959808e-07	1.91678502959808e-07	0.000458773071344273	1.337826952152e-06	4.41424644825712e-07	0.000458773071344273	0.000458773071344273	0.000458773071344273	0.05046503784787	5.26449107661455e-05	1.34174952071866e-05	0.0502825435883972	4.2727788274977e-05	6.68913476075998e-05	1.32427393447714e-05	1.31922424351821e-05	4.39961658006695e-08	2.40688922479923e-05	1.31482462693814e-05	2.30539231831293e-05	4.39961658006695e-08	4.39961658006695e-08	0
"Tournefortia_hisutissima"	0.00118334216424433	3.07973160604687e-06	0.00117985720916841	1.06909368239557e-06	0.00117797253778653	0.000722066767439768	2.49335329156147e-06	0.00117709512260709	1.51051832722128e-06	0.000461078463662586	0.00117709512260709	1.00117709512261	0	1.91678502959808e-07	1.91678502959808e-07	0.000458773071344273	1.337826952152e-06	4.41424644825712e-07	0.000458773071344273	0.000458773071344273	0.000458773071344273	0.05046503784787	5.26449107661455e-05	1.34174952071866e-05	0.0502825435883972	4.2727788274977e-05	6.68913476075998e-05	1.32427393447714e-05	1.31922424351821e-05	4.39961658006695e-08	2.40688922479923e-05	1.31482462693814e-05	2.30539231831293e-05	4.39961658006695e-08	4.39961658006695e-08	0
"Casearia_sylvestris"	0	0	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101
