"Agrostis_stolonifera"	"Angelica_sylvestris"	"Anthoxanthum_odoratum"	"Arrhenatherum_elatius"	"Chamerion_angustifolium"	"Cirsium_arvense"	"Cirsium_palustre"	"Cytisus_scoparius"	"Dactylis_glomerata"	"Deschampsia_cespitosa"	"Epilobium_ciliatum"	"Epilobium_montanum"	"Glechoma_hederaceae"	"Holcus_lanatus"	"Holcus_mollis"	"Lathyrus_pratensis"	"Lotus_ulginosus"	"Poa_pratensis"	"Poa_trivialis"	"Pteridium_aquilinum"	"Ranunculus_repens"	"Rubus_sp."	"Rumex_crispus"	"Rumex_obtusifolius"	"Senecio_jacobaea"	"Urtica_dioica"	"Capitophorus_carduinis"	"Aphis_fabae"	"Uroleucon_cirsii"	"Microlophium_carnosum"	"Aphis_urticata"	"Cavariella_pastinacae"	"Myzus_persicae"	"Brachycaudus_sp._A"	"Acyrthosiphon_pisum"	"Macrosiphun_funestum"	"Amphorophora_rubi"	"Aphis_ruborum"	"Aphis_rumicis"	"Metopolophium_albidum"	"Sitobion_fragariae"	"Sitobion_avenae"	"Megoura_viciae"	"Aphis_epilobii"	"Aphis_grossulariae"	"Sitobion_ptericolens"	"Ovatus_glechomae"	"Aphis_jacobaea"	"Aphis_salicariae"	"Brachycaudus_sp._B"	"Aphis_sarothamni"
"Agrostis_stolonifera"	1.00119197006438	0	0.00119197006438193	0	0	0	0	0	0.00119197006438193	0.00119197006438193	0	0	0	0.00119197006438193	0.00119197006438193	0	0	0.00119197006438193	0.00119197006438193	0	0	0.000565249585954678	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4131239648867e-05	1.4131239648867e-05	1.4131239648867e-05	0	0	0.0504909192654016	0.0504767880257528	0	0	0	0	0	0	0	0	0
"Angelica_sylvestris"	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthoxanthum_odoratum"	0.00119197006438193	0	1.00119197006438	0	0	0	0	0	0.00119197006438193	0.00119197006438193	0	0	0	0.00119197006438193	0.00119197006438193	0	0	0.00119197006438193	0.00119197006438193	0	0	0.000565249585954678	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4131239648867e-05	1.4131239648867e-05	1.4131239648867e-05	0	0	0.0504909192654016	0.0504767880257528	0	0	0	0	0	0	0	0	0
"Arrhenatherum_elatius"	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0
"Chamerion_angustifolium"	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0
"Cirsium_arvense"	0	0	0	0	0	1.00504207348949	0.00505893661152426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000168631220384142	0.0504207348948584	0.0504207348948584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cirsium_palustre"	0	0	0	0	0	0.00337262440768284	1.00672838569333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0335576128564442	0.0337262440768284	0.0337262440768284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cytisus_scoparius"	0	0	0	0	0	0	0	1.00756942862206	0	0	0	0	0	0	0	0	0.0025315814789499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050631629578998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050378471431103
"Dactylis_glomerata"	0.00119197006438193	0	0.00119197006438193	0	0	0	0	0	1.00119197006438	0.00119197006438193	0	0	0	0.00119197006438193	0.00119197006438193	0	0	0.00119197006438193	0.00119197006438193	0	0	0.000565249585954678	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4131239648867e-05	1.4131239648867e-05	1.4131239648867e-05	0	0	0.0504909192654016	0.0504767880257528	0	0	0	0	0	0	0	0	0
"Deschampsia_cespitosa"	0.00119197006438193	0	0.00119197006438193	0	0	0	0	0	0.00119197006438193	1.00119197006438	0	0	0	0.00119197006438193	0.00119197006438193	0	0	0.00119197006438193	0.00119197006438193	0	0	0.000565249585954678	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4131239648867e-05	1.4131239648867e-05	1.4131239648867e-05	0	0	0.0504909192654016	0.0504767880257528	0	0	0	0	0	0	0	0	0
"Epilobium_ciliatum"	0	0	0	0	0	0	0	0	0	0	1.00505050505051	0.00505050505050505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505050505050505	0.0505050505050505	0	0	0	0	0	0
"Epilobium_montanum"	0	0	0	0	0	0	0	0	0	0	0.00505050505050505	1.00505050505051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505050505050505	0.0505050505050505	0	0	0	0	0	0
"Glechoma_hederaceae"	0	0	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0
"Holcus_lanatus"	0.00119197006438193	0	0.00119197006438193	0	0	0	0	0	0.00119197006438193	0.00119197006438193	0	0	0	1.00119197006438	0.00119197006438193	0	0	0.00119197006438193	0.00119197006438193	0	0	0.000565249585954678	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4131239648867e-05	1.4131239648867e-05	1.4131239648867e-05	0	0	0.0504909192654016	0.0504767880257528	0	0	0	0	0	0	0	0	0
"Holcus_mollis"	0.00119197006438193	0	0.00119197006438193	0	0	0	0	0	0.00119197006438193	0.00119197006438193	0	0	0	0.00119197006438193	1.00119197006438	0	0	0.00119197006438193	0.00119197006438193	0	0	0.000565249585954678	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4131239648867e-05	1.4131239648867e-05	1.4131239648867e-05	0	0	0.0504909192654016	0.0504767880257528	0	0	0	0	0	0	0	0	0
"Lathyrus_pratensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0
"Lotus_ulginosus"	0	0	0	0	0	0	0	0.0050631629578998	0	0	0	0	0	0	0	0	1.00503784714311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100756942862206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025315814789499
