"Sideroxylon_puberulum"	"Psiadia_terebinthina"	"Psidium_cattleianum"	"Helichrysum_proteoides"	"Stillingia_lineata"	"Grangeria_borbonica"	"Antidesma_madagascariense"	"Labourdonnaisia_callophylloides"	"Olea_lancea"	"Euodia_obtusifolia"	"Warneckea_trinervis"	"Homalanthus_populifolius"	"Phyllanthus_phillyreifolius"	"Wikstroemia_indica"	"Badula_platiphylla"	"Eugenia_orbiculata"	"Euodia_chapelieri"	"Gaertnera_sp1_M_PL_078"	"Apis_mellifera"	"Chaetocnema_sp1_M_PL_078"	"Villa_unifasciata"	"Pachycerina_crinicornis"	"Musca_domestica"	"Chrysomya_megacephala"	"Technomyrmex_albipes"	"Cerambycidae_sp1_M_PL_078"	"Stomorhina_lunata"	"Dysauxes_florida"	"Lygaeidae_sp1_M_PL_078"	"Pelecophora_intemipta"	"Scolia_carniflex"
"Warneckea_trinervis"	0.00167825748907504	0.0016876119336521	0.00167586223400364	8.09521552765727e-06	1.76697165338828e-06	0.00168017543157661	4.78687621093386e-06	0.00168002077372452	2.51619441666418e-06	7.07710549848052e-07	1.00167405375014	7.07710549848052e-07	7.07710549848052e-07	7.07710549848052e-07	7.07710549848052e-07	1.80848386681613e-06	7.07710549848052e-07	1.80848386681613e-06	0.100443225008209	8.49252659817662e-05	0.000108509032008968	4.2370444141609e-05	4.21662900999683e-05	8.40747787643051e-05	2.42284138145891e-05	2.41087419093157e-05	6.61131276987309e-05	1.61904310553145e-07	2.41087419093157e-05	4.20005193431131e-05	2.41087419093157e-05
"Homalanthus_populifolius"	1.55747089197299e-06	3.89495200489926e-06	1.76507019332331e-06	0.000845866664895006	0.000841426105456532	0.000842559281331333	0.000843540673049894	0.000844244427074065	0.000839953883448162	0.000838896523804686	7.07710549848052e-07	1.0008388965238	0.000838896523804686	0.000838896523804686	0.000838896523804686	1.05735964347525e-06	0.000838896523804686	1.05735964347525e-06	4.24626329908831e-05	0.100667582856562	6.34415786085152e-05	0.000101183266073826	3.79813153311834e-05	1.69952068424988e-05	2.11441589977459e-05	5.56421714985609e-08	2.11196242047819e-05	1.69173332979001e-05	5.56421714985609e-08	2.11061106768516e-05	5.56421714985609e-08
"Phyllanthus_phillyreifolius"	1.55747089197299e-06	3.89495200489926e-06	1.76507019332331e-06	0.000845866664895006	0.000841426105456532	0.000842559281331333	0.000843540673049894	0.000844244427074065	0.000839953883448162	0.000838896523804686	7.07710549848052e-07	0.000838896523804686	1.0008388965238	0.000838896523804686	0.000838896523804686	1.05735964347525e-06	0.000838896523804686	1.05735964347525e-06	4.24626329908831e-05	0.100667582856562	6.34415786085152e-05	0.000101183266073826	3.79813153311834e-05	1.69952068424988e-05	2.11441589977459e-05	5.56421714985609e-08	2.11196242047819e-05	1.69173332979001e-05	5.56421714985609e-08	2.11061106768516e-05	5.56421714985609e-08
"Wikstroemia_indica"	1.55747089197299e-06	3.89495200489926e-06	1.76507019332331e-06	0.000845866664895006	0.000841426105456532	0.000842559281331333	0.000843540673049894	0.000844244427074065	0.000839953883448162	0.000838896523804686	7.07710549848052e-07	0.000838896523804686	0.000838896523804686	1.0008388965238	0.000838896523804686	1.05735964347525e-06	0.000838896523804686	1.05735964347525e-06	4.24626329908831e-05	0.100667582856562	6.34415786085152e-05	0.000101183266073826	3.79813153311834e-05	1.69952068424988e-05	2.11441589977459e-05	5.56421714985609e-08	2.11196242047819e-05	1.69173332979001e-05	5.56421714985609e-08	2.11061106768516e-05	5.56421714985609e-08
"Badula_platiphylla"	1.55747089197299e-06	3.89495200489926e-06	1.76507019332331e-06	0.000845866664895006	0.000841426105456532	0.000842559281331333	0.000843540673049894	0.000844244427074065	0.000839953883448162	0.000838896523804686	7.07710549848052e-07	0.000838896523804686	0.000838896523804686	0.000838896523804686	1.0008388965238	1.05735964347525e-06	0.000838896523804686	1.05735964347525e-06	4.24626329908831e-05	0.100667582856562	6.34415786085152e-05	0.000101183266073826	3.79813153311834e-05	1.69952068424988e-05	2.11441589977459e-05	5.56421714985609e-08	2.11196242047819e-05	1.69173332979001e-05	5.56421714985609e-08	2.11061106768516e-05	5.56421714985609e-08
"Eugenia_orbiculata"	1.81515444025258e-06	0.00168972391659638	0.00167796127466657	2.13268733581943e-06	2.11451228201419e-06	4.08513468906155e-06	0.00168157621901024	3.93282821937877e-06	0.00167721015044322	1.05735964347525e-06	1.80848386681613e-06	1.05735964347525e-06	1.05735964347525e-06	1.05735964347525e-06	1.05735964347525e-06	1.0016761527908	1.05735964347525e-06	0.00167615279079975	0.000108509032008968	0.00012688315721703	0.100569167447985	4.22861055415575e-05	1.44782113942927e-07	1.33411468729017e-07	6.617831856949e-05	2.4138913094234e-05	2.42410414614606e-05	4.26537467163886e-08	2.4138913094234e-05	9.83207054844691e-08	2.4138913094234e-05
"Euodia_chapelieri"	1.55747089197299e-06	3.89495200489926e-06	1.76507019332331e-06	0.000845866664895006	0.000841426105456532	0.000842559281331333	0.000843540673049894	0.000844244427074065	0.000839953883448162	0.000838896523804686	7.07710549848052e-07	0.000838896523804686	0.000838896523804686	0.000838896523804686	0.000838896523804686	1.05735964347525e-06	1.0008388965238	1.05735964347525e-06	4.24626329908831e-05	0.100667582856562	6.34415786085152e-05	0.000101183266073826	3.79813153311834e-05	1.69952068424988e-05	2.11441589977459e-05	5.56421714985609e-08	2.11196242047819e-05	1.69173332979001e-05	5.56421714985609e-08	2.11061106768516e-05	5.56421714985609e-08
"Gaertnera_sp1_M_PL_078"	1.81515444025258e-06	0.00168972391659638	0.00167796127466657	2.13268733581943e-06	2.11451228201419e-06	4.08513468906155e-06	0.00168157621901024	3.93282821937877e-06	0.00167721015044322	1.05735964347525e-06	1.80848386681613e-06	1.05735964347525e-06	1.05735964347525e-06	1.05735964347525e-06	1.05735964347525e-06	0.00167615279079975	1.05735964347525e-06	1.0016761527908	0.000108509032008968	0.00012688315721703	0.100569167447985	4.22861055415575e-05	1.44782113942927e-07	1.33411468729017e-07	6.617831856949e-05	2.4138913094234e-05	2.42410414614606e-05	4.26537467163886e-08	2.4138913094234e-05	9.83207054844691e-08	2.4138913094234e-05
"Apis_mellifera"	0.0167825748907504	0.016876119336521	0.0167586223400364	8.09521552765727e-05	1.76697165338828e-05	0.0168017543157661	4.78687621093386e-05	0.0168002077372452	2.51619441666418e-05	7.07710549848052e-06	0.0167405375013682	7.07710549848052e-06	7.07710549848052e-06	7.07710549848052e-06	7.07710549848052e-06	1.80848386681613e-05	7.07710549848052e-06	1.80848386681613e-05	1.00443225008209	0.000849252659817662	0.00108509032008968	0.00042370444141609	0.000421662900999683	0.000840747787643051	0.000242284138145891	0.000241087419093157	0.000661131276987309	1.61904310553145e-06	0.000241087419093157	0.000420005193431131	0.000241087419093157
"Chaetocnema_sp1_M_PL_078"	1.55747089197299e-05	3.89495200489926e-05	1.76507019332331e-05	0.00845866664895006	0.00841426105456532	0.00842559281331333	0.00843540673049894	0.00844244427074065	0.00839953883448162	0.00838896523804686	7.07710549848052e-06	0.00838896523804686	0.00838896523804686	0.00838896523804686	0.00838896523804686	1.05735964347525e-05	0.00838896523804686	1.05735964347525e-05	0.000424626329908831	1.00667582856562	0.000634415786085152	0.00101183266073826	0.000379813153311834	0.000169952068424988	0.000211441589977459	5.56421714985609e-07	0.000211196242047819	0.000169173332979001	5.56421714985609e-07	0.000211061106768516	5.56421714985609e-07
