"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"
"R1"	1.0013080577328	2.75586999851787e-09	1.09682241081716e-06	0.000819184070822816	0.000819184070822816	6.92429647868813e-12	0.000211239005187047	0.000211239005187047	1.17739035482148e-06	1.17739035482148e-06	0.00130805773279524	0.00130805773279524	0.00130805773279524	0	0	0.00130870310100258	0.00130805773279524	0.000187717818096854	3.87220924402676e-05	0.016804929186578	0.0168271345991516	0.0168271345991516	0.0168271345991516	0.0168365204900564	0.0167943672363187	0	0	1.06404429496738e-05	1.06404429496738e-05	1.38485929573763e-10	3.28222039534535e-05	5.49789140407837e-08
"R2"	8.26760999555362e-09	1.00504415477937	0.00252312905010331	4.21908458985105e-06	4.21908458985105e-06	0.00252523656979742	1.3702612889831e-11	1.3702612889831e-11	3.60496060371189e-12	3.60496060371189e-12	8.26760999555362e-09	8.26760999555362e-09	8.26760999555362e-09	0	0	8.27116868308976e-09	8.26760999555362e-09	1.88872476403046e-09	2.13521252168497e-10	8.07812182889528e-10	1.69570510646287e-07	1.69570510646287e-07	1.69570510646287e-07	1.69664946884489e-07	8.07127052245037e-10	0	0	9.25461351405676e-13	9.25461351405676e-13	0.0505047313959483	0.00012632521588876	0.0503783641914737
"R3"	3.29046723245147e-06	0.00252312905010331	1.00419268290067	0.00167917446533062	0.00167917446533062	6.33952022639023e-06	5.45357107280153e-09	5.45357107280153e-09	1.43475620489742e-09	1.43475620489742e-09	3.29046723245147e-06	3.29046723245147e-06	3.29046723245147e-06	0	0	3.291883572208e-06	3.29046723245147e-06	7.51702965004907e-07	8.49803853919453e-08	3.21505189432329e-07	6.74882111241035e-05	6.74882111241035e-05	6.74882111241035e-05	6.75257962723537e-05	3.21232510878689e-07	0	0	3.68328967299904e-10	3.68328967299904e-10	0.000126790404527805	0.0502768011236465	0.0503357905975384
"R4"	0.00098302088498738	1.68763383594042e-06	0.000671669786132247	1.00165020720408	0.00165020720407983	4.2402860199508e-09	1.62924408103979e-06	1.62924408103979e-06	4.2863071249265e-07	4.2863071249265e-07	0.00098302088498738	0.00098302088498738	0.00098302088498738	0	0	0.000983444013820628	0.00098302088498738	0.000224569844251643	2.53877299949045e-05	9.60490694837712e-05	0.0201619758954429	0.0201619758954429	0.0201619758954429	0.0201732043876555	9.59676072797192e-05	0	0	1.10037584884833e-07	1.10037584884833e-07	8.48057203990161e-08	0.0200995917774698	3.36678709984094e-05
"R5"	0.00098302088498738	1.68763383594042e-06	0.000671669786132247	0.00165020720407983	1.00165020720408	4.2402860199508e-09	1.62924408103979e-06	1.62924408103979e-06	4.2863071249265e-07	4.2863071249265e-07	0.00098302088498738	0.00098302088498738	0.00098302088498738	0	0	0.000983444013820628	0.00098302088498738	0.000224569844251643	2.53877299949045e-05	9.60490694837712e-05	0.0201619758954429	0.0201619758954429	0.0201619758954429	0.0201732043876555	9.59676072797192e-05	0	0	1.10037584884833e-07	1.10037584884833e-07	8.48057203990161e-08	0.0200995917774698	3.36678709984094e-05
"R6"	4.15457788721287e-11	0.00505047313959483	1.26790404527805e-05	2.1201430099754e-08	2.1201430099754e-08	1.00503781525914	6.88573512051809e-14	6.88573512051809e-14	1.81153799181502e-14	1.81153799181502e-14	4.15457788721287e-11	4.15457788721287e-11	4.15457788721287e-11	0	0	4.15636617240692e-11	4.15457788721287e-11	9.49107921623347e-12	1.07297111642461e-12	4.05935770296245e-12	8.52113118825563e-10	8.52113118825563e-10	8.52113118825564e-10	8.52587672786375e-10	4.0559148354022e-12	0	0	4.65055955480239e-15	4.65055955480239e-15	0.100756305182894	6.34800079843013e-07	0.000253157609002381
"R7"	0.00031685850778057	6.8513064449155e-12	2.72678553640077e-09	2.03655510129974e-06	2.03655510129974e-06	1.72143378012952e-14	1.00199552667838	0.00199552667838182	0.0016813177020121	0.0016813177020121	0.00031685850778057	0.00031685850778057	0.00031685850778057	0	0	0.000737583000756671	0.00031685850778057	0.000421369956706084	0.025243469578566	0.0251367181095783	3.70232378632425e-05	3.70232378632425e-05	3.70232378632425e-05	5.80917356985467e-05	3.69417756591905e-05	0	0	0.0252118641807199	0.0252118641807199	3.44286756025905e-13	8.15985433288096e-08	1.36681842142284e-10
"R8"	0.00031685850778057	6.8513064449155e-12	2.72678553640077e-09	2.03655510129974e-06	2.03655510129974e-06	1.72143378012952e-14	0.00199552667838182	1.00199552667838	0.0016813177020121	0.0016813177020121	0.00031685850778057	0.00031685850778057	0.00031685850778057	0	0	0.000737583000756671	0.00031685850778057	0.000421369956706084	0.025243469578566	0.0251367181095783	3.70232378632425e-05	3.70232378632425e-05	3.70232378632425e-05	5.80917356985467e-05	3.69417756591905e-05	0	0	0.0252118641807199	0.0252118641807199	3.44286756025905e-13	8.15985433288096e-08	1.36681842142284e-10
"R9"	2.35478070964296e-06	2.40330706914126e-12	9.56504136598278e-10	7.14384520821084e-07	7.14384520821084e-07	6.03845997271675e-15	0.00224175693601613	0.00224175693601613	1.0022402528727	0.00224025287269797	2.35478070964296e-06	2.35478070964296e-06	2.35478070964296e-06	0	0	0.000562869084825244	2.35478070964296e-06	0.000560917767253328	0.0336308582469361	0.000120325065452685	8.26579403271134e-06	8.26579403271134e-06	8.26579403271134e-06	3.63116823953777e-05	8.2372186518785e-06	0	0	0.0335947713716473	0.0335947713716473	1.20769199454335e-13	2.86232060396733e-08	4.79453721833709e-11
"R10"	2.35478070964296e-06	2.40330706914126e-12	9.56504136598278e-10	7.14384520821084e-07	7.14384520821084e-07	6.03845997271675e-15	0.00224175693601613	0.00224175693601613	0.00224025287269797	1.0022402528727	2.35478070964296e-06	2.35478070964296e-06	2.35478070964296e-06	0	0	0.000562869084825244	2.35478070964296e-06	0.000560917767253328	0.0336308582469361	0.000120325065452685	8.26579403271134e-06	8.26579403271134e-06	8.26579403271134e-06	3.63116823953777e-05	8.2372186518785e-06	0	0	0.0335947713716473	0.0335947713716473	1.20769199454335e-13	2.86232060396733e-08	4.79453721833709e-11
