"Cyprinus_carpio_(exotic)"	"Chalcalburnus_sp"	"Mastacembelus_mastacembelus"	"Hypophthalmichthys_molitrix"	"Capoeta_damascina"	"Ctenopharyngodon"	"Carassius_carassius_(exotic)"	"Barbus_cyclolepis"	"Diplostomum_spathaceum"	"Argulus_sp1"	"Argulus_sp2"	"Lernaea_cyprinacea"	"Myxobolus_molnari"	"Mastacembelocleidus_heteranchorus"	"Dactylogyrus_extensus"	"Dactylogyrus_alatus"	"Dactylogyrus_hypophthalmichthys"	"Dactylogyrus_carassobarbi"	"Dactylogyrus_lenkorani"	"Dactylogyrus_lamellatus"	"Dactylogyrus_goktschaicus"	"Dactylogyrus_suchengtaii"	"Dogielius_molnari"	"Gyrodactylus_sp"	"Gyrodactylus_stankovici"	"Ligula_intestinalis"	"Polyonchobothrium_sp"	"Pseudocapillaria_tomentosa"
"Cyprinus_carpio_(exotic)"	1.00671580634255	0.000847314112434934	0.00168904506827604	0.000846463395454577	0	1.19357508333467e-06	1.18760720791799e-06	0	5.93803603958996e-05	0.0168377986932968	0.0168377986932968	0.0168067475235138	1.41219018739156e-05	2.8150751137934e-05	0.0167785967723759	1.41219018739156e-05	1.69292679090916e-05	0	0	5.96787541667333e-08	0	1.69292679090916e-05	0	0	0.0167785967723759	1.41219018739156e-05	2.8150751137934e-05	0.0167785967723759
"Chalcalburnus_sp"	0.000847314112434934	1.00620971803208	0.00118431016269493	0.0011834030541399	0	0.000338979819376736	0.000337284920279852	0	0.0168642460139926	0.0168276904328697	0.0168276904328697	3.38604045854977e-05	0.0167701619672014	1.97385027115821e-05	1.41219018739156e-05	0.0167701619672014	2.36680610827979e-05	0	0	1.69489909688368e-05	0	2.36680610827979e-05	0	0	1.41219018739156e-05	0.0167701619672014	1.97385027115821e-05	1.41219018739156e-05
"Mastacembelus_mastacembelus"	0.00168904506827604	0.00118431016269493	1.00536883295341	0.00118312109626652	0	0.00033869715306352	0.000337003667298202	0	0.0168501833649101	0.016827698891665	0.016827698891665	0.0167842979670281	1.97385027115821e-05	0.0167561472158902	2.8150751137934e-05	1.97385027115821e-05	2.36624219253304e-05	0	0	1.6934857653176e-05	0	2.36624219253304e-05	0	0	2.8150751137934e-05	1.97385027115821e-05	0.0167561472158902	2.8150751137934e-05
"Hypophthalmichthys_molitrix"	0.00101575607454549	0.00142008366496788	0.00141974531551982	1.00543472213518	0	0.000406367373831147	0.000404335536961991	0	0.0202167768480996	0.0201729541936209	0.0201729541936209	4.05916898344219e-05	2.36680610827979e-05	2.36624219253304e-05	1.69292679090916e-05	2.36680610827979e-05	0.0201086944427037	0	0	2.03183686915573e-05	0	0.0201086944427037	0	0	1.69292679090916e-05	2.36680610827979e-05	2.36624219253304e-05	1.69292679090916e-05
"Capoeta_damascina"	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0.0252525252525252	0.0252525252525253	0	0	0	0.0252525252525253	0.0252525252525253	0	0	0	0
"Ctenopharyngodon"	3.580725250004e-06	0.00101693945813021	0.00101609145919056	0.00101591843457787	0	1.00603933835783	0.00100914166603617	0	0.0504570833018084	5.42618960677368e-05	5.42618960677368e-05	1.69945364073427e-05	1.69489909688368e-05	1.6934857653176e-05	5.96787541667333e-08	1.69489909688368e-05	2.03183686915574e-05	0	0	0.0503019669178913	0	2.03183686915574e-05	0	0	5.96787541667333e-08	1.69489909688368e-05	1.6934857653176e-05	5.96787541667333e-08
"Carassius_carassius_(exotic)"	7.12564324750795e-06	0.00202370952167911	0.00202202200378921	0.00202167768480996	0	0.00201828333207234	1.00200819191541	0	0.100409595770599	0.000107981173174796	0.000107981173174796	3.3819127450612e-05	3.37284920279852e-05	3.37003667298202e-05	1.18760720791799e-07	3.37284920279852e-05	4.04335536961991e-05	0	0	0.000100914166603617	0	4.04335536961991e-05	0	0	1.18760720791799e-07	3.37284920279852e-05	3.37003667298202e-05	1.18760720791799e-07
"Barbus_cyclolepis"	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0
"Diplostomum_spathaceum"	7.12564324750795e-05	0.0202370952167911	0.0202202200378921	0.0202167768480996	0	0.0201828333207234	0.0200819191541198	0	1.00409595770599	0.00107981173174796	0.00107981173174796	0.00033819127450612	0.000337284920279852	0.000337003667298202	1.18760720791799e-06	0.000337284920279852	0.000404335536961991	0	0	0.00100914166603617	0	0.000404335536961991	0	0	1.18760720791799e-06	0.000337284920279852	0.000337003667298202	1.18760720791799e-06
"Argulus_sp1"	0.0252566980399452	0.0252415356493045	0.0252415483374975	0.0252161927420261	0	2.71309480338684e-05	2.69952932936991e-05	0	0.00134976466468495	1.00176665355529	0.00176665355528631	0.000841637439624046	0.000420692260821742	0.000420692472291626	0.000420944967332421	0.000420692260821742	0.000504323854840522	0	0	1.35654740169342e-06	0	0.000504323854840522	0	0	0.000420944967332421	0.000420692260821742	0.000420692472291626	0.000420944967332421
"Argulus_sp2"	0.0252566980399452	0.0252415356493045	0.0252415483374975	0.0252161927420261	0	2.71309480338684e-05	2.69952932936991e-05	0	0.00134976466468495	0.00176665355528631	1.00176665355529	0.000841637439624046	0.000420692260821742	0.000420692472291626	0.000420944967332421	0.000420692260821742	0.000504323854840522	0	0	1.35654740169342e-06	0	0.000504323854840522	0	0	0.000420944967332421	0.000420692260821742	0.000420692472291626	0.000420944967332421
"Lernaea_cyprinacea"	0.0504202425705415	0.000101581213756493	0.0503528939010844	0.000101479224586055	0	1.69945364073427e-05	1.6909563725306e-05	0	0.000845478186265299	0.00168327487924809	0.00168327487924809	1.00167955227453	1.69302022927489e-06	0.000839214898351406	0.000840337376175691	1.69302022927488e-06	2.0295844917211e-06	0	0	8.49726820367136e-07	0	2.0295844917211e-06	0	0	0.000840337376175691	1.69302022927488e-06	0.000839214898351406	0.000840337376175691
"Myxobolus_molnari"	8.47314112434934e-05	0.100620971803208	0.000118431016269493	0.00011834030541399	0	3.38979819376736e-05	3.37284920279852e-05	0	0.00168642460139926	0.00168276904328697	0.00168276904328697	3.38604045854977e-06	1.00167701619672	1.97385027115821e-06	1.41219018739156e-06	0.00167701619672014	2.36680610827979e-06	0	0	1.69489909688368e-06	0	2.36680610827979e-06	0	0	1.41219018739156e-06	0.00167701619672014	1.97385027115821e-06	1.41219018739156e-06
"Mastacembelocleidus_heteranchorus"	0.000168904506827604	0.000118431016269493	0.100536883295341	0.000118312109626652	0	3.3869715306352e-05	3.37003667298202e-05	0	0.00168501833649101	0.0016827698891665	0.0016827698891665	0.00167842979670281	1.97385027115821e-06	1.00167561472159	2.8150751137934e-06	1.97385027115821e-06	2.36624219253304e-06	0	0	1.6934857653176e-06	0	2.36624219253304e-06	0	0	2.8150751137934e-06	1.97385027115821e-06	0.00167561472158902	2.8150751137934e-06
"Dactylogyrus_extensus"	0.100671580634255	8.47314112434934e-05	0.000168904506827604	8.46463395454578e-05	0	1.19357508333467e-07	1.18760720791799e-07	0	5.93803603958996e-06	0.00168377986932968	0.00168377986932968	0.00168067475235138	1.41219018739156e-06	2.8150751137934e-06	1.00167785967724	1.41219018739156e-06	1.69292679090916e-06	0	0	5.96787541667333e-09	0	1.69292679090916e-06	0	0	0.00167785967723759	1.41219018739156e-06	2.8150751137934e-06	0.00167785967723759
"Dactylogyrus_alatus"	8.47314112434934e-05	0.100620971803208	0.000118431016269493	0.00011834030541399	0	3.38979819376736e-05	3.37284920279852e-05	0	0.00168642460139926	0.00168276904328697	0.00168276904328697	3.38604045854977e-06	0.00167701619672014	1.97385027115821e-06	1.41219018739156e-06	1.00167701619672	2.36680610827979e-06	0	0	1.69489909688368e-06	0	2.36680610827979e-06	0	0	1.41219018739156e-06	0.00167701619672014	1.97385027115821e-06	1.41219018739156e-06
"Dactylogyrus_hypophthalmichthys"	0.000101575607454549	0.000142008366496788	0.000141974531551982	0.100543472213518	0	4.06367373831147e-05	4.04335536961991e-05	0	0.00202167768480996	0.00201729541936209	0.00201729541936209	4.05916898344219e-06	2.36680610827979e-06	2.36624219253304e-06	1.69292679090916e-06	2.36680610827979e-06	1.00201086944427	0	0	2.03183686915574e-06	0	0.00201086944427037	0	0	1.69292679090916e-06	2.36680610827979e-06	2.36624219253304e-06	1.69292679090916e-06
"Dactylogyrus_carassobarbi"	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	1.00252525252525	0.00252525252525253	0	0	0	0.00252525252525253	0.00252525252525253	0	0	0	0
"Dactylogyrus_lenkorani"	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0.00252525252525253	1.00252525252525	0	0	0	0.00252525252525253	0.00252525252525253	0	0	0	0
