"Chirocentrus_dorab"	"Psettodes_erumei"	"Cynoglossus_arel"	"Dussumieria_acuta"	"Sardinella_fimbriata"	"Tenualosa_ilisha"	"Eusphyra_blochii"	"Ilisha_filigera"	"Selaroides_leptolepis"	"Atropus_atropos"	"Chirocentrus_nudus"	"Harpadon_neherius"	"Lepturacanthus_savala"	"Pampus_argenteus"	"Parastromateus_niger"	"Rastrelliger_kanagurta"	"Scomberomorus_guttatus"	"Solea_elongata"	"Trichiurus_lepturus"	"Aetobatus_narinari"	"Bagarius_bagarius"	"Clarias_batrachus"	"Glossogobius_giuris"	"Heteropneustes_fossilis"	"Hilsa_kelee"	"Johnius_borneensis"	"Lutjanus_argentimaculatus"	"Mystus_vittatus"	"Nandus_nandus"	"Ompok_bimaculatus"	"Ompok_pabda"	"Polydactylus_sextarius"	"Polynemus_paradiseus"	"Scoliodon_laticaudus"	"Tachysurus_sp."	"Upeneus_sulphureus"	"Wallago_attu"	"Ascaridida_gen._sp."	"Capillaria_sp."	"Raphidascaris_sp."	"Aphanurus_stossichi"	"Goezia_sp."	"Heterotyphlum_sp"	"Paraquimperia_sp"	"Quimperia_sp."	"Quimperiidae_gen._sp"	"Camallanus_dollfusi"	"Bucephalus_polymorphus"	"Faustula_brevichrus"	"Faustula_sp."	"Opisthadena_sp."	"Dinurinae_gen._sp."	"Lecithocladium_excisum"	"Lecithocladium_harpodontis"	"Lecithocladium_magnacetabulum"	"Lecithocladium_megalaspis"	"Lecithocladium_seriolellae"	"Lecithocladium_sp."	"Hemiurus_appendiculatus"	"Hemiurus_sp."	"Parahemiurus_sp"	"Lecithochiriinae_gen._sp."	"Hemiuridae_gen._sp."	"Acanthocolpus_liodorus"	"Acanthocolpus_luehei"	"Pseudoanthocotyle_pavlovskyi"	"Pricea_multae"	"Megamicrocotyle_chirocentrus"	"Choricotyle_pagelli"	"Choricotyle_sp."	"Nybelinia_sp."	"Contracaecum_sp."	"Paranisakis_sp."	"Terranova_sp."	"Pseudanisakis_sp."	"Dujardinascaris_sp."	"Porrocaecum_trichiuri"	"Cucullanus_sp."	"Camallanus_atropusi"	"Camallanus_bispiculus"	"Camallanus_trichiuris"	"Camallanus_sp."	"Procamallanus_(Spirocamallanus)_sp."	"Neoechinorhynchus_sp."	"Ergasilus_sp."	"Cymothoidae_gen._sp"
"Chirocentrus_dorab"	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0168350168350168	0.0168350168350168	0	0	0.0168350168350168	0	0	0.0168350168350168	0	0	0	0	0	0	0	0	0.0168350168350168	0	0.0168350168350168	0	0	0	0
"Psettodes_erumei"	0	1.0067735567019	0	0	0.000565197884018614	0	2.66910806335762e-07	0	0	0	0.000841346461472891	2.6646371955798e-07	0	0.00033863893599122	0.00033863893599122	0	2.6646371955798e-07	0.00033863893599122	0.00033863893599122	2.6513140096019e-07	2.6513140096019e-07	2.6513140096019e-07	2.6513140096019e-07	2.6513140096019e-07	0	2.6513140096019e-07	0	2.6513140096019e-07	2.6513140096019e-07	2.6513140096019e-07	2.6513140096019e-07	0	0.000561661847005533	2.6513140096019e-07	2.6513140096019e-07	7.10047592988209e-07	0	4.24210241536304e-05	0.0168472870655632	0.016849855410166	0	0	0	0	1.42009518597642e-05	0.0168216266014386	3.3863893599122e-05	0	0	0	0	0	1.6931946799561e-05	0	0	0	0	1.6931946799561e-05	0	0	0	0	1.3323185977899e-08	0	0	0	1.3323185977899e-08	0	0	0	0	1.41299471004654e-05	0	8.89702687785873e-09	8.89702687785873e-09	0	0.016779559278365	0.016779559278365	0	0	0	0	0	1.41299471004654e-05	0	0.016779559278365
"Cynoglossus_arel"	0	0	1.00807133056715	0	0	0	0	0.00101654251821897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00101313701564537	0	0	0	0	0	0	0	0	0	0	0.0201953113619502	0.0202627403129075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3884750607299e-05	3.3884750607299e-05	0	0	0	0	0	0.0201614266113429	0	0	0	0	0	0	0.0201614266113429	0	0.0201614266113429	0
"Dussumieria_acuta"	0	0	0	1.00908301966503	0	0.00101799043597985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202071101542001	0	0	0	0	0	0	0	2.54497608994964e-05	0	0.0201816603933006	0	0	2.54497608994964e-05	2.54497608994964e-05	0	0	0	0.0201816603933006	0	0.0201816603933006	0	0	0	0	0	0	0	0	0	0	0	0.0201816603933006	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sardinella_fimbriata"	0	0.000847796826027921	0	0	1.00714353923242	0	2.2476368487995e-10	0	0	0	7.08491849908353e-07	2.24387196295562e-10	0	2.85165430887293e-07	2.85165430887293e-07	0	2.24387196295562e-10	2.85165430887293e-07	2.85165430887293e-07	2.23265260314084e-10	2.23265260314084e-10	2.23265260314084e-10	2.23265260314084e-10	2.23265260314084e-10	0	2.23265260314084e-10	0	2.23265260314084e-10	2.23265260314084e-10	2.23265260314084e-10	2.23265260314084e-10	0	0.000842565833709401	2.23265260314084e-10	2.23265260314084e-10	0.0012652557025533	0	3.57224416502534e-08	1.41869801866428e-05	0.025276975011282	0	0	0	0	0.025305114051066	1.41653716929608e-05	2.85165430887293e-08	0	0	0	0	0	1.42582715443646e-08	0	0	0	0	1.42582715443646e-08	0	0	0	0	1.12193598147781e-11	0	0	0	1.12193598147781e-11	0	0	0	0	0.0251785884808106	0	7.49212282933168e-12	7.49212282933168e-12	0	1.41299471004654e-05	1.41299471004654e-05	0	0	0	0	0	0.0251785884808106	0	1.41299471004654e-05
"Tenualosa_ilisha"	0	0	0	0.00127248804497482	0	1.00882852205604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0252461628123004	0	0	0	0	0	0	0	0.0252207130514009	0	2.54497608994964e-05	0	0	0.0252207130514009	0.0252207130514009	0	0	0	2.54497608994964e-05	0	2.54497608994963e-05	0	0	0	0	0	0	0	0	0	0	0	2.54497608994963e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eusphyra_blochii"	0	5.33821612671524e-07	0	0	2.99684913173267e-10	0	1.00692439107157	0	0	0	0.000212092473800203	0.00021262492237624	0	1.79556546475454e-10	1.79556546475454e-10	0	0.00021262492237624	1.79556546475454e-10	1.79556546475454e-10	0.000211561797764359	0.000211561797764359	0.000211561797764359	0.000211561797764359	0.000211561797764359	0	0.000211561797764359	0	0.000211561797764359	0.000211561797764359	0.000211561797764359	0.000211561797764359	0	2.97810000023012e-10	0.000211561797764359	0.000211561797764359	3.76488584388527e-13	0	0.0338498876422974	8.93293818715383e-09	8.93430000069037e-09	0	0	0	0	7.52977168777053e-12	1.0613520716888e-05	1.79556546475454e-11	0	0	0	0	0	8.97782732377269e-12	0	0	0	0	8.97782732377269e-12	0	0	0	0	1.0631246118812e-05	0	0	0	1.0631246118812e-05	0	0	0	0	7.49212282933168e-12	0	0.0335641463690525	0.0335641463690525	0	8.89702687785873e-09	8.89702687785873e-09	0	0	0	0	0	7.49212282933168e-12	0	8.89702687785873e-09
"Ilisha_filigera"	0	0	0.00169423753036495	0	0	0	0	1.00840506981936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70275128679895e-06	0	0	0	0	0	0	0	0	0	0	0.0336473870779192	3.40550257359789e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336135023273119	0.0336135023273119	0	0	0	0	0	3.3884750607299e-05	0	0	0	0	0	0	3.3884750607299e-05	0	3.3884750607299e-05	0
"Selaroides_leptolepis"	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336700336700337	0.0336700336700337	0	0	0.0336700336700337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Atropus_atropos"	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505050505050505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505050505050505	0	0	0	0	0	0	0
