"C._nigrescens"	"H._guatemalensis"	"M._curema"	"D._peruvianus"	"C._trimaculatum"	"L._argentiventris"	"D._latifrons"	"P._sphenops"	"G._maculatus"	"E._picta"	"Cornutushaptor_nigrescens"	"Neotetraonchus_sp."	"Ligophorus_mugilinus"	"Aristocleidus_hastatus"	"Crassicutis_cichlasomae"	"Neoapocreadium_marina"	"Paracryptogonimus_sp."	"Pseudoacanthostomum_panamense"	"Pseudacaenodera_cristata"	"Saccocoelioides_sp."	"Saccocoelioides_sogandaresi"	"Ascocotye_(Phagicola)_longa"	"Centrocestus_formosanus"	"Cladocystis_trifolium"	"Clinostomum_complanatum"	"Diplostomum_(Austrodiplostomum)_compactum"	"Echinochasmus_leopoldinae"	"Haplorchis_sp."	"Metadena_sp."	"Posthodiplostomum_minimum"	"Tylodelphys_sp."	"Parvitaenia_cochlearii"	"Proteocephalus_chamelensis"	"Proteocephalus_sp."	"Contracaecum_sp."	"Hysterothylacium_perezi"	"Gnathostoma_sp."	"Pseudoleptorhynchoides_lamothei"	"Floridosentis_mugilis"	"Neoechinorhynchus_golvani"	"Southwellina_hispida"	"Argulus_sp."	"Ergasilus_sp."
"C._nigrescens"	1.00336075411278	0.000301592356621057	0.000516965906154949	0.000402877757472987	0.000854423962454045	0.00142340613262989	0.00078474602139666	0.000746757781450392	0.000854497116159763	0.000854988953887385	0.0091214614010253	3.35102618467841e-06	6.46207382693687e-06	4.47641952747763e-06	7.12019968711704e-06	4.47641952747763e-06	0.0091356954623516	0.00918611786701443	4.47641952747763e-06	7.8474602139666e-06	7.46757781450392e-06	0.00916853277950347	7.46757781450392e-06	7.12019968711704e-06	3.84784073208563e-05	0.009173793987273	0.00915101050038007	4.47641952747763e-06	2.47058968123087e-05	1.4587777501621e-05	6.57683810682604e-06	2.1545107622124e-05	6.57683810682604e-06	0.0091214614010253	0.00918276684082976	3.35102618467841e-06	1.36976474081574e-05	3.35102618467841e-06	6.46207382693687e-06	0.00916436076966084	0.00915651330944687	5.81943921621999e-05	0.00918611786701444
"H._guatemalensis"	0.000368612880314625	1.00441155491713	0.000553420472318326	0.000367116662227381	0.000695057342099749	0.00088002002048282	0.00055444121259492	0.000507667025423247	0.00106732160391876	0.000695797964496606	3.35102618467841e-06	0.0111601283879682	6.91775590397908e-06	4.07907402474867e-06	5.79214451749791e-06	4.07907402474867e-06	1.21512263895066e-05	0.011213936309918	4.07907402474867e-06	5.5444121259492e-06	5.07667025423247e-06	4.50077217449981e-05	5.07667025423247e-06	5.79214451749791e-06	0.0111926293392495	0.0112043128237673	2.27723087696883e-05	4.07907402474867e-06	0.0111778229348723	1.08688147717304e-05	5.35229203458927e-06	1.97910508598615e-05	5.35229203458927e-06	3.35102618467841e-06	5.38079219498263e-05	0.0111601283879681	1.42466387339123e-05	0.0111601283879681	6.91775590397908e-06	3.7734421766866e-05	3.21900096409168e-05	0.0112036675278293	0.011213936309918
"M._curema"	0.000710828120963055	0.000622598031358117	1.00342510398622	0.000552640305298779	0.000920901647310287	0.000553496280485442	0.000762725618503939	0.00071040290909777	0.000920783163490548	0.000921530038286392	6.46207382693686e-06	6.91775590397908e-06	0.0125428137998277	6.1404478366531e-06	7.67418039425239e-06	6.1404478366531e-06	1.19970366317913e-05	0.0126050363915017	6.1404478366531e-06	7.62725618503939e-06	7.1040290909777e-06	0.0125925836727929	7.1040290909777e-06	7.67418039425239e-06	0.0125797948779423	0.01259126868748	2.67283219078084e-05	6.1404478366531e-06	2.01259117379214e-05	1.47782094852301e-05	7.08869260220301e-06	2.23891418163303e-05	7.08869260220301e-06	6.46207382693687e-06	0.0125981186355977	6.91775590397908e-06	1.47618856312909e-05	6.91775590397908e-06	0.0125428137998277	4.2060358842374e-05	3.44331026573346e-05	5.5760517847047e-05	0.0126050363915017
"D._peruvianus"	0.00049240614802254	0.000367116662227381	0.000491235826932248	1.00509611198074	0.000632716698118419	0.000491966321513627	0.000631800792243979	0.000631929307228383	0.000632614014501789	0.00063311234947785	4.47641952747763e-06	4.07907402474867e-06	6.14044783665311e-06	0.0111677345775638	5.27263915098682e-06	0.0111677345775638	9.3960827426139e-06	0.0112154020007637	0.0111677345775638	6.31800792243979e-06	6.31929307228383e-06	0.0112064032635238	6.31929307228383e-06	5.27263915098682e-06	3.19520473849934e-05	4.13494152774514e-05	2.20333837373375e-05	0.0111677345775638	1.42705206940665e-05	1.15919322232707e-05	4.87009499598346e-06	1.64598863726048e-05	4.87009499598346e-06	4.47641952747763e-06	0.011211322926739	4.07907402474867e-06	1.0141878450165e-05	4.07907402474867e-06	6.14044783665311e-06	3.11286082662055e-05	2.48106003437658e-05	0.0112047851333996	0.0112154020007637
"C._trimaculatum"	0.000783221965582875	0.000521293006574812	0.000613934431540191	0.000474537523588814	1.00311566128933	0.000782522598018994	0.000754713530201387	0.000998879732405365	0.00102770151629584	0.00102854450746784	7.12019968711704e-06	5.79214451749791e-06	7.67418039425239e-06	5.27263915098682e-06	0.00835929717741111	5.27263915098682e-06	1.4945425667307e-05	0.00842699355989636	5.27263915098682e-06	7.54713530201387e-06	9.98879732405365e-06	0.00841337618939869	9.98879732405365e-06	0.00835929717741111	0.00839678669775402	0.00841417378544337	3.24813582933745e-05	5.27263915098682e-06	2.21815498001532e-05	0.00836928597473517	7.91188082667567e-06	2.40231954311549e-05	7.91188082667567e-06	7.12019968711704e-06	0.00842120141537887	5.79214451749791e-06	1.6476060129141e-05	5.79214451749791e-06	7.6741803942524e-06	0.00839826579850958	0.00839071866320756	0.008412199179815	0.00842699355989637
"L._argentiventris"	0.00156574674589288	0.000792018018434538	0.000442797024388354	0.000442769689362264	0.000939027117622793	1.00202267018971	0.000862451550051816	0.000820560078553302	0.00127308912475307	0.000939880562244113	1.42340613262989e-05	8.8002002048282e-06	5.53496280485443e-06	4.91966321513626e-06	7.82522598018994e-06	4.91966321513627e-06	0.0100344607632234	0.0100962098582328	4.91966321513627e-06	8.62451550051816e-06	8.20560078553303e-06	6.71829561309406e-05	8.20560078553302e-06	7.82522598018994e-06	4.86238310088005e-05	0.0100826656795172	0.0100512908795094	4.91966321513626e-06	0.0100396359781415	1.6030826765723e-05	7.22985047880087e-06	2.64634420189279e-05	7.22985047880087e-06	1.42340613262989e-05	0.010087409658028	8.8002002048282e-06	1.78389265184098e-05	8.8002002048282e-06	5.53496280485443e-06	0.0100687494312225	0.010060124915722	0.0100764408341017	0.0100962098582328
"D._latifrons"	0.000863220623536326	0.000498997091335428	0.000610180494803151	0.000568620713019581	0.000905656236241664	0.000862451550051816	1.00249022101824	0.000820577768782675	0.00123999598940715	0.00124108861559011	7.8474602139666e-06	5.5444121259492e-06	7.62725618503939e-06	6.31800792243979e-06	7.54713530201387e-06	6.31800792243979e-06	1.64719757144848e-05	0.0100964969105364	6.31800792243979e-06	0.0100249022101824	8.20577768782675e-06	0.01008232798291	8.20577768782675e-06	7.54713530201387e-06	0.0100655011492117	6.52766924315795e-05	0.0100495799635847	6.31800792243979e-06	2.45022275381936e-05	1.57529129898406e-05	9.54683550453933e-06	0.0100447823455987	9.54683550453934e-06	7.8474602139666e-06	0.0100909524984105	5.5444121259492e-06	1.98801354162656e-05	5.5444121259492e-06	7.62725618503939e-06	0.0100688014566152	4.38992464327642e-05	0.0100810221941374	0.0100964969105364
"P._sphenops"	0.000821433559595431	0.000456900322880923	0.000568322327278216	0.000568736376505545	0.00119865567888644	0.000820560078553302	0.000820577768782676	1.00345284455401	0.000696271863965209	0.000696707570546957	7.46757781450392e-06	5.07667025423248e-06	7.10402909097771e-06	6.31929307228383e-06	9.98879732405365e-06	6.31929307228383e-06	1.56731786000369e-05	0.0100980577461068	6.31929307228383e-06	8.20577768782675e-06	0.0100345284455402	0.0100847754750671	0.0100345284455402	9.98879732405365e-06	4.15368288943414e-05	0.0100835326753467	0.010058407401828	6.31929307228383e-06	1.90845365728089e-05	0.0100445172428642	5.35928900420736e-06	1.93673322250775e-05	5.35928900420736e-06	7.46757781450392e-06	0.0100929810758526	5.07667025423247e-06	1.11615545372508e-05	5.07667025423247e-06	7.10402909097771e-06	4.50293081491681e-05	3.68235304613414e-05	0.0100834861392013	0.0100980577461068
"G._maculatus"	0.000783289023146449	0.000800491202939073	0.000613855442327032	0.000474460510876341	0.00102770151629584	0.00106090760396089	0.00103332999117262	0.000580226553304341	1.0020015389819	0.00172520927509172	7.12080930133136e-06	8.89434669932303e-06	7.6731930290879e-06	5.27178345418157e-06	8.56417930246533e-06	5.27178345418157e-06	1.77298853409403e-05	0.00842755261869752	5.27178345418157e-06	1.03332999117262e-05	5.80226553304341e-06	0.0084080491959586	5.80226553304341e-06	8.56417930246533e-06	0.00839874868436936	0.00841194753533162	3.38654507857099e-05	5.27178345418157e-06	0.00836951624758806	1.43664448355087e-05	1.32708405776286e-05	0.00837361696533849	1.32708405776286e-05	7.12080930133136e-06	0.00841865827199821	8.89434669932303e-06	0.00836328366542676	8.89434669932303e-06	7.6731930290879e-06	0.00839991102998189	0.00838957773007017	0.00841275861636711	0.00842755261869753
"E._picta"	0.000723452191750864	0.000481706283113034	0.000567095408176241	0.000438308549638511	0.00094942569920108	0.000722985047880087	0.000954683550453933	0.000535928900420736	0.00159250086931543	1.00313492360106	6.57683810682604e-06	5.35229203458927e-06	7.08869260220301e-06	4.87009499598346e-06	7.91188082667567e-06	4.87009499598346e-06	1.38066885856269e-05	0.00778362910337037	4.87009499598346e-06	9.54683550453933e-06	5.35928900420736e-06	0.00777104696085699	5.35928900420736e-06	7.91188082667567e-06	0.00775959303078456	0.00776921217286986	2.87128130943736e-05	4.87009499598346e-06	2.58529830910187e-05	1.3271169830883e-05	0.00771642248923892	0.00773924016532109	0.00771642248923893	6.57683810682604e-06	0.00777827681133579	5.35229203458927e-06	0.00772969332981655	5.35229203458927e-06	7.08869260220301e-06	0.0077609587347334	0.00775141189922886	0.00776996357266135	0.00778362910337038
