"Microtus_maximowiczii"	"Clethrionomys_rutilus"	"Microtus_oeconomus"	"Spermophilus_undulatus"	"Clethrionomys_rufocanus"	"Cricetulus_barabensis"	"Micromys_minutus"	"Apodemus_peninsulae"	"Amalaraeus_penicilliger"	"Megabothris_calcarifer"	"Ctenophthalmus_assimilis"	"Frontopsylla_luculenta"	"Catallagia_dacenkoi"	"Oropsylla_alaskensis"	"Megabothris_rectangulatus"	"Neopsylla_bidentatiformis"	"Amphipsylla_vinogradovi"	"Peromyscopsylla_ostsibirica"	"Amphipsylla_sibirica"	"Leptopsylla_segnis"	"Rhadinopsylla_rothschildi"
"Microtus_maximowiczii"	1.00293633646657	0.00294551273403135	0.00126656422086227	1.41519812043471e-06	0.00231951184967283	1.41284737187895e-06	0.000630254417807744	2.36657851236005e-09	0.0251802871540957	0.0252101767123098	0.0251486230485742	4.21730215263821e-05	0.0251486230485742	4.71732706811569e-08	0.000106878742431616	9.4268183077122e-08	4.73315702472011e-08	6.47999890883115e-05	3.31358835667547e-05	3.31358835667547e-05	4.2078753343305e-05
"Clethrionomys_rutilus"	0.0016831501337322	1.0040767463128	0.00120515474593453	0.000482417715509002	0.00180981078458844	0.000481616384068811	0.000361307296760552	8.06727611505547e-07	0.0144420155805259	0.0144522918704221	0.0144118867118775	0.0143760879887403	0.0144118867118775	1.60805905169668e-05	0.0143999368271826	3.21344699859271e-05	1.61345522301109e-05	5.59833084281981e-05	2.58544397798349e-05	2.58544397798349e-05	0.0143439535187544
"Microtus_oeconomus"	0.00126656422086227	0.00210902080538542	1.00335442278444	1.01329803984727e-06	0.00273875880211589	1.01161487699585e-06	0.000630216880796512	1.69449728140008e-09	0.0251847786695253	0.0252086752318605	0.000100918099914433	3.01963657455913e-05	0.000100918099914433	3.37766013282424e-08	0.0251531145640038	6.7497097228104e-08	3.38899456280016e-08	0.0251229856953554	3.91251257445128e-05	3.91251257445128e-05	3.01288686483632e-05
"Spermophilus_undulatus"	1.88693082724628e-06	0.00112564133618767	1.3510640531297e-06	1.00615707346849	2.02892641154378e-06	0.00280791994041565	4.05051137568324e-07	4.70338348478333e-06	1.61905250519982e-05	1.6202045502733e-05	1.615674845067e-05	0.0336482470374806	1.615674845067e-05	0.0335385691156164	1.6143351781317e-05	0.0336321664469636	9.40676696956666e-05	6.27612643502964e-08	2.8984663022054e-08	2.8984663022054e-08	1.60805905169667e-05
"Clethrionomys_rufocanus"	0.00132543534267019	0.00180981078458844	0.00156500502978051	8.6953989066162e-07	1.00539656082065	8.68095520709011e-07	2.45903381180708e-06	1.45409634959633e-09	0.0144609234608147	9.8361352472283e-05	0.0144217983350702	2.59123609602139e-05	0.0144217983350702	2.8984663022054e-08	0.0144277875772479	5.7921180379021e-08	2.90819269919267e-08	0.0144019331374681	0.0143628080117236	0.0143628080117236	2.58544397798349e-05
"Cricetulus_barabensis"	1.8837964958386e-06	0.00112377156282723	1.34881983599446e-06	0.00280791994041565	2.02555621498769e-06	1.00448110812709	4.04378317725719e-07	0.00168254791981087	1.61636313946132e-05	1.61751327090288e-05	1.61299108987133e-05	0.0335923548150526	1.61299108987133e-05	9.35973313471883e-05	1.61165364822172e-05	0.0335763009355836	0.0336509583962175	6.26570132568286e-08	2.8936517356967e-08	2.8936517356967e-08	1.60538794689604e-05
"Micromys_minutus"	0.00252101767123098	0.00252915107732386	0.00252086752318605	1.21515341270497e-06	1.72132366826495e-05	1.21313495317716e-06	1.00251033027217	2.03205184786794e-09	0.000162423762917661	0.100413210886753	9.94020748380104e-05	3.62116726215846e-05	9.94020748380103e-05	4.05051137568325e-08	9.93983211368871e-05	8.09429455294044e-08	4.06410369573587e-08	6.32675914608319e-05	2.45903381180708e-07	2.45903381180708e-07	3.61307296760552e-05
"Apodemus_peninsulae"	9.46631404944022e-09	5.64709328053883e-06	6.77798912560032e-09	1.411015045435e-05	1.01786744471743e-08	0.00504764375943262	2.03205184786794e-09	1.00503358064281	8.12242783648903e-08	8.12820739147175e-08	8.10548286367503e-08	0.000168805803090716	8.10548286367503e-08	4.70338348478333e-07	8.09876205136543e-08	0.000168725130329566	0.100671612856262	3.14859363099641e-10	1.45409634959633e-10	1.45409634959633e-10	8.06727611505547e-08
"Amalaraeus_penicilliger"	0.0251802871540957	0.0252735272659203	0.0251847786695253	1.21428937889986e-05	0.0253066160564257	1.21227235459599e-05	4.06059407294154e-05	2.03060695912226e-08	1.00198170012162	0.00162423762917661	0.00135208065488591	0.000361859243424312	0.00135208065488591	4.04763126299955e-07	0.00135219294277165	8.08853911165284e-07	4.06121391824452e-07	0.0009911425532585	0.000361523086520367	0.000361523086520367	0.000361050389513146
"Megabothris_calcarifer"	0.0252101767123098	0.0252915107732386	0.0252086752318605	1.21515341270497e-05	0.000172132366826495	1.21313495317716e-05	0.0251033027216883	2.03205184786794e-08	0.00162423762917661	1.00413210886753	0.000994020748380104	0.000362116726215846	0.000994020748380103	4.05051137568324e-07	0.000993983211368871	8.09429455294044e-07	4.06410369573587e-07	0.000632675914608319	2.45903381180708e-06	2.45903381180708e-06	0.000361307296760552
"Ctenophthalmus_assimilis"	0.0335314973980989	0.0336277356610475	0.000134557466552577	1.615674845067e-05	0.0336508627818304	1.61299108987133e-05	3.31340249460034e-05	2.70182762122501e-08	0.00180277420651454	0.00132536099784014	1.00179941026985	0.000481472445707563	0.00179941026985073	5.38558281688999e-07	0.000964486771562071	1.07622197831278e-06	5.40365524245002e-07	0.00048409054783282	0.000480726611169006	0.000480726611169006	0.00048039622372925
"Frontopsylla_luculenta"	5.62306953685095e-05	0.0335442053070607	4.02618209941217e-05	0.0336482470374806	6.04621755738324e-05	0.0335923548150525	1.20705575405282e-05	5.62686010302388e-05	0.000482478991232416	0.000482822301621128	0.000481472445707563	1.00272055632804	0.000481472445707563	0.00112160823458269	0.000481073223848203	0.00224135339508444	0.00112537202060478	1.87029089019351e-06	8.63745365340464e-07	8.63745365340464e-07	0.000479202932958009
"Catallagia_dacenkoi"	0.0335314973980989	0.0336277356610475	0.000134557466552577	1.615674845067e-05	0.0336508627818304	1.61299108987133e-05	3.31340249460035e-05	2.70182762122501e-08	0.00180277420651454	0.00132536099784014	0.00179941026985073	0.000481472445707563	1.00179941026985	5.38558281688999e-07	0.000964486771562071	1.07622197831278e-06	5.40365524245002e-07	0.000484090547832821	0.000480726611169006	0.000480726611169006	0.00048039622372925
"Oropsylla_alaskensis"	1.88693082724628e-07	0.000112564133618767	1.3510640531297e-07	0.100615707346849	2.02892641154378e-07	0.000280791994041565	4.05051137568324e-08	4.70338348478333e-07	1.61905250519982e-06	1.6202045502733e-06	1.615674845067e-06	0.00336482470374806	1.615674845067e-06	1.00335385691156	1.6143351781317e-06	0.00336321664469636	9.40676696956667e-06	6.27612643502964e-09	2.8984663022054e-09	2.8984663022054e-09	1.60805905169667e-06
"Megabothris_rectangulatus"	0.000142504989908822	0.0335998525967593	0.0335374860853384	1.6143351781317e-05	0.0336648376802452	1.61165364822172e-05	3.31327737122957e-05	2.69958735045514e-08	0.00180292392369553	0.00132531094849183	0.00096448677156207	0.000481073223848203	0.000964486771562071	5.38111726043902e-07	1.00179936129895	1.07532960878448e-06	5.39917470091029e-07	0.00131936340470839	0.000480926252574931	0.000480926252574931	0.000479997894239419
"Neopsylla_bidentatiformis"	1.88536366154244e-07	0.000112470644950745	1.34994194456208e-07	0.0504482496704454	2.02724131326574e-07	0.0503644514033754	4.04714727647022e-08	8.43625651647829e-05	1.61770782233057e-06	1.61885891058809e-06	1.61433296746916e-06	0.00336203009262666	1.61433296746916e-06	0.00168160832234818	1.61299441317671e-06	1.00336042336913	0.00168725130329566	6.27091388035625e-09	2.89605901895105e-09	2.89605901895105e-09	1.60672349929636e-06
"Amphipsylla_vinogradovi"	9.46631404944022e-08	5.64709328053883e-05	6.77798912560032e-08	0.0001411015045435	1.01786744471743e-07	0.0504764375943262	2.03205184786794e-08	0.0503358064281312	8.12242783648903e-07	8.12820739147175e-07	8.10548286367503e-07	0.00168805803090716	8.10548286367503e-07	4.70338348478333e-06	8.09876205136543e-07	0.00168725130329566	1.00671612856262	3.14859363099641e-09	1.45409634959633e-09	1.45409634959633e-09	8.06727611505547e-07
"Peromyscopsylla_ostsibirica"	0.000129599978176623	0.000195941579498693	0.0502459713907108	9.41418965254446e-08	0.0504067659811384	9.39855198852429e-08	3.16337957304159e-05	1.57429681549821e-10	0.001982285106517	0.00126535182921664	0.000726135821749231	2.80543633529026e-06	0.000726135821749231	3.13806321751482e-09	0.00197904510706258	6.27091388035625e-09	3.14859363099641e-09	1.00197624594164	0.000720096656873405	0.000720096656873405	2.7991654214099e-06
"Amphipsylla_sibirica"	0.000132543534267019	0.000180981078458844	0.000156500502978051	8.6953989066162e-08	0.100539656082065	8.68095520709011e-08	2.45903381180708e-07	1.45409634959633e-10	0.00144609234608147	9.8361352472283e-06	0.00144217983350702	2.59123609602139e-06	0.00144217983350702	2.8984663022054e-09	0.00144277875772479	5.7921180379021e-09	2.90819269919267e-09	0.00144019331374681	1.00143628080117	0.00143628080117236	2.58544397798349e-06
"Leptopsylla_segnis"	0.000132543534267019	0.000180981078458844	0.000156500502978051	8.6953989066162e-08	0.100539656082065	8.68095520709011e-08	2.45903381180708e-07	1.45409634959633e-10	0.00144609234608147	9.8361352472283e-06	0.00144217983350702	2.59123609602139e-06	0.00144217983350702	2.8984663022054e-09	0.00144277875772479	5.7921180379021e-09	2.90819269919267e-09	0.00144019331374681	0.00143628080117236	1.00143628080117	2.58544397798349e-06
"Rhadinopsylla_rothschildi"	0.00016831501337322	0.100407674631281	0.000120515474593453	4.82417715509002e-05	0.000180981078458844	4.81616384068811e-05	3.61307296760552e-05	8.06727611505547e-08	0.00144420155805259	0.00144522918704221	0.00144118867118775	0.00143760879887403	0.00144118867118775	1.60805905169667e-06	0.00143999368271826	3.21344699859271e-06	1.61345522301109e-06	5.59833084281981e-06	2.58544397798349e-06	2.58544397798349e-06	1.00143439535188
