"Hedera_helix"	"Ilex_aquifolium"	"Unidentified_sp1_M_SD_024"	"Solanum_nigrum"	"Sorbus_aucuparia"	"Unidentified_sp2_M_SD_024"	"Fragaria_vespa"	"Rosa_sp1_M_SD_024"	"Vaccinium_myrtillus"	"Prunus_spinosa"	"Taxus_bacatta"	"Unidentified_sp3_M_SD_024"	"Turdus_merula"	"Turdus_iliacus"	"Erithacus_rubecula"	"Garrulus_glandarius"	"Sylvia_atricapilla"	"Turdus_viscivorus"	"Turdus_philomelos"
"Hedera_helix"	1.00200041433457	0.00133165642775126	0.000830410622693729	0.00082880893461836	0.00166461329254492	0.00104321577326458	0.000540368280131683	0.000492496957180606	0.000874926833000711	0.000204056302693929	1.60168807536835e-06	0.000288440654486677	0.0202454614618561	0.0201908458140674	0.0201480625214017	9.61012845221011e-05	8.45049395904134e-05	0.0201343371418916	0.0201107878467717
"Ilex_aquifolium"	0.00133165642775126	1.0016660298534	0.00116476963035567	0.000828449675394521	0.000995716343651956	0.00137766900188502	0.00054008882388212	0.000827107560316586	0.000206095269097803	0.000538746708804186	0.000336319954961151	0.000288360851512401	0.0202426753843035	0.020185259605868	0.0201564050459581	0.0201791972976691	6.88794375913072e-05	0.0201192883592614	5.83958794495842e-05
"Unidentified_sp1_M_SD_024"	0.000830410622693728	0.00116476963035567	1.00166603704164	0.00132992645142071	0.000494358790190163	0.000876552268554843	0.00104170908961988	0.000826863388313866	0.000707408839678469	0.000538646026513037	0.000336110590224096	0.000288217361800829	0.0202535436288941	0.020175215326058	0.0201631099502139	0.0201666354134457	0.020124872833095	7.41763815296131e-05	5.25474768645776e-05
"Solanum_nigrum"	0.00103601116827295	0.00103556209424315	0.00166240806427589	1.00166067121649	0.000616403649661693	0.000675732668325414	0.00130084179057463	0.000614111203801893	0.000883420193776695	0.000254281777884157	1.73684778351898e-06	0.000359829425917736	0.0252544930100638	0.0251880598142415	0.0251764511166754	0.000104210867011139	0.0251475736745095	7.37348731999997e-05	6.55776543995578e-05
"Sorbus_aucuparia"	0.00208076661568115	0.00124464542956495	0.000617948487737704	0.000616403649661693	1.00207868431631	0.000884606621428747	0.000256364841525495	0.000614048367336994	0.00109194856634847	0.000254009559200796	1.54483807601076e-06	0.000360038808136198	0.0252464721124785	0.0252027165695339	0.000124937962154453	9.26902845606456e-05	7.27128412587618e-05	0.0251405905143484	0.0251299807257664
"Unidentified_sp2_M_SD_024"	0.00130401971658073	0.00172208625235628	0.00109569033569355	0.000675732668325414	0.000884606621428747	1.0017200271849	0.000673673600868006	0.000674532208090875	0.000256151637308613	0.000672473140633467	0.000419957667368139	2.05906745740812e-06	0.0252515473265329	0.000144134722018569	0.0251647857091188	0.0251974600420883	6.98012980278937e-05	0.0251256379645369	5.67339477776203e-05
"Fragaria_vespa"	0.000900613800219472	0.000900148039803533	0.00173618181603314	0.00173445572076618	0.000341819788700659	0.000898231467824008	1.00173253914879	0.000339678615329381	0.00117593699295074	0.000337762043349856	1.72609526695836e-06	1.91657197952465e-06	0.0336035948082898	0.000134160038566726	0.0335276406911288	0.000103565716017502	0.0335083675673977	6.70165182135768e-05	6.57556704869306e-05
"Rosa_sp1_M_SD_024"	0.000820828261967677	0.00137851260052764	0.00137810564718978	0.000818814938402524	0.000818731156449325	0.0008993762774545	0.000339678615329381	1.00137424200743	0.000339187880038313	0.000895105684358711	0.000559290708787252	0.000479136323073144	0.0335814975571459	0.0335395426151201	0.000125826331101107	0.0335574425272351	7.06613695827818e-05	8.6939503097502e-05	4.81911068185304e-05
"Vaccinium_myrtillus"	0.00145821138833452	0.000343492115163006	0.00117901473279745	0.00117789359170226	0.00145593142179795	0.000341535516411484	0.00117593699295074	0.000339187880038313	1.00228949744068	0.000337231281286792	1.12114109518831e-06	1.95659875152144e-06	0.0336110140191604	0.000136961912606501	0.000136797992193768	6.72684657112984e-05	0.0335018754489029	8.09707435251864e-05	0.033475212428001
"Prunus_spinosa"	0.000510140756734823	0.00134686677201046	0.00134661506628259	0.000508563555768314	0.000508019118401591	0.00134494628126693	0.000506643065024784	0.00134265852653807	0.000505846921930188	1.00134073803579	0.000838051510514277	1.92049074352991e-06	0.050268652528026	0.000134434352047094	0.000127298299993932	0.0502830906308566	7.33960564516921e-05	8.34642855666189e-05	3.97648571590758e-05
"Taxus_bacatta"	8.00844037684176e-06	0.00168159977480576	0.00168055295112048	6.94739113407593e-06	6.17935230404304e-06	0.00167983066947255	5.17828580087508e-06	0.00167787212636175	3.36342328556492e-06	0.00167610302102855	1.00167360555999	1.76910533320085e-06	0.000249746104215196	0.00012383737332406	0.000109745284367923	0.100416333599184	3.40694674369761e-05	7.59424148480669e-05	4.26766724656742e-07
"Unidentified_sp3_M_SD_024"	0.00144220327243338	0.001441804257562	0.00144108680900415	0.00143931770367094	0.00144015523254479	8.23626982963249e-06	5.74971593857396e-06	0.00143740896921943	5.86979625456432e-06	3.84098148705982e-06	1.76910533320085e-06	1.00143356798773	0.000207187615385897	0.100349759141266	0.000122882393315458	0.000106146319992051	6.51919958449612e-05	9.38899381592684e-05	6.50436061374396e-05
"Turdus_merula"	0.010122730730928	0.0101213376921517	0.010126771814447	0.0101017972040255	0.0100985888449914	0.0101006189306131	0.0100810784424869	0.0100744492671438	0.0100833042057481	0.0100537305056052	2.49746104215196e-05	2.07187615385897e-05	1.00287558951837	0.00145031330770128	0.0014485131561994	0.00149847662529117	0.00112722645466408	0.000909861562851708	0.000791029475934949
"Turdus_iliacus"	0.0144220327243338	0.01441804257562	0.0144108680900415	0.0143931770367094	0.0144015523254479	8.23626982963249e-05	5.74971593857396e-05	0.0143740896921943	5.86979625456432e-05	3.84098148705982e-05	1.76910533320085e-05	0.0143356798773237	0.00207187615385897	1.00349759141266	0.00122882393315458	0.00106146319992051	0.000651919958449612	0.000938899381592683	0.000650436061374396
"Erithacus_rubecula"	0.0167900521011681	0.0167970042049651	0.0168025916251783	0.0167843007444503	8.32919747696356e-05	0.0167765238060792	0.0167638203455644	6.29131655505534e-05	6.83989960968838e-05	4.24327666646439e-05	1.82908807279872e-05	2.04803988859096e-05	0.00241418859366567	0.00143362792201367	1.00240560758391	0.00109745284367923	0.0013167333291702	0.00109323652064389	0.000340163307929166
"Garrulus_glandarius"	8.00844037684176e-05	0.0168159977480576	0.0168055295112048	6.94739113407593e-05	6.17935230404304e-05	0.0167983066947255	5.17828580087508e-05	0.0167787212636175	3.36342328556492e-05	0.0167610302102855	0.016736055599864	1.76910533320085e-05	0.00249746104215196	0.0012383737332406	0.00109745284367923	1.00416333599184	0.000340694674369761	0.000759424148480668	4.26766724656742e-06
"Sylvia_atricapilla"	0.000105631174488017	8.6099296989134e-05	0.0251560910413688	0.0251475736745095	7.27128412587617e-05	6.98012980278938e-05	0.0251312756755483	5.29960271870863e-05	0.0251264065866772	3.6698028225846e-05	8.51736685924403e-06	1.62979989612403e-05	0.0028180661366602	0.00114085992728682	0.0019750999937553	0.000511042011554642	1.0028070672381	7.3974629117094e-06	0.000841477330743802
"Turdus_viscivorus"	0.0251679214273645	0.0251491104490767	9.27204769120164e-05	7.37348731999997e-05	0.0251405905143484	0.0251256379645369	5.02623886601826e-05	6.52046273231265e-05	6.07280576438898e-05	4.17321427833094e-05	1.89856037120167e-05	2.34724845398171e-05	0.00227465390712927	0.0016430739177872	0.00163985478096583	0.001139136222721	7.3974629117094e-06	1.0022629963495	0.00113389745999413
"Turdus_philomelos"	0.0335179797446195	9.7326465749307e-05	8.75791281076294e-05	8.74368725327438e-05	0.0335066409676885	7.56452637034938e-05	6.57556704869306e-05	4.81911068185304e-05	0.033475212428001	2.65099047727172e-05	1.42255574885581e-07	2.16812020458132e-05	0.00263676491978316	0.00151768414320693	0.000680326615858332	8.53533449313484e-06	0.00112196977432507	0.00151186327999217	1.00262386603335
