"Saxifraga_tricuspidata"	"Dryas_integrifolia"	"Campanula_gieseckiana"	"Ledum_palustre"	"Polygonum_viviparum"	"Silene_acaulis"	"Rhododendron_lapponicum"	"Salix_sp1_M_PL_045"	"Cerastium_alpinum"	"Epilobium_latifolium"	"Vaccinium_uliginosum"	"Viscaria_alpina"	"Cassiope_tetragona"	"Pedicularis_flammea"	"Potentilla_rubricaulis"	"Pyrola_grandiflora"	"Saxifraga_caespitosa"	"Unidentified_sp1_M_PL_045"	"Nysius_groenlandicus"	"Acarina_sp1_M_PL_045"	"Unidentified_sp2_M_PL_045"	"Thysanoptera_sp1_M_PL_045"	"Unidentified_sp3_M_PL_045"	"Eupeodes_curtus"	"Dolichopus_sp1_M_PL_045"	"Spilogona_sp1_M_PL_045"	"Platycheirus_hyperboreus"	"Platycheirus_lundbecki"	"Delia_sp1_M_PL_045"	"Pegomya_sp1_M_PL_045"	"Sphaerophoria_scripta"	"Unidentified_sp4_M_PL_045"	"Coccinella_transversoguttata"	"Eupeodes_luniger"	"Lasiomma_sp1_M_PL_045"	"Platycheirus_groenlandicus"	"Protophormia_terranovae"	"Sympsitis_zetterstedtii"	"Unidentified_sp5_M_PL_045"	"Unidentified_sp6_M_PL_045"	"Unidentified_sp7_M_PL_045"	"Unidentified_sp8_M_PL_045"	"Unidentified_sp9_M_PL_045"
"Saxifraga_tricuspidata"	1.00340690447871	0.00174426436600169	0.00042367239018227	0.000759921700406611	0.000212716887964679	0.000843066481979207	0.000546486135449131	0.000982335573117396	0.00033758337018487	3.36285089437021e-07	0.00042119753990153	3.36285089437021e-07	0	0.000210454402184725	3.36285089437021e-07	6.54781942950051e-07	0.000210743137716805	0.016836352174778	1.68142544718511e-05	4.70747100202522e-06	0.0168594510173444	0.0167871498866163	0.0167574762398058	3.27390971475025e-05	1.73728326754687e-05	0.0167604658284922	2.93203608253105e-05	1.71665021877516e-05	4.70747100202522e-06	2.93203608253105e-05	2.37118101918887e-05	1.69196994327371e-05	2.45583893279349e-05	1.24590311857264e-05	1.24590311857264e-05	4.70747100202522e-06	4.70747100202522e-06	4.25433775929357e-06	1.26653616734435e-05	0	0.0167234484079785	4.70747100202522e-06	1.24590311857264e-05
"Dryas_integrifolia"	0.000747541871143582	1.00462695985712	0.000688646010424917	0.000327746809028881	0.000381146915410732	0.00108154111314631	0.000235243425712447	0.000422366220655847	0.000648966772293737	0.000144537822825563	0.00018134613701006	0.000144537822825563	0	9.06471659206908e-05	0.000144537822825563	0.000144545363577388	9.06989710893693e-05	0.00725177327365526	0.00722689114127817	7.65162233805464e-06	0.00725591768714953	0.00722722273115391	0.00721764833190899	0.00722726817886942	1.31140691552027e-05	0.0071989250428244	0.00719753767838521	0.00718355847846034	7.65162233805463e-06	0.00719753767838521	0.00719753908186541	1.30853851253627e-05	1.05591555163962e-05	0.00717590685612228	0.00717590685612228	7.65162233805463e-06	7.65162233805463e-06	7.62293830821464e-06	5.46244681714802e-06	0	1.24590311857264e-05	7.65162233805463e-06	0.00717590685612228
"Campanula_gieseckiana"	0.000282448260121513	0.00107122712732765	1.00722055952639	0.000563001068377867	0.000226464378842566	0.000282307897341032	9.30654336687967e-07	1.16033684051333e-06	0.000226016159197586	2.45088730682213e-07	7.44499273042289e-07	2.45088730682213e-07	0	4.00301919750286e-07	2.45088730682213e-07	0.000224670427498625	3.44197353292002e-07	3.20241535800229e-05	1.22544365341106e-05	0.0111913395502932	2.75357882633602e-05	2.93228491697982e-05	0.0112093448015801	0.0112335213749312	0.0112007229014328	1.23881017610927e-05	1.32977802848753e-05	0.0111989911726312	0.0111913395502932	1.32977802848753e-05	1.51854943113075e-05	1.39126387164824e-05	2.90084210128332e-08	7.65162233805464e-06	7.65162233805464e-06	0.0111913395502932	0.0111913395502932	4.52928757685132e-06	9.38335113963112e-06	0	4.70747100202522e-06	0.0111913395502932	7.65162233805464e-06
"Ledum_palustre"	0.000759921700406611	0.000764742554400723	0.0008445016025668	1.00410533780636	0.00105183004941717	0.000423255408657203	0.000546356699682717	0.000422977431517836	0.000337616200288257	5.33180036327797e-07	0.00042096324646309	5.33180036327797e-07	0	0.000210442316385514	5.33180036327797e-07	9.44614675111513e-07	0.000210520930077576	0.0168353853108411	2.66590018163898e-05	9.38335113963112e-06	0.0168416744062061	0.0167917884802571	3.59762678033667e-05	4.72307337555757e-05	0.016744472314579	2.87022442785374e-05	1.39275549902921e-05	1.48457979567791e-05	9.38335113963111e-06	1.39275549902921e-05	1.67163201600899e-05	0.0167561255644277	1.05744357879459e-05	5.46244681714802e-06	5.46244681714802e-06	9.38335113963111e-06	9.38335113963111e-06	2.10366009883435e-05	0.0167350889634394	0	1.26653616734435e-05	9.38335113963111e-06	5.46244681714802e-06
"Polygonum_viviparum"	0.000255260265557614	0.00106721136315005	0.000407635881916619	0.00126219605930061	1.00407246939955	0.000254568807644485	1.64421458132605e-06	0.000254002511945512	0.000404933798110784	0.000404206686645859	0.000252759927703443	0.000404206686645859	0	0.000252045590743223	0.000404206686645859	0.00040294788391075	7.14336960220497e-07	0.0201636472594578	0.0202103343322929	4.52928757685133e-06	5.71469568176397e-05	4.64938810552775e-05	2.14979397972493e-05	0.0201473941955375	2.55658885651948e-05	1.8227338866146e-05	1.27143144611044e-05	1.2152225885066e-05	4.52928757685132e-06	1.27143144611043e-05	2.11207315785741e-05	0.0201024859889793	6.3500627986378e-06	7.62293830821464e-06	7.62293830821464e-06	4.52928757685133e-06	4.52928757685133e-06	0.020081449387991	2.10366009883435e-05	0	4.25433775929357e-06	4.52928757685133e-06	7.62293830821464e-06
"Silene_acaulis"	0.00101167977837505	0.00302831511680966	0.000508154215213858	0.000507906490388644	0.000254568807644485	1.00301528676628	0.000253483039018973	0.000507456603127256	2.93163262439346e-06	5.37669988245791e-07	0.000504482009386748	5.37669988245791e-07	0	0.000252193553030057	5.37669988245791e-07	6.50622794591508e-07	0.000252288456356691	0.0201754842424046	2.68834994122896e-05	5.64615794682065e-06	0.0201830765085353	5.97291331140828e-05	0.0201044440451748	3.25311397295754e-05	1.41112661199647e-05	5.11785669806917e-05	0.0200819365575884	2.72769802097468e-05	5.64615794682065e-06	0.0200819365575884	2.17285433504059e-05	1.35564843260338e-05	1.26864150781814e-05	2.16308222629261e-05	2.16308222629261e-05	5.64615794682065e-06	5.64615794682065e-06	5.0913761528897e-06	8.46510817314408e-06	0	1.68613296395842e-05	5.64615794682065e-06	2.16308222629261e-05
"Rhododendron_lapponicum"	0.00163945840634739	0.00164670397998713	4.18794451509585e-06	0.00163907009904815	4.11053645331511e-06	0.000633707597547432	1.00163201694483	0.000633382945241704	0.00100680827658535	2.38317545567176e-07	0.000629968786155629	2.38317545567176e-07	0	1.58315004582045e-06	2.38317545567176e-07	9.10845503360752e-07	0.000628385636109808	0.000126652003665636	1.19158772783588e-05	4.65327168343984e-08	0.0502708508887846	0.0501815654361701	5.1807162725862e-05	4.55422751680376e-05	2.73643677009703e-05	5.49210516891215e-05	2.4436323236571e-05	1.18087040024568e-05	4.65327168343983e-08	2.4436323236571e-05	4.53224471718008e-05	2.74000457132021e-05	1.58345736310426e-05	1.17621712856224e-05	1.17621712856224e-05	4.65327168343983e-08	4.65327168343983e-08	8.22107290663023e-08	2.73178349841359e-05	0	2.73243067724565e-05	4.65327168343983e-08	1.17621712856224e-05
"Salix_sp1_M_PL_045"	0.00147350335967609	0.00147828177229546	2.61075789115499e-06	0.000634466147276754	0.00031750313993189	0.00063432075390907	0.000316691472620852	1.00397856617806	2.10424783744897e-06	3.40225720624426e-07	0.000630800372641024	3.40225720624426e-07	0	0.000315340833937331	3.40225720624426e-07	3.40849064742053e-07	0.000315459538703694	0.0252272667149864	1.70112860312213e-05	2.90084210128332e-08	0.0252367630962955	6.15966958579012e-05	4.78329683435253e-05	1.70424532371026e-05	1.06034442089587e-05	0.0251345816992959	2.32455705945776e-05	1.0588163937409e-05	2.90084210128332e-08	2.32455705945776e-05	1.06292971109778e-05	1.69244985865837e-05	0.0250994641544516	1.05591555163962e-05	1.05591555163962e-05	2.90084210128332e-08	2.90084210128332e-08	6.3500627986378e-06	1.05744357879459e-05	0	2.45583893279349e-05	2.90084210128332e-08	1.05591555163962e-05
"Cerastium_alpinum"	0.00067516674036974	0.00302851160403744	0.000678048477592758	0.000675232400576514	0.000674889663517973	4.8860543739891e-06	0.000671205517723568	2.80566378326529e-06	1.00301387223075	7.06841428842737e-07	1.70014474567817e-06	7.06841428842737e-07	0	7.24524922176891e-07	7.06841428842737e-07	0.000670870934509252	9.75619823501283e-07	5.79619937741513e-05	3.53420714421368e-05	7.53387197325286e-06	7.80495858801026e-05	0.0335114948950033	4.05165978100195e-05	0.0335435467254626	1.87877453161948e-05	3.29551463438685e-05	2.17299468306043e-05	2.91660977163774e-05	7.53387197325286e-06	2.17299468306043e-05	0.0334554279667681	2.47516666133013e-05	7.01415945816322e-08	2.16322257431246e-05	2.16322257431246e-05	7.53387197325286e-06	7.53387197325286e-06	1.34977932703595e-05	1.12538733429419e-05	0	1.12527790061623e-05	7.53387197325286e-06	2.16322257431246e-05
"Epilobium_latifolium"	2.01771053662213e-06	0.00202352951955789	2.20579857613991e-06	3.19908021796678e-06	0.00202103343322929	2.68834994122896e-06	4.76635091134353e-07	1.3609028824977e-06	2.12052428652821e-06	1.00201317654831	8.73452846506044e-07	0.0020131765483088	0	6.89522649223167e-07	0.0020131765483088	1.1015960714047e-06	1.83930197282877e-07	5.51618119378534e-05	0.10065882741544	2.45088730682213e-08	1.47144157826301e-05	1.46352446925738e-05	1.45656866633928e-05	5.50798035702352e-05	7.78268767010009e-08	1.45214333635625e-05	1.45075492813809e-05	1.44782911556246e-05	2.45088730682212e-08	1.45075492813809e-05	1.45244664254406e-05	4.04739866682186e-05	3.40225720624426e-08	1.44537822825563e-05	1.44537822825563e-05	2.45088730682213e-08	2.45088730682213e-08	4.04206686645859e-05	5.33180036327797e-08	0	3.36285089437021e-08	2.45088730682213e-08	1.44537822825563e-05
