"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"
"R1"	1.00113260739727	0.00113521625417918	0.000503940999898385	0.00113545160743813	0.00113545160743813	0.00114186668663448	0.00113806046434569	0.00113260739727162	0.000503940999898385	0.00114186668663448	0.000142210508325667	0.000104354276302431	3.80622228878159e-05	0.0502933117898588	0.0503940999898385	3.80622228878159e-05
"R2"	0.000756810836119454	1.00159380528892	0.000336734521076509	0.000759690114989978	0.000759690114989978	0.00160202464996045	0.00159668456779392	0.000756810836119454	0.000336734521076509	0.00160202464996045	0.000143963943526195	0.0334797781121576	5.34008216653485e-05	0.0336061052034356	0.0336734521076509	5.34008216653485e-05
"R3"	0.00100788199979677	0.00101020356322953	1.00100461935475	0.0010104129988326	0.0010104129988326	0.00101612163437996	0.00101273456226536	0.00100788199979677	0.00100461935474828	0.00101612163437996	0.000126549951791472	9.28625373102833e-05	3.38707211459985e-05	0.0002610116038788	0.100461935474828	3.38707211459985e-05
"R4"	0.000756967738292089	0.000759690114989978	0.0003368043329442	1.0014272087913	0.00142720879129547	0.00143471354648163	0.00142993116799336	0.000756967738292089	0.0003368043329442	0.00143471354648163	0.0335120526501689	0.000108895067915554	4.78237848827209e-05	0.0336130724278311	0.03368043329442	4.78237848827209e-05
"R5"	0.000756967738292089	0.000759690114989978	0.0003368043329442	0.00142720879129547	1.0014272087913	0.00143471354648163	0.00142993116799336	0.000756967738292089	0.0003368043329442	0.00143471354648163	0.0335120526501689	0.000108895067915554	4.78237848827209e-05	0.0336130724278311	0.03368043329442	4.78237848827209e-05
"R6"	0.000380622228878158	0.000801012324980227	0.000169353605729993	0.000717356773240814	0.000717356773240814	1.00281379284549	0.00113774686934288	0.000380622228878158	0.000169353605729993	0.00281379284549453	0.0168367272181328	0.0168156038440827	0.0167604597615165	0.0169014898518533	0.0169353605729993	0.0167604597615165
"R7"	0.000569030232172847	0.00119751342584544	0.000253183640566339	0.00107244837599502	0.00107244837599502	0.00170662030401432	1.00170093156967	0.000569030232172847	0.000253183640566339	0.00170662030401432	0.0251709071911085	0.0251393277469037	5.68873434671441e-05	0.0252677273285206	0.0253183640566339	5.68873434671441e-05
"R8"	0.00113260739727162	0.00113521625417918	0.000503940999898385	0.00113545160743813	0.00113545160743813	0.00114186668663448	0.00113806046434569	1.00113260739727	0.000503940999898385	0.00114186668663448	0.000142210508325667	0.000104354276302431	3.80622228878159e-05	0.0502933117898588	0.0503940999898385	3.80622228878159e-05
"R9"	0.00100788199979677	0.00101020356322953	0.00100461935474828	0.0010104129988326	0.0010104129988326	0.00101612163437996	0.00101273456226536	0.00100788199979677	1.00100461935475	0.00101612163437996	0.000126549951791472	9.28625373102833e-05	3.38707211459985e-05	0.0002610116038788	0.100461935474828	3.38707211459985e-05
"R10"	0.000380622228878158	0.000801012324980227	0.000169353605729993	0.000717356773240814	0.000717356773240814	0.00281379284549453	0.00113774686934288	0.000380622228878158	0.000169353605729993	1.00281379284549	0.0168367272181328	0.0168156038440827	0.0167604597615165	0.0169014898518533	0.0169353605729993	0.0167604597615165
"C1"	5.68842033302668e-05	8.6378366115717e-05	2.53099903582945e-05	0.0201072315901014	0.0201072315901014	0.0202040726617593	0.0201367257528868	5.68842033302668e-05	2.53099903582945e-05	0.0202040726617593	1.00251736933855	0.00117976651141801	0.000673469088725311	0.00252593703775779	0.00253099903582945	0.000673469088725311
"C2"	5.21771381512154e-05	0.0251098335841182	2.32156343275708e-05	8.16713009366656e-05	8.16713009366656e-05	0.0252234057661241	0.0251393277469037	5.21771381512154e-05	2.32156343275708e-05	0.0252234057661241	0.00147470813927251	1.00230625783868	0.000840780192204137	0.00231692030589157	0.00232156343275708	0.000840780192204137
"C3"	3.80622228878159e-05	8.01012324980227e-05	1.69353605729993e-05	7.17356773240814e-05	7.17356773240814e-05	0.0502813792845495	0.000113774686934288	3.80622228878159e-05	1.69353605729993e-05	0.0502813792845495	0.00168367272181328	0.00168156038440827	1.00167604597615	0.00169014898518533	0.00169353605729993	0.00167604597615165
"C4"	0.0125733279474647	0.0126022894512883	3.262645048485e-05	0.0126049021604367	0.0126049021604367	0.01267611738889	0.0126338636642603	0.0125733279474647	3.262645048485e-05	0.01267611738889	0.00157871064859862	0.00115846015294578	0.000422537246296332	1.00325611975839	0.003262645048485	0.000422537246296332
"C5"	0.0100788199979677	0.0101020356322953	0.0100461935474828	0.010104129988326	0.010104129988326	0.0101612163437996	0.0101273456226536	0.0100788199979677	0.0100461935474828	0.0101612163437996	0.00126549951791472	0.000928625373102833	0.000338707211459985	0.002610116038788	1.00461935474828	0.000338707211459985
"C6"	3.80622228878159e-05	8.01012324980227e-05	1.69353605729993e-05	7.17356773240814e-05	7.17356773240814e-05	0.0502813792845495	0.000113774686934288	3.80622228878159e-05	1.69353605729993e-05	0.0502813792845495	0.00168367272181328	0.00168156038440827	0.00167604597615165	0.00169014898518533	0.00169353605729993	1.00167604597615
