"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"
"R1"	1.00044591887761	0.000449492973935256	0.000447042712366358	6.96405373818909e-05	0.000449253690186395	0.000449253690186395	0.000449253690186395	0.000377592937552603	0.000447008385154005	0.000447042712366358	0.000377592937552603	0.000377592937552603	0.000449492973935256	0.000449253690186395	0.000449492973935256	0.000449253690186395	0.000449253690186395	0.000448846433724452	0.000447042712366358	0.000447042712366358	0.000381962696198834	0.000447654718613828	0.000447513863640509	0.000447513863640509	2.45251527197488e-05	2.45251527197488e-05	5.6362856385248e-05	0.0143484474117797	0.0143661663830343	0.0143661663830343	1.8965269364183e-05	0.0143661663830343	0.0143661663830343	0.014362693994887	0.0143661663830343	1.8965269364183e-05	2.13276190153643e-05	1.19641874430151e-05	2.70107736586069e-05	2.13276190153643e-05	4.76660800226452e-05	2.45251527197488e-05	3.69092240493595e-05	5.6362856385248e-05	5.31653226808635e-05	2.45251527197488e-05
"R2"	0.000143020491706672	1.0007601139758	0.000240275842640773	0.000160945299425973	0.000668875169800487	0.000668875169800487	0.000668875169800487	0.000121095640155274	0.000243854541640789	0.000240275842640773	0.000121095640155274	0.000121095640155274	0.000760113975803029	0.000668875169800487	0.000760113975803029	0.000668875169800487	0.000668875169800487	0.000620262456636552	0.000240275842640773	0.000240275842640773	0.000314162733273802	0.000382647457570689	0.00030906694175735	0.00030906694175735	0.0045809281905418	0.0045809281905418	0.00460217567591209	0.00460421882579362	0.00460759118614428	0.00460759118614428	0.00457493045517084	0.00460759118614428	0.00460759118614428	0.00460473516129634	0.00460759118614428	0.00457493045517084	0.00457819499441629	0.00456194030012708	0.00458236775285497	0.00457819499441629	0.00459442036993759	0.0045809281905418	0.00459070517641783	0.00460217567591209	0.00459944247978659	0.0045809281905418
"R3"	0.000284481726051319	0.000480551685281547	1.00047792658542	0.000183797419101839	0.000480300473629612	0.000480300473629612	0.000480300473629612	0.000240881751023411	0.000424423337194247	0.000477926585424259	0.000240881751023411	0.000240881751023411	0.000480551685281547	0.000480300473629612	0.000480551685281547	0.000480300473629612	0.000480300473629612	0.000479845277946061	0.000477926585424259	0.000477926585424259	0.000383031396803062	0.000430715735469935	0.000478452858027031	0.000478452858027031	2.58778906322147e-05	2.58778906322147e-05	0.00915193073120276	0.00915599475586064	0.00916497555309344	0.00916497555309345	2.02758482016983e-05	0.00916497555309345	0.00916497555309345	0.00916149344948615	0.00916497555309345	2.02758482016983e-05	2.28013496645723e-05	1.25605825967411e-05	3.06999517204782e-05	2.28013496645723e-05	0.0091415269433026	2.58778906322147e-05	4.05659507651459e-05	0.00915193073120277	0.00914885419023512	2.58778906322147e-05
"R4"	8.1247293612206e-05	0.0005901327645619	0.000336961935020039	1.00058583983194	0.000589842930093036	0.000589842930093036	0.000589842930093036	1.55162901699412e-06	0.000448138361522407	0.000336961935020039	1.55162901699412e-06	1.55162901699412e-06	0.0005901327645619	0.000589842930093036	0.0005901327645619	0.000589842930093036	0.000589842930093036	0.000450326333568387	0.000336961935020039	0.000336961935020039	0.000448175186160792	0.000249949318908746	0.000587687636960868	0.000587687636960868	2.90554109924619e-05	2.90554109924619e-05	0.0167349288893715	0.0167360895649945	5.97364825796737e-05	5.97364825796737e-05	2.4899920116814e-05	5.97364825796737e-05	5.97364825796737e-05	5.56621627054847e-05	5.97364825796737e-05	2.4899920116814e-05	2.72700587145423e-05	1.4491723443216e-05	0.0167103719322434	2.72700587145423e-05	5.03499205268543e-05	2.90554109924619e-05	0.0167208903758201	0.0167349288893715	0.0167331435370935	2.90554109924619e-05
"R5"	0.000149751230062132	0.000700726368362415	0.000251585962377416	0.000168526551455153	1.00070043442744	0.000700434427440988	0.000700434427440988	0.000126795168584373	0.000255327885543314	0.000251585962377416	0.000126795168584373	0.000126795168584373	0.000700726368362415	0.000700434427440988	0.000700726368362415	0.000700434427440988	0.000700434427440988	0.000554255366450959	0.000251585962377416	0.000251585962377416	0.000233700829465169	0.000400685312774905	0.000323623950131257	0.000323623950131257	0.00479725170514198	0.00479725170514197	0.00481863360704265	0.00482077291032925	0.00482430389290088	0.00482430389290088	0.00479147253368594	0.00482430389290089	0.00482430389290089	0.00482217933990575	0.00482430389290089	0.00479147253368594	0.00479438966719358	1.45970460713529e-05	0.00479926013954554	0.00479438966719358	0.00481137911559407	0.00479725170514197	0.00480662298864417	0.00481863360704265	0.00481577156909425	0.00479725170514197
"R6"	0.000149751230062132	0.000700726368362415	0.000251585962377416	0.000168526551455153	0.000700434427440988	1.00070043442744	0.000700434427440988	0.000126795168584373	0.000255327885543314	0.000251585962377416	0.000126795168584373	0.000126795168584373	0.000700726368362415	0.000700434427440988	0.000700726368362415	0.000700434427440988	0.000700434427440988	0.000554255366450959	0.000251585962377416	0.000251585962377416	0.000233700829465169	0.000400685312774905	0.000323623950131257	0.000323623950131257	0.00479725170514198	0.00479725170514197	0.00481863360704265	0.00482077291032925	0.00482430389290088	0.00482430389290088	0.00479147253368594	0.00482430389290089	0.00482430389290089	0.00482217933990575	0.00482430389290089	0.00479147253368594	0.00479438966719358	1.45970460713529e-05	0.00479926013954554	0.00479438966719358	0.00481137911559407	0.00479725170514197	0.00480662298864417	0.00481863360704265	0.00481577156909425	0.00479725170514197
"R7"	0.000149751230062132	0.000700726368362415	0.000251585962377416	0.000168526551455153	0.000700434427440988	0.000700434427440988	1.00070043442744	0.000126795168584373	0.000255327885543314	0.000251585962377416	0.000126795168584373	0.000126795168584373	0.000700726368362415	0.000700434427440988	0.000700726368362415	0.000700434427440988	0.000700434427440988	0.000554255366450959	0.000251585962377416	0.000251585962377416	0.000233700829465169	0.000400685312774905	0.000323623950131257	0.000323623950131257	0.00479725170514198	0.00479725170514197	0.00481863360704265	0.00482077291032925	0.00482430389290088	0.00482430389290088	0.00479147253368594	0.00482430389290089	0.00482430389290089	0.00482217933990575	0.00482430389290089	0.00479147253368594	0.00479438966719358	1.45970460713529e-05	0.00479926013954554	0.00479438966719358	0.00481137911559407	0.00479725170514197	0.00480662298864417	0.00481863360704265	0.00481577156909425	0.00479725170514197
"R8"	0.00044052509381137	0.000444017347236005	0.000441616543542921	1.55162901699412e-06	0.000443783090045307	0.000443783090045307	0.000443783090045307	1.0004402358352	0.000441574454625087	0.000441616543542921	0.000440235835197983	0.000440235835197983	0.000444017347236005	0.000443783090045307	0.000444017347236005	0.000443783090045307	0.000443783090045307	0.000443388019893532	0.000441616543542921	0.000441616543542921	0.000365690200677674	0.0004422275544205	0.000442064443409731	0.000442064443409731	2.42266882693961e-05	2.42266882693961e-05	5.44510931853077e-05	6.07443088111844e-05	0.0167493969067541	0.0167493969067541	1.8734298866201e-05	0.0167493969067541	0.0167493969067541	0.0167460724503843	0.0167493969067541	1.8734298866201e-05	2.10679200235354e-05	1.17128595348951e-05	2.55611507868904e-05	2.10679200235354e-05	4.70864631080297e-05	2.42266882693961e-05	3.52335415378862e-05	5.44510931853077e-05	5.1292324939447e-05	2.42266882693961e-05
"R9"	0.00028445988146164	0.000487709083281578	0.000424423337194247	0.000244439106284949	0.000487444145128144	0.000487444145128144	0.000487444145128144	0.000240858793431865	1.00048503021579	0.000424423337194247	0.000240858793431865	0.000240858793431865	0.000487709083281578	0.000487444145128144	0.000487709083281578	0.000487444145128144	0.000487444145128144	0.000486984120375846	0.000424423337194247	0.000424423337194247	0.000443658044006136	0.000377207683066137	0.000485584600170361	0.000485584600170361	2.58349688945722e-05	2.58349688945722e-05	0.00915216477366029	0.0091562284862526	0.00916419744081944	0.00916419744081944	2.0577553983475e-05	0.00916419744081944	0.00916419744081944	0.00916016418587394	0.00916419744081944	2.0577553983475e-05	2.31406283012426e-05	1.32469076716631e-05	3.21220713985374e-05	2.31406283012426e-05	4.8739077102858e-05	2.58349688945722e-05	0.00913403685716899	0.00915216477366029	0.00914947043306695	2.58349688945722e-05
"R10"	0.000284481726051319	0.000480551685281547	0.000477926585424259	0.000183797419101839	0.000480300473629612	0.000480300473629612	0.000480300473629612	0.000240881751023411	0.000424423337194247	1.00047792658542	0.000240881751023411	0.000240881751023411	0.000480551685281547	0.000480300473629612	0.000480551685281547	0.000480300473629612	0.000480300473629612	0.000479845277946061	0.000477926585424259	0.000477926585424259	0.000383031396803062	0.000430715735469935	0.000478452858027031	0.000478452858027031	2.58778906322147e-05	2.58778906322147e-05	0.00915193073120276	0.00915599475586064	0.00916497555309344	0.00916497555309345	2.02758482016983e-05	0.00916497555309345	0.00916497555309345	0.00916149344948615	0.00916497555309345	2.02758482016983e-05	2.28013496645723e-05	1.25605825967411e-05	3.06999517204782e-05	2.28013496645723e-05	0.0091415269433026	2.58778906322147e-05	4.05659507651459e-05	0.00915193073120277	0.00914885419023512	2.58778906322147e-05
