"Brachypodium_sylvaticum"	"Dactylis_glomerata"	"Phalaris_arundinacea"	"Calamagrostis_epigejos"	"Calamagrostis_canescens"	"Elymus_repens"	"Agrostis_capillaris"	"Corynephorus_canescens"	"Holcus_lanatus"	"Phragmites_australis"	"Tetramesa_fulvicollis"	"Tetramesa_sp._4"	"Tetramesa_longula"	"Tetramesa_longicornis"	"Eurytoma_sp."	"Tetramesa_eximia"	"Tetramesa_calamagrostidis"	"Tetramesa_sp._2"	"Tetramesa_sp._1"	"Tetramesa_linearis"	"Tetramesa_hyallpennis"	"Tetramesa_sp._3"	"Tetramesa_agrostidis"	"Tetramesa_schmidti"	"Tetramesa_sp."	"Tetramesa_phragmitis"
"Brachypodium_sylvaticum"	1.01010101010101	0	0	0	0	0	0	0	0	0	0.0505050505050505	0.0505050505050505	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dactylis_glomerata"	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phalaris_arundinacea"	0	0	1.00615781240234	0.00112986690167898	0.00281333079698997	0	0	0	0	0	0	0	0	0.0335385937467447	3.76622300559661e-05	3.76622300559661e-05	0.0336700336700337	0.0336323714399777	9.37776932329991e-05	0	0	0	0	0	0	0
"Calamagrostis_epigejos"	0	0	0.00112986690167898	1.00784127629765	0.00112986690167898	0	0	0	0	0	0	0	0	3.76622300559661e-05	0.0335947092099217	0.0335947092099217	0.0336700336700337	7.53244601119322e-05	3.76622300559661e-05	0	0	0	0	0	0	0
"Calamagrostis_canescens"	0	0	0.00281333079698997	0.00112986690167898	1.00615781240234	0	0	0	0	0	0	0	0	9.37776932329991e-05	3.76622300559661e-05	3.76622300559661e-05	0.0336700336700337	0.0336323714399777	0.0335385937467447	0	0	0	0	0	0	0
"Elymus_repens"	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336700336700337	0.0336700336700337	0.0336700336700337	0	0	0	0
"Agrostis_capillaris"	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0
"Corynephorus_canescens"	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0
"Holcus_lanatus"	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0
"Phragmites_australis"	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101
