"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"
"R1"	1.00218052216709	0.00151624044066853	0.000671330264510253	0.00151624044066853	0.00135191175310554	0.00218757070517878	0.000677194329790185	0.000146601671199113	0.0335665132255127	0.000169174815525452	0.0335526190767687	4.96113793884503e-05	0.0335255808417066
"R2"	0.00113718033050139	1.00226847838296	2.66896257806331e-06	0.002268478382959	0.00164372113734608	0.00227114734553707	0.00050933555912949	0.0251917212888056	0.000133448128903165	0.0252086991407766	0.0252296272998223	4.98522747179046e-05	0.0251967528770754
"R3"	0.00201399079353076	1.06758503122532e-05	1.00200832001939	1.06758503122532e-05	0.00202167750249136	0.00201899586970578	0.00201667421526416	8.13472599595556e-05	0.100416000969676	0.000148569733801694	0.000148480286410581	0.000107656023891966	0.000108046736360754
"R4"	0.00113718033050139	0.002268478382959	2.66896257806331e-06	1.00226847838296	0.00164372113734608	0.00227114734553707	0.00050933555912949	0.0251917212888056	0.000133448128903165	0.0252086991407766	0.0252296272998223	4.98522747179046e-05	0.0251967528770754
"R5"	0.000811147051863322	0.00131497690987686	0.000404335500498273	0.00131497690987686	1.00272187892674	0.00171931241037513	0.00181438239178389	0.0201545726722361	0.0202167750249136	0.0202150520852955	0.0201816109072982	0.0201149169915942	0.000127173328763457
"R6"	0.00131254242310727	0.00181691787642965	0.000403799173941157	0.00181691787642965	0.00171931241037514	1.00222071705037	0.000810803290356425	0.0201696464830364	0.0201899586970578	0.0201966732593816	0.02021339789714	6.14130245527169e-05	0.0201790116489325
"R7"	0.000677194329790185	0.000679114078839321	0.000672224738421387	0.000679114078839321	0.00302397065297315	0.00135133881726071	1.00301805340489	0.000121461893346643	0.0336112369210694	0.0335553970068428	0.000144035037672983	0.0334944145265557	8.35556246135197e-05
"C1"	0.000109951253399335	0.0251917212888056	2.03368149898889e-05	0.0251917212888056	0.0251932158402951	0.0252120581037955	9.10964200099825e-05	1.00226769154332	0.00101684074949444	0.00227072809065576	0.00227135658510207	0.000506900864139568	0.00176749226829617
"C2"	0.0201399079353076	0.000106758503122532	0.0200832001939353	0.000106758503122532	0.0202167750249136	0.0201899586970578	0.0201667421526416	0.000813472599595556	1.00416000969676	0.00148569733801694	0.00148480286410581	0.00107656023891966	0.00108046736360754
"C3"	0.000101504889315271	0.0201669593126213	2.97139467603389e-05	0.0201669593126213	0.0202150520852955	0.0201966732593816	0.0201332382041057	0.00181658247252461	0.00148569733801694	1.00248769041266	0.00181996596883512	0.00107540898184277	0.00141566492712921
"C4"	0.0201315714460612	0.0201837018398579	2.96960572821162e-05	0.0201837018398579	0.0201816109072982	0.02021339789714	8.64210226037897e-05	0.00181708526808166	0.00148480286410581	0.00181996596883512	1.00248813764962	0.000406512918899423	0.00208450543147107
"C5"	7.44170690826754e-05	9.97045494358092e-05	5.3828011945983e-05	9.97045494358092e-05	0.0502872924789855	0.000153532561381792	0.0502416217898335	0.00101380172827914	0.00269140059729915	0.00268852245460692	0.00101628229724856	1.00268046657591	1.05364476688488e-05
"C6"	0.02514418563128	0.0251967528770754	2.70116840901884e-05	0.0251967528770754	0.000158966660954321	0.0252237645611656	6.26667184601398e-05	0.00176749226829617	0.00135058420450942	0.00176958115891151	0.00260563178933883	5.26822383442441e-06	1.00260245245612
