"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"	"C28"	"C29"	"C30"	"C31"	"C32"	"C33"	"C34"	"C35"	"C36"	"C37"	"C38"	"C39"	"C40"	"C41"	"C42"	"C43"	"C44"
"R1"	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101
"R2"	0	1.0075584408639	5.7368065364433e-07	1.33181279476181e-06	0.0012663323778807	1.03264544280157e-06	0.00126418512345964	8.9597821546857e-07	0	7.7441896839432e-07	3.81778356759599e-07	8.83004043082131e-07	3.92198945478311e-07	7.10140304035967e-07	1.21159630985579e-06	8.83404853651545e-07	8.84037542917364e-07	8.84856885151999e-07	1.21159378233459e-06	5.88666771782198e-10	2.35466708712879e-08	4.09265079350065e-08	1.69113404187461e-08	6.5916375741984e-08	6.56884293811134e-08	9.79902342760715e-06	7.45224779176288e-08	1.54105123118791e-08	3.51596645101063e-05	4.0967111731766e-08	9.7896788950038e-06	8.07730873237196e-09	1.51787117727316e-08	1.51787117727316e-08	1.51787117727316e-08	2.28844542168562e-08	2.53985358284983e-05	9.79638922057376e-06	6.36297261265999e-09	6.36297261265999e-09	6.36297261265998e-09	6.36297261265998e-09	2.48773849958167e-08	1.6800093113586e-08	0	9.77157764758516e-06	9.77497828832171e-06	9.77497828832171e-06	9.74352684675754e-06	0.0251986855225473	9.78158822518237e-06	9.77157764758516e-06	9.72450094968952e-06	9.72450094968952e-06	2.53266475576141e-05	2.53266475576141e-05	1.90258970680259e-08	1.90258970680259e-08	8.19543790920472e-09	8.19543790920472e-09	0.0251889610215976	0.0252142876691552	0.0251889610215976	0
"R3"	0	3.27817516368189e-07	1.00490809787592	0.000842980753448477	6.18112477295796e-07	2.22058286567544e-06	0.000844326008547142	0.000360897381191535	0	0.00120012285694791	6.91157331309435e-07	2.2487912512901e-06	5.87998255664044e-07	0.000482166793362731	0.000483864665022514	3.21814280857438e-06	2.80803839752614e-06	3.26875637495335e-06	0.000962402244420179	1.6212486769561e-07	6.48499470782439e-06	1.9835662059673e-05	6.44819639088694e-06	2.79080809962425e-05	1.45782108720523e-05	2.11052077505007e-05	1.4610392300138e-05	5.27672582536368e-08	4.65063698915552e-05	2.30358988713607e-05	2.95927478018329e-05	3.22576443348343e-06	8.04743236711076e-06	8.04743236711075e-06	8.04743236711075e-06	4.4586511314247e-08	2.31183752540165e-05	2.96008284548333e-05	1.15192888551572e-08	1.15192888551572e-08	1.15192888551572e-08	1.15192888551572e-08	0.0143755806830294	0.0143691646680666	0	1.8561737871175e-05	0.0143888308146284	0.0143888308146284	1.85373976424837e-05	6.50301088827183e-06	0.0143863972800049	1.8561737871175e-05	6.49481545036263e-06	6.49481545036263e-06	1.23622495459159e-08	1.23622495459159e-08	1.20425821921211e-05	1.20425821921211e-05	0.014355829969656	0.014355829969656	8.19543790920472e-09	2.05576874551206e-08	8.19543790920472e-09	0
"R4"	0	7.61035882721036e-07	0.000842980753448477	1.00453829609945	0.000111416931676807	0.000113359709316988	0.00167416907300194	0.000361475709912903	0	0.000113341742466266	0.000111742674838196	0.00011266175074277	5.32425163910628e-07	0.000592942852805207	0.00059434721711996	0.000112973154311193	0.000113011757061723	0.000113236806086493	0.000593611825472464	1.48582251383189e-07	5.94329005532754e-06	8.31751606737077e-06	5.08714371292835e-06	1.94610566066978e-05	1.89613008581327e-05	3.29692560397211e-05	2.00910324012446e-05	1.9710196603728e-06	0.0143888664124163	1.12524512385185e-05	2.82722296310921e-05	3.96231478079974e-06	9.89174330885181e-06	9.89174330885181e-06	9.89174330885181e-06	1.26954473593891e-06	1.57777142176456e-05	2.64275992225859e-05	1.86237791396993e-06	1.86237791396993e-06	1.86237791396993e-06	1.86237791396993e-06	1.72593470560072e-05	1.33019348861907e-05	0	2.6816742457523e-05	0.0143893170484443	0.0143893170484443	0.0143634253107735	1.28972495355445e-05	0.014387517083296	2.6816742457523e-05	1.28782236384764e-05	1.28782236384764e-05	2.22833863353613e-06	2.22833863353613e-06	0.014350547087135	0.014350547087135	1.20425821921211e-05	1.20425821921211e-05	1.90258970680259e-08	2.24736453060416e-06	1.90258970680259e-08	0
"R5"	0	0.00101306590230456	8.65357468214114e-07	0.00015598370434753	1.00540701683114	0.000156064106741407	0.000158317135959955	3.42101272487251e-07	0	0.000380818419230925	0.000156292828675379	0.000381162103642335	0.000224723971506681	0.000157083974147373	0.000382112261241749	0.000381277299622436	0.000381483702586902	0.000381810148982478	0.000382359704529888	2.30547608979135e-07	9.2219043591654e-06	1.72429383637244e-05	6.36183769309028e-06	2.55963276650579e-05	2.01533073452912e-05	2.51839044642844e-05	2.39660803415155e-05	6.64978490140157e-06	0.0201423887759678	1.63223197787884e-05	2.78481925242761e-05	2.54741507494499e-06	4.11825481641872e-06	4.11825481641872e-06	4.11825481641872e-06	1.17259335351376e-05	0.0201396566235966	3.27341110965758e-05	2.60488047792299e-06	2.60488047792299e-06	2.60488047792299e-06	2.60488047792299e-06	6.79274271564434e-06	4.24367801877842e-06	0	3.83029594420857e-06	1.01258445191356e-05	1.01258445191356e-05	3.44616275630502e-06	2.6544471680383e-05	3.46992838160051e-06	3.83029594420857e-06	1.21782412276889e-06	1.21782412276889e-06	0.0201081403366228	0.0201081403366228	2.22833863353614e-06	2.22833863353614e-06	1.23622495459159e-08	1.23622495459159e-08	2.53266475576141e-05	0.0201334669841804	2.53266475576141e-05	0
"R6"	0	6.88430295201046e-07	2.59068000995468e-06	0.000132252994203152	0.000130053422284506	1.00187991949882	0.00143835547882659	0.00111767741947484	0	0.000132388904994282	0.00013038920246218	0.000766104787048209	1.44524679301432e-06	0.000767031039715188	0.00076960870504702	0.000528058646889601	0.000767314128832498	0.000767782256603017	0.000768885607768192	4.63650940172083e-07	1.85460376068833e-05	2.52512468150319e-05	1.0406490520684e-05	4.6564557324144e-05	0.0167378116413357	0.0167541565007186	0.0167430922278046	1.33737684610782e-05	0.0167622910388606	2.3406388525959e-05	5.21316732154125e-05	5.13072470031347e-06	1.28010350974653e-05	1.28010350974653e-05	1.28010350974653e-05	8.56045030474724e-06	4.15434902657827e-05	5.00066947341433e-05	2.17315337436967e-06	2.17315337436967e-06	2.17315337436966e-06	2.17315337436967e-06	6.63390159948567e-06	1.50799754769772e-06	0	0.0167463188452102	3.09175502663483e-05	3.09175502663483e-05	1.29536014026671e-05	1.10814836714307e-05	5.02465250995897e-05	0.0167463188452103	1.10642729140507e-05	1.10642729140507e-05	2.60106844569011e-06	2.60106844569011e-06	1.88932848861646e-06	1.88932848861646e-06	3.7009714427924e-08	3.7009714427924e-08	1.72107573800262e-08	2.61827920307014e-06	1.72107573800262e-08	0
"R7"	0	0.000388980037987581	0.000454637081525384	0.00090147565469335	6.08912061384443e-05	0.00066385637484304	1.00360467089099	0.000711064601809557	0	0.000234070241674165	0.000146839186591743	0.000319943106564877	8.66819912030971e-05	0.000406767427257184	0.000579895208783751	0.000320146154176891	0.000320442106489485	0.00032076621782821	0.000579645758643779	2.3685380781593e-07	9.47415231263719e-06	1.52527089366708e-05	7.0657665993941e-06	2.67412746740774e-05	3.20033055833128e-05	0.00775524069705578	3.52047671250818e-05	5.5861618742304e-06	0.00777438484505661	1.62055669362338e-05	0.00774515685010874	3.86596805855834e-06	7.93364233113019e-06	7.93364233113019e-06	7.93364233113018e-06	6.44432311304631e-06	2.67808242310443e-05	0.00774559893003899	2.44731977652904e-06	2.44731977652904e-06	2.44731977652904e-06	2.44731977652904e-06	1.29599009710341e-05	9.0955959134089e-06	0	0.0077548023562384	0.0077512069164083	0.0077512069164083	0.00773291415356918	0.0077297604308804	0.0077631111224132	0.00775480235623841	0.0077200359299307	0.00772003592993071	1.21782412276888e-06	1.21782412276888e-06	1.28782236384764e-05	1.28782236384764e-05	6.49481545036263e-06	6.49481545036263e-06	9.72450094968952e-06	1.09423250724584e-05	9.72450094968952e-06	0
"R8"	0	1.19463762062476e-06	0.000842093889446914	0.000843443323130106	5.70168787478752e-07	0.00223535483894968	0.00308127994117475	1.00307019510985	0	2.11041451563461e-06	8.34674329538903e-07	2.78432546519406e-06	2.69831470559183e-07	3.85511812651277e-06	4.39407985049452e-06	2.25540561783837e-06	2.78931055681863e-06	2.79192062867617e-06	4.79109234240876e-06	2.01914760785408e-09	8.07659043141631e-08	1.26567095905479e-07	5.44946717944421e-08	2.25349092453838e-07	3.74352599685964e-05	6.11599674184267e-05	3.74578140247748e-05	4.86233739373193e-08	7.32579214136057e-05	1.30503592877091e-07	2.39028625436663e-05	2.92938656699635e-08	6.78450469350913e-08	6.78450469350912e-08	6.78450469350912e-08	3.99313319652401e-08	2.07195669290258e-07	2.38979456871926e-05	1.39112388256484e-08	1.39112388256484e-08	1.39112388256484e-08	1.39112388256484e-08	1.20853023721743e-05	1.20533617565582e-05	0	0.0334966312377044	4.78810420930176e-05	4.78810420930176e-05	3.5751343724082e-05	2.37320193341675e-05	0.0334834544267588	0.0334966312377045	2.37021533936519e-05	2.37021533936519e-05	1.1403375749575e-08	1.1403375749575e-08	1.20491903304301e-05	1.20491903304301e-05	1.20299127063845e-05	1.20299127063845e-05	2.9865940515619e-08	4.1269316265194e-08	2.9865940515619e-08	0
"R9"	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R10"	0	3.44186208175253e-07	0.000933428888737267	8.81546885848735e-05	0.000211565788461625	8.82592699961879e-05	0.000338101460196016	7.03471505211536e-07	0	1.0019748833672	0.000211848564371773	0.000601577517268753	0.000249487651608044	0.000230105183374701	0.0008270461754666	0.00104796052134864	0.000825669997295367	0.00104901541173275	0.00142221311286934	6.44844780319261e-07	2.57937912127704e-05	0.0111692631715838	1.99610259659487e-05	0.0111837620592237	4.16991822078521e-05	5.47795678843848e-05	5.21787874213386e-05	1.62478859822762e-05	0.0111968553053895	0.0111672707218691	0.0111875925972592	5.51364116977733e-06	7.81469300352434e-06	7.81469300352434e-06	7.81469300352434e-06	1.5000449689921e-05	0.0111940085782128	0.0111923780429066	3.53080940619622e-06	3.53080940619622e-06	3.53080940619622e-06	3.53080940619622e-06	0.0111558703787986	0.0111463889580461	0	4.09521734648979e-06	3.44909453236349e-05	3.44909453236349e-05	3.86013315711589e-06	2.60938511825065e-06	1.7218280617822e-05	4.09521734648979e-06	2.60078046304627e-06	2.60078046304627e-06	4.2313157692325e-06	4.2313157692325e-06	1.25935269406962e-06	1.25935269406962e-06	1.33346984105324e-05	1.33346984105324e-05	8.60465520438133e-09	4.23992042443688e-06	8.60465520438133e-09	0
