"R1"	"R2"	"R3"	"R4"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"
"R1"	1.00279364193038	0.00167786302124933	0.00281475257469032	0.00281475257469032	4.69125429115053e-05	4.69125429115053e-05	4.69125429115053e-05	0.0335572604249867	4.69125429115053e-05	0.0335572604249867	0.0334733672739242	4.69125429115052e-05	4.69125429115052e-05	4.69125429115053e-05	4.69125429115053e-05	4.69125429115053e-05
"R2"	0.002516794531874	1.00251258930843	0.00253581313035164	0.00253581313035164	4.22635521725273e-05	4.22635521725273e-05	4.22635521725273e-05	0.0502517861686567	4.22635521725273e-05	0.0502517861686567	0.000126156703234994	4.22635521725273e-05	4.22635521725273e-05	4.22635521725273e-05	4.22635521725273e-05	4.22635521725273e-05
"R3"	0.000703688143672579	0.000422635521725273	1.00448734321781	0.00448734321780612	0.00840812238696344	0.00840812238696343	0.00840812238696343	0.00845271043450545	0.00840812238696344	0.00845271043450545	0.00843157865841919	0.00840812238696343	0.00840812238696343	0.00840812238696343	0.00840812238696343	0.00840812238696343
"R4"	0.000703688143672579	0.000422635521725273	0.00448734321780612	1.00448734321781	0.00840812238696344	0.00840812238696343	0.00840812238696343	0.00845271043450545	0.00840812238696344	0.00845271043450545	0.00843157865841919	0.00840812238696343	0.00840812238696343	0.00840812238696343	0.00840812238696343	0.00840812238696343
"C1"	7.03688143672579e-05	4.22635521725273e-05	0.0504487343217806	0.0504487343217806	1.0008408122387	0.000840812238696344	0.000840812238696344	0.000845271043450546	0.000840812238696344	0.000845271043450546	0.000843157865841919	0.000840812238696343	0.000840812238696343	0.000840812238696344	0.000840812238696343	0.000840812238696343
"C2"	7.03688143672579e-05	4.22635521725273e-05	0.0504487343217806	0.0504487343217806	0.000840812238696343	1.0008408122387	0.000840812238696343	0.000845271043450546	0.000840812238696344	0.000845271043450545	0.000843157865841919	0.000840812238696343	0.000840812238696343	0.000840812238696343	0.000840812238696343	0.000840812238696343
"C3"	7.03688143672579e-05	4.22635521725273e-05	0.0504487343217806	0.0504487343217806	0.000840812238696343	0.000840812238696343	1.0008408122387	0.000845271043450546	0.000840812238696343	0.000845271043450546	0.000843157865841919	0.000840812238696343	0.000840812238696343	0.000840812238696343	0.000840812238696343	0.000840812238696343
"C4"	0.02516794531874	0.0251258930843283	0.0253581313035164	0.0253581313035164	0.000422635521725273	0.000422635521725273	0.000422635521725273	1.00251786168657	0.000422635521725273	0.00251786168656636	0.00126156703234994	0.000422635521725273	0.000422635521725273	0.000422635521725273	0.000422635521725273	0.000422635521725273
"C5"	7.03688143672579e-05	4.22635521725273e-05	0.0504487343217806	0.0504487343217806	0.000840812238696344	0.000840812238696344	0.000840812238696343	0.000845271043450545	1.0008408122387	0.000845271043450546	0.000843157865841918	0.000840812238696343	0.000840812238696343	0.000840812238696344	0.000840812238696344	0.000840812238696344
"C6"	0.02516794531874	0.0251258930843283	0.0253581313035164	0.0253581313035164	0.000422635521725273	0.000422635521725273	0.000422635521725273	0.00251786168656636	0.000422635521725273	1.00251786168657	0.00126156703234994	0.000422635521725273	0.000422635521725273	0.000422635521725273	0.000422635521725273	0.000422635521725273
"C7"	0.0334733672739242	8.41044688233293e-05	0.0337263146336767	0.0337263146336767	0.000562105243894612	0.000562105243894612	0.000562105243894612	0.00168208937646659	0.000562105243894612	0.00168208937646658	1.00167788415303	0.000562105243894612	0.000562105243894612	0.000562105243894612	0.000562105243894612	0.000562105243894612
"C8"	7.03688143672579e-05	4.22635521725273e-05	0.0504487343217806	0.0504487343217806	0.000840812238696343	0.000840812238696343	0.000840812238696343	0.000845271043450545	0.000840812238696343	0.000845271043450545	0.000843157865841919	1.0008408122387	0.000840812238696343	0.000840812238696344	0.000840812238696343	0.000840812238696343
"C9"	7.03688143672579e-05	4.22635521725273e-05	0.0504487343217806	0.0504487343217806	0.000840812238696343	0.000840812238696343	0.000840812238696343	0.000845271043450545	0.000840812238696343	0.000845271043450545	0.000843157865841919	0.000840812238696343	1.0008408122387	0.000840812238696344	0.000840812238696343	0.000840812238696343
"C10"	7.03688143672579e-05	4.22635521725273e-05	0.0504487343217806	0.0504487343217806	0.000840812238696344	0.000840812238696343	0.000840812238696343	0.000845271043450545	0.000840812238696343	0.000845271043450545	0.000843157865841919	0.000840812238696344	0.000840812238696344	1.0008408122387	0.000840812238696343	0.000840812238696343
"C11"	7.03688143672579e-05	4.22635521725273e-05	0.0504487343217806	0.0504487343217806	0.000840812238696344	0.000840812238696343	0.000840812238696343	0.000845271043450545	0.000840812238696343	0.000845271043450545	0.000843157865841919	0.000840812238696344	0.000840812238696344	0.000840812238696343	1.0008408122387	0.000840812238696343
"C12"	7.03688143672579e-05	4.22635521725273e-05	0.0504487343217806	0.0504487343217806	0.000840812238696344	0.000840812238696343	0.000840812238696343	0.000845271043450545	0.000840812238696343	0.000845271043450545	0.000843157865841919	0.000840812238696344	0.000840812238696344	0.000840812238696343	0.000840812238696343	1.0008408122387
