"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"
"R1"	1.00176559551197	0.00176732086634646	0	0.00176559551196698	0.00176559551196698	0.000254606508235041	0.000252881153855562	0	0.000254606508235041	0.00176559551196698	0.000254606508235041	0.000254606508235041	0.0252881153855562	0.0252119059685236	0.0252119059685236	0.0252119059685236	8.62677189739373e-05	0	0	0	0	0	0	0
"R2"	0.00141385669307717	1.00181700887794	0	0.00141385669307717	0.00141385669307717	0.000606345327124854	0.000203193142265179	0	0.000606345327124854	0.00141385669307717	0.000606345327124854	0.000606345327124854	0.0203193142265179	0.0201777258468665	0.0201777258468665	0.0201777258468665	0.0201576092429837	0	0	0	0	0	0	0
"R3"	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0
"R4"	0.00176559551196698	0.00176732086634646	0	1.00176559551197	0.00176559551196698	0.000254606508235041	0.000252881153855562	0	0.000254606508235041	0.00176559551196698	0.000254606508235041	0.000254606508235041	0.0252881153855562	0.0252119059685236	0.0252119059685236	0.0252119059685236	8.62677189739373e-05	0	0	0	0	0	0	0
"R5"	0.00176559551196698	0.00176732086634646	0	0.00176559551196698	1.00176559551197	0.000254606508235041	0.000252881153855562	0	0.000254606508235041	0.00176559551196698	0.000254606508235041	0.000254606508235041	0.0252881153855562	0.0252119059685236	0.0252119059685236	0.0252119059685236	8.62677189739373e-05	0	0	0	0	0	0	0
"R6"	0.000509213016470081	0.00151586331781213	0	0.000509213016470081	0.000509213016470081	1.00151098900373	0.000504338702389886	0	0.00151098900373194	0.000509213016470081	0.00151098900373194	0.00151098900373194	0.0504338702389886	8.12385680032508e-05	8.12385680032508e-05	8.12385680032508e-05	0.0503325150671026	0	0	0	0	0	0	0
"R7"	0.00101152461542225	0.0010159657113259	0	0.00101152461542225	0.00101152461542225	0.00100867740477977	1.00100423630888	0	0.00100867740477977	0.00101152461542225	0.00100867740477977	0.00100867740477977	0.100423630887612	0.000121471775768743	0.000121471775768743	0.000121471775768743	0.000222054795182472	0	0	0	0	0	0	0
"R8"	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0.0168350168350168	0.0168350168350168	0.0168350168350168	0.0168350168350168	0.0168350168350168	0.0168350168350168
"R9"	0.000509213016470081	0.00151586331781213	0	0.000509213016470081	0.000509213016470081	0.00151098900373194	0.000504338702389886	0	1.00151098900373	0.000509213016470081	0.00151098900373194	0.00151098900373194	0.0504338702389886	8.12385680032508e-05	8.12385680032508e-05	8.12385680032508e-05	0.0503325150671026	0	0	0	0	0	0	0
"R10"	0.00176559551196698	0.00176732086634646	0	0.00176559551196698	0.00176559551196698	0.000254606508235041	0.000252881153855562	0	0.000254606508235041	1.00176559551197	0.000254606508235041	0.000254606508235041	0.0252881153855562	0.0252119059685236	0.0252119059685236	0.0252119059685236	8.62677189739373e-05	0	0	0	0	0	0	0
