"Rutilus_rutilus"	"Abramis_brama"	"Blicca_bjoerkna"	"Scardinius_erythrophthalmus"	"Tinca_tinca"	"Alburnus_alburnus"	"Esox_lucius"	"Perca_fluviatilis"	"Carassius_carassius"	"Gymnocephalus_cernuus"	"Vimba_vimba"	"Gasterosteus_aculeatus"	"Lota_lota"	"Anguilla_anguilla"	"Coregonus_albula"	"Coregonus_lavaretus"	"Gobio_gobio_gobio"	"Leuciscus_cephalus"	"Sander_lucioperca"	"Cyprinus_carpio_carpio"	"Leuciscus_idus"	"Leuciscus_leuciscus"	"Osmerus_eperlanus_spirinchus"	"Aspius_aspius"	"Leucaspius_delineatus"	"Coregonus_peled"	"Lampetra_fluviatilis"	"Osmerus_eperlanus"	"Silurus_glanis"	"Alburnoides_bipunctatus"	"Carassius_auratus_auratus"	"Cobitis_taenia"	"Gadus_morhua_callarias"	"Platichthys_flesus_trachurus"	"Psetta_maxima"	"Pungitius_pungitius"	"Salmo_trutta_morpha_fario"	"Triglopsis_quadricornis"	"Zoarces_viviparus"	"Alosa_fallax_fallax"	"Belone_belone"	"Clupea_harengus_membras"	"Cottus_gobio"	"Pelecus_cultratus"	"Phoxinus_phoxinus"	"Salmo_salar"	"Salmo_trutta"	"Taurulus_bubalis"	"Diplostomum_spathaceum"	"Tylodelphys_clavata"	"Argulus_foliaceus"	"Piscicola_geometra"	"Acanthocephalus_lucii"	"Raphidascaris_acus"	"Myxobolus_muelleri"	"Ergasilus_sieboldi"	"Allocreadium_isoporum"	"Posthodiplostomum_brevicaudatum"	"Myxobolus_bramae"	"Ichthyocotylurus_variegatus"	"Myxobolus_oviformis"	"Triaenophorus_nodulosus"	"Proteocephalus_longicollis"	"Camallanus_(Camallanus)_lacustris"	"Myxidium_pfeifferi"	"Dactylogyrus_sphyrna"	"Ichthyocotylurus_erraticus"	"Proteocephalus_torulosus"	"Dactylogyrus_crucifer"	"Dactylogyrus_fraternus"
"Rutilus_rutilus"	1.00141757903264	0.000660112926308981	0.000660112926308981	0.000922441908155761	0.000648579508714772	0.000534942816320429	0.000353776624192329	0.000390962877399514	0.000480059942615323	0.00035932719906552	0.000494045350062117	0.000223553830728793	0.000157649833018542	0.00011191454652357	0.000124109881909406	0.000124109881909406	0.000184712864583231	0.000203516047941464	0.000198587176672125	0.000148058354860183	0.000170207533542323	0.00035042902246115	9.54320167530623e-05	9.26489999677978e-05	0.000108593410058407	7.9790513446727e-05	7.9790513446727e-05	1.51468432636609e-05	7.97025937014743e-05	4.02376488996984e-05	6.49441927331357e-05	2.89486894671129e-05	4.81548351127324e-05	9.3473603857801e-05	4.02376488996984e-05	6.49441927331357e-05	1.49921135690241e-05	4.02376488996984e-05	4.02376488996984e-05	1.48463207135913e-05	1.48463207135913e-05	1.48463207135913e-05	1.48463207135913e-05	1.48463207135913e-05	1.48463207135913e-05	2.53913281861071e-05	2.53913281861071e-05	1.48463207135913e-05	0.00638391790684425	0.0063366372545696	0.00632713566679893	0.00632861773583681	0.00631439116828415	0.00634783204652678	0.00631384886824725	0.00630818028100916	0.00631187037763892	0.00629018265153678	0.00629245980686673	0.00628496211145902	2.59028655143973e-05	1.95832804981183e-05	8.74757132597033e-06	1.77908002876573e-05	0.00627675231352074	0.00627450484521414	4.64189083910223e-06	0.00627073156591522	0.0062665468848553	4.8631165120039e-06
"Abramis_brama"	0.00081244667853413	1.0009396566231	0.000939656623104216	0.000460040348424392	0.00050811184343852	0.000528940610449875	0.000338136343604061	0.000384000298425275	0.000397308986291763	0.000345155345283244	0.00073575280843332	0.000178253059065016	0.000193581316777833	0.000137345127282413	0.000152418997258535	0.000152418997258535	0.000355259529590228	0.000249933374076903	0.000244057677350524	0.00018187536680498	0.000209039419223802	0.000174085619745348	0.000117114726055088	0.000242163175414535	0.0001333582987253	9.79588974088508e-05	9.79588974088508e-05	1.85890222203041e-05	9.78960585700169e-05	4.93789904903372e-05	7.97389079951317e-05	3.55784252125022e-05	5.91139442668201e-05	1.85529428900519e-05	4.93789904903372e-05	7.97389079951317e-05	1.83990133097721e-05	4.93789904903372e-05	4.93789904903372e-05	1.82199894137191e-05	1.82199894137191e-05	1.82199894137191e-05	1.82199894137191e-05	1.82199894137191e-05	1.82199894137191e-05	3.11590010766181e-05	3.11590010766181e-05	1.82199894137191e-05	0.00783459544789922	0.00778786828961883	0.00776899062840615	0.00776985142208918	0.00776273089274877	0.00778975026915451	0.00775862637173026	0.00774613067536758	0.00774951433152167	2.66362781066247e-05	0.00773289325692969	0.00773102686420595	0.00773172260180186	1.9959731647442e-05	1.07414337631768e-05	1.91385928098249e-05	1.71188165359469e-05	0.00772001677099341	5.70026731596129e-06	1.3368055139835e-05	8.91146131104158e-06	4.80855100408977e-06
"Blicca_bjoerkna"	0.00081244667853413	0.000939656623104216	1.0009396566231	0.000460040348424392	0.00050811184343852	0.000528940610449875	0.000338136343604061	0.000384000298425275	0.000397308986291763	0.000345155345283244	0.00073575280843332	0.000178253059065016	0.000193581316777833	0.000137345127282413	0.000152418997258535	0.000152418997258535	0.000355259529590228	0.000249933374076903	0.000244057677350524	0.00018187536680498	0.000209039419223802	0.000174085619745348	0.000117114726055088	0.000242163175414535	0.0001333582987253	9.79588974088508e-05	9.79588974088508e-05	1.85890222203041e-05	9.78960585700169e-05	4.93789904903372e-05	7.97389079951317e-05	3.55784252125022e-05	5.91139442668201e-05	1.85529428900519e-05	4.93789904903372e-05	7.97389079951317e-05	1.83990133097721e-05	4.93789904903372e-05	4.93789904903372e-05	1.82199894137191e-05	1.82199894137191e-05	1.82199894137191e-05	1.82199894137191e-05	1.82199894137191e-05	1.82199894137191e-05	3.11590010766181e-05	3.11590010766181e-05	1.82199894137191e-05	0.00783459544789922	0.00778786828961883	0.00776899062840615	0.00776985142208918	0.00776273089274877	0.00778975026915451	0.00775862637173026	0.00774613067536758	0.00774951433152167	2.66362781066247e-05	0.00773289325692969	0.00773102686420595	0.00773172260180186	1.9959731647442e-05	1.07414337631768e-05	1.91385928098249e-05	1.71188165359469e-05	0.00772001677099341	5.70026731596129e-06	1.3368055139835e-05	8.91146131104158e-06	4.80855100408977e-06
"Scardinius_erythrophthalmus"	0.00122992254420768	0.000498377044126425	0.000498377044126425	1.00122821188248	0.000811011046375168	0.000433502568484055	0.000418261522119516	0.000348675092732294	0.000586678771624984	0.000306585952270895	0.000277450736278228	0.000245197134608735	0.000157197430307754	9.6421882650102e-05	0.000165045493426694	0.000165045493426694	0.000193248018801291	0.000270564791058192	9.27028299834875e-05	0.000144752329901376	0.000226254480626183	0.000188487469439329	0.000126844217389675	0.000122925112802772	0.00014439039359379	0.000106110125815907	0.000106110125815907	2.01101979235556e-05	5.37907591237852e-05	5.34288228161989e-05	8.63994508934077e-05	3.84740622329938e-05	6.40209853545086e-05	0.000124432879227233	5.34288228161989e-05	8.63994508934077e-05	1.99044693776109e-05	5.34288228161989e-05	5.34288228161989e-05	1.97106749224998e-05	1.97106749224998e-05	1.97106749224998e-05	1.97106749224998e-05	1.97106749224998e-05	1.97106749224998e-05	3.37181478936991e-05	3.37181478936991e-05	1.97106749224998e-05	0.00847559021667493	0.00842165891113419	0.00841782809227978	0.00841895898208167	5.79098092138004e-05	0.00842953697342478	0.00839597464435192	0.00839356534430135	0.00839531636291197	0.00837777634437863	0.00837270493118158	2.62178212597455e-05	2.09849856732418e-05	1.99304200766328e-05	1.16276673066654e-05	1.54357666865345e-05	0.00836388066135801	1.84371410003515e-05	6.17185637834164e-06	1.53976977308487e-05	0.0083512554482553	3.94093244076414e-06
"Tinca_tinca"	0.000864772678286363	0.000550454497058397	0.000550454497058397	0.000811011046375168	1.00086290069871	0.000433390549676875	0.000470462470981425	0.000400912050049889	0.000638663695097748	0.000358824892228396	0.000329575794378669	0.000297366606039863	0.000209470936009907	0.000148700175576509	0.000165042722548965	0.000165042722548965	0.000245403911625466	0.000270555474072109	0.000144949270033447	0.000196900956883428	0.000226249090088099	0.000188398750546151	0.000126889075385626	0.000122967332224861	0.00014440314181899	0.000106115711665769	0.000106115711665769	2.0121738036193e-05	0.000105950222561481	5.34524074970424e-05	8.6393541805502e-05	3.84812600396073e-05	6.40285538442771e-05	0.000124405490253727	5.34524074970424e-05	8.6393541805502e-05	1.9915999746654e-05	5.34524074970424e-05	5.34524074970424e-05	1.97221698602674e-05	1.97221698602674e-05	1.97221698602674e-05	1.97221698602674e-05	1.97221698602674e-05	1.97221698602674e-05	3.3730237636775e-05	3.3730237636775e-05	1.97221698602674e-05	0.00848053303991496	0.00842323463370856	0.00841743156429844	0.00841821295696185	0.0083996504103101	0.00843255940919376	0.00839416345321708	0.00839103154994771	0.00839265172033993	0.00837466563147678	0.00836875782519781	2.71840383241008e-05	2.32346465822003e-05	2.37664895594318e-05	1.16297931831975e-05	1.93964348469454e-05	0.00835907406406596	1.75353132341392e-05	6.17214868617194e-06	1.31127183381844e-05	1.21632546257495e-05	3.93991408797159e-06
"Alburnus_alburnus"	0.000778098641920624	0.00062511163053167	0.00062511163053167	0.000472911892891697	0.000472789690556591	1.00183832646611	0.000341888169340907	0.000265933918734628	0.000342003526425082	0.000220054712771877	0.000384248298107655	0.000153249294409716	0.000101172849155706	0.00010487417329606	0.000179913759983313	0.000179913759983313	0.00029248658394062	0.000225018456988038	0.000100859073141821	0.000157700791325294	0.00017673018392025	0.000439039337753351	0.000138183236295638	0.000215856493838747	0.000157382791212761	0.000115649776613896	0.000115649776613896	2.19177760175613e-05	5.85582122210453e-05	5.82402121085126e-05	9.41674790305394e-05	4.19442357708473e-05	6.97705706511451e-05	2.1779152568074e-05	5.82402121085126e-05	9.41674790305394e-05	2.16935187553381e-05	5.82402121085126e-05	5.82402121085126e-05	2.14822975833562e-05	2.14822975833562e-05	2.14822975833562e-05	2.14822975833562e-05	2.14822975833562e-05	2.14822975833562e-05	3.67579145251564e-05	3.67579145251564e-05	2.14822975833562e-05	0.00923738796084316	0.00918126321175036	0.0091758411925501	0.00917477188287989	5.08800180052457e-05	0.0091894786312891	5.78327390591279e-05	0.00914988924253765	0.00915745079872079	2.37483987774279e-05	0.00913425164027538	2.50487568142011e-05	0.00913177886597962	1.5872372138975e-05	1.26732703189178e-05	1.26004163310014e-05	1.61639983049905e-05	1.87496440547129e-05	6.72771786669581e-06	0.009121265052959	8.80404895276804e-06	0.00910762114969193
"Esox_lucius"	0.000514584180643387	0.000399615678804799	0.000399615678804799	0.000456285296857654	0.000513231786525191	0.000341888169340908	1.00079488890286	0.000719178447606911	0.000398713219172131	0.000673279251124477	0.000158930042620934	0.000454504439259985	0.000440344653744131	0.000444186113624499	0.000179965708575785	0.000179965708575785	0.000197259800858831	0.00022477058297888	0.000309897831119988	0.000214709609624009	0.000176480924711073	0.000135065174101618	0.000268552771239378	6.38295621319443e-05	0.000157412193526331	0.000115695591954282	0.000115695591954282	2.19859517168878e-05	0.000115587781577477	5.82903654797987e-05	9.41888547502407e-05	4.19714253512362e-05	6.97963954718489e-05	0.000135706485167009	5.82903654797987e-05	9.41888547502407e-05	2.17615609832293e-05	5.82903654797987e-05	5.82903654797987e-05	2.15067372040415e-05	2.15067372040415e-05	2.15067372040415e-05	2.15067372040415e-05	2.15067372040415e-05	2.15067372040415e-05	3.67836282757572e-05	3.67836282757572e-05	2.15067372040415e-05	0.00924789699773785	0.00917765234585066	0.00917983929648665	0.00917503507088341	0.00916758657562854	0.00919590706893931	4.43475539022729e-05	0.00914731464457401	0.009135938715505	0.00913597983703737	2.23173573064757e-05	2.95657162621299e-05	1.590529955021e-05	0.00913696384785097	1.52894267512666e-05	0.00913026483571732	1.52825923489329e-05	1.11299740115498e-05	6.73172200975576e-06	9.02552887778905e-06	7.01852860283495e-06	3.10807426673552e-06
"Perca_fluviatilis"	0.000568673276217475	0.000453818534502597	0.000453818534502597	0.000380372828435229	0.000437358600054424	0.000265933918734628	0.000719178447606911	1.00084926448397	0.000322819716703367	0.000803370526319593	0.000288964060917043	0.000454549300554734	0.000440416252393971	0.000444291536978187	0.000179957618718389	0.000179957618718389	0.000121424190068123	0.000148897962760372	0.000439955927867732	0.000214718810999975	0.000100613639855008	5.9136344480111e-05	0.000268571217489443	6.37919310950204e-05	0.000157396840303448	0.000115681061063706	0.000115681061063706	2.19819770750326e-05	0.000115606649211861	5.82846785153339e-05	9.41782805526771e-05	4.19705984750862e-05	6.97871034163934e-05	0.000135713395961769	5.82846785153339e-05	9.41782805526771e-05	2.17575997463732e-05	5.82846785153339e-05	5.82846785153339e-05	2.15027805110292e-05	2.15027805110292e-05	2.15027805110292e-05	2.15027805110292e-05	2.15027805110292e-05	2.15027805110292e-05	3.67818980043048e-05	3.67818980043048e-05	2.15027805110292e-05	0.00924619561974254	0.00917747143274327	0.00917879152946256	0.00917402135201921	0.00917151531144433	0.00919547450107619	3.93761970362108e-05	0.00914756761831918	3.72345931891242e-05	0.0091368492360592	2.29787530222114e-05	0.00912774272456002	1.6228651253616e-05	0.00913876287376191	1.52891541206426e-05	0.00913423048677342	1.359683371414e-05	1.37467433720586e-05	6.73131985978071e-06	7.15451594536715e-06	6.7239815466528e-06	2.41758107940571e-06
"Carassius_carassius"	0.000768095908184517	0.000516501682179292	0.000516501682179292	0.000704014525949981	0.000766396434117297	0.000376203879067591	0.000438584541089344	0.000355101688373703	1.00076555272352	0.00030466636715753	0.000251788722766579	0.000231189557272457	0.000250881227670269	0.000178032064898163	0.000197757632775463	0.000197757632775463	0.000294027638758714	0.00032423077848025	0.000173496064921113	0.000235928768974338	0.000271142613279277	0.000225689997157944	0.000151964825146259	0.000147276495753668	0.000173013491449902	0.000127136394174117	0.000127136394174117	2.40916067685478e-05	0.000126937541334824	6.40222638103883e-05	0.000103523486417147	4.61092971323127e-05	7.67010729579445e-05	2.40106484758276e-05	6.40222638103883e-05	0.000103523486417147	2.38451076134989e-05	6.40222638103883e-05	6.40222638103883e-05	2.36129077569709e-05	2.36129077569709e-05	2.36129077569709e-05	2.36129077569709e-05	2.36129077569709e-05	2.36129077569709e-05	4.04093560534174e-05	4.04093560534174e-05	2.36129077569709e-05	0.0101535503354975	0.0100929614006726	0.0100870642432346	0.010086751388185	0.0100664444039098	0.0101023390133543	0.0100629602726243	0.0100559689769444	0.0100603038576731	3.18192575085373e-05	3.12178915586508e-05	2.47108935478002e-05	2.27462405050906e-05	2.31552161140733e-05	1.39319913916828e-05	1.97048127321316e-05	0.0100247095513286	1.55444316271727e-05	7.39497465146701e-06	1.27344346335629e-05	1.06673871424031e-05	3.42003526425082e-06
"Gymnocephalus_cernuus"	0.000574923518504831	0.000448701948868217	0.000448701948868217	0.000367903142725074	0.000430589870674076	0.000242060184049065	0.000740607176236925	0.000883707578951553	0.00030466636715753	1.00088331763217	0.000317613391633457	0.000449658011895725	0.000484236236617431	0.000438459941612412	0.000147641651073617	0.000147641651073617	0.000133397057825911	0.000163571908404991	0.000483776307745709	0.00018591559572294	0.000110539017818342	6.49234485953656e-05	0.000245158218954057	7.00641297783187e-05	0.00012289591119827	7.70439323722846e-05	7.70439323722846e-05	2.40472491224426e-05	0.000127079217035919	6.40595325112492e-05	5.34228373657993e-05	4.60873674972808e-05	7.66539855931338e-05	0.000149217740349404	6.40595325112492e-05	5.34228373657993e-05	2.38564836777803e-05	6.40595325112492e-05	6.40595325112492e-05	2.36210950064853e-05	2.36210950064853e-05	2.36210950064853e-05	2.36210950064853e-05	2.36210950064853e-05	2.36210950064853e-05	4.04384375047639e-05	4.04384375047639e-05	2.36210950064853e-05	0.0101570708527887	0.0100874353417169	7.79893558301621e-05	0.0100762492114632	0.0100831495239472	0.010109609376191	4.08541845640578e-05	0.010055821924985	3.7589222750641e-05	0.0100477316274335	2.28800721538479e-05	0.0100389552366285	1.66075792597563e-05	0.0100491518505761	1.41233202777029e-05	0.0100458879387752	1.32940441072234e-05	1.40254165811363e-05	5.72296333986867e-06	7.09228809028128e-06	6.65913151336415e-06	2.20054712771877e-06
