"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"
"R1"	1.00525039884431	2.24804822178424e-10	2.82795645889225e-13	2.24539742836045e-10	2.25637759571501e-10	5.34106497366812e-07	5.31653866701536e-07	0.000635587680511571	0.00147614772723348	0	5.35224076190816e-07	8.94089108325776e-10	4.39917611149827e-13	0.00273727284720087	2.24242810122977e-10	0	2.23275313533017e-10	2.82047199464376e-12	5.62012055446059e-12	2.82047199464376e-12	1.33526624341703e-08	5.62763335319557e-12	1.59153528865369e-11	5.61349357090111e-12	2.82047199464376e-12	8.43396556554488e-12	1.41397822944612e-14	0.0252225023993478	2.82047199464376e-12	2.82047199464376e-12	2.11862560170524e-05	0.0253174960417265	0.0251312599711078	0	1.33806019047704e-08	2.68226732497733e-08	2.12661546680614e-05	1.33806019047704e-08	1.46639203716609e-14	0.0252963097857095	1.46639203716609e-14	1.31095448122648e-11	0	1.3396518811981e-08
"R2"	2.24804822178423e-10	1.00461310311238	5.33993545077561e-07	0.000423990874791584	0.00127038144777786	0.000422751964061792	2.65495012212413e-07	2.66606479400352e-07	2.23588066078383e-10	0	6.22600123351867e-07	3.53992110522695e-07	0.000846093390469071	2.24242810122977e-10	0.00210157035459684	0	0.000421075597028902	1.58797680972233e-05	0.0251153275778094	1.58797680972233e-05	1.05687991015448e-05	1.06264715470435e-05	0.0252012596910599	1.05997718697896e-05	1.58797680972233e-05	2.64795399670129e-05	2.66996772538781e-08	1.30948808918932e-11	1.58797680972233e-05	1.58797680972233e-05	8.88688264667841e-09	8.91115693087422e-09	5.62012055446059e-12	0	1.55650030837967e-08	1.06197633156809e-05	1.06198004884965e-05	1.55650030837967e-08	2.82031130156357e-05	2.42742841958123e-11	2.82031130156357e-05	0.0252135830359783	0	0.0252645358217341
"R3"	5.6559129177845e-13	1.06798709015512e-06	1.0075598647668	0.00253262484071642	4.25829797482441e-06	1.06361076750308e-06	6.67964616874513e-10	6.70760981100621e-10	5.62530028911699e-13	0	1.56641305384686e-09	8.90616371703113e-10	2.08992994406056e-09	5.64177313549003e-13	1.06531712242974e-06	0	1.05939315959574e-06	5.32287246853051e-08	2.66996772538781e-08	5.32287246853051e-08	2.65902691875769e-08	0.050441308859358	1.15438972686841e-07	6.33156210179104e-05	5.32287246853051e-08	6.33688497425957e-05	0.0503779932383401	3.29456927460947e-14	5.32287246853051e-08	5.32287246853051e-08	2.23586993700207e-11	2.24197715642124e-11	1.41397822944612e-14	0	3.91603263461715e-11	2.67184911510934e-08	2.67185846749805e-08	3.91603263461715e-11	6.96643314686852e-11	6.10721941916796e-14	6.96643314686852e-11	6.22799123330046e-08	0	6.35635895757444e-05
"R4"	2.24539742836044e-10	0.000423990874791584	0.00126631242035821	1.00545206176442	0.00169054429600529	0.000422253474698721	2.65181952899182e-07	2.66292109496946e-07	2.23324421477944e-10	0	6.21865982377204e-07	3.53574699566136e-07	8.29702187792041e-07	2.23978393478954e-10	0.000422930897604605	0	0.000420579084359509	2.11318037000661e-05	1.05997718697896e-05	2.11318037000661e-05	1.0556336867468e-05	0.0251996171651283	4.58292721566759e-05	0.0251363015441104	2.11318037000661e-05	0.0251574333478105	6.33156210179104e-05	1.30794400201996e-11	2.11318037000661e-05	2.11318037000661e-05	8.87640364989821e-09	8.90064931099231e-09	5.61349357090111e-12	0	1.55466495594301e-08	1.06072409869841e-05	1.06072781159673e-05	1.55466495594301e-08	2.7656739593068e-08	2.42456610940968e-11	2.7656739593068e-08	2.47251251962028e-05	0	0.0252347450615705
"R5"	1.1281887978575e-10	0.00063519072388893	1.0645744937061e-06	0.000845272148002645	1.00756040239396	0.000212159163449007	1.33239356595009e-07	1.3379714926977e-07	1.1220824759891e-10	0	3.12453477600577e-07	1.77651853617565e-07	1.24299640537056e-06	1.12536832586286e-10	0.000633602747079208	0	0.000211317874330172	0.0125945050299245	1.58797680972233e-05	0.0125945050299245	5.30397908622518e-06	2.11850324247514e-05	0.012631504889591	2.11318037000661e-05	0.0125945050299245	0.0126156368336246	5.32287246853051e-08	6.57169974751997e-12	0.0125945050299245	0.0125945050299245	4.45990497565898e-09	4.47208708778645e-09	2.82047199464376e-12	0	7.81133694001443e-09	5.32955560852696e-06	5.32957426380036e-06	7.81133694001443e-09	4.14332135123518e-08	1.21821121274655e-11	4.14332135123518e-08	3.70412928800426e-05	0	0.0126790724598103
"R6"	5.34106497366812e-07	0.000422751964061792	5.31805383751538e-07	0.000422253474698721	0.000424318326898015	1.00440270182805	0.000630781002235729	0.000633421701135939	5.31215645949814e-07	0	0.001479215471987	0.000841038392391339	8.27277779617e-07	5.32771231123395e-07	0.000421695084151637	0	0.000419875678857457	5.30397908622519e-06	1.05687991015448e-05	5.30397908622519e-06	0.0251100675457014	1.05829271366556e-05	2.99292809928245e-05	1.0556336867468e-05	5.30397908622519e-06	1.58603159536932e-05	2.65902691875769e-08	3.11117034716168e-08	5.30397908622519e-06	5.30397908622519e-06	2.11140567045313e-05	2.11717291903004e-05	1.33526624341703e-08	0	3.69803867996751e-05	0.0252311517717402	0.0252312400894292	3.69803867996751e-05	2.75759259872333e-08	5.76724857691075e-08	2.75759259872333e-08	2.46528778325866e-05	0	0.0251925407314474
"R7"	2.12661546680614e-06	1.06198004884965e-06	1.33592923374903e-09	1.06072781159673e-06	1.06591485276007e-06	0.00252312400894292	1.00251153775911	0.00252205205008249	2.11510516059206e-06	0	0.00252840346159259	4.22368517603303e-06	2.07817484363356e-09	2.12129892813913e-06	1.05932509872753e-06	0	1.05475463593268e-06	1.33239356595009e-08	2.65495012212413e-08	1.33239356595009e-08	6.30781002235729e-05	2.65849917516056e-08	7.51842735049931e-08	2.65181952899182e-08	1.33239356595009e-08	3.98421309494191e-08	6.67964616874514e-11	1.23875350941458e-07	1.33239356595009e-08	1.33239356595009e-08	8.40684016694164e-05	8.42980322783875e-05	5.31653866701536e-08	0	6.32100865398147e-05	0.000126710555280991	0.100461510364344	6.32100865398147e-05	6.92724947877852e-11	2.29630608971061e-07	6.92724947877852e-11	6.19296103402799e-08	0	6.32852781559611e-05
"R8"	0.000847450240682094	3.55475305867137e-07	4.47173987400414e-10	3.55056145995929e-07	3.56792398052719e-07	0.000844562268181253	0.000840684016694164	1.00503059919201	0.000842863416254402	0	0.000846329453023836	1.41378906455275e-06	6.95624968648176e-10	0.000845331615080389	3.54586617602469e-07	0	3.53056752082198e-07	4.45990497565899e-09	8.88688264667841e-09	4.45990497565899e-09	2.11140567045313e-05	8.89876234926824e-09	2.51663415424197e-08	8.87640364989821e-09	4.45990497565899e-09	1.33363086255572e-08	2.23586993700207e-11	4.9363976519732e-05	4.45990497565899e-09	4.45990497565899e-09	0.033501019973067	0.0335925271203995	2.11862560170524e-05	0	2.11582363255959e-05	4.24136719365825e-05	0.0336273606677666	2.11582363255959e-05	2.31874989549392e-11	9.15071473324521e-05	2.31874989549392e-11	2.07296240657156e-08	0	2.11834051249318e-05
"R9"	0.00295229545446696	4.47176132156766e-10	5.62530028911699e-13	4.46648842955889e-10	4.48832990395641e-10	1.06243129189963e-06	1.05755258029603e-06	0.0012642951243816	1.00293631615532	0	1.06465435175687e-06	1.77849970205393e-09	8.75073114158956e-13	0.00294491471583079	4.46058191826373e-10	0	4.4413367179704e-10	5.61041237994551e-12	1.11794033039191e-11	5.61041237994551e-12	2.65607822974907e-08	1.11943475753428e-11	3.16584220780771e-11	1.11662210738972e-11	5.61041237994551e-12	1.67766334538427e-11	2.81265014455849e-14	0.000171971210222701	5.61041237994551e-12	5.61041237994551e-12	4.21431708127201e-05	0.0503609301888014	7.3807386361674e-05	0	2.66163587939217e-08	5.33549910616178e-08	4.23021032118411e-05	2.66163587939217e-08	2.91691038052985e-14	0.0503187870179887	2.91691038052985e-14	2.60771788019369e-11	0	2.66480203078224e-08
"R10"	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0
