"Potentilla_vahliana"	"Dryas_integrifolia"	"Astragalus_alpinus"	"Taraxacum_sp1_M_PL_024"	"Caltha_palustris"	"Cerastium_alpinum"	"Arnica_alpina"	"Papaver_radicatum"	"Geum_rossii"	"Oxytropis_arctica"	"Petasites_frigidus"	"Spilogona_sanctipauli"	"Bombus_polaris"	"Spilogona_almquistii"	"Colias_hecla"	"Eupogonomyia_probilofensis"	"Boloria_improba"	"Pogonomyiodes_segnis"	"Spilogona_latilamina"	"Boreellus_atriceps"	"Spilogona_dorsata"	"Spilogona_projecta"	"Spilogona_aesturium"	"Spilogona_melanosoma"	"Anarta_richardsoni"	"Colias_nastes"	"Protocalliphora_sp1_M_PL_024"	"Rhamphomyia_sp1_M_PL_024"	"Spilogona_hurdiana"
"Petasites_frigidus"	0	0	0.0050673963717442	0	0	0	0	0	0	0	1.00503361372927	0	0.100672274585318	0	0.000168913212391473	0	0	0	0	0	0	0	0	0	0	0.000168913212391473	0	0	0
"Spilogona_sanctipauli"	0.0168994858238747	0.0168673807712755	0	0.0168268657695516	0.0168193976344773	0.0167649516638071	0.0167676033437692	4.00562998821041e-05	2.43597034634902e-05	0	0	1.00253898804029	0	0.00170517924244432	0	0.00102781518902328	0.000281123012854592	0.000470897892558416	0.000187772064709719	0.000524309380100752	0.000524160017399264	0.00111937059604495	0.000336537315391033	0.000524160017399265	0	0	0.000187772064709719	0.000336537315391033	0.000336387952689545
"Bombus_polaris"	0	0	0.050673963717442	0	0	0	0	0	0	0	0.050336137292659	0	1.00672274585318	0	0.00168913212391473	0	0	0	0	0	0	0	0	0	0	0.00168913212391473	0	0	0
"Spilogona_almquistii"	0.0145282705889741	0.0144647117182998	0	0.0144419582319931	0.0144355619500718	3.6504892125721e-05	0.0143910840647136	0.0143746920879915	0.0143373174759314	0	0	0.00146158220780941	0	1.0036122233152	0	0.000882206559561828	0.00024107852863833	0.00112123836180428	0.000161425228766379	0.000450264393406242	0.000450136467767815	0.000242903773244616	0.000288839164639863	0.000450136467767815	0	0	0.000161425228766379	0.000288839164639863	0.000288711239001436
"Colias_hecla"	0	0	0.10084118779771	0	0	0	0	0	0	0	0.000168913212391473	0	0.00337826424782947	0	1.00336137292659	0	0	0	0	0	0	0	0	0	0	0.00336137292659032	0	0	0
"Eupogonomyia_probilofensis"	0.0336275660235939	0.0335806140543476	0	8.27631886871584e-05	0.00010143710227705	6.24003522266323e-05	0.0334652949367734	6.06184668765275e-05	2.94068853187276e-05	0	0	0.00205563037804657	0	0.00205848197231093	0	1.00204882635462	0.000559676900905793	0.000936347446733997	0.000373639622484377	0.00037529488625812	0.000375668364529918	0.000562796918517125	1.65526377374317e-06	0.000375668364529918	0	0	0.000373639622484377	1.65526377374317e-06	2.02874204554099e-06
"Boloria_improba"	0.000164968152280342	0.100415487706376	0	5.25746765053078e-05	5.2613907727179e-05	0.000112072054510382	0.000108187844239872	8.00888155979201e-05	2.4107852863833e-05	0	0	0.00168673807712755	0	0.00168754970046831	0	0.00167903070271738	1.00167359146177	0.00167942888202261	1.83297946978158e-06	2.88447299988773e-06	2.88525762432516e-06	0.00167919506449846	1.05149353010616e-06	2.88525762432516e-06	0	0	1.83297946978158e-06	1.05149353010616e-06	1.05227815454358e-06
"Pogonomyiodes_segnis"	0.0336355553752716	0.0335885776404523	0	7.21182192278245e-05	9.08072768921828e-05	4.37965692086791e-05	8.42827900365565e-05	0.0334575885269517	3.73746120601428e-05	0	0	0.000941795785116831	0	0.00261622284421	0	0.000936347446733997	0.000559809627340871	1.00260641744675	0.000373728393058574	0.00037517075744313	0.000375544538596417	0.000561999455801305	1.44236438455649e-06	0.000375544538596417	0	0	0.000373728393058574	1.44236438455649e-06	1.81614553784366e-06
"Spilogona_latilamina"	0.100500878843713	0.000109978768186895	0	9.12095989220608e-05	0.000147176076814549	1.89161458089834e-05	7.22836915960475e-05	5.35153621824953e-05	1.61425228766379e-05	0	0	0.00112663238825831	0	0.00112997660136465	0	0.00112091886745313	1.83297946978158e-06	0.00112118517917572	1.0011166764316	0.00111850062357526	0.00111961995313311	2.77878676023075e-06	1.82419197844122e-06	0.00111961995313311	0	0	0.00111667643159682	1.82419197844122e-06	2.94352153629099e-06
"Boreellus_atriceps"	0.0503325280608865	8.6534189996632e-05	0	0.0503283328686078	0.000105074015917784	2.63534644912629e-05	6.74934329882557e-05	4.12717575424686e-05	2.25132196703121e-05	0	0	0.00157292814030226	0	0.00157592537692185	0	0.00056294232938718	1.44223649994387e-06	0.000562756136164696	0.000559250311787628	1.00156581696916	0.000561351792105984	2.75990972450701e-06	0.00100656665737216	0.000561351792105984	0	0	0.000559250311787628	0.00100656665737216	2.10148031835567e-06
"Spilogona_dorsata"	0.0503828978909898	8.65577287297547e-05	0	7.70907769715393e-05	0.0503059194999147	2.63459973038309e-05	6.74982424848499e-05	4.12840503182116e-05	2.25068233883907e-05	0	0	0.00157248005219779	0	0.00157547763718735	0	0.000563502546794877	1.44262881216258e-06	0.000563316807894626	0.000559809976566553	0.000561351792105984	1.00156592836656	2.75992867735412e-06	1.54181553943079e-06	0.00156592836656485	0	0	0.000559809976566553	1.54181553943079e-06	0.00100611838999829
"Spilogona_projecta"	0.000125045404210384	0.0503758519349537	0	6.85258172195819e-05	6.85267648619376e-05	0.0502235071743506	9.62535643903345e-05	4.02451614522961e-05	1.21451886622308e-05	0	0	0.00335811178813485	0	0.000850163206356156	0	0.000844195377775688	0.000839597532249228	0.000842999183701958	1.38939338011537e-06	2.75990972450701e-06	2.75992867735413e-06	1.00335077289097	1.37051634439164e-06	2.75992867735413e-06	0	0	1.38939338011537e-06	1.37051634439164e-06	1.37053529723875e-06
"Spilogona_aesturium"	0.00016417727805971	6.30896118063693e-05	0	0.100565456138293	6.29719550210178e-05	3.37907831735424e-05	6.27031743804639e-05	2.90281529024419e-05	2.88839164639863e-05	0	0	0.0020192238923462	0	0.00202187415247904	0	4.9657913212295e-06	1.05149353010616e-06	4.32709315366947e-06	1.82419197844122e-06	0.00201313331474431	3.08363107886157e-06	2.74103268878328e-06	1.00201130912277	3.08363107886157e-06	0	0	1.82419197844122e-06	0.00201130912276587	1.25943910042036e-06
"Spilogona_melanosoma"	0.0503828978909898	8.65577287297547e-05	0	7.70907769715393e-05	0.0503059194999147	2.63459973038309e-05	6.74982424848499e-05	4.12840503182116e-05	2.25068233883907e-05	0	0	0.00157248005219779	0	0.00157547763718735	0	0.000563502546794877	1.44262881216258e-06	0.000563316807894626	0.000559809976566553	0.000561351792105984	0.00156592836656485	2.75992867735412e-06	1.54181553943079e-06	1.00156592836656	0	0	0.000559809976566553	1.54181553943079e-06	0.00100611838999829
"Anarta_richardsoni"	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0
"Colias_nastes"	0	0	0.10084118779771	0	0	0	0	0	0	0	0.000168913212391473	0	0.00337826424782947	0	0.00336137292659032	0	0	0	0	0	0	0	0	0	0	1.00336137292659	0	0	0
"Protocalliphora_sp1_M_PL_024"	0.100500878843713	0.000109978768186895	0	9.12095989220608e-05	0.000147176076814549	1.89161458089834e-05	7.22836915960475e-05	5.35153621824953e-05	1.61425228766379e-05	0	0	0.00112663238825831	0	0.00112997660136465	0	0.00112091886745313	1.83297946978158e-06	0.00112118517917572	0.00111667643159681	0.00111850062357526	0.00111961995313311	2.77878676023075e-06	1.82419197844122e-06	0.00111961995313311	0	0	1.0011166764316	1.82419197844122e-06	2.94352153629099e-06
"Rhamphomyia_sp1_M_PL_024"	0.00016417727805971	6.30896118063693e-05	0	0.100565456138293	6.29719550210178e-05	3.37907831735424e-05	6.27031743804639e-05	2.90281529024419e-05	2.88839164639863e-05	0	0	0.0020192238923462	0	0.00202187415247904	0	4.9657913212295e-06	1.05149353010616e-06	4.32709315366947e-06	1.82419197844122e-06	0.00201313331474431	3.08363107886157e-06	2.74103268878328e-06	0.00201130912276587	3.08363107886157e-06	0	0	1.82419197844122e-06	1.00201130912277	1.25943910042036e-06
"Spilogona_hurdiana"	0.000264916938266189	6.31366892726149e-05	0	6.29719550210178e-05	0.100464662923015	3.37758487986784e-05	6.27127933736523e-05	2.90527384539279e-05	2.88711239001436e-05	0	0	0.00201832771613727	0	0.00202097867301005	0	6.08622613662298e-06	1.05227815454358e-06	5.44843661353097e-06	2.94352153629099e-06	4.20296063671135e-06	0.00201223677999659	2.7410705944775e-06	1.25943910042036e-06	0.00201223677999659	0	0	2.94352153629099e-06	1.25943910042036e-06	1.00200929325846
