"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"
"R1"	1.00177393148959	0.00177393148959043	0.0003010361821605	0.0003010361821605	0.0003010361821605	0.0003010361821605	0.000806803023622548	0.00110702131896765	0.000145046046737751	0.000300218295345099	0.000301859292472666	0.0003010361821605	0.0003010361821605	0.0003010361821605	0.00178494586956004	1.27496133540002e-05	1.27496133540002e-05	0.0201723923189552	1.27496133540002e-05	0.000108687361708423	0.020179644621292	1.27496133540002e-05	6.56398851026959e-05	0.0201290506623745	1.27496133540002e-05	1.27496133540002e-05	0.0200837068729376	6.54309452320878e-05	0.0201290506623745
"R2"	0.00177393148959043	1.00177393148959	0.0003010361821605	0.0003010361821605	0.0003010361821605	0.0003010361821605	0.000806803023622548	0.00110702131896765	0.000145046046737751	0.000300218295345099	0.000301859292472666	0.0003010361821605	0.0003010361821605	0.0003010361821605	0.00178494586956004	1.27496133540002e-05	1.27496133540002e-05	0.0201723923189552	1.27496133540002e-05	0.000108687361708423	0.020179644621292	1.27496133540002e-05	6.56398851026959e-05	0.0201290506623745	1.27496133540002e-05	1.27496133540002e-05	0.0200837068729376	6.54309452320878e-05	0.0201290506623745
"R3"	0.000376295227700625	0.000376295227700625	1.00089909782608	0.00089909782608215	0.00089909782608215	0.00089909782608215	2.02826958740896e-06	0.000586578450857977	0.000390528967396171	0.000584550181270568	0.000585323843219148	0.00089909782608215	0.00089909782608215	0.00089909782608215	0.000905725150702529	6.46946536216092e-06	6.46946536216092e-06	0.0252227578036717	6.46946536216092e-06	0.0252272324429335	0.0252422842520415	6.46946536216092e-06	3.09464779431862e-05	3.13651909707325e-05	6.46946536216092e-06	6.46946536216092e-06	2.15212744701859e-05	0.0251638115849265	3.13651909707325e-05
"R4"	0.000376295227700625	0.000376295227700625	0.00089909782608215	1.00089909782608	0.00089909782608215	0.00089909782608215	2.02826958740896e-06	0.000586578450857977	0.000390528967396171	0.000584550181270568	0.000585323843219148	0.00089909782608215	0.00089909782608215	0.00089909782608215	0.000905725150702529	6.46946536216092e-06	6.46946536216092e-06	0.0252227578036717	6.46946536216092e-06	0.0252272324429335	0.0252422842520415	6.46946536216092e-06	3.09464779431862e-05	3.13651909707325e-05	6.46946536216092e-06	6.46946536216092e-06	2.15212744701859e-05	0.0251638115849265	3.13651909707325e-05
"R5"	0.000376295227700625	0.000376295227700625	0.00089909782608215	0.00089909782608215	1.00089909782608	0.00089909782608215	2.02826958740896e-06	0.000586578450857977	0.000390528967396171	0.000584550181270568	0.000585323843219148	0.00089909782608215	0.00089909782608215	0.00089909782608215	0.000905725150702529	6.46946536216092e-06	6.46946536216092e-06	0.0252227578036717	6.46946536216092e-06	0.0252272324429335	0.0252422842520415	6.46946536216092e-06	3.09464779431862e-05	3.13651909707325e-05	6.46946536216092e-06	6.46946536216092e-06	2.15212744701859e-05	0.0251638115849265	3.13651909707325e-05
"R6"	0.000376295227700625	0.000376295227700625	0.00089909782608215	0.00089909782608215	0.00089909782608215	1.00089909782608	2.02826958740896e-06	0.000586578450857977	0.000390528967396171	0.000584550181270568	0.000585323843219148	0.00089909782608215	0.00089909782608215	0.00089909782608215	0.000905725150702529	6.46946536216092e-06	6.46946536216092e-06	0.0252227578036717	6.46946536216092e-06	0.0252272324429335	0.0252422842520415	6.46946536216092e-06	3.09464779431862e-05	3.13651909707325e-05	6.46946536216092e-06	6.46946536216092e-06	2.15212744701859e-05	0.0251638115849265	3.13651909707325e-05
"R7"	0.00134467170603758	0.00134467170603758	2.70435944987861e-06	2.70435944987861e-06	2.70435944987861e-06	2.70435944987861e-06	1.00217743984995	0.00217994259248284	1.52336640171075e-06	2.50274253601042e-06	0.000839474992616696	2.70435944987861e-06	2.70435944987861e-06	2.70435944987861e-06	0.00219185262880171	1.56560902057265e-05	1.56560902057265e-05	0.000127318897458957	1.56560902057265e-05	7.36081975375392e-05	0.000127395065779042	1.56560902057265e-05	0.0334788900032274	0.0335116899966535	1.56560902057265e-05	1.56560902057265e-05	6.94429584472297e-05	1.61293531094553e-05	0.0335116899966535
"R8"	0.000922517765806372	0.000922517765806372	0.000391052300571985	0.000391052300571985	0.000391052300571985	0.000391052300571985	0.00108997129624142	1.00148003522441	0.000260521372540294	0.000390063928171136	0.00080902711853062	0.000391052300571985	0.000391052300571985	0.000391052300571985	0.00148898952549744	1.06356394678389e-05	1.06356394678389e-05	0.0168405322320094	1.06356394678389e-05	0.0168166575900041	0.0168535583006364	1.06356394678389e-05	0.0167585276143794	0.0167752026470484	1.06356394678389e-05	1.06356394678389e-05	4.75363501000938e-05	7.90697920679362e-05	0.0167752026470484
"R9"	0.000362615116844379	0.000362615116844379	0.000781057934792341	0.000781057934792341	0.000781057934792341	0.000781057934792341	2.28504960256612e-06	0.000781564117620883	1.00077762274605	0.000779279068018317	0.000780234875822716	0.000781057934792341	0.000781057934792341	0.000781057934792341	0.000787388466661789	5.62420333329849e-06	5.62420333329849e-06	0.00021532185605226	5.62420333329849e-06	0.0502396983886809	0.0502542029933547	5.62420333329849e-06	3.82323121759667e-05	3.32310449541739e-05	5.62420333329849e-06	5.62420333329849e-06	2.01288080070736e-05	0.000142309341921958	3.32310449541739e-05
"R10"	0.000500363825575165	0.000500363825575165	0.000779400241694091	0.000779400241694091	0.000779400241694091	0.000779400241694091	2.50274253601042e-06	0.000780127856342271	0.000519519378678878	1.00077762511381	0.000778579244444544	0.000779400241694091	0.000779400241694091	0.000779400241694091	0.000786126422193171	5.61518872995122e-06	5.61518872995122e-06	0.0335537455665598	5.61518872995122e-06	0.0335597069824707	0.0335797215354937	5.61518872995122e-06	3.8165225531303e-05	3.8715297443196e-05	5.61518872995122e-06	5.61518872995122e-06	2.56297417529578e-05	0.000142010231026417	3.8715297443196e-05
