"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"
"R1"	1.00150804772766	0.00150804772766192	0.000840586455987331	0.00136383968333461	0.00100494140476531	0.000144208044327312	0.00100494140476531	0.00100494140476531	0.000860722887303098	0.000860733360437994	0.0100945631029119	0.0101244039927215	0.0101244039927215	0.0101244039927215	0.0101075922636018	0.0101075922636018	0.0100952962223546	0.0101075922636018	0.0100621264579323	0.0100621264579323
"R2"	0.00150804772766192	1.00150804772766	0.000840586455987331	0.00136383968333461	0.00100494140476531	0.000144208044327312	0.00100494140476531	0.00100494140476531	0.000860722887303098	0.000860733360437994	0.0100945631029119	0.0101244039927215	0.0101244039927215	0.0101244039927215	0.0101075922636018	0.0101075922636018	0.0100952962223546	0.0101075922636018	0.0100621264579323	0.0100621264579323
"R3"	0.00168117291197466	0.00168117291197466	1.00167530622305	0.00168019067299211	0.000676882993576861	9.82238982548906e-07	0.000676882993576861	0.000676882993576861	0.000675635406708008	0.000675900754594312	6.87567287784234e-05	0.0201304891396623	0.0201304891396623	0.0201304891396623	9.69830152012695e-05	9.69830152012695e-05	8.73310808197265e-05	9.69830152012695e-05	0.020085798367956	0.020085798367956
"R4"	0.00151537742592734	0.00151537742592734	0.000933439262773396	1.00151426791331	0.000956531793731248	1.10951262068121e-06	0.000956531793731248	0.000956531793731248	0.00079642089815037	0.000955422281110567	7.76658834476849e-05	0.0112378089173191	0.0112378089173191	0.0112378089173191	0.0112191401320636	0.0112191401320636	0.0112077626906615	0.0112191401320636	0.0111769126439219	0.0111769126439219
"R5"	0.00125617675595663	0.00125617675595663	0.000423051870985538	0.00107609826794765	1.00125389969496	0.000180078488008979	0.00125389969495861	0.00125389969495861	0.00107390767032921	0.00107382120694963	0.0126054941606285	0.0126232442996254	0.0126232442996254	0.0126232442996254	0.0126147832622057	0.0126147832622057	0.0125994417240581	0.0126147832622057	4.5541219960484e-05	4.5541219960484e-05
"R6"	0.00144208044327312	0.00144208044327312	4.91119491274453e-06	9.98561358613091e-06	0.00144062790407183	1.00143209482969	0.00144062790407183	0.00144062790407183	0.00143944078967765	8.53307438484164e-06	0.100246638078089	0.000103759671343658	0.000103759671343658	0.000103759671343658	0.000103661447445403	0.000103661447445403	8.30980075928649e-05	0.000103661447445403	2.90507840257855e-05	2.90507840257855e-05
"R7"	0.00125617675595663	0.00125617675595663	0.000423051870985538	0.00107609826794765	0.00125389969495861	0.000180078488008979	1.00125389969496	0.00125389969495861	0.00107390767032921	0.00107382120694963	0.0126054941606285	0.0126232442996254	0.0126232442996254	0.0126232442996254	0.0126147832622057	0.0126147832622057	0.0125994417240581	0.0126147832622057	4.5541219960484e-05	4.5541219960484e-05
"R8"	0.00125617675595663	0.00125617675595663	0.000423051870985538	0.00107609826794765	0.00125389969495861	0.000180078488008979	0.00125389969495861	1.00125389969496	0.00107390767032921	0.00107382120694963	0.0126054941606285	0.0126232442996254	0.0126232442996254	0.0126232442996254	0.0126147832622057	0.0126147832622057	0.0125994417240581	0.0126147832622057	4.5541219960484e-05	4.5541219960484e-05
"R9"	0.00122960412471871	0.00122960412471871	0.000482596719077148	0.00102396972619333	0.00122732305180481	0.000205634398525378	0.00122732305180481	0.00122732305180481	1.00122594319908	0.00102168865327943	0.0143944078967765	0.0144094693848973	0.0144094693848974	0.0144094693848973	0.0143998174505158	0.0143998174505158	9.65896905289088e-05	0.0143998174505158	4.56214582780653e-05	4.56214582780653e-05
"R10"	0.00122961908633999	0.00122961908633999	0.000482786253281651	0.00122840007571359	0.00122722423651386	1.21901062640595e-06	0.00122722423651386	0.00122722423651386	0.00102168865327943	1.00122600522589	8.53307438484164e-05	0.0144117421036657	0.0144117421036657	0.0144117421036657	0.0144020863786	0.0144020863786	0.0143874908264103	0.0144020863786	4.78969965225838e-05	4.78969965225838e-05
"C1"	0.0144208044327312	0.0144208044327312	4.91119491274453e-05	9.98561358613091e-05	0.0144062790407183	0.0143209482968699	0.0144062790407183	0.0144062790407183	0.0143944078967765	8.53307438484164e-05	1.00246638078089	0.00103759671343658	0.00103759671343658	0.00103759671343658	0.00103661447445403	0.00103661447445403	0.000830980075928649	0.00103661447445403	0.000290507840257855	0.000290507840257855
"C2"	0.0112493377696906	0.0112493377696906	0.0111836050775902	0.0112378089173191	0.011220661599667	1.15288523715175e-05	0.011220661599667	0.011220661599667	0.0112073650771424	0.0112091327472955	0.000807019666006226	1.00131453389367	0.00131453389366515	0.00131453389366515	0.00109086179211335	0.00109086179211335	0.000930756576725601	0.00109086179211335	0.000573523400471383	0.000573523400471383
"C3"	0.0112493377696906	0.0112493377696906	0.0111836050775902	0.0112378089173191	0.011220661599667	1.15288523715175e-05	0.011220661599667	0.011220661599667	0.0112073650771424	0.0112091327472955	0.000807019666006226	0.00131453389366515	1.00131453389367	0.00131453389366515	0.00109086179211335	0.00109086179211335	0.000930756576725601	0.00109086179211335	0.000573523400471384	0.000573523400471384
"C4"	0.0112493377696906	0.0112493377696906	0.0111836050775902	0.0112378089173191	0.011220661599667	1.15288523715175e-05	0.011220661599667	0.011220661599667	0.0112073650771424	0.0112091327472955	0.000807019666006226	0.00131453389366515	0.00131453389366515	1.00131453389366	0.00109086179211335	0.00109086179211335	0.000930756576725601	0.00109086179211335	0.000573523400471383	0.000573523400471383
"C5"	0.0126344903295023	0.0126344903295023	6.06143845007934e-05	0.0126215326485716	0.0126147832622057	1.29576809306753e-05	0.0126147832622057	0.0126147832622057	0.0125998402692013	0.012601825581275	0.000907037665147274	0.00122721951612752	0.00122721951612752	0.00122721951612752	1.00122600722844	0.0012260072284375	0.00104600951030606	0.0012260072284375	0.000394141345930856	0.000394141345930856
"C6"	0.0126344903295023	0.0126344903295023	6.06143845007934e-05	0.0126215326485716	0.0126147832622057	1.29576809306753e-05	0.0126147832622057	0.0126147832622057	0.0125998402692013	0.012601825581275	0.000907037665147274	0.00122721951612752	0.00122721951612752	0.00122721951612752	0.0012260072284375	1.00122600722844	0.00104600951030606	0.0012260072284375	0.000394141345930856	0.000394141345930856
"C7"	0.0144218517462209	0.0144218517462209	6.23793434426618e-05	0.014409980602279	0.0143993619703522	1.18711439418378e-05	0.0143993619703522	0.0143993619703522	9.65896905289088e-05	0.0143874908264103	0.000830980075928649	0.00119668702721863	0.00119668702721863	0.00119668702721863	0.00119543944034978	0.00119543944034978	1.00119405958763	0.00119543944034978	0.000449795517374149	0.000449795517374149
"C8"	0.0126344903295023	0.0126344903295023	6.06143845007934e-05	0.0126215326485716	0.0126147832622057	1.29576809306753e-05	0.0126147832622057	0.0126147832622057	0.0125998402692013	0.012601825581275	0.000907037665147274	0.00122721951612752	0.00122721951612752	0.00122721951612752	0.0012260072284375	0.0012260072284375	0.00104600951030605	1.00122600722844	0.000394141345930856	0.000394141345930856
"C9"	0.0251553161448306	0.0251553161448306	0.025107247959945	0.0251480534488242	9.10824399209681e-05	7.26269600644637e-06	9.10824399209681e-05	9.10824399209681e-05	7.98375519866143e-05	8.38197439145217e-05	0.000508388720451246	0.00129042765106061	0.00129042765106061	0.00129042765106061	0.000788282691861713	0.000788282691861713	0.000787142155404761	0.000788282691861712	1.00128467409819	0.00128467409819356
"C10"	0.0251553161448306	0.0251553161448306	0.025107247959945	0.0251480534488242	9.10824399209681e-05	7.26269600644637e-06	9.10824399209681e-05	9.10824399209681e-05	7.98375519866143e-05	8.38197439145217e-05	0.000508388720451246	0.00129042765106061	0.00129042765106061	0.00129042765106061	0.000788282691861713	0.000788282691861713	0.000787142155404761	0.000788282691861712	0.00128467409819356	1.00128467409819
