"Entacmaea_quadricolor"	"Heteractis_aurora"	"Heteractis_crispa"	"Heteractis_magnifica"	"Stichodactyla_mertensii"	"Amphiprion_melanopus"	"Amphiprion_clarkii"	"Amphiprion_perideraion"	"Amphiprion_ocellaris"	"Amphiprion_sandaracinos"
"Entacmaea_quadricolor"	1.01010101010101	0	0	0	0	0.101010101010101	0	0	0	0
"Heteractis_aurora"	0	1.00335574713873	0.00336417877066117	8.47400194121202e-06	0.00337261018967806	0	0.10067241416189	0.000168632638630119	4.23700097060601e-07	0.000168630509483903
"Heteractis_crispa"	0	0.00168208938533059	1.00419891033188	0.00252946828798962	0.00169054209580963	0	0.0504626815599176	0.0503364189309935	0.000126473414399481	8.45271047904817e-05
"Heteractis_magnifica"	0	4.23700097060601e-06	0.00252946828798962	1.00756304651962	4.25829243276986e-06	0	0.00012711002911818	0.0505046257403803	0.0503781523259809	2.12914621638493e-07
"Stichodactyla_mertensii"	0	0.00168630509483903	0.00169054209580963	4.25829243276986e-06	1.00671990461793	0	0.0505891528451708	8.47400194121202e-05	2.12914621638493e-07	0.0503359952308964
"Amphiprion_melanopus"	0.101010101010101	0	0	0	0	1.01010101010101	0	0	0	0
"Amphiprion_clarkii"	0	0.0335574713872966	0.0336417877066117	8.47400194121202e-05	0.0337261018967806	0	1.0067241416189	0.00168632638630119	4.23700097060601e-06	0.00168630509483903
"Amphiprion_perideraion"	0	8.43163193150596e-05	0.0503364189309935	0.0505046257403803	8.47400194121202e-05	0	0.00252948957945179	1.00504205223357	0.00252523128701902	4.23700097060601e-06
"Amphiprion_ocellaris"	0	4.23700097060601e-07	0.000252946828798962	0.100756304651962	4.25829243276986e-07	0	1.2711002911818e-05	0.00505046257403803	1.0050378152326	2.12914621638493e-08
"Amphiprion_sandaracinos"	0	0.000168630509483903	0.000169054209580963	4.25829243276986e-07	0.100671990461793	0	0.00505891528451708	8.47400194121202e-06	2.12914621638493e-08	1.00503359952309
