"Fuchsia_regia"	"Spirotheca_rivieri"	"Inga_sp1_M_PL_069_02"	"Aegiphila_obducta"	"Nematanthus_australis"	"Justicia_carnea"	"Vriesea_altodaserrae"	"Vriesea_incurvata"	"Heliconia_farinosa"	"Nidularium_inocentii"	"Clytolaema_rubricauda"	"Thalurania_glaucopis"	"Phaethornis_eurynome"	"Amazilia_versicolor"
"Fuchsia_regia"	1.00185001851353	0.00185001851353244	0.00185001851353244	0.000842666251026084	0.00185001851353244	1.06129250758953e-06	0.00101348095981301	1.06129250758953e-06	0.000841604958518494	1.06129250758953e-06	0.0504206777506971	0.0504962975111097	4.2451700303581e-05	5.06740479906504e-05
"Spirotheca_rivieri"	0.00185001851353244	1.00185001851353	0.00185001851353244	0.000842666251026084	0.00185001851353244	1.06129250758953e-06	0.00101348095981301	1.06129250758953e-06	0.000841604958518494	1.06129250758953e-06	0.0504206777506971	0.0504962975111097	4.2451700303581e-05	5.06740479906504e-05
"Inga_sp1_M_PL_069_02"	0.00185001851353244	0.00185001851353244	1.00185001851353	0.000842666251026084	0.00185001851353244	1.06129250758953e-06	0.00101348095981301	1.06129250758953e-06	0.000841604958518494	1.06129250758953e-06	0.0504206777506971	0.0504962975111097	4.2451700303581e-05	5.06740479906504e-05
"Aegiphila_obducta"	0.000842666251026084	0.000842666251026084	0.000842666251026084	1.00210138461896	0.000842666251026084	0.00126209242395336	3.3910110705275e-06	0.00126209242395336	0.000839292195010909	0.00126209242395336	0.000168702800758743	0.0503575317006545	0.0504836969581342	1.69550553526375e-07
"Nematanthus_australis"	0.00185001851353244	0.00185001851353244	0.00185001851353244	0.000842666251026084	1.00185001851353	1.06129250758953e-06	0.00101348095981301	1.06129250758953e-06	0.000841604958518494	1.06129250758953e-06	0.0504206777506971	0.0504962975111097	4.2451700303581e-05	5.06740479906504e-05
"Justicia_carnea"	2.12258501517905e-06	2.12258501517905e-06	2.12258501517905e-06	0.00252418484790671	2.12258501517905e-06	1.00252207076177	8.54158959830605e-09	0.00252207076177318	2.11408613352874e-06	0.00252207076177318	4.24944082515726e-07	0.000126845168011724	0.100882830470927	4.27079479915302e-10
"Vriesea_altodaserrae"	0.00101348095981301	0.00101348095981301	0.00101348095981301	3.3910110705275e-06	0.00101348095981301	4.27079479915302e-09	1.00604029569803	4.27079479915302e-09	3.38674027572835e-06	4.27079479915302e-09	0.050504710976864	0.000203204416543701	1.70831791966121e-07	0.0503020147849014
"Vriesea_incurvata"	2.12258501517905e-06	2.12258501517905e-06	2.12258501517905e-06	0.00252418484790671	2.12258501517905e-06	0.00252207076177318	8.54158959830605e-09	1.00252207076177	2.11408613352874e-06	0.00252207076177318	4.24944082515726e-07	0.000126845168011724	0.100882830470927	4.27079479915302e-10
"Heliconia_farinosa"	0.00168320991703699	0.00168320991703699	0.00168320991703699	0.00167858439002182	0.00168320991703699	2.11408613352874e-06	6.7734805514567e-06	2.11408613352874e-06	1.00167647030389	2.11408613352874e-06	0.000336980657434971	0.100588218233297	8.45634453411495e-05	3.38674027572835e-07
"Nidularium_inocentii"	2.12258501517905e-06	2.12258501517905e-06	2.12258501517905e-06	0.00252418484790671	2.12258501517905e-06	0.00252207076177318	8.54158959830605e-09	0.00252207076177318	2.11408613352874e-06	1.00252207076177	4.24944082515726e-07	0.000126845168011724	0.100882830470927	4.27079479915302e-10
"Clytolaema_rubricauda"	0.0201682711002789	0.0201682711002789	0.0201682711002789	6.74811203034973e-05	0.0201682711002789	8.49888165031451e-08	0.0202018843907456	8.49888165031451e-08	6.73961314869941e-05	8.49888165031451e-08	1.00504374843959	0.00404376788921965	3.3995526601258e-06	0.00101009421953728
"Thalurania_glaucopis"	0.0168320991703699	0.0168320991703699	0.0168320991703699	0.0167858439002182	0.0168320991703699	2.11408613352874e-05	6.7734805514567e-05	2.11408613352874e-05	0.0167647030388829	2.11408613352874e-05	0.0033698065743497	1.00588218233297	0.000845634453411495	3.38674027572835e-06
"Phaethornis_eurynome"	2.12258501517905e-05	2.12258501517905e-05	2.12258501517905e-05	0.0252418484790671	2.12258501517905e-05	0.0252207076177318	8.54158959830605e-08	0.0252207076177318	2.11408613352874e-05	0.0252207076177318	4.24944082515726e-06	0.00126845168011724	1.00882830470927	4.27079479915302e-09
"Amazilia_versicolor"	0.000101348095981301	0.000101348095981301	0.000101348095981301	3.3910110705275e-07	0.000101348095981301	4.27079479915302e-10	0.100604029569803	4.27079479915302e-10	3.38674027572835e-07	4.27079479915302e-10	0.0050504710976864	2.03204416543701e-05	1.70831791966121e-08	1.00503020147849
