"Sambucus_nigra"	"Bryonia_dioica"	"Crataegus_monogyna"	"Hedera_helix"	"Rubus_sp1_M_SD_011"	"Euonymus_europaeus"	"Prunus_spinosa"	"Solanum_dulcamara"	"Lonicera_periclymenum"	"Rosa_sp1_M_SD_011"	"Tamus_communis"	"Parus_palustris"	"Turdus_merula"	"Columba_palumbus"	"Parus_caeruleus"	"Turdus_philomelos"	"Erithacus_rubecula"	"Pyrrhula_pyrrhula"	"Sylvia_atricapilla"	"Turdus_iliacus"	"Fringilla_coelebs"	"Parus_major"	"Sitta_europaea"	"Turdus_pilaris"	"Aegithalos_caudatus"
"Sambucus_nigra"	1.00325189805862	0.00145095151328182	0.000822870503943359	0.0011018805089406	0.00094332030081574	0.000523135032928067	0.000402038398152439	0.000820823848732275	0.000331729097869614	0.000331256349228794	0.000121106488494681	0.0084774541946277	0.0084608363833189	0.00841549032154098	0.00842490437499729	0.00841779391009585	0.00839554846982387	0.00840831792010381	0.00840983088895841	0.00839029117383914	0.00838945151408749	0.00838945151408749	0.0083877932787796	2.98586900172818e-05	1.30783758232017e-05
"Bryonia_dioica"	0.00348228363187638	1.00347372571665	4.11801354383296e-06	5.64812256515006e-06	0.00146628241972032	0.00029164817411242	1.92206092197399e-06	0.000291995506174493	0.000792949055753567	1.67501008639986e-06	0.00028876238960905	0.0202133672726335	6.59790249367521e-05	2.92981034921361e-05	0.0201674666457807	5.85400013822225e-05	3.642319706975e-05	0.020127819192993	3.88651762560892e-05	2.91654592339123e-05	0.0200984935445986	0.0200984935445986	3.87522138047862e-05	1.46428968275792e-07	7.29120435281049e-06
"Crataegus_monogyna"	0.00197488920946406	4.11801354383296e-06	1.00297311947492	0.00129856115374146	0.000794412231986375	0.000291961881260672	0.00196663704059103	2.81565295674097e-06	1.38310267587619e-06	0.000792541666444578	5.70673422794564e-07	3.99471395956194e-05	0.0202302599656653	0.0201415181059744	3.24971701232651e-05	0.0201177792672919	4.97276801852132e-05	3.24280149894713e-05	4.25224882522544e-05	0.020141474367597	1.65397703497438e-05	1.65397703497438e-05	1.65512651774252e-05	0.0201250169575182	7.29904703151681e-06
"Hedera_helix"	0.00264451322145744	5.64812256515006e-06	0.00129856115374146	1.00263471609039	0.000794776368422534	0.000962003749682906	0.000292138688010764	0.000673341006651731	2.16486196885304e-06	0.000791935834729596	1.21100339142783e-06	8.47702373999482e-05	0.0201899835241754	0.0201402999467979	3.81543430970083e-05	0.0201165986824299	0.0200987820257287	3.80460999985657e-05	0.0200971766322083	5.77467895206666e-05	2.2150572630115e-05	2.2150572630115e-05	4.44823104005364e-05	3.57091793418546e-05	2.40500937420727e-05
"Rubus_sp1_M_SD_011"	0.00226396872195778	0.00146628241972032	0.000794412231986375	0.000794776368422534	1.0022514880698	0.000579090888027362	0.000290392403191061	0.000291280159883866	0.000791689153752352	0.000289260687349253	0.000288368996914991	0.0201858297840494	0.0201342999927618	6.51132123919556e-05	0.0201328062734944	0.0200956799394206	4.92392055854496e-05	0.0200932218158068	4.4471272047561e-05	4.44343974290777e-05	4.81920544107211e-05	4.81920544107212e-05	2.85757446791103e-05	2.55679914127629e-05	1.4477272200684e-05
"Euonymus_europaeus"	0.0015694050987842	0.000364560217640524	0.00036495235157584	0.00120250468710363	0.000723863610034202	1.00406803762955	0.000361917256183028	0.000362938521448184	0.000361361697877033	0.000361430206364218	0.00036003882444527	0.0252027177111689	0.025190741148394	6.2499026915002e-05	5.29149372705479e-05	5.89047887974752e-05	0.0251388294103041	3.48468523766962e-05	4.92264202802138e-05	3.24413313941528e-05	2.03695801760122e-05	2.03695801760122e-05	2.51763265381411e-05	1.93629555709511e-05	0.0251017009407388
"Prunus_spinosa"	0.00160815359260976	3.20343486995665e-06	0.00327772840098505	0.000486897813351273	0.000483987338651769	0.000482556341577371	1.00327244860266	1.9522073634938e-06	1.0853968260803e-06	0.000482491559425349	5.05412694826474e-07	3.53788886378532e-05	0.0335769769909307	0.000112818382196408	2.31993652501531e-05	9.83735509981764e-05	3.52031447448744e-05	2.31450954088491e-05	2.32043097842232e-05	0.03352137080138	1.34653486358138e-05	1.34653486358138e-05	1.34663535171978e-05	0.0335079695214415	1.20639085394343e-05
"Solanum_dulcamara"	0.0032832953949291	0.000486659176957487	4.69275492790162e-06	0.00112223501108622	0.000485466933139776	0.000483918028597578	1.9522073634938e-06	1.0032695058098	0.000481389668535809	2.27726714934459e-06	0.000479617848521147	0.0335732493964803	7.18855765920102e-05	5.00132136354921e-05	7.08728005864782e-05	5.96086889408204e-05	6.19034458944063e-05	4.68033171596878e-05	0.0334921223555062	2.75197236350837e-05	3.70939784968922e-05	3.70939784968923e-05	0.0334696776552845	1.58928677341159e-07	1.20979507149395e-05
"Lonicera_periclymenum"	0.00199037458721768	0.00198237263938392	3.45775668969048e-06	5.4121549221326e-06	0.00197922288438088	0.000722723395754066	1.62809523912045e-06	0.000722084502803713	1.0019735553031	1.48588167498294e-06	0.000718692899840409	0.0503085029888286	7.45449596322396e-05	1.68381472094663e-05	0.050194496130524	5.63483108133347e-05	3.4762782885775e-05	9.58183653687766e-05	4.07641814187138e-05	1.67098798685785e-05	5.6233907681159e-05	5.6233907681159e-05	4.06559383202711e-05	1.23424975097825e-07	1.80680848938517e-05
"Rosa_sp1_M_SD_011"	0.00198753809537277	4.18752521599965e-06	0.00198135416611145	0.00197983958682399	0.000723151718373131	0.000722860412728435	0.000723737339138023	3.41590072401689e-06	1.48588167498294e-06	1.00197273319058	7.06284264558649e-07	4.94398985191055e-05	0.0502510824747062	0.0501944233520493	3.11838964169715e-05	0.000110249726887611	7.42311195161304e-05	3.11096023332224e-05	5.62734725553867e-05	8.03144787549361e-05	1.66465679657597e-05	1.66465679657597e-05	1.6676680818907e-05	6.37516612934964e-05	1.80715103182109e-05
