"Gastonia_crassa"	"Craterispermum_microdon"	"Roscheria_melanochaetes"	"Nephrosperma_vanhoutteanum"	"Psychotria_pervillei"	"Erythroxylum_sechellarum"	"Glionnetia_sericea"	"Memecylon_eleagni"	"Dillenia_ferruginea"	"Aphloia_theiformis"	"Paragenipa_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Nectarinia_dussumieri"	"Unidentified_sp2_M_PL_103"	"Phelsuma_sp1_M_PL_103"	"Agrius_convolvuli"	"Forcipomyia_sp1_M_PL_103"	"Lygistorrhina_sp1_M_PL_103"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Pachycerina_seychellensis"	"Physiphoa_azurea"	"Unidentified_sp1_M_PL_103"	"Unidentified_sp3_M_PL_103"
"Gastonia_crassa"	1.00487078346331	0.000675822611708547	0.000844997295209649	0.000675822611708547	0.00117850197631805	0.000338163401824489	0	0.000337659209884058	0	0.000841600321158555	0.000337659209884058	0.0169081700912244	0.0168829604942029	0.0168067714898711	1.6899945904193e-05	0.0167647463369594	0	1.6899945904193e-05	1.6899945904193e-05	0.0168320064231711	0	0	0.0167478463910552	1.6899945904193e-05	0
"Craterispermum_microdon"	0.00202746783512564	1.0020164799682	1.70490063498624e-06	0.00201647996820409	0.00101195565629567	0.00100773621062566	0	0.00100874375757843	0	1.6980467630868e-06	0.00100874375757843	0.0503868105312832	0.0504371878789215	8.43889134002111e-05	3.40980126997249e-08	3.38252285981271e-05	0	3.40980126997249e-08	3.40980126997249e-08	3.3960935261736e-05	0	0	3.37911305854273e-05	3.40980126997249e-08	0
"Roscheria_melanochaetes"	0.00101399675425158	6.81960253994498e-07	1.00908258829192	6.81960253994498e-07	1.1892048196953e-06	3.41234512436417e-07	0	3.40725741558081e-07	0	8.49243512773516e-07	3.40725741558081e-07	1.70617256218208e-05	1.7036287077904e-05	1.69594061451777e-05	0.0201816517658384	0.0201985517117427	0	0.0201816517658385	0.0201816517658385	1.69848702554703e-05	0	0	1.6899945904193e-05	0.0201816517658385	0
"Nephrosperma_vanhoutteanum"	0.00202746783512564	0.00201647996820409	1.70490063498624e-06	1.0020164799682	0.00101195565629567	0.00100773621062566	0	0.00100874375757843	0	1.6980467630868e-06	0.00100874375757843	0.0503868105312832	0.0504371878789215	8.43889134002111e-05	3.40980126997249e-08	3.38252285981271e-05	0	3.40980126997249e-08	3.40980126997249e-08	3.3960935261736e-05	0	0	3.37911305854273e-05	3.40980126997249e-08	0
"Psychotria_pervillei"	0.00353550592895414	0.00101195565629567	2.97301204923826e-06	0.00101195565629567	1.00352048785649	0.00100874038190922	0	3.21527438645522e-06	0	2.96106024200514e-06	3.21527438645522e-06	0.0504370190954609	0.000160763719322761	0.0502349494916405	5.94602409847652e-08	5.89845590568871e-05	0	5.94602409847652e-08	5.94602409847652e-08	5.92212048401028e-05	0	0	5.89250988159023e-05	5.94602409847652e-08	0
"Erythroxylum_sechellarum"	0.00202898041094693	0.00201547242125133	1.70617256218208e-06	0.00201547242125133	0.00201748076381844	1.0020107462449	0	4.72617635155787e-06	0	1.69931357700748e-06	4.72617635155787e-06	0.100537312244988	0.000236308817577893	0.000134690378373371	3.41234512436417e-08	3.38504636336925e-05	0	3.41234512436417e-08	3.41234512436417e-08	3.39862715401496e-05	0	0	3.38163401824489e-05	3.41234512436417e-08	0
"Glionnetia_sericea"	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0.00202595525930435	0.00201748751515686	1.7036287077904e-06	0.00201748751515686	6.43054877291043e-06	4.72617635155787e-06	0	1.00201276133881	0	1.69677994916612e-06	0.0020127613388053	0.000236308817577893	0.100638066940265	3.40874484270513e-05	3.40725741558081e-08	3.37999935625616e-05	0	3.40725741558081e-08	3.40725741558081e-08	3.39355989833224e-05	0	0	3.37659209884058e-05	3.40725741558081e-08	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0.0336700336700337	0.0336700336700337	0	0	0.0336700336700337
"Aphloia_theiformis"	0.00504960192695133	3.3960935261736e-06	4.24621756386758e-06	3.3960935261736e-06	5.92212048401028e-06	1.69931357700748e-06	0	1.69677994916612e-06	0	1.00502935477548	1.69677994916612e-06	8.49656788503741e-05	8.48389974583061e-05	8.4456138140056e-05	8.49243512773516e-08	8.42449564671328e-05	0	8.49243512773516e-08	8.49243512773516e-08	0.100587095509664	0	0	8.41600321158555e-05	8.49243512773516e-08	0
