"Eryngium_stenophyllum"	"Eryngium_floribundum"	"Baccharis_articulata"	"Hysterionica_pinifolia"	"Eryngium_horridum"	"Gerardia_genistifolia"	"Eupatorium_subhastatum"	"Senecio_grisebachii"	"Baccharis_tandilensis"	"Oxalis_cordobensis"	"Achyrocline_satureoides"	"Gomphrena_perennis"	"Eupatorium_tenacetifolium"	"Hypochaeris_rosengurtii"	"Lathyrus_pubescens"	"Vernonia_echioides"	"Eupatorium_squarrulosum"	"Hypericum_connatum"	"Oenothera_indecora"	"Oxalis_articulata"	"Senecio_madagascariensis"	"Dodonaea_viscosa"	"Eupatorium_bupleurifolium"	"Eupatorium_macrocephalum"	"Habranthus_andersoni"	"Habranthus_gracilifolius"	"Hypochaeris_pampasica"	"Lathyrus_nervosus"	"Rodophiala_bifidum"	"Senecio_arechavaletae"	"Senecio_bravensis"	"Sommerfeltia_spinulosa"	"Stevia_satureiifolia"	"Augochlora_semiramis"	"Apis_mellifera"	"Astylus_quadrilineatus"	"Toxomerus_sp1_M_PL_072_02"	"Camponotus_sp1_M_PL_072_02"	"Chilicola_sp1_M_PL_072_02"	"Polybia_scutellaris"	"Unidentified_sp16_M_PL_072_02"	"Unidentified_sp17_M_PL_072_02"	"Unidentified_sp5_M_PL_072_02"	"Vanessa_sp1_M_PL_072_02"	"Xylocopa_ciliata"	"Chrysodina_sp1_M_PL_072_02"	"Lucilia_sericata"	"Unidentified_sp21_M_PL_072_02"	"Allograpta_sp1_M_PL_072_02"	"Augochlorella_ephyra"	"Cochliomyia_macellaria"	"Discodon_sp2_M_PL_072_02"	"Palpada_sp1_M_PL_072_02"	"Platycheirus_sp1_M_PL_072_02"	"Unidentified_sp14_M_PL_072_02"	"Unidentified_sp2_M_PL_072_02"	"Unidentified_sp8_M_PL_072_02"	"Augochloropsis_sp1_M_PL_072_02"	"Chauliognathus_scriptus"	"Discodon_sp1_M_PL_072_02"	"Euptoieta_claudia_hortensia"	"Lerodea_eufala"	"Panurgillus_sp1_M_PL_072_02"	"Strymon_eurytulus"	"Unidentified_sp12_M_PL_072_02"	"Unidentified_sp7_M_PL_072_02"	"Villa_sp1_M_PL_072_02"	"Xylocopa_augusti"	"Alophophion_sp1_M_PL_072_02"	"Augochloropsis_erato"	"Bombus_bellicosus"	"Brachygastra_lechiguana"	"Chauliognathus_sp1_M_PL_072_02"	"Coelioxys_sp1_M_PL_072_02"	"Corticea_immocerina"	"Dactylozodes_sp1_M_PL_072_02"	"Emesis_russula"	"Libythea_carinenta"	"Pampasatyrus_gyrtone"	"Podagritus_sp1_M_PL_072_02"	"Polistes_sp1_M_PL_072_02"	"Pyrgus_sp1_M_PL_072_02"	"Ruizantheda_divaricata"	"Stenodynerus_sp1_M_PL_072_02"	"Unidentified_sp1_M_PL_072_02"	"Unidentified_sp10_M_PL_072_02"	"Unidentified_sp11_M_PL_072_02"	"Unidentified_sp13_M_PL_072_02"	"Unidentified_sp15_M_PL_072_02"	"Unidentified_sp18_M_PL_072_02"	"Unidentified_sp19_M_PL_072_02"	"Unidentified_sp20_M_PL_072_02"	"Unidentified_sp3_M_PL_072_02"	"Unidentified_sp4_M_PL_072_02"	"Unidentified_sp6_M_PL_072_02"	"Unidentified_sp9_M_PL_072_02"
"Eryngium_stenophyllum"	1.00378175715659	0.00119072901367751	0.000934429489141975	0.000229030439140105	0.0006691146663676	0.000351422385400129	4.28906557984146e-05	0.000279138952497366	0.000452086741392684	0.000255362844546657	0.000125696727087213	0.000428643366728406	8.8345858834091e-05	0.000144944625071646	0.000199239440565209	0.00012528980240741	4.19969600178568e-05	3.29842326227894e-05	4.63380189692383e-05	3.31971529192043e-05	0.000198709883941975	6.56073124217843e-05	4.17869752177676e-05	0	9.18667323092948e-05	9.18667323092948e-05	3.29013576664507e-05	2.90754519418178e-07	9.18667323092948e-05	3.29013576664507e-05	2.82369993127574e-07	8.28749563386669e-08	2.08487925646243e-07	0.0046061900733031	0.00459656727395443	0.00460680725666452	0.0045925118695249	0.00458605266432811	0.00458042550787122	0.00458862130107745	0.00459333661546474	0.00458417338974312	0.00458648444066405	1.45377259709089e-05	1.34973201296503e-05	1.1294799725103e-05	0.00458107184582649	0.00457922597873929	0.00457925434125988	1.09461346231404e-05	0.0045742998330769	1.48585690531274e-05	0.00457108061967154	1.10364725029697e-05	0.00457439734947547	6.25463776938728e-06	0.0045768873562067	8.18407270211333e-06	1.17529987637109e-05	0.00456831448887214	2.23833545097464e-06	2.23833545097464e-06	5.91590505507116e-06	2.23833545097464e-06	1.65749912677334e-06	2.23833545097464e-06	5.27599646277133e-06	8.4952098681315e-06	6.67449635101411e-06	5.67013816036907e-06	0	5.67013816036907e-06	0.00456264435071176	2.09984800089284e-06	3.13224506018526e-06	2.20864647085227e-06	4.76562842204607e-07	5.67013816036907e-06	1.76177260877003e-06	3.51422385400129e-06	5.67013816036907e-06	1.76177260877003e-06	6.67449635101411e-06	6.08286060334183e-06	4.76562842204607e-07	0.00456264435071176	6.67449635101411e-06	5.67013816036907e-06	8.57286733456811e-06	0.00456264435071176	6.08286060334183e-06	0.00456264435071176	1.76177260877004e-06	6.08286060334182e-06	3.1015439166374e-06	5.67013816036907e-06
"Eryngium_floribundum"	0.0012474303952812	1.00491360295643	0.000427020666824877	0.000196073307701946	0.000941717790320221	0.000484462103076489	8.1205133694516e-07	0.000179928214846171	0.000241826408914372	3.54891851689191e-05	0.00053097105277683	0.000449552892940169	4.85990255589129e-05	8.30561886360149e-05	4.89128766149985e-05	3.48318860188714e-05	2.00462764343259e-07	3.46041564575865e-05	4.82780675444941e-05	3.46333690845444e-05	4.84553958351381e-05	2.34766944413998e-07	1.99460450521543e-07	0	1.31608356354947e-07	1.31608356354947e-07	3.45172113408589e-05	1.13223631652747e-07	1.31608356354947e-07	3.45172113408589e-05	3.92016379803156e-07	8.69451167276043e-08	9.5986606610417e-08	0.00483240958772025	2.19406495573697e-05	0.00480839606493946	1.64336861089798e-05	0.00480783151838244	0.00481499812228884	0.00481154796817277	6.58041781774734e-06	0.0048045834302099	0.00481336975909211	5.66118158263735e-06	9.70534475497009e-06	1.56806551921262e-05	0.00480258422782272	1.23346023114584e-05	1.11430555723037e-05	0.00479165574846494	9.94310769592172e-06	0.00479897243989679	1.02285419936386e-05	6.60749104042192e-06	0.00479953408020254	2.87959819831251e-06	0.00479996406724025	0.00479592229227662	0.00479386394204217	0.00479097300938145	1.51727900572461e-06	1.51727900572461e-06	2.32315487370921e-06	1.51727900572461e-06	1.73890233455208e-06	1.51727900572461e-06	6.35287724385678e-06	6.06744294613985e-06	3.05014762017769e-06	0.00478530287122108	0	0.00478530287122108	5.67013816036907e-06	1.0023138217163e-08	8.70797150471786e-07	1.21497563897282e-06	9.02279263272400e-09	0.00478530287122108	1.50825621309189e-06	4.84462103076489e-06	0.00478530287122108	1.50825621309189e-06	3.0501476201777e-06	8.56107082109292e-06	9.022792632724e-09	5.67013816036907e-06	3.05014762017769e-06	0.00478530287122109	8.99105785880338e-06	5.67013816036907e-06	8.56107082109292e-06	5.67013816036907e-06	1.50825621309189e-06	8.56107082109292e-06	1.99920238717968e-06	0.00478530287122108
"Baccharis_articulata"	0.0014683891972231	0.000640531000237316	1.00399754299513	0.000307640071618244	0.000326287539153919	6.80345736606036e-05	0.000211418972126635	0.000530217503277894	0.000422170586289457	0.000493160449382205	0.000240746644247095	1.26949127374983e-06	0.000138579156145928	0.000175984578707227	0.000312585731935179	6.13562516310476e-07	6.59313880806436e-05	2.80582613199693e-07	7.26309771153225e-05	6.92576113194316e-07	0.000312061795035516	0.00010303108599365	6.56017311402404e-05	0	1.34604334284142e-07	1.34604334284142e-07	2.79877631759493e-07	0.000144045506362708	1.34604334284142e-07	2.79877631759493e-07	4.00585734474604e-07	7.04981440200233e-10	1.97546643976065e-07	3.9182868446329e-05	0.00721619042542644	0.00722721747856285	0.0072121760195555	1.5707511861891e-05	1.81861729486845e-05	1.79934164812297e-05	6.73021671420712e-06	0.00718999322131293	1.33966298892176e-05	0.00720227531813539	1.79401164846957e-05	1.60234293789842e-05	0.00718410191572095	0.00719158199089648	0.00719368860749661	6.09695544615485e-06	0.00718590016104321	0.00717927610189894	0.0071804519798342	1.204320888567e-05	1.26908943271365e-05	5.92639931928196e-06	9.7500337966668e-06	7.8650805051196e-06	6.01639797612241e-06	9.72464397119182e-06	4.71556177966705e-06	4.71556177966705e-06	8.25396962869647e-06	4.71556177966705e-06	1.40996288040046e-08	4.71556177966705e-06	3.04680782597715e-06	8.49498903498551e-06	0.00717141102139381	3.05014762017769e-06	0	3.05014762017769e-06	6.67449635101411e-06	3.29656940403218e-06	1.53390629077619e-08	3.46447890364819e-06	2.34909969029594e-06	3.05014762017769e-06	2.36646208937111e-06	6.80345736606036e-07	3.0501476201777e-06	2.36646208937111e-06	0.00717141102139382	2.96625035594472e-06	2.34909969029594e-06	6.67449635101411e-06	0.00717141102139382	3.0501476201777e-06	2.53898254749965e-08	6.67449635101411e-06	2.96625035594472e-06	6.67449635101411e-06	2.36646208937111e-06	2.96625035594472e-06	5.8913055919766e-06	3.0501476201777e-06
"Hysterionica_pinifolia"	0.000387589973929408	0.000316733804749297	0.000331304692511955	1.00515690335017	5.68595881928266e-05	0.000773803572534833	0.00162539828020704	0.00012780039149115	0.000330256232415029	0.000127541597843232	5.62478431185962e-05	8.03635841068995e-07	7.16870498579883e-05	0.000314151604532599	1.28959123169334e-06	5.58265466402559e-05	7.11009419694354e-05	5.56691531138751e-05	7.62394973755195e-07	5.57750030423456e-05	3.47370700344458e-07	2.81200648983302e-07	7.07454372595882e-05	0	6.35299049250792e-08	6.35299049250792e-08	5.55292808698704e-05	4.8040361979658e-07	6.35299049250792e-08	5.55292808698704e-05	1.67247220989009e-07	1.39872244004711e-07	9.41694988598015e-08	0.00777409932178185	0.0077819980985547	2.09183925905845e-05	1.96840454288312e-05	1.51523401692195e-05	1.26499267567897e-05	7.93120979107869e-06	3.17649524625396e-06	7.57340060834222e-06	1.15410426112392e-05	2.4020180989829e-05	2.76605523924675e-05	6.68988883956036e-06	6.15339625844055e-06	1.03821309007162e-05	4.14560323315837e-06	0.00774122247155511	4.16047447893348e-06	4.99967516483492e-06	0.0077361044143148	0.00774395817263518	3.78693416906944e-06	2.82508496579405e-06	3.2861015386833e-06	2.63321307546381e-06	2.0251615602994e-06	3.27002882186193e-06	0.00775003616050786	0.00775003616050785	4.91444344950448e-06	0.00775003616050785	2.79744488009422e-06	0.00775003616050785	0.00773971421534202	7.77027550614066e-06	2.36646208937111e-06	1.50825621309189e-06	0	1.50825621309189e-06	1.76177260877004e-06	3.55504709847177e-06	1.3956636660064e-06	1.79217624644971e-06	1.80599808911894e-05	1.50825621309189e-06	0.00773197617961666	7.73803572534833e-06	1.50825621309189e-06	0.00773197617961666	2.36646208937111e-06	5.16905347207515e-07	1.80599808911894e-05	1.76177260877004e-06	2.36646208937111e-06	1.50825621309189e-06	1.60727168213799e-08	1.76177260877004e-06	5.16905347207515e-07	1.76177260877004e-06	0.00773197617961666	5.16905347207515e-07	1.42000434990167e-06	1.50825621309189e-06
"Eryngium_horridum"	0.0013382293327352	0.00179782487242951	0.00041527504983226	6.71976951369769e-05	1.00452835085904	0.000434072950917642	5.14390433647959e-07	0.000250131796929281	0.000185085278737732	6.66909249592381e-05	0.000250199911895556	0.000368340224295977	5.16855740995411e-07	6.62320886497516e-05	8.52766073850872e-07	6.60652465859571e-05	1.8416847358219e-07	6.57615000480505e-05	3.32315970428643e-07	6.58163868864478e-05	5.46918507203565e-07	2.41906105348246e-07	1.83247631214279e-07	0	1.5562357682074e-07	1.5562357682074e-07	6.55962701484323e-05	1.37529527240439e-07	1.5562357682074e-07	6.55962701484323e-05	2.53052792236488e-07	1.65229899618217e-07	1.48189744239199e-07	0.00918347782078052	2.01572394335707e-05	2.44369944382008e-05	1.69334273743772e-05	2.86650314037524e-05	0.00915606457607192	0.00915640021879497	7.78117884103697e-06	0.00915246534086888	0.00915842738231993	6.87647636202193e-06	4.39730130233177e-06	1.01221116894595e-05	0.00914968609868077	1.24741923594955e-05	9.07645688464672e-06	1.34187056774769e-05	9.07043011113281e-06	1.65313194149487e-05	9.56601630649405e-06	4.48627354767296e-06	0.00914671984832483	4.44569232717597e-06	2.20107359103543e-05	1.3565069059004e-05	0.00914063698772149	1.46439314244348e-05	5.2262079647027e-07	5.22620796470269e-07	4.40233476030969e-06	5.22620796470269e-07	3.30459799236434e-06	5.22620796470269e-07	4.85763485638394e-06	4.3620486610227e-06	2.96625035594471e-06	8.56107082109291e-06	0	8.56107082109292e-06	6.08286060334182e-06	9.20842367910952e-09	1.65163116464893e-06	1.29213935248853e-08	5.71544926275509e-09	8.56107082109291e-06	5.16905347207514e-07	4.34072950917643e-06	8.56107082109292e-06	5.16905347207514e-07	2.96625035594472e-06	0.0091320759169004	5.71544926275509e-09	6.08286060334182e-06	2.96625035594472e-06	8.56107082109292e-06	7.36680448591954e-06	6.08286060334182e-06	0.0091320759169004	6.08286060334182e-06	5.16905347207514e-07	0.0091320759169004	2.77924218810312e-06	8.56107082109292e-06
"Gerardia_genistifolia"	0.000773129247880284	0.00101737041646063	9.5248403124845e-05	0.00100594464429528	0.000477480246009407	1.00331102422615	0.000296080280599719	0.000165456461109483	0.000294872625128716	0.000164638896698307	0.000274248879967325	0.000403987719889541	0.000294296226710131	7.322500581837e-05	0.000705209333370334	7.24740155713686e-05	9.20760502348105e-05	7.22451042991336e-05	0.000201944816159719	7.23817373605563e-05	6.56030470850855e-07	2.04484825253972e-07	9.16156699836365e-05	0	1.07164471695885e-07	1.07164471695885e-07	7.2063583936573e-05	1.71393053451616e-07	1.07164471695885e-07	7.2063583936573e-05	2.75922068593838e-07	1.81520362560637e-07	1.22082124171335e-07	0.0100889017511202	0.0100777236982	5.15118100379192e-05	1.43139377677781e-05	0.0100532347493581	0.0100512947942547	2.44652366058424e-05	5.35822358479427e-06	1.52183252539873e-05	0.0100538895710532	8.56965267258077e-06	0.010071484902967	1.10368827437535e-05	1.33799201305486e-05	1.06244590163547e-05	4.22737111414987e-06	0.0100456928990176	2.18248029248657e-05	1.10099443667174e-05	1.19326053159556e-05	1.32545686849165e-05	1.26995743939426e-05	3.66246372514005e-06	1.6438599282557e-05	1.03295986301114e-05	9.18535053994131e-06	8.35884488476619e-06	1.10278166209008e-05	1.10278166209008e-05	6.36306847966627e-06	1.10278166209008e-05	3.63040725121274e-06	1.10278166209008e-05	0.0100408482779868	0.0100507404755957	6.80345736606035e-07	4.84462103076489e-06	0	4.84462103076489e-06	3.51422385400129e-06	4.60380251174052e-06	1.81185038928421e-06	7.35740566775328e-06	3.28978089555243e-06	4.84462103076489e-06	7.73803572534832e-06	0.0100331102422615	4.84462103076489e-06	7.73803572534832e-06	6.80345736606035e-07	4.34072950917643e-06	3.28978089555243e-06	3.51422385400129e-06	6.80345736606035e-07	4.84462103076489e-06	8.07975439779082e-06	3.51422385400129e-06	4.34072950917643e-06	3.51422385400129e-06	7.73803572534832e-06	4.34072950917643e-06	1.8384051234387e-06	4.84462103076489e-06
"Eupatorium_subhastatum"	0.000104843825285014	1.89478645287204e-06	0.000328873956641432	0.00234779751585462	6.2869941890306e-07	0.000328978089555243	1.00502033270188	0.00032753903009136	0.000103709994499857	0.000326984165667921	5.01551853307385e-07	2.29885065882098e-07	0.000327095157048288	1.38613989038549e-06	0.000224959642601593	3.54551791441587e-07	0.000102557909821127	2.22444260136015e-07	0.000224232298883646	4.95611187652192e-07	4.23286083387101e-07	1.89495702604355e-07	0.000102045120272022	0	9.76713555313172e-09	9.76713555313172e-09	2.21885354959794e-07	0.000224014644166688	9.76713555313172e-09	2.21885354959794e-07	1.2395309586178e-07	5.58905176221143e-10	1.22012921450057e-07	3.10639496943711e-05	0.0112249632299224	3.28391855498104e-05	1.32646991823049e-05	5.07633916295561e-06	3.79111301671867e-06	1.79227371666594e-06	4.88356777656586e-07	6.4797233309667e-06	3.78567968097016e-06	0.0112007322083344	0.0111951953514074	4.95812383447121e-06	2.84040077439603e-06	9.57177355821411e-06	2.8468268366699e-06	2.13587845793745e-05	8.44965359754038e-06	2.36815351999481e-06	2.08856434236899e-05	1.93910093196972e-05	4.91301084100085e-07	3.66038764350171e-06	4.90183336154973e-07	1.90538296988717e-08	1.47382418954791e-08	4.85585634837331e-07	0.0111849525664676	0.0111849525664676	5.47451665384797e-06	0.0111849525664676	1.11781035244228e-08	0.0111849525664676	2.13497617867418e-05	8.91377196059226e-06	2.34909969029594e-06	9.02279263272399e-09	0	9.022792632724e-09	4.76562842204607e-07	5.12789549105637e-06	8.86379478603966e-09	8.1773789262072e-06	0.0111668925855764	9.02279263272399e-09	1.80599808911894e-05	3.28978089555243e-06	9.022792632724e-09	1.80599808911894e-05	2.34909969029594e-06	5.7154492627551e-09	0.0111668925855764	4.76562842204606e-07	2.34909969029594e-06	9.022792632724e-09	4.59770131764196e-09	4.76562842204607e-07	5.7154492627551e-09	4.76562842204607e-07	1.80599808911894e-05	5.7154492627551e-09	3.63932255657067e-06	9.022792632724e-09
"Senecio_grisebachii"	0.000682339661660228	0.000419832501307733	0.000824782782876723	0.000184600565487217	0.000305716640691343	0.00018384051234387	0.00032753903009136	1.00266702264158	0.000655048955211853	0.000566733155100722	0.000360997619604248	9.92136285394051e-07	0.000214575590861463	0.000352475109350536	0.000112893986786216	0.000454498833199752	0.000102283460110912	8.02931283874438e-05	0.000112267109073952	8.07655784341682e-05	0.000112368595264849	0.000159888170068456	0.000101772042810358	0	2.91026453654551e-07	2.91026453654551e-07	8.00913868588322e-05	0.000223641700936896	2.91026453654551e-07	8.00913868588322e-05	0.000279602826073929	2.01741528611668e-07	0.000372980172804266	0.0112127941602365	0.0111949247091393	0.0111881552622454	0.0111921719047919	1.51471060931118e-05	1.69383460074439e-05	1.60879431577762e-05	1.45513226827276e-05	0.0111545159901014	9.73823634106679e-06	0.0111820850468448	1.92778225748989e-05	0.0111841130429572	1.37712940838968e-05	2.66265140337742e-05	1.46112792718565e-05	5.25761186052006e-06	1.18151991782694e-05	1.51104603712412e-05	1.04128538585157e-05	1.84199940238132e-05	7.8799884919202e-06	0.011189405184128	5.12058902952496e-06	9.21915477926465e-06	4.7784445752828e-06	5.10074630381709e-06	5.05932690647234e-06	5.05932690647233e-06	1.34838315067205e-05	5.05932690647233e-06	4.03483057223336e-06	5.05932690647234e-06	3.25840947334037e-06	4.66075479309409e-06	5.89130559197659e-06	1.99920238717968e-06	0	1.99920238717968e-06	3.1015439166374e-06	5.11417300554561e-06	1.13624708299938e-05	5.36438977153658e-06	3.63932255657067e-06	1.99920238717968e-06	1.42000434990167e-06	1.8384051234387e-06	1.99920238717968e-06	1.42000434990167e-06	5.8913055919766e-06	2.77924218810312e-06	3.63932255657067e-06	3.1015439166374e-06	5.89130559197659e-06	1.99920238717968e-06	1.9842725707881e-08	3.1015439166374e-06	2.77924218810312e-06	3.1015439166374e-06	1.42000434990167e-06	2.77924218810312e-06	0.0111407446960175	1.99920238717968e-06
"Baccharis_tandilensis"	0.00124323853882988	0.000634794323400226	0.00073879852600655	0.000536666377674422	0.000254492258264382	0.000368590781410894	0.000116673743812339	0.000736930074613335	1.0019681315323	0.000609369594759041	0.000316079060774356	0.000503982341781663	0.000241300413460246	0.000724392775231951	0.000127090422604179	8.31861431533021e-07	0.000114995056093884	4.42225112183774e-07	0.000126277081613181	9.51300240044098e-07	0.000126441973968443	0.000179856708898188	0.000114420080813415	0	1.14122350164927e-07	1.14122350164927e-07	4.41113993811453e-07	4.99354290834976e-07	1.14122350164927e-07	4.41113993811453e-07	0.000314263442037828	1.11111837232104e-09	2.74545433977809e-07	6.17559591336034e-05	0.0125862088894756	0.0125866963458628	0.0125899696228731	0.0125470411131823	2.09949693926559e-05	0.0125456687713524	5.70611750824635e-06	2.44527246318262e-05	2.4753035012802e-05	2.49677145417487e-05	2.05059077276268e-05	0.0125705376815131	1.62646126916781e-05	0.0125456860206624	1.72503152944489e-05	1.08369408307265e-05	1.41054771611312e-05	1.4621543655535e-05	1.50564195012146e-05	0.0125468396664397	1.09874803630598e-05	8.23636301933427e-06	1.87535612144714e-05	9.34441132691678e-06	5.33639609565129e-06	8.67391437883821e-06	5.42457783643608e-06	5.42457783643608e-06	1.02037249246529e-05	5.42457783643607e-06	2.22223674464208e-08	5.42457783643608e-06	7.81411071929682e-06	6.86316837921342e-06	5.27713232861821e-06	3.02283011142964e-06	0	3.02283011142965e-06	5.65108426740855e-06	5.74975280469421e-06	2.07965357883255e-08	6.03251033650615e-06	1.29637493124821e-06	3.02283011142964e-06	4.12820290518786e-06	3.68590781410895e-06	3.02283011142965e-06	4.12820290518786e-06	5.27713232861822e-06	2.31356598422165e-06	1.29637493124821e-06	5.65108426740855e-06	5.27713232861822e-06	3.02283011142965e-06	1.00796468356333e-05	5.65108426740855e-06	2.31356598422165e-06	5.65108426740855e-06	4.12820290518787e-06	2.31356598422165e-06	8.18811194014816e-06	3.02283011142964e-06
"Oxalis_cordobensis"	0.000936330430004409	0.000124212148091217	0.00115070771522514	0.000276340128660335	0.000122266695758603	0.000274398161163845	0.000490476248501882	0.000850099732651083	0.000812492793012055	1.00210284545611	0.000121403070867942	1.01683452845643e-06	0.000153544538623971	0.000360794338352857	1.25399991826825e-06	0.000120968672363132	0.000153228477601969	0.000120405243085504	6.98342063451683e-07	0.000957582377840464	8.73672493221995e-07	0.000239525193850125	0.000152462335213959	0	1.4648418950079e-07	1.4648418950079e-07	0.000120102717349108	0.000335166908225203	1.4648418950079e-07	0.000120102717349108	5.5212465952435e-07	3.02525736395738e-07	4.17049143615061e-07	0.0168143804288751	0.0167708568735355	4.56370097995035e-05	0.0167667635695087	1.77680120434512e-05	1.11310922735775e-05	1.61355458478001e-05	7.32420947503947e-06	2.3623942652629e-05	8.72336754678782e-06	0.0167583454112601	1.20985982728324e-05	2.2084986380974e-05	1.4178390067617e-05	0.0167243456390799	1.25190718568088e-05	5.46116132850764e-06	1.25067382301044e-05	1.12388886598776e-05	1.46010815295349e-05	2.13017116688593e-05	5.95904924458023e-06	1.25114743084518e-05	4.86787051916206e-06	3.01954783684082e-06	1.70300183546929e-06	4.84753382859294e-06	7.57542939185256e-06	7.57542939185255e-06	0.0167495932098271	7.57542939185255e-06	6.05051472791475e-06	7.57542939185255e-06	4.86967490902565e-06	2.77533160959516e-06	8.21934082303674e-06	5.91486419481985e-07	0	5.91486419481985e-07	4.25604740911095e-06	7.66142388009845e-06	3.02421680907829e-06	3.83861346559927e-06	5.44973609446536e-06	5.91486419481985e-07	2.12569329738719e-06	2.74398161163845e-06	5.91486419481986e-07	2.12569329738719e-06	8.21934082303675e-06	1.1115154159873e-06	5.44973609446536e-06	4.25604740911095e-06	8.21934082303675e-06	5.91486419481986e-07	2.03366905691286e-08	4.25604740911095e-06	1.1115154159873e-06	4.25604740911095e-06	2.12569329738719e-06	1.1115154159873e-06	9.44555258501204e-06	5.91486419481986e-07
