"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"
"R1"	1.003367003367	0.00336700336700337	0	0	0	0	0.00336700336700337	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0
"R2"	0.00336700336700337	1.003367003367	0	0	0	0	0.00336700336700337	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0
"R3"	0	0	1.0050505050505	0	0	0.00505050505050505	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0
"R4"	0	0	0	1.00201705033771	0.00146111090758554	0	0	0.00146111090758554	0.00201971058054828	0.00201971058054828	0.00112231678703184	0.0168347518054776	0.0168347518054776	0	0	0.0168347518054776	0.000106409713506612	0.0167579901888823	0.0168066938858018	0.0168347518054776
"R5"	0	0	0	0.00146111090758554	1.00187808313287	0	0	0.00187808313286888	0.00188068599066579	0.00188068599066579	0.00112236094635524	0.0168354141953285	0.0168354141953285	0	0	0.0168354141953285	0.0167830033232099	7.80857339073529e-05	0.0168073551716697	0.0168354141953285
"R6"	0	0	0.00505050505050505	0	0	1.0050505050505	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0
"R7"	0.00336700336700337	0.00336700336700337	0	0	0	0	1.003367003367	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0
"R8"	0	0	0	0.00146111090758554	0.00187808313286888	0	0	1.00187808313287	0.00188068599066579	0.00188068599066579	0.00112236094635524	0.0168354141953285	0.0168354141953285	0	0	0.0168354141953285	0.0167830033232099	7.80857339073529e-05	0.0168073551716697	0.0168354141953285
"R9"	0	0	0	0.00173118049761281	0.00161201656342782	0	0	0.00161201656342782	1.00209116038788	0.00209116038788321	0.000963475700775241	0.0144521355116286	0.0144521355116286	0	0	0.0144521355116286	0.0143991956108157	0.0143743147336616	0.0144280486191092	0.0144521355116286
"R10"	0	0	0	0.00173118049761281	0.00161201656342782	0	0	0.00161201656342782	0.00209116038788321	1.00209116038788	0.000963475700775241	0.0144521355116286	0.0144521355116286	0	0	0.0144521355116286	0.0143991956108157	0.0143743147336616	0.0144280486191092	0.0144521355116286
"R11"	0	0	0	0.00168347518054776	0.00168354141953285	0	0	0.00168354141953285	0.00168608247635667	0.00168608247635667	1.00167828712868	0.0251743069302494	0.0251743069302494	0	0	0.0251743069302494	0.000104291832356524	7.6231704714558e-05	0.00013234975203232	0.0251743069302494
"C1"	0	0	0	0.0168347518054776	0.0168354141953285	0	0	0.0168354141953285	0.0168608247635667	0.0168608247635667	0.0167828712868329	1.00174306930249	0.00174306930249402	0	0	0.00174306930249402	0.00104291832356524	0.000762317047145581	0.0013234975203232	0.00174306930249402
"C2"	0	0	0	0.0168347518054776	0.0168354141953285	0	0	0.0168354141953285	0.0168608247635667	0.0168608247635667	0.0167828712868329	0.00174306930249402	1.00174306930249	0	0	0.00174306930249402	0.00104291832356524	0.000762317047145581	0.0013234975203232	0.00174306930249402
"C3"	0	0	0.0505050505050505	0	0	0.0505050505050505	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0
"C4"	0.0336700336700337	0.0336700336700337	0	0	0	0	0.0336700336700337	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0
"C5"	0	0	0	0.0168347518054776	0.0168354141953285	0	0	0.0168354141953285	0.0168608247635667	0.0168608247635667	0.0167828712868329	0.00174306930249402	0.00174306930249402	0	0	1.00174306930249	0.00104291832356524	0.00076231704714558	0.0013234975203232	0.00174306930249402
"C6"	0	0	0	0.000159614570259918	0.0251745049848148	0	0	0.0251745049848148	0.0251985923189274	0.0251985923189274	0.000104291832356524	0.00156437748534786	0.00156437748534786	0	0	0.00156437748534786	1.0015591099467	0.000722620023378449	0.00156177018953894	0.00156437748534786
"C7"	0	0	0	0.0335159803777645	0.000156171467814706	0	0	0.000156171467814706	0.0335400677118772	0.0335400677118772	0.000101642272952744	0.00152463409429116	0.00152463409429116	0	0	0.00152463409429116	0.0009634933645046	1.00151688732187	0.00152209303746734	0.00152463409429116
"C8"	0	0	0	0.0201680326629621	0.0201688262060036	0	0	0.0201688262060036	0.0201992680667529	0.0201992680667529	0.000105879801625856	0.00158819702438784	0.00158819702438784	0	0	0.00158819702438784	0.00124941615163116	0.000913255822480405	1.00158555002935	0.00158819702438784
"C9"	0	0	0	0.0168347518054776	0.0168354141953285	0	0	0.0168354141953285	0.0168608247635667	0.0168608247635667	0.0167828712868329	0.00174306930249402	0.00174306930249402	0	0	0.00174306930249402	0.00104291832356524	0.00076231704714558	0.0013234975203232	1.00174306930249
