"Nephrosperma_vanhoutteanum"	"Medusagyne_oppositifolia"	"Mimusops_sechellarum"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Apis_mellifera"	"Lygistorrhina_sp1_M_PL_085"	"Unidentified_sp2_M_PL_085"	"Unidentified_sp1_M_PL_085"	"Lasioglossum_mahense"	"Parasarcophaga_hirticeps"	"Eristalinus_vicarians"	"Rhiparida_seychellensis"	"Geron_seychellarum"	"Nectarinia_dussumieri"	"Phelsuma_sp1_M_PL_085"	"Chalcidoma_disjunctum"	"Hemipyrellia_germana"	"Simosyrphus_aegyptius"	"Unidentified_sp3_M_PL_085"	"Unidentified_sp4_M_PL_085"	"Unidentified_sp5_M_PL_085"
"Nephrosperma_vanhoutteanum"	1.00782868227405	0.000747863778855709	0.000991904696551975	0.000386491717234179	0.000146067634313688	0.00726686480710599	0.00719877630195754	0.00719877630195753	0.0072402368395286	0.00723463263276177	0.00722370509458605	0.00719877630195753	0.00719877630195753	0.00719877630195753	1.65317449425329e-05	0.00721530804690007	0.00719877630195753	0.00719877630195753	7.30338171568441e-06	0.00719877630195753	0.00719877630195753	1.65317449425329e-05
"Medusagyne_oppositifolia"	0.00349003096799331	1.00346189381572	0.00179991183140804	0.000674377188578774	0.00067479629731264	0.0335711157913038	2.49287926285236e-05	2.49287926285236e-05	0.0335036571170093	8.86461825809297e-05	0.0334736585864858	2.49287926285236e-05	2.49287926285236e-05	2.49287926285236e-05	2.99985305234674e-05	5.4927323151991e-05	2.49287926285236e-05	2.49287926285236e-05	3.3739814865632e-05	2.49287926285236e-05	2.49287926285236e-05	2.99985305234674e-05
"Mimusops_sechellarum"	0.00231444429195461	0.000899955915704021	1.00564940388736	0.000898126328126816	0.000339079677867102	0.0168692139738883	1.65317449425329e-05	1.65317449425329e-05	0.0168073536735886	0.0168222614594715	4.65302754660003e-05	1.65317449425329e-05	1.65317449425329e-05	1.65317449425329e-05	0.0167608233981226	0.0167773551430652	1.65317449425329e-05	1.65317449425329e-05	1.69539838933551e-05	1.65317449425329e-05	1.65317449425329e-05	0.0167608233981226
"Erythroxylum_sechellarum"	0.00270544202063925	0.00101156578286816	0.00269437898438045	1.00267892118393	0.00101070212919303	0.0502824309273531	1.93245858617089e-05	1.93245858617089e-05	9.79497616969885e-05	0.0501981769614645	5.30434452906476e-05	1.93245858617089e-05	1.93245858617089e-05	1.93245858617089e-05	4.49063164063408e-05	6.42309022680498e-05	1.93245858617089e-05	1.93245858617089e-05	5.05351064596514e-05	1.93245858617089e-05	1.93245858617089e-05	4.49063164063408e-05
"Memecylon_eleagni"	0.00102247344019582	0.00101219444596896	0.00101723903360131	0.00101070212919303	1.00603840105205	0.0504104523395369	7.30338171568441e-06	7.3033817156844e-06	5.79971804746715e-05	7.47924720686909e-05	4.10431965813164e-05	7.3033817156844e-06	7.3033817156844e-06	7.3033817156844e-06	1.69539838933551e-05	2.42573656090395e-05	7.3033817156844e-06	7.3033817156844e-06	0.0503019200526026	7.3033817156844e-06	7.3033817156844e-06	1.69539838933551e-05
"Apis_mellifera"	0.0203472214598967	0.0201426694747823	0.020243056768666	0.0201129723709412	0.0201641809358148	1.00316800155678	0.00014533729614212	0.00014533729614212	0.00115414389144596	0.00148837019416695	0.000816759611968196	0.00014533729614212	0.00014533729614212	0.00014533729614212	0.000337384279477766	0.000482721575619886	0.00014533729614212	0.00014533729614212	0.00100820904679074	0.00014533729614212	0.00014533729614212	0.000337384279477766
"Lygistorrhina_sp1_M_PL_085"	0.100782868227406	7.47863778855709e-05	9.91904696551975e-05	3.86491717234179e-05	1.46067634313688e-05	0.000726686480710598	1.0007198776302	0.000719877630195753	0.00072402368395286	0.000723463263276177	0.000722370509458605	0.000719877630195753	0.000719877630195753	0.000719877630195753	1.65317449425329e-06	0.000721530804690007	0.000719877630195753	0.000719877630195753	7.30338171568441e-07	0.000719877630195753	0.000719877630195753	1.65317449425329e-06
"Unidentified_sp2_M_PL_085"	0.100782868227405	7.47863778855709e-05	9.91904696551975e-05	3.86491717234179e-05	1.46067634313688e-05	0.000726686480710598	0.000719877630195753	1.0007198776302	0.00072402368395286	0.000723463263276177	0.000722370509458605	0.000719877630195753	0.000719877630195753	0.000719877630195753	1.65317449425329e-06	0.000721530804690007	0.000719877630195753	0.000719877630195753	7.3033817156844e-07	0.000719877630195753	0.000719877630195753	1.65317449425329e-06
"Unidentified_sp1_M_PL_085"	0.0337877719178001	0.0335036571170092	0.0336147073471773	6.52998411313256e-05	3.86647869831144e-05	0.00192357315240994	0.000241341227984286	0.000241341227984286	1.00191837492101	0.000804851342493807	0.00135812979855126	0.000241341227984286	0.000241341227984286	0.000241341227984286	0.000560245122452954	0.000801586350437241	0.000241341227984286	0.000241341227984286	1.93323934915572e-06	0.000241341227984286	0.000241341227984286	0.000560245122452954
"Lasioglossum_mahense"	0.0337616189528883	8.86461825809296e-05	0.033644522918943	0.033465451307643	4.98616480457939e-05	0.00248061699027825	0.000241154421092059	0.000241154421092059	0.000804851342493807	1.00247516903512	0.000244109293844757	0.000241154421092059	0.000241154421092059	0.000241154421092059	0.00056074204864905	0.00080189646974111	0.000241154421092059	0.000241154421092059	2.4930824022897e-06	0.000241154421092059	0.000241154421092059	0.00056074204864905
