"Dillenia_ferruginea"	"Gastonia_crassa"	"Erythroxylum_sechellarum"	"Nephrosperma_vanhoutteanum"	"Psychotria_pervillei"	"Roscheria_melanochaetes"	"Memecylon_eleagni"	"Aphloia_theiformis"	"Campnosperma_seychellarum"	"Cinnamomum_verum"	"Paragenipa_wrightii"	"Lasioglossum_mahense"	"Apis_mellifera"	"Nectarinia_dussumieri"	"Lygistorrhina_sp1_M_PL_102"	"Phelsuma_sp1_M_PL_102"	"Ornidia_obesa"	"Unidentified_sp1_M_PL_102"	"Mabuya_sechellensis"	"Neavella_albipectus"	"Cratopus_aurostriatus"	"Pachycerina_seychellensis"	"Parasarcophaga_hirticeps"	"Polistes_olivaceus"	"Unidentified_sp2_M_PL_102"	"Dichaetomyia_fasciculifera"	"Foudia_madagascariensis"	"Plagiostenopterina_cyanosoma"	"Scaptodrosophila_sp1_M_PL_102"	"Unidentified_sp3_M_PL_102"	"Unidentified_sp4_M_PL_102"	"Unidentified_sp5_M_PL_102"
"Dillenia_ferruginea"	1.00260549499086	0.000727564564064358	0.000726544736595793	0.00198073514079232	0.000994837763333203	2.91323536792796e-06	0.00135058750950027	0.00062982590761123	1.24847246535229e-06	0.000720761601889044	0.000360496178534428	0.0252185796348232	0.0252347324974099	3.02905347532978e-05	3.30705170538972e-05	4.34060318331723e-05	0.0251930363044492	6.21115051512763e-05	1.03937794866337e-05	9.08180920744742e-06	0.0250981496271179	9.08180920744741e-06	6.24236232676144e-08	1.03937794866337e-05	5.82647073585591e-08	9.08180920744742e-06	1.03937794866337e-05	9.08180920744742e-06	1.98967552666641e-05	5.82647073585591e-08	5.82647073585591e-08	9.08180920744742e-06
"Gastonia_crassa"	0.000415751179465347	1.00616460073074	0.000416672626477459	0.00113611922606251	0.000929999475227168	1.81593909171818e-06	0.000414284724469297	1.07276340367971e-06	8.60765322972256e-07	0.000413211961065617	0.000206620709686123	0.0144613875965646	0.0144634496780286	0.0143923799999437	1.89716392162095e-05	0.0143927153308735	4.29105361471882e-05	4.28230748178697e-05	0.0143737800104391	5.20840783096823e-06	2.93290999210089e-05	5.20840783096823e-06	4.30382661486128e-08	0.0143737800104391	3.63187818343636e-08	5.20840783096823e-06	0.0143737800104391	5.20840783096823e-06	1.85999895045434e-05	3.63187818343636e-08	3.63187818343636e-08	5.20840783096823e-06
"Erythroxylum_sechellarum"	0.000363272368297897	0.000364588548167776	1.00690718798392	0.000616528650728214	0.000435488603064313	0.000254759224917869	0.000362304503961917	7.48581405199606e-07	0.000253730790419936	0.000361555922556718	0.000180844923566183	0.0126497699293375	0.0126591446496328	1.39181798922545e-05	1.53706620104943e-05	1.54838853431051e-05	2.99432562079842e-05	0.0126231068233918	5.20840783096824e-06	0.0125863398497991	1.93572867195843e-05	0.012586339849799	1.26865395209968e-05	5.20840783096823e-06	5.09518449835737e-06	0.0125863398497991	5.20840783096823e-06	0.0125863398497991	8.70977206128626e-06	5.09518449835737e-06	5.09518449835737e-06	0.0125863398497991
"Nephrosperma_vanhoutteanum"	0.00132049009386155	0.00132547243040626	0.000822038200970952	1.00332900039984	0.000580415869836543	0.00118005798239537	0.000482731980911023	1.52159488154479e-06	0.000337376960990356	0.000481210386029478	0.000240694200891113	0.0168361329596856	0.0168485940623779	3.0543637831106e-05	0.0167457511663118	0.0167410853270983	6.08637952617914e-05	0.0167845038092702	1.89353204343752e-05	1.02754775121369e-05	0.0167551622590105	1.02754775121369e-05	1.68688480495178e-05	1.89353204343752e-05	2.36011596479074e-05	1.02754775121369e-05	1.89353204343752e-05	1.02754775121369e-05	1.16083173967309e-05	2.36011596479074e-05	2.36011596479074e-05	1.02754775121369e-05
"Psychotria_pervillei"	0.000795870210666562	0.00130199926531804	0.000696781764902901	0.000696499043803852	1.00420908184385	0.000406080083524236	0.000794294957033393	0.000504525185230866	0.000404680509617819	0.000289769771802528	1.427465255896e-06	0.0201839614582642	9.99225679127203e-05	0.0201027816263816	1.97299190672156e-05	3.02083069012742e-05	0.0201810074092346	0.0201328553534865	1.85999895045434e-05	8.70977206128626e-06	3.15050726633949e-05	8.70977206128625e-06	2.02340254808909e-05	1.85999895045434e-05	8.12160167048472e-06	8.70977206128625e-06	1.85999895045434e-05	8.70977206128626e-06	0.0200841816368771	8.12160167048472e-06	8.12160167048471e-06	8.70977206128625e-06
"Roscheria_melanochaetes"	2.33058829434237e-06	2.54231472840545e-06	0.00040761475986859	0.00141606957887444	0.000406080083524236	1.00745750813339	1.14761707657907e-06	2.05967926826965e-07	0.000406156299969506	9.41649149752103e-07	4.13108211666637e-07	3.69978656659827e-05	2.89175748166646e-05	8.15792045231908e-06	0.0201727513223156	2.36374784297417e-05	8.23871707307861e-06	0.0202062759234829	3.63187818343636e-08	5.09518449835738e-06	2.36594243552659e-05	5.09518449835737e-06	2.03078149984753e-05	3.63187818343636e-08	0.0201491501626677	5.09518449835737e-06	3.63187818343636e-08	5.09518449835737e-06	8.12160167048472e-06	0.0201491501626677	0.0201491501626677	5.09518449835737e-06
"Memecylon_eleagni"	0.00180078334600036	0.000966664357095026	0.000966145343898446	0.000965463961822046	0.00132382492838899	1.91269512763178e-06	1.00179772781352	0.000838715630977486	1.10025423137687e-06	0.000959012182538861	0.000479659587413527	0.0335546816587734	0.0335761711189469	4.0285989383423e-05	1.61293199329201e-05	2.99005568460106e-05	0.0335486252390994	5.47376480109993e-05	1.38094908156432e-05	1.20768167987306e-05	6.11106496803766e-05	1.20768167987306e-05	5.50127115688435e-08	1.38094908156432e-05	3.82539025526356e-08	1.20768167987306e-05	1.38094908156432e-05	1.20768167987306e-05	2.64764985677798e-05	3.82539025526356e-08	3.82539025526356e-08	1.20768167987306e-05
"Aphloia_theiformis"	0.00251930363044492	7.50934382575795e-06	5.98865124159684e-06	9.12956928926872e-06	0.00252262592615433	1.02983963413483e-06	0.00251614689293246	1.00251121069354	1.02012339928458e-06	4.9361993890487e-06	2.10923115589938e-06	0.000197887776320453	0.000147646180912956	5.05597948634545e-05	1.72756280837175e-07	2.59435828522449e-07	0.100448427741736	5.07511391144079e-05	1.07276340367971e-07	7.48581405199606e-08	6.31347502492775e-05	7.48581405199605e-08	5.1006169964229e-08	1.07276340367971e-07	2.05967926826965e-08	7.48581405199606e-08	1.07276340367971e-07	7.48581405199606e-08	5.04525185230865e-05	2.05967926826965e-08	2.05967926826965e-08	7.48581405199605e-08
"Campnosperma_seychellarum"	2.49694493070458e-06	3.0126786304029e-06	0.00101492316167975	0.00101213088297107	0.00101170127404455	0.00101539074992377	1.6503813470653e-06	5.1006169964229e-07	1.00603762771083	1.14031964742301e-06	4.2593530978356e-07	5.00069036347618e-05	2.98154716848492e-05	2.02770637470396e-05	3.71766630479931e-05	1.69118863156664e-05	2.04024679856916e-05	0.0503719786135912	4.30382661486128e-08	1.26865395209968e-05	1.69312716727854e-05	1.26865395209968e-05	0.0503018813855413	4.30382661486128e-08	2.03078149984753e-05	1.26865395209968e-05	4.30382661486128e-08	1.26865395209968e-05	2.02340254808909e-05	2.03078149984753e-05	2.03078149984753e-05	1.26865395209968e-05
"Cinnamomum_verum"	0.00144152320377809	0.00144624186372966	0.00144622369022687	0.00144363115808844	0.000724424429506319	2.35412287438026e-06	0.00143851827380829	2.46809969452435e-06	1.14031964742301e-06	1.00143605017411	0.000718434765542341	0.0502330785999998	0.0502904335879639	3.51490866434072e-05	2.41076017589615e-05	4.47211173547547e-05	9.87239877809741e-05	5.6730902459295e-05	2.06605980532809e-05	1.80777961278359e-05	6.00985993959261e-05	1.80777961278359e-05	5.70159823711507e-08	2.06605980532809e-05	4.70824574876052e-08	1.80777961278359e-05	2.06605980532809e-05	1.80777961278359e-05	1.44884885901264e-05	4.70824574876052e-08	4.70824574876051e-08	1.80777961278359e-05
