"Brachypodium_sylvaticum"	"Dactylis_glomerata"	"Phalaris_arundinacea"	"Elymus_repens"	"Calamagrostis_epigejos"	"Ammophila_arenaria"	"Festuca_rubra"	"Alopecurus_pratensis"	"Deschampsia_cespitosa"	"Phleum_pratense"	"Tetramesa_fulvicollis"	"Tetramesa_longula"	"Tetramesa_longicornis"	"Tetramesa_linearis"	"Tetramesa_hyallpennis"	"Tetramesa_cornuta"	"Eurytoma_sp."	"Tetramesa_calamagrostidis"	"Tetramesa_eximia"	"Tetramesa_brevicornis"	"Tetramesa_brevicollis"	"Ahtola_atra"	"Tetramesa_angustipennis"	"Tetramesa_petiolata"	"Tetramesa_airae"	"Tetramesa_albomaculata"	"Tetramesa_phleicola"
"Brachypodium_sylvaticum"	1.01010101010101	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dactylis_glomerata"	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phalaris_arundinacea"	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Elymus_repens"	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0.0336700336700337	0.0336700336700337	0.0336700336700337	0	0	0	0	0	0	0	0	0	0	0
"Calamagrostis_epigejos"	0	0	0	0	1.00672273637451	0.00168630274099583	0	0	0.00169197098550338	0	0	0	0	0	0	0	0.0336138235786671	0.033557424545817	0.0337260548199166	0	0	0	0	5.63990328501127e-05	5.63990328501127e-05	0	0
"Ammophila_arenaria"	0	0	0	0	0.00505890822298749	1.00503359951126	0	0	8.50236676132352e-06	0	0	0	0	0	0	0	0.000168913686324961	0.000168630274099583	0.100671990225226	0	0	0	0	2.83412225377451e-07	2.83412225377451e-07	0	0
"Festuca_rubra"	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0.0505050505050505	0.0505050505050505	0	0	0	0	0	0
"Alopecurus_pratensis"	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505050505050505	0.0505050505050505	0	0	0	0
"Deschampsia_cespitosa"	0	0	0	0	0.00169197098550338	2.83412225377451e-06	0	0	1.00840620499325	0	0	0	0	0	0	0	0.0336699391992919	5.63990328501126e-05	5.66824450754901e-05	0	0	0	0	0.0336135401664418	0.0336135401664418	0	0
"Phleum_pratense"	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505050505050505	0.0505050505050505
