"Nephrosperma_vanhoutteanum"	"Canthium_bibracteatum"	"Deckenia_nobilis"	"Paragenipa_wrightii"	"Phoenicophorium_borsigianum"	"Medusagyne_oppositifolia"	"Psychotria_pervillei"	"Alstonia_macrophylla"	"Syzygium_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_germana"	"Megachile_seychellensis"	"Ornidia_obesa"	"Neophyllomyza_approximatonervis"	"Phelsuma_sp1_M_PL_090"	"Melanostoma_annulipes"	"Polistes_olivaceus"	"Ceratina_tabescens"	"Rhiparida_seychellensis"	"Unidentified_sp2_M_PL_090"	"Euodynerus_cylindricus"	"Nectarinia_dussumieri"	"Unidentified_sp5_M_PL_090"	"Rhynchium_brunneum"	"Unidentified_sp1_M_PL_090"	"Eagris_sabadius"	"Pachycerina_seychellensis"	"Scaptodrosophila_sp1_M_PL_090"	"Tricimba_seychellensis"	"Unidentified_sp3_M_PL_090"	"Unidentified_sp4_M_PL_090"
"Nephrosperma_vanhoutteanum"	1.00441413330808	0.000716879071268823	0.00101143673092852	0.00110462646346755	0.00106495883154059	0.000753304781537984	0.000364611914210876	0.000671058999979481	0	0.0078123424811294	0.00780488627001853	0.0077653928165422	0.00777296289553895	0.00777895413489298	4.20028122678625e-05	0.0077687054555232	0.00775057605386797	0.00776826537617615	0.00772626256390828	0.00772626256390828	0.00774132865953904	7.45621111088313e-06	0	1.64171995017434e-05	7.45621111088312e-06	0.00773853619128014	7.45621111088312e-06	1.22736273718617e-05	8.96098839086029e-06	0.00772626256390828	1.50660956307597e-05	1.22736273718617e-05
"Canthium_bibracteatum"	0.00116492849081184	1.00335345695357	0.000656373644453426	0.00116186426585319	0.00147389979694158	0.000340890643389961	0.000590252756358755	0.0013593435496332	0	0.0126347488334316	0.0126196450162135	0.0125802425085131	0.0126018876426048	6.02459266794664e-05	0.0125883553795534	5.12338995474448e-05	3.50043663498974e-05	0.0125973163679443	8.96098839086029e-06	8.9609883908603e-06	1.57788012586595e-05	1.51038172181467e-05	0	0.0125570220291377	1.51038172181467e-05	2.18705913447846e-05	1.51038172181467e-05	1.29096029539243e-05	0.0125419182119196	8.96098839086029e-06	6.81781286779923e-06	1.29096029539243e-05
"Deckenia_nobilis"	0.00219144625034513	0.000875164859271235	1.00218056553179	0.000876153345434855	0.00162702165115972	0.000788506543271672	0.000451390151348794	0.00111076176838705	0	0.0168040373396008	0.0167916955421743	0.0167511440357591	7.29159857789871e-05	0.0167683164033101	5.33541659784081e-05	0.0167499395121897	0.0167322085018052	7.02114448272169e-05	1.68572788488087e-05	1.68572788488087e-05	3.26274097142422e-05	1.23417974265228e-05	0	2.32813581674132e-05	1.23417974265228e-05	2.65923160203071e-05	1.23417974265228e-05	9.73503717149839e-06	1.09395607408904e-05	1.68572788488087e-05	1.57701308654334e-05	9.73503717149839e-06
"Paragenipa_wrightii"	0.00159557155834202	0.00103276823631394	0.000584102230289903	1.0040988416408	0.00131138104557045	0.000303493043771734	0.000525249863758835	0.000649602482163034	0	0.0112387603216006	0.0112315425162432	5.1310530566915e-05	0.0112157376181963	5.16885938457924e-05	0.0111931734673898	0.0111950547236219	2.92264699007272e-05	0.0112054470947617	1.22736273718617e-05	1.22736273718617e-05	1.83434882472964e-05	7.21780535736705e-06	0	2.01274083112913e-05	7.21780535736704e-06	0.0111689274233808	7.21780535736704e-06	0.0111566537960089	1.29096029539243e-05	1.22736273718617e-05	6.06986087543469e-06	0.0111566537960089
"Phoenicophorium_borsigianum"	0.00173055810125346	0.00147389979694158	0.00122026623836979	0.00147530367626676	1.00203661557398	0.000592397975912152	0.000590183069108431	0.000981785669176356	0	0.012636352919386	0.0126254441897285	0.0125775311981703	0.0125932584595707	0.0125818641398843	0.0125711824348637	0.0125754997137781	4.45584856912689e-05	0.012584494420258	1.33119853942574e-05	1.33119853942574e-05	2.51599449125004e-05	1.09087296575151e-05	0	2.93324771192848e-05	1.09087296575151e-05	2.9704248463888e-05	1.09087296575151e-05	1.63922630696306e-05	1.84237474617698e-05	1.33119853942574e-05	1.1847959518243e-05	1.63922630696306e-05
"Medusagyne_oppositifolia"	0.00195859243199876	0.000545425029423938	0.000946207851926006	0.000546287478789122	0.000947836761459443	1.0039550975407	0.000541053177292386	0.000660509829421807	0	0.0201600479145861	0.0201527089164814	4.95019988822354e-05	5.78368348019828e-05	0.0201291251349331	3.20746313661637e-05	4.87540468898708e-05	3.81752246008799e-05	4.71407269969234e-05	1.50660956307597e-05	1.50660956307597e-05	0.0200941680464447	7.33899810468674e-06	0	1.4156810972486e-05	7.33899810468674e-06	2.11359565061944e-05	7.33899810468674e-06	6.06986087543468e-06	6.81781286779923e-06	1.50660956307597e-05	0.020079101950814	6.06986087543469e-06
"Psychotria_pervillei"	0.00157998496158046	0.00157400735029001	0.000902780302697588	0.00157574959127651	0.00157382151762248	0.000901755295487309	1.00156614030486	0.000426770777198179	0	0.0334923712720889	0.0334876293745645	6.65479297008952e-05	0.0334545479302765	6.96498412564404e-05	6.15980871652916e-05	6.43811666142312e-05	3.19419663764132e-05	7.37518176389875e-05	1.21537304736959e-05	1.21537304736959e-05	3.0188836383442e-05	4.74189752442422e-06	0	2.44169894030494e-05	4.74189752442421e-06	2.9662059265657e-05	4.74189752442422e-06	1.75083287919612e-05	1.96750918786252e-05	1.21537304736959e-05	1.80351059097462e-05	1.75083287919612e-05
"Alstonia_macrophylla"	0.000969307444414806	0.00120830537745173	0.000740507845591367	0.000649602482163034	0.000872698372601205	0.000366949905234337	0.000142256925732726	1.00515138174782	0	0.0112334579424864	6.51092563995457e-05	4.58105554130677e-05	4.54284608683361e-05	0.0112063944223865	0.0112015790383199	3.7924543552288e-05	0.0111881466946243	0.0112090352494308	7.45621111088312e-06	7.45621111088313e-06	1.47952092155699e-05	0.0111683486860869	0	0.011183452503305	0.0111683486860869	1.46740164682502e-05	0.0111683486860869	7.21780535736704e-06	1.51038172181467e-05	7.45621111088312e-06	7.33899810468674e-06	7.21780535736705e-06
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0126950565318353	0.0126347488334316	0.0126030280047006	0.0126436053618006	0.012636352919386	0.0126000299466163	0.0125596392270334	0.0126376401852973	0	1.0015751514878	0.00143473326352279	0.000623593519669347	0.000972682197845456	0.000858077982464858	0.000596791500211308	0.000606143663271459	0.000448122972040208	0.000694445781225426	9.76542810141176e-05	9.76542810141176e-05	0.000349654879946444	0.000140418224281081	0	0.000298352584698976	0.000140418224281081	0.000238138785034125	0.000140418224281081	0.000140484504020007	0.000157934360417895	9.76542810141176e-05	0.000252000598932326	0.000140484504020007
"Lasioglossum_mahense"	0.0144947887871773	0.0144224514471011	0.0143928818932922	0.0144405546637413	0.0144290790739754	0.014394792083201	0.0143518411605277	8.37119010851301e-05	0	0.00163969515831176	1.00163876502608	0.000712023871687639	0.00111098781952526	0.000820569202497174	0.000522024871122638	0.000692193835973778	0.000352309872408462	0.000633523246408618	0.000111498375285979	0.000111498375285979	0.000399394216949999	9.30132234279224e-07	0	0.000181210775323043	9.30132234279223e-07	0.000271948982660882	9.30132234279224e-07	0.000160450607374903	0.000180280643088764	0.000111498375285979	0.00028789584166402	0.000160450607374903
"Hemipyrellia_germana"	0.0252375266537622	0.0251604850170263	0.0251267160536386	0.000115448693775559	0.0251550623963406	6.18774986027943e-05	4.99109472756714e-05	0.000103073749679402	0	0.0012471870393387	0.00124604177545337	1.00124185776397	0.000826025624587336	0.000929734515119171	0.000631372369816585	0.000928634464525961	0.000614058685192859	0.000825507190230141	0.000194134820413555	0.000194134820413555	0.000195372370385611	1.14526388532669e-06	0	0.000315651326598155	1.14526388532669e-06	0.000195417583677728	1.14526388532669e-06	1.28276326417288e-06	0.000314506062712828	0.000194134820413555	1.23754997205589e-06	1.28276326417288e-06
"Megachile_seychellensis"	0.0202097035284013	0.0201630202281676	8.74991829347846e-05	0.0201883277127533	0.0201492135353131	5.78368348019828e-05	0.0200727287581659	8.17712295630051e-05	0	0.00155629151655273	0.00155538294733536	0.000660820499669869	1.00155276789092	0.000410848052731179	0.000729126243624802	0.000633097499181698	0.000157826146843726	0.000884585501535582	0.000155459257910779	0.000155459257910779	0.000156615994606819	9.08569217366723e-07	0	0.000252946322069462	9.08569217366723e-07	0.000379774010274704	9.08569217366723e-07	0.000224314752363925	0.000252037752852096	0.000155459257910779	1.15673669603966e-06	0.000224314752363925
"Ornidia_obesa"	0.0202252807507218	9.63934826871463e-05	0.0201219796839721	9.30394689224264e-05	0.0201309826238149	0.0201291251349331	4.17899047538642e-05	0.0201715099602957	0	0.00137292477194377	0.00114879688349604	0.000743787612095337	0.000410848052731179	1.00136929308471	0.000478003861655921	0.000743616465438663	0.000715073299211793	0.000633582944353781	0.00015557908269786	0.00015557908269786	0.000558161585396522	0.00022412788844773	0	0.000225332806981319	0.00022412788844773	0.000156612854574776	0.00022412788844773	1.03377187691585e-06	1.20491853358933e-06	0.00015557908269786	0.000402582502698662	1.03377187691585e-06
"Neophyllomyza_approximatonervis"	0.000136509139870553	0.0251767107591069	8.00312489676122e-05	0.0251846403016271	0.0251423648697274	4.00932892077046e-05	4.61985653739687e-05	0.0252035528362198	0	0.00119358300042261	0.000913543524464617	0.000631372369816586	0.000911407804531003	0.000597504827069902	1.001188857258	0.000596492822012494	0.000282423400414155	0.00118990732830987	1.05007030669656e-06	1.05007030669656e-06	1.85193609085066e-06	0.000280039475957998	0	0.000594748360446834	0.000280039475957998	0.000280879406991442	0.000280039475957998	0.000279829336684745	0.000314708884488836	1.05007030669656e-06	8.01865784154093e-07	0.000279829336684745
"Phelsuma_sp1_M_PL_090"	0.0252482927304504	0.00010246779909489	0.0251249092682845	0.0251888731281492	0.0251509994275563	6.09425586123386e-05	4.82858749606734e-05	8.5330222992648e-05	0	0.00121228732654292	0.00121133921295411	0.000928634464525962	0.000791371873977123	0.00092952058179833	0.000596492822012495	1.00120722998513	0.000613914237781629	0.000790710458400575	0.00019421763638808	0.00019421763638808	0.000195436487560327	9.48113588807201e-07	0	2.22896107749332e-06	9.481135888072e-07	0.000474094004478627	9.48113588807201e-07	0.000279876368090547	1.28084748868612e-06	0.00019421763638808	1.21885117224677e-06	0.000279876368090547
"Melanostoma_annulipes"	0.0335858295667612	9.33449769330598e-05	0.0334644170036104	8.76794097021814e-05	0.00011882262851005	6.36253743347998e-05	3.19419663764132e-05	0.0335644400838729	0	0.00119499459210722	0.000822056368953079	0.000818744913590478	0.000263043578072876	0.00119178883201965	0.00037656453388554	0.000818552317042172	1.00118903104168	0.000634917069014473	0.000258352535128932	0.000258352535128932	0.000259625042615628	0.000372938223154144	0	0.000374105035365807	0.000372938223154143	0.00025932675079229	0.000372938223154143	9.74215663357571e-07	1.16681221166325e-06	0.000258352535128932	1.272507486696e-06	9.74215663357571e-07
"Polistes_olivaceus"	0.020197489978058	0.0201557061887109	8.42537337926602e-05	0.020169804770571	0.0201351910724127	4.71407269969234e-05	4.42510905833925e-05	0.0201762634489755	0	0.00111111324996068	0.000886932544972065	0.000660405752184112	0.000884585501535581	0.000633582944353781	0.000951925862647895	0.000632568366720459	0.000380950241408683	1.00110729117017	0.000155365307523523	0.000155365307523523	0.000156308122063461	0.000224180704988616	0	0.000476127032347502	0.000224180704988616	0.000379474249418756	0.000224180704988616	0.000224108941895233	0.000251946327358886	0.000155365307523523	9.42814539938468e-07	0.000224108941895233
"Ceratina_tabescens"	0.100441413330808	7.16879071268824e-05	0.000101143673092852	0.000110462646346755	0.000106495883154059	7.53304781537985e-05	3.64611914210876e-05	6.71058999979481e-05	0	0.00078123424811294	0.000780488627001853	0.000776539281654221	0.000777296289553896	0.000777895413489299	4.20028122678625e-06	0.000776870545552321	0.000775057605386797	0.000776826537617614	1.00077262625639	0.000772626256390828	0.000774132865953904	7.45621111088313e-07	0	1.64171995017434e-06	7.45621111088312e-07	0.000773853619128014	7.45621111088313e-07	1.22736273718617e-06	8.96098839086029e-07	0.000772626256390828	1.50660956307597e-06	1.22736273718617e-06
"Rhiparida_seychellensis"	0.100441413330808	7.16879071268823e-05	0.000101143673092852	0.000110462646346755	0.000106495883154059	7.53304781537984e-05	3.64611914210876e-05	6.71058999979481e-05	0	0.00078123424811294	0.000780488627001853	0.000776539281654221	0.000777296289553896	0.000777895413489299	4.20028122678625e-06	0.000776870545552321	0.000775057605386797	0.000776826537617614	0.000772626256390828	1.00077262625639	0.000774132865953904	7.45621111088313e-07	0	1.64171995017434e-06	7.45621111088312e-07	0.000773853619128014	7.45621111088313e-07	1.22736273718617e-06	8.96098839086029e-07	0.000772626256390828	1.50660956307597e-06	1.22736273718617e-06
"Unidentified_sp2_M_PL_090"	0.0503186362870038	6.31152050346381e-05	9.78822291427265e-05	8.25456971128338e-05	0.000100639779650002	0.0502354201161118	4.5283254575163e-05	6.65784414700644e-05	0	0.00139861951978577	0.001397879759325	0.000390744740771222	0.000391539986517047	0.0013954039634913	3.70387218170131e-06	0.000390872975120654	0.000389437563923443	0.000390770305158653	0.000387066432976952	0.000387066432976952	1.0013917748353	7.39760460778494e-07	0	1.52870052371147e-06	7.39760460778493e-07	0.000387983607389317	7.39760460778494e-07	9.1717441236482e-07	7.88940062932976e-07	0.000387066432976952	0.00100470840232224	9.1717441236482e-07
"Euodynerus_cylindricus"	9.69307444414806e-05	0.000120830537745173	7.40507845591367e-05	6.49602482163034e-05	8.72698372601205e-05	3.66949905234337e-05	1.42256925732726e-05	0.100515138174782	0	0.00112334579424864	6.51092563995457e-06	4.58105554130676e-06	4.54284608683361e-06	0.00112063944223865	0.00112015790383199	3.7924543552288e-06	0.00111881466946243	0.00112090352494308	7.45621111088312e-07	7.45621111088312e-07	1.47952092155699e-06	1.00111683486861	0	0.0011183452503305	0.00111683486860869	1.46740164682502e-06	0.00111683486860869	7.21780535736704e-07	1.51038172181467e-06	7.45621111088312e-07	7.33899810468675e-07	7.21780535736704e-07
"Nectarinia_dussumieri"	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0
"Unidentified_sp5_M_PL_090"	0.000106711796761332	0.050228088116551	6.98440745022396e-05	9.05733374008111e-05	0.000117329908477139	3.53920274312149e-05	3.66254841045741e-05	0.0503255362648727	0	0.0011934103387959	0.000634237713630651	0.000631302653196309	0.000632365805173656	0.000563332017453298	0.00118949672089367	4.45792215498664e-06	0.00056115755304871	0.00119031758086876	8.20859975087171e-07	8.20859975087171e-07	1.52870052371147e-06	0.000559172625165252	0	1.00118702372662	0.000559172625165252	1.82723039065174e-06	0.000559172625165252	1.00637041556457e-06	0.000627851101456888	8.20859975087171e-07	7.07840548624299e-07	1.00637041556457e-06
"Rhynchium_brunneum"	9.69307444414806e-05	0.000120830537745173	7.40507845591367e-05	6.49602482163034e-05	8.72698372601205e-05	3.66949905234337e-05	1.42256925732726e-05	0.100515138174782	0	0.00112334579424864	6.51092563995457e-06	4.58105554130676e-06	4.54284608683361e-06	0.00112063944223865	0.00112015790383199	3.7924543552288e-06	0.00111881466946243	0.00112090352494308	7.45621111088313e-07	7.45621111088312e-07	1.47952092155699e-06	0.00111683486860869	0	0.0011183452503305	1.00111683486861	1.46740164682502e-06	0.00111683486860869	7.21780535736705e-07	1.51038172181467e-06	7.45621111088312e-07	7.33899810468674e-07	7.21780535736705e-07
"Unidentified_sp1_M_PL_090"	0.0503004852433209	8.74823653791384e-05	7.97769480609213e-05	0.0502601734052134	0.000118816993855552	5.28398912654859e-05	4.44930888984855e-05	6.60330741071258e-05	0	0.000952555140136498	0.000951821439313086	0.000390835167355456	0.000949435025686761	0.000391532136436939	0.000561758813982884	0.000948188008957254	0.000388990126188435	0.00094868562354689	0.000386926809564007	0.000386926809564007	0.000387983607389317	7.33700823412508e-07	0	1.82723039065174e-06	7.33700823412508e-07	1.00094537318073	7.33700823412508e-07	0.000558446371169037	1.09352956723923e-06	0.000386926809564007	1.05679782530972e-06	0.000558446371169037
