"Chrysobalanus_icaco"	"Dillenia_ferruginea"	"Nepenthes_pervillei"	"Apis_mellifera"	"Hemipyrellia_sp1_M_PL_117"	"Lasioglossum_mahense"	"Eristalinus_vicarians"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Rhiparida_seychellensis"
"Chrysobalanus_icaco"	1.00671538323039	0.00169536926838035	0.00169025760224453	0.0504541894269991	8.45128801122263e-05	3.39073853676069e-05	0.0503357691615193	3.39073853676069e-05	3.39073853676069e-05	3.39073853676069e-05
"Dillenia_ferruginea"	0.000678147707352139	1.00874471468631	0.000678147707352139	0.0202427090644613	3.39073853676069e-05	0.0201748942937261	3.39073853676069e-05	0.0201748942937261	0.0201748942937261	0.0201748942937261
"Nepenthes_pervillei"	0.00169025760224453	0.00169536926838035	1.00671538323039	0.0504541894269991	0.0503357691615193	3.39073853676069e-05	8.45128801122263e-05	3.39073853676069e-05	3.39073853676069e-05	3.39073853676069e-05
"Apis_mellifera"	0.0336361262846661	0.0337378484407689	0.0336361262846661	1.00403836959728	0.0016818063142333	0.000674756968815378	0.0016818063142333	0.000674756968815378	0.000674756968815378	0.000674756968815378
"Hemipyrellia_sp1_M_PL_117"	0.000169025760224453	0.000169536926838035	0.100671538323039	0.00504541894269991	1.00503357691615	3.39073853676069e-06	8.45128801122263e-06	3.39073853676069e-06	3.39073853676069e-06	3.39073853676069e-06
"Lasioglossum_mahense"	6.78147707352139e-05	0.100874471468631	6.78147707352139e-05	0.00202427090644613	3.39073853676069e-06	1.00201748942937	3.39073853676069e-06	0.00201748942937261	0.00201748942937261	0.00201748942937261
"Eristalinus_vicarians"	0.100671538323039	0.000169536926838035	0.000169025760224453	0.00504541894269991	8.45128801122263e-06	3.39073853676069e-06	1.00503357691615	3.39073853676069e-06	3.39073853676069e-06	3.39073853676069e-06
"Hemipyrellia_germana"	6.78147707352139e-05	0.100874471468631	6.78147707352139e-05	0.00202427090644613	3.39073853676069e-06	0.00201748942937261	3.39073853676069e-06	1.00201748942937	0.00201748942937261	0.00201748942937261
"Ornidia_obesa"	6.78147707352138e-05	0.100874471468631	6.78147707352138e-05	0.00202427090644613	3.39073853676069e-06	0.00201748942937261	3.39073853676069e-06	0.00201748942937261	1.00201748942937	0.00201748942937261
"Rhiparida_seychellensis"	6.78147707352138e-05	0.100874471468631	6.78147707352138e-05	0.00202427090644613	3.39073853676069e-06	0.00201748942937261	3.39073853676069e-06	0.00201748942937261	0.00201748942937261	1.00201748942937
