"Sideroxylon_puberulum"	"Ochna_mauritiana"	"Myonima_violacea"	"Stillingia_lineata"	"Faujasiopsis_flexuosa"	"Bertiera_zaluzania"	"Aphloia_theiformis"	"Croton_fothergillifolius"	"Molinaea_alternifolia"	"Psiadia_terebinthina"	"Erythroxylum_macrocarpum"	"Homalanthus_populifolius"	"Psidium_cattleianum"	"Chassalia_coriacea"	"Antirhea_borbonica"	"Cordemoya_integrifolia"	"Olea_lancea"	"Apis_mellifera"	"Chaetocnema_sp1_M_PL_076"	"Dysauxes_florida"	"Technomyrmex_albipes"	"Stomorhina_lunata"	"Lygistorrhina_sp1_M_PL_076"	"Pachycerina_crinicornis"	"Polistes_hebraeus"	"Brachymyrmex_sp1_M_PL_076"	"Musca_domestica"	"Panara_naso"	"Nacoleia_sp1_M_PL_076"	"Ischiodon_aegyptius"	"Stomoxys_calcitrans"	"Fannia_pusio"	"Allograpta_nasuta"	"Chrysomya_megacephala"	"Gelechioidea_sp1_M_PL_076"	"Campopleginae_sp1_M_PL_076"	"Melanostoma_bituberculatum"	"Syritta_nigrofemorata"	"Atherigona_orientalis"	"Calopsilia_florella"	"Cratopus_psittacus"	"Cryptocephalinae_sp1_M_PL_076"	"Dioxyna_sororcula"	"Episyrphus_sp1_M_PL_076"	"Eristalinus_flaveolus"	"Gelechioidea_sp2_M_PL_076"	"Lecithoceridae_sp1_M_PL_076"	"Mauritiborium_undulatus"	"Nyctemera_insulare"	"Ornidia_obesa"	"Sarcophaga_arno"	"Siphona_sp1_M_PL_076"
"Sideroxylon_puberulum"	1.00409099129822	0.00031621164127173	0.000985784935758063	0.000543305626678539	0.000660570189140358	0.000338048232314456	0.000483070473194735	0.000372036397524893	0.000962624950735042	0.000348257233956928	0.000397301290314547	0.000253526305228796	1.69444076726978e-06	1.20262435011146e-06	0.000201610075156595	0.000144228047841166	5.46338557308345e-07	0.0100806994791352	5.46338557308345e-05	0.0100804893042301	2.27425699117104e-05	0.0100876286981199	0.0100959633488816	4.47739637195471e-05	3.38113164555563e-05	0.0100532322246792	0.0100613460276114	2.10559208400133e-05	0.0100805037578298	8.11051429656488e-06	0.0100409099129822	2.04961149046035e-05	1.27230874765972e-05	0.0100529427248664	6.20060662541488e-06	2.63509701059774e-06	2.63509701059774e-06	8.06815327738314e-06	0.0100409099129822	9.93253225786367e-06	5.43305626678539e-06	1.23223116969758e-05	4.97510334224182e-06	1.2032811884188e-05	1.2032811884188e-05	6.03838091493419e-06	4.97510334224183e-06	5.43305626678539e-06	6.76096464628913e-06	8.25712736425447e-06	2.63509701059774e-06	6.76096464628913e-06
"Ochna_mauritiana"	0.000263509701059774	1.00424753003974	0.000745843174108776	0.00101232916213304	0.000311852701034351	0.000309952920498702	0.000577932178178996	8.63388199745925e-05	0.000514823672810035	0.000401546749578972	8.55491738792156e-05	0.000400924746692624	0.000679543109603897	0.000378296819285815	2.74721808482554e-07	4.43017951198939e-07	8.43193926704996e-05	0.00840054606023213	0.00843193926704996	3.07184864200082e-05	2.68049191153302e-05	0.00840836845220642	3.10112565839257e-05	0.00843004151409649	0.0084096016519586	1.19581366869574e-05	2.2915612912761e-05	0.00840419144986573	1.37360904241277e-05	0.00839584128635927	2.63509701059775e-06	1.25612913230767e-05	0.00839947287180863	9.07039292072318e-06	1.43898033290987e-06	0.00836872941699784	0.00836872941699784	0.00837885270861917	2.63509701059774e-06	2.13872934698039e-06	1.01232916213304e-05	9.3230396763597e-06	5.73638213684245e-06	6.43529591012544e-06	6.43529591012544e-06	7.22415222723745e-06	5.73638213684245e-06	1.01232916213304e-05	6.19905840997405e-06	3.89815876292939e-06	0.00836872941699784	6.19905840997405e-06
"Myonima_violacea"	0.00123223116969758	0.00111876476116316	1.00320535328874	0.000341006178995081	0.000549880158223377	0.000674457231825759	0.00107446855597952	0.000212475432402428	0.000645349677857778	0.000159587011335099	1.35628201264223e-06	0.000159220730788562	0.000158714497442428	0.000566764660231812	5.01340387357103e-07	4.71909412530778e-07	4.07214516254498e-07	0.012596699140042	4.07214516254498e-05	0.012589723988577	2.35665905621732e-05	0.0125934935591733	3.30336588771544e-05	0.0125825364680025	0.0125992842044069	0.0125523892278062	1.89506951530139e-05	0.0125911590457469	2.50670193678551e-05	1.67009639023712e-05	1.23223116969758e-05	2.38456161342434e-05	1.87551311758359e-05	2.0389182670198e-05	3.54125720670713e-06	9.32303967635969e-06	9.32303967635969e-06	1.27331014663105e-05	1.23223116969758e-05	3.39070503160557e-08	3.41006178995081e-06	0.0125400669161092	2.27981444764427e-06	8.06687097322223e-06	8.06687097322223e-06	1.34308569497441e-05	2.27981444764427e-06	3.41006178995081e-06	1.34891446365152e-05	6.87350197779221e-06	9.3230396763597e-06	1.34891446365152e-05
"Stillingia_lineata"	0.000543305626678539	0.00121479499455965	0.000272804943196065	1.00386453393264	0.000517720608100255	1.34641074323215e-06	0.000524583037421913	0.000355022304165074	0.000391645857098733	0.000374216522510466	0.000498361993264818	0.000731997028764044	0.000564002560455874	8.7334816464443e-07	4.64279611069497e-07	0.000144109448877846	0.000101227204753808	3.04461990744394e-05	0.0101227204753808	2.78158802433792e-05	0.0100657596062722	0.0100755361177873	0.0100876614214492	0.010099293443215	1.84995222481123e-05	8.8431180567362e-06	0.0100711773860001	2.01343087872874e-05	2.32139805534749e-05	0.0100628686949592	5.43305626678539e-06	1.89458339717783e-05	4.42092465295862e-05	1.03286294805195e-05	5.91703840275124e-06	1.01232916213304e-05	1.01232916213304e-05	0.0100487686309478	5.43305626678539e-06	1.24590498316205e-05	0.0100386453393264	3.41006178995081e-06	5.34595032157808e-06	4.89557321373416e-06	4.89557321373416e-06	6.55728796777392e-06	5.34595032157808e-06	0.0100386453393264	2.6928214864643e-08	6.47150760125319e-06	1.01232916213304e-05	2.6928214864643e-08
"Faujasiopsis_flexuosa"	0.000825712736425447	0.000467779051551526	0.000549880158223377	0.000647150760125319	1.00277690452548	0.000211678226623974	0.000969040510571532	0.00100923381866553	0.00048873906644142	0.00071796256738692	0.000307464264015068	0.00028585960288519	0.000284711150139718	9.9664840906642e-07	0.000251904721556766	0.000179878288906586	0.000126114003607854	4.14845973501174e-05	0.0126114003607854	0.0125830090704695	4.11222696855266e-05	0.0125784338469873	0.012591480223461	0.0125871590602093	2.11642960241722e-05	1.51306293420467e-05	2.81324336235882e-05	2.29344995433191e-05	0.0125952360778383	1.74874451176755e-05	8.25712736425448e-06	0.012563644876595	2.69897376796535e-05	1.43663656947722e-05	1.68205636444255e-05	3.89815876292939e-06	3.89815876292939e-06	1.03696663641826e-05	8.25712736425447e-06	7.6866066003767e-06	6.47150760125319e-06	6.87350197779222e-06	1.02566081055274e-05	6.10923833051776e-06	6.10923833051776e-06	1.21130063821441e-05	1.02566081055274e-05	6.47150760125319e-06	4.23356453247947e-06	0.0125347113065684	3.89815876292939e-06	4.23356453247947e-06
"Bertiera_zaluzania"	0.000676096464628913	0.000743887009196886	0.00107913157092121	2.6928214864643e-06	0.000338685162598358	1.00509484312354	0.00067555645562515	0.000337789153694151	0.000742686349278531	1.44626804835998e-06	7.18548493152948e-07	1.34154706593501e-06	1.02591684426982e-06	0.000404230207332709	3.33567322226932e-07	2.91039505637527e-07	2.54895428412506e-07	0.0201460740652249	2.54895428412506e-05	0.0201404548112096	1.41280340797336e-05	4.84376955014185e-05	2.03727653946269e-05	3.24662913236926e-05	0.0201510801552499	2.02501092828043e-05	6.8326875148013e-06	4.8344169108439e-05	1.66783661113466e-05	6.25163454594544e-06	6.76096464628913e-06	1.83078394560297e-05	6.27219824451892e-06	1.60445440122708e-05	5.62981922823586e-06	6.19905840997405e-06	6.19905840997405e-06	6.22598662483869e-06	6.76096464628913e-06	1.79637123288237e-08	2.6928214864643e-08	1.34891446365152e-05	2.06609721194283e-08	9.28357936598164e-06	9.28357936598164e-06	8.44445569531437e-06	2.06609721194283e-08	2.6928214864643e-08	0.0201018968624708	4.23356453247947e-06	6.19905840997405e-06	0.0201018968624708
"Aphloia_theiformis"	0.000603838091493419	0.000866898267268494	0.00107446855597953	0.000655728796777392	0.000969040510571531	0.000422222784765719	1.0030580996212	0.000945947232077974	0.000393080908664772	0.000160254887796975	1.6379860360368e-06	0.000473417383589137	0.000159206371047061	0.000315361855059546	7.25581764295285e-07	4.57117193333614e-07	6.24149722478296e-07	0.0125782776024106	6.24149722478296e-05	0.0125940187324085	0.0125700176681059	0.0125885034410652	3.1998203533353e-05	0.0125932894112798	4.97810689835829e-05	1.94692378646783e-05	2.21049662053918e-05	0.012574649347195	3.62790882147642e-05	1.77615994711879e-05	6.03838091493419e-06	0.0125661050388485	2.29620147151535e-05	1.09518922732438e-05	1.57657872012996e-05	7.22415222723745e-06	7.22415222723745e-06	1.37814401950114e-05	6.03838091493419e-06	4.09496509009199e-08	6.55728796777392e-06	1.34308569497441e-05	2.28935553995679e-06	4.91351135830965e-06	4.91351135830965e-06	0.012538226245265	2.28935553995679e-06	6.55728796777392e-06	8.44445569531437e-06	1.21130063821441e-05	7.22415222723745e-06	8.44445569531437e-06
"Croton_fothergillifolius"	0.000620060662541488	0.000172677639949185	0.00028330057653657	0.000591703840275124	0.00134564509155404	0.000281490961411793	0.00126126297610397	1.00343310159456	0.000170972887318246	0.000507209890177416	0.000169681694846635	0.000589034475316367	0.000169783939592415	7.75339489561045e-07	0.000335754550148694	6.08916562363356e-07	0.000167945064624513	3.47136116860454e-05	0.0167945064624513	0.0167718430604821	0.0167573485416864	5.18213945049862e-05	4.26241593654349e-05	6.67547703581941e-05	1.2785984833809e-05	9.741863832122e-06	2.81403769056593e-05	2.07847917153946e-05	0.0167877275074347	1.16006172254715e-05	6.20060662541488e-06	0.0167564713774217	2.47101239030107e-05	8.33776771689294e-06	0.016723885026576	1.43898033290987e-06	1.43898033290987e-06	7.35601873566111e-06	6.20060662541488e-06	4.24204237116587e-06	5.91703840275123e-06	3.54125720670713e-06	7.24585557396308e-06	2.13716109147807e-06	2.13716109147807e-06	1.57657872012996e-05	7.24585557396309e-06	5.91703840275124e-06	5.62981922823585e-06	1.68205636444255e-05	1.43898033290988e-06	5.62981922823585e-06
"Molinaea_alternifolia"	0.0012032811884188	0.000772235509215053	0.000645349677857778	0.000489557321373416	0.00048873906644142	0.000464178968299082	0.000393080908664772	0.000128229665488684	1.0040859620855	0.000308368575448658	0.000307519268152104	0.000127974720475897	0.000127416556545039	0.00025255083678517	4.94678891177077e-07	0.000180060163040981	0.000126010910410462	0.0125918065955606	0.0126010910410462	4.25431730036974e-05	1.45057400730398e-05	0.0125935278277389	0.0126042114128687	4.05706634726054e-05	0.0125874878141574	2.00996828574103e-05	2.71758612112427e-05	3.20432200809158e-05	2.47339445588538e-05	1.45162830374856e-05	1.2032811884188e-05	1.31599107803055e-05	1.65854695968216e-05	0.012563107337953	2.13716109147807e-06	6.43529591012544e-06	6.43529591012544e-06	1.13308691238596e-05	1.2032811884188e-05	7.6879817038026e-06	4.89557321373416e-06	8.06687097322223e-06	4.40526536355226e-06	0.0125510745260688	0.0125510745260688	4.91351135830965e-06	4.40526536355226e-06	4.89557321373416e-06	9.28357936598163e-06	6.10923833051776e-06	6.43529591012544e-06	9.28357936598164e-06
"Psiadia_terebinthina"	0.000497510334224183	0.000688365856421094	0.000182385155811542	0.000534595032157808	0.000820528648442194	1.03304860597141e-06	0.000183148443196543	0.000434751334437785	0.000352421229084181	1.00404609308097	0.00035168897061071	0.000685345807759246	0.000684750637580637	5.07623414196198e-07	0.000287895654959203	0.000205683701957663	0.000144305541374413	1.9706581802357e-05	0.0144305541374413	2.70673979814528e-05	2.85880775906829e-05	3.52884792573431e-05	0.0143978591370364	0.0144002494080887	1.24675040908682e-05	7.2549177898861e-06	3.28201940842726e-05	1.03309332951533e-05	0.0143947827479601	2.82010983979365e-05	4.97510334224183e-06	1.97918192194473e-05	0.014380077679674	9.38036870579408e-06	7.24585557396308e-06	5.73638213684245e-06	5.73638213684245e-06	1.10823324584205e-05	4.97510334224182e-06	8.79222426526775e-06	5.34595032157808e-06	2.27981444764427e-06	0.0143435156154425	4.40526536355226e-06	4.40526536355226e-06	2.28935553995679e-06	0.0143435156154425	5.34595032157808e-06	2.06609721194283e-08	1.02566081055274e-05	5.73638213684245e-06	2.06609721194283e-08
"Erythroxylum_macrocarpum"	0.000993253225786367	0.000256647521637647	2.71256402528446e-06	0.00124590498316205	0.000614928528030136	8.98185616441185e-07	3.27597207207359e-06	0.000254522542269952	0.000615038536304208	0.000615455698568742	1.00374923755215	0.00088262640587803	0.000254120525147058	2.53481621121014e-07	6.1429670330008e-07	0.000359660791608907	0.000251859290432123	1.98520637221925e-05	0.0251859290432123	2.1954001642952e-05	3.43945699712479e-05	3.99797564418608e-05	0.0251762554126235	5.51570079916993e-05	9.89125589448392e-06	9.96643930817973e-06	0.0251337750490107	2.22626012925342e-06	3.0714835165004e-05	2.09507923072773e-05	9.93253225786367e-06	1.19695986224435e-05	3.49364948584852e-05	1.76205139616663e-05	4.24204237116586e-06	2.13872934698039e-06	2.13872934698039e-06	1.45977791786009e-05	9.93253225786366e-06	0.0250937309388037	1.24590498316205e-05	3.39070503160557e-08	8.79222426526774e-06	7.6879817038026e-06	7.6879817038026e-06	4.09496509009199e-08	8.79222426526775e-06	1.24590498316205e-05	1.79637123288237e-08	7.6866066003767e-06	2.13872934698039e-06	1.79637123288237e-08
"Homalanthus_populifolius"	0.000507052610457592	0.000962219392062298	0.000254753169261699	0.00146399405752809	0.000457375364616304	1.34154706593501e-06	0.00075746781374262	0.000706841370379641	0.000204759552761435	0.000959484130862945	0.000706101124702424	1.00195895702215	0.000956719313090203	7.94353423747802e-07	7.26960397270381e-07	8.4902142231508e-07	0.000201573297087344	2.8328108676819e-05	0.0201573297087344	3.52480008974798e-05	0.0200750681181964	4.8658410368485e-05	5.94314995620556e-05	0.0201178324292798	1.38289525716477e-05	8.25494072034716e-06	0.0200765421352404	2.07109748925938e-05	3.6348019863519e-05	4.65764183363884e-05	5.07052610457592e-06	2.69662292358139e-05	0.0200848225343593	7.63002051409385e-06	1.17806895063274e-05	8.01849493385248e-06	8.01849493385248e-06	2.26584355091334e-05	5.07052610457592e-06	1.76525281175606e-05	1.46399405752809e-05	3.18441461577124e-06	1.37069161551849e-05	2.55949440951794e-06	2.55949440951794e-06	9.46834767178275e-06	1.37069161551849e-05	1.46399405752809e-05	2.68309413187002e-08	5.7171920577038e-06	8.01849493385248e-06	2.68309413187002e-08
"Psidium_cattleianum"	4.23610191817444e-06	0.00203862932881169	0.000317428994884856	0.00141000640113968	0.000569422300279436	1.28239605533727e-06	0.000318412742094123	0.000254675909388622	0.000254833113090079	0.00119831361576612	0.000254120525147058	0.00119589914136275	1.00202969376859	1.10926086346899e-06	5.71613310661343e-07	6.85513544576393e-07	0.000251689374764951	2.81900223062491e-05	0.0251689374764951	1.9378407895829e-05	4.62428046046388e-05	4.93822171500322e-05	4.79859481203475e-05	0.0251379335351987	2.42229650540643e-05	4.01022345524245e-06	4.44134209865101e-05	2.49920624955081e-05	2.85806655330671e-05	0.0250818309859662	4.23610191817444e-08	1.53425365194798e-05	0.0251087676707216	3.22777493280773e-06	4.24459848981037e-06	1.69885777400974e-05	1.69885777400974e-05	3.10886417514943e-05	4.23610191817444e-08	6.35301312867644e-06	1.41000640113968e-05	3.9678624360607e-06	1.71187659395159e-05	3.18541391362598e-06	3.18541391362598e-06	3.98015927617654e-06	1.71187659395159e-05	1.41000640113969e-05	2.56479211067454e-08	7.11777875349294e-06	1.69885777400974e-05	2.56479211067454e-08
"Chassalia_coriacea"	6.01312175055729e-06	0.00226978091571489	0.00226705864092725	4.36674082322215e-06	3.98659363626568e-06	0.00101057551833177	0.00126144742023819	2.32601846868314e-06	0.00101020334714068	1.77668194968669e-06	5.06963242242028e-07	1.9858835593695e-06	2.21852172693798e-06	1.00225825845321	3.48921409111736e-09	1.83393821705515e-07	3.18397252981377e-07	9.59203501522582e-05	3.18397252981377e-05	6.44665667436403e-05	1.5890244806875e-05	7.58023396143083e-05	1.2837567519386e-05	6.32352284426149e-05	0.0501930050488424	2.83983642290962e-05	1.56190377981235e-07	0.0501759340893894	1.74460704555868e-07	1.90139714156964e-05	6.01312175055729e-08	1.58566921479087e-05	1.90354028493614e-05	1.26876730567641e-05	3.87669744780523e-08	1.89148409642908e-05	1.89148409642908e-05	1.8958508372523e-05	6.01312175055729e-08	1.26740810560507e-08	4.36674082322215e-08	2.83382330115906e-05	2.53811707098099e-08	1.26275418392585e-05	1.26275418392585e-05	1.57680927529773e-05	2.53811707098099e-08	4.36674082322215e-08	2.02115103666354e-05	4.9832420453321e-08	1.89148409642908e-05	2.02115103666354e-05
"Antirhea_borbonica"	0.00201610075156595	3.29666170179065e-06	4.01072309885682e-06	4.64279611069497e-06	0.00201523777245413	1.66783661113466e-06	5.80465411436228e-06	0.00201452730089216	3.95743112941662e-06	0.00201526958471442	2.45718681320032e-06	3.6348019863519e-06	2.28645324264537e-06	6.97842818223471e-09	1.00200616666333	1.06292375805166e-06	8.79581058445069e-07	2.03939965330134e-05	8.79581058445069e-05	7.90829836335936e-05	3.37671371921329e-05	4.55975399175743e-05	7.44046630636162e-05	5.43064873795105e-05	1.60779762333478e-07	2.02111415543953e-05	2.03415611868235e-05	1.50513317422606e-07	0.100308333166515	1.31061473021339e-07	2.01610075156596e-05	5.88384853469756e-05	2.89468950475617e-05	2.02104754047772e-05	3.35754550148694e-05	2.74721808482554e-08	2.74721808482554e-08	7.39001419552051e-08	2.01610075156595e-05	6.1429670330008e-08	4.64279611069497e-08	5.01340387357102e-08	2.87895654959202e-05	4.94678891177077e-08	4.94678891177077e-08	7.25581764295284e-08	2.87895654959203e-05	4.64279611069497e-08	3.33567322226931e-08	2.51904721556767e-05	2.74721808482554e-08	3.33567322226931e-08
"Cordemoya_integrifolia"	0.00144228047841166	5.31621541438727e-06	3.77527530024622e-06	0.00144109448877846	0.00143902631125269	1.45519752818763e-06	3.65693754666891e-06	3.65349937418014e-06	0.00144048130432785	0.00143978591370364	0.00143864316643563	4.2451071115754e-06	2.74205417830557e-06	3.66787643411029e-07	1.06292375805166e-06	1.00143235138833	1.07305191578822e-06	3.25951294944848e-05	0.000107305191578822	3.25935319421618e-05	1.46024504055858e-05	6.49647993223642e-05	0.100264597183056	5.32578019266049e-05	1.81449523732054e-05	1.44699957253697e-05	6.48847309750234e-05	1.55543837876884e-07	5.3146187902583e-05	1.45237980373621e-05	1.44228047841166e-05	1.80944322662283e-05	2.07661254875753e-05	3.24288210882147e-05	6.08916562363356e-08	4.43017951198939e-08	4.43017951198939e-08	1.44552466829045e-05	1.44228047841166e-05	3.59660791608907e-05	1.44109448877846e-05	4.71909412530778e-08	2.05683701957663e-05	1.80060163040981e-05	1.80060163040981e-05	4.57117193333614e-08	2.05683701957663e-05	1.44109448877846e-05	2.91039505637527e-08	1.79878288906586e-05	4.43017951198939e-08	2.91039505637527e-08
"Olea_lancea"	5.46338557308345e-06	0.001011832712046	3.25771613003598e-06	0.00101227204753808	0.00100891202886284	1.27447714206253e-06	4.99319777982637e-06	0.00100767038774708	0.00100808728328369	0.00101013878962089	0.00100743716172849	0.00100786648543672	0.0010067574990598	6.36794505962754e-07	8.79581058445069e-07	1.07305191578822e-06	1.00100245750158	2.12162901305415e-05	0.100245750158131	2.95891666456821e-05	4.71369716188143e-05	4.39249214238665e-05	7.51136341051757e-05	9.10260178497602e-05	2.1131081027861e-05	9.53553073562843e-08	5.55206130830583e-05	8.56691541622137e-06	4.39790529222535e-05	4.37235972189258e-05	5.46338557308345e-08	2.94683217954846e-05	6.81887605897208e-05	1.2655724896777e-05	1.67945064624513e-05	8.43193926704997e-06	8.43193926704997e-06	1.85546597424307e-05	5.46338557308345e-08	2.51859290432123e-05	1.01227204753808e-05	4.07214516254498e-08	1.44305541374413e-05	1.26010910410462e-05	1.26010910410462e-05	6.24149722478296e-08	1.44305541374413e-05	1.01227204753808e-05	2.54895428412506e-08	1.26114003607855e-05	8.43193926704997e-06	2.54895428412506e-08
"Apis_mellifera"	0.0168011657985586	0.0168010921204643	0.0167955988533894	5.07436651240656e-05	5.53127964668233e-05	0.0167883950543541	0.0167710368032141	3.47136116860454e-05	0.0167890754607475	2.29910121027499e-05	1.32347091481283e-05	2.36067572306825e-05	1.87933482041661e-05	3.19734500507527e-05	3.39899942216891e-06	5.43252158241414e-06	3.53604835509025e-06	1.00127323504904	0.000353604835509025	0.000924632474930815	0.000211196092030798	0.000938665994563418	0.000380276510768989	0.000562061305198245	0.000897184103520199	0.000377956643652954	0.000169322097510144	0.00056119071921395	0.000169949971108445	0.000140986371360214	0.000168011657985586	0.000210907930190779	0.000141279512883626	0.000377875101244929	5.78560194767423e-07	0.000140009101003869	0.000140009101003869	0.00014051653765511	0.000168011657985586	3.30867728703208e-07	5.07436651240656e-07	0.000209944985667368	3.28443030039284e-07	0.000209863443259343	0.000209863443259343	0.000209637960040176	3.28443030039284e-07	5.07436651240656e-07	0.000335767901087081	6.91409955835291e-07	0.000140009101003869	0.000335767901087081
"Chaetocnema_sp1_M_PL_076"	5.46338557308345e-05	0.01011832712046	3.25771613003598e-05	0.0101227204753808	0.0100891202886284	1.27447714206253e-05	4.99319777982637e-05	0.0100767038774708	0.0100808728328369	0.0101013878962089	0.0100743716172849	0.0100786648543672	0.010067574990598	6.36794505962754e-06	8.79581058445069e-06	1.07305191578822e-05	0.0100245750158131	0.000212162901305415	1.00245750158131	0.000295891666456821	0.000471369716188143	0.000439249214238665	0.000751136341051757	0.000910260178497602	0.00021131081027861	9.53553073562843e-07	0.000555206130830583	8.56691541622137e-05	0.000439790529222535	0.000437235972189258	5.46338557308345e-07	0.000294683217954846	0.000681887605897208	0.00012655724896777	0.000167945064624513	8.43193926704996e-05	8.43193926704996e-05	0.000185546597424307	5.46338557308345e-07	0.000251859290432123	0.000101227204753808	4.07214516254498e-07	0.000144305541374413	0.000126010910410462	0.000126010910410462	6.24149722478296e-07	0.000144305541374413	0.000101227204753808	2.54895428412506e-07	0.000126114003607855	8.43193926704997e-05	2.54895428412506e-07
