"Cecropia_membranacea"	"Cecropia_tessmannii"	"Cecropia_ficifolia"	"Cecropia_sp1_M_PA_002"	"Cecropia_polystachya"	"Cecropia_engleriana"	"Azteca_xanthochroa"	"Azteca_ovaticeps"	"Camponotus_balzani"	"Pachycondyla_luteola"
"Cecropia_membranacea"	1.0026354760054	0.000844900819650312	0.00151551694812906	0.000674840632577002	0.00263547600540193	0.00179479968984987	0.0337420316288501	0.0335987717181859	0.0336270526220824	4.22450409825156e-05
"Cecropia_tessmannii"	0.00126735122947547	1.00629302431054	0.00126452524000915	2.96605102184162e-06	0.00126735122947547	5.79204048815625e-06	0.000148302551092081	8.47796839894391e-05	0.0504623675594925	0.050314651215527
"Cecropia_ficifolia"	0.00227327542219359	0.00126452524000915	1.00226653191102	0.00100832929721008	0.00227327542219359	0.00101507280838449	0.0504164648605041	0.000202305335232131	0.0503281045523643	6.32262620004577e-05
"Cecropia_sp1_M_PA_002"	0.00202452189773101	5.93210204368324e-06	0.00201665859442016	1.00201075615289	0.00202452189773101	0.00201861945619754	0.100537807644335	0.000235899099325278	0.000236097661338593	2.96605102184162e-07
"Cecropia_polystachya"	0.00263547600540193	0.000844900819650312	0.00151551694812906	0.000674840632577002	1.0026354760054	0.00179479968984987	0.0337420316288501	0.0335987717181859	0.0336270526220824	4.22450409825156e-05
"Cecropia_engleriana"	0.0026921995347748	5.79204048815625e-06	0.00101507280838449	0.00100930972809877	0.0026921995347748	1.00268643645449	0.0504654864049385	0.0503138017917094	0.000230523211428619	2.89602024407813e-07
"Azteca_xanthochroa"	0.0202452189773101	5.93210204368324e-05	0.0201665859442016	0.020107561528867	0.0202452189773101	0.0201861945619754	1.00537807644335	0.00235899099325278	0.00236097661338593	2.96605102184162e-06
"Azteca_ovaticeps"	0.033598771718186	5.65197893262927e-05	0.000134870223488087	7.86330331084258e-05	0.033598771718186	0.0335425345278063	0.00393165165542129	1.00391704484094	0.00224948761518645	2.82598946631464e-06
"Camponotus_balzani"	0.0252202894665618	0.0252311837797462	0.0251640522761822	5.90244153346482e-05	0.0252202894665618	0.000115261605714309	0.00295122076673241	0.00168711571138984	1.0042011144339	0.00126155918898731
"Pachycondyla_luteola"	0.000126735122947547	0.100629302431054	0.000126452524000915	2.96605102184162e-07	0.000126735122947547	5.79204048815625e-07	1.48302551092081e-05	8.47796839894391e-06	0.00504623675594925	1.00503146512155
