"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Tococa_bullifera"	"Tachigalia_spp."	"Duroia_saccifera"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Crematogaster_laevis"	"Pseudomyrmex_concolor"	"Allomerus_septemarticulatus"	"Crematogaster_brasiliensis"	"Solenopsis_sp2"	"Pseudomyrmex_nigriceps"
"Cordia_nodosa"	1.01010101010101	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0
"Hirtella_myrmecophila"	0	1.0050505050505	0	0	0.00505050505050505	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0
"Maieta_guianensis"	0	0	1.0084118779771	0	0	0.00168913212391473	0	0	0	0	0.0336137292659032	0	0.0337826424782946	0	0	0	0.0336137292659032	0
"Myrcia_madida"	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0
"Hirtella_physophora"	0	0.00505050505050505	0	0	1.0050505050505	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0
"Tococa_bullifera"	0	0	0.0050673963717442	0	0	1.00503361372927	0	0	0	0	0.000168913212391473	0	0.100672274585318	0	0	0	0.000168913212391473	0
"Tachigalia_spp."	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0.0336700336700337	0	0.0336700336700337	0	0.0336700336700337
"Duroia_saccifera"	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0.101010101010101	0	0	0
"Azteca_r.am.1"	0.101010101010101	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0
"Allomerus_octoarticulatus"	0	0.0505050505050505	0	0	0.0505050505050505	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0
"Pheidole_minutula"	0	0	0.10084118779771	0	0	0.000168913212391473	0	0	0	0	1.00336137292659	0	0.00337826424782947	0	0	0	0.00336137292659032	0
"Myrcidris_sp."	0	0	0	0.101010101010101	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0
"Crematogaster_laevis"	0	0	0.050673963717442	0	0	0.050336137292659	0	0	0	0	0.00168913212391473	0	1.00672274585318	0	0	0	0.00168913212391473	0
"Pseudomyrmex_concolor"	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	1.003367003367	0	0.00336700336700337	0	0.00336700336700337
"Allomerus_septemarticulatus"	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	1.01010101010101	0	0	0
"Crematogaster_brasiliensis"	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0.00336700336700337	0	1.003367003367	0	0.00336700336700337
"Solenopsis_sp2"	0	0	0.10084118779771	0	0	0.000168913212391473	0	0	0	0	0.00336137292659032	0	0.00337826424782947	0	0	0	1.00336137292659	0
"Pseudomyrmex_nigriceps"	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0.00336700336700337	0	0.00336700336700337	0	1.003367003367
