"Nephrosperma_vanhoutteanum"	"Erythroxylum_sechellarum"	"Paragenipa_wrightii"	"Canthium_bibracteatum"	"Phoenicophorium_borsigianum"	"Memecylon_eleagni"	"Psychotria_pervillei"	"Syzygium_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp2_M_PL_087"	"Nectarinia_dussumieri"	"Unidentified_sp1_M_PL_087"	"Hemipyrellia_sp1_M_PL_087"	"Rhiparida_seychellensis"	"Unidentified_sp4_M_PL_087"	"Cratopus_aurostriatus"	"Neophyllomyza_approximatonervis"	"Megachile_seychellensis"	"Mabuya_sechellensis"	"Chalcidoma_disjunctum"	"Unidentified_sp3_M_PL_087"
"Nephrosperma_vanhoutteanum"	1.00736833575906	0.000820628199296796	0.000315417321580681	0.000315918246168146	0.000819415791373896	0.000145877461953014	0.000315417321580681	0	0.0101603652250274	0.0101530713519298	0.0100736833575906	2.1027821438712e-05	0.010094199062573	0.0100736833575906	0.0100736833575906	0.0100736833575906	0.010100997217303	0.0100736833575906	3.10463131880248e-05	0	7.2938730976507e-06	0.0100736833575906
"Erythroxylum_sechellarum"	0.00205157049824199	1.0032944453204	0.000784399250215598	0.0020393014784962	0.000784117233352921	0.000362777070091978	0.000784399250215598	0	0.0252674229319063	0.0252492840784017	2.05157049824199e-05	5.22932833477065e-05	0.0251028768379923	2.05157049824199e-05	2.05157049824199e-05	2.05157049824199e-05	4.66529460941839e-05	2.05157049824199e-05	0.0251503378489598	0	1.81388535045989e-05	2.05157049824199e-05
"Paragenipa_wrightii"	0.0010513910719356	0.00104586566695413	1.00271670761156	0.00104403263933447	0.00104324969788433	0.000483055801787418	0.00271670761155708	0	0.0336448365944937	0.0336206838044043	1.0513910719356e-05	0.0335144471741038	3.66605523932093e-05	1.0513910719356e-05	1.0513910719356e-05	1.0513910719356e-05	4.52889006488336e-05	1.0513910719356e-05	6.09477296516689e-05	0	2.41527900893709e-05	1.0513910719356e-05
"Canthium_bibracteatum"	0.00105306082056049	0.00271906863799493	0.00104403263933447	1.00271514327179	0.00104281708942935	0.000482855002569229	0.00104403263933447	0	0.0336308509289468	0.0336067081788183	1.05306082056049e-05	6.96021759556313e-05	7.85073241554783e-05	1.05306082056049e-05	1.05306082056049e-05	1.05306082056049e-05	4.52911778532499e-05	1.05306082056049e-05	0.0334918148250094	0	2.41427501284614e-05	1.05306082056049e-05
"Phoenicophorium_borsigianum"	0.00273138597124632	0.00104548964447056	0.00104324969788433	0.00104281708942935	1.00271232510038	0.000482492899717578	0.00104324969788433	0	0.0336056304653293	0.0335815058203434	2.73138597124632e-05	6.95499798589552e-05	5.34511008242273e-05	2.73138597124632e-05	2.73138597124632e-05	2.73138597124632e-05	0.033451058029725	2.73138597124632e-05	6.08978107594091e-05	0	2.41246449858789e-05	2.73138597124632e-05
"Memecylon_eleagni"	0.00072938730976507	0.000725554140183956	0.000724583702681127	0.000724282503853844	0.000723739349576367	1.00574887939227	0.000724583702681127	0	0.0504094496715088	0.000122005701895332	7.2938730976507e-06	4.83055801787418e-05	2.54327266022496e-05	7.2938730976507e-06	7.2938730976507e-06	7.2938730976507e-06	3.14185180835296e-05	7.2938730976507e-06	4.22816036330603e-05	0	0.0502874439696134	7.2938730976507e-06
"Psychotria_pervillei"	0.0010513910719356	0.00104586566695413	0.00271670761155708	0.00104403263933447	0.00104324969788433	0.000483055801787418	1.00271670761156	0	0.0336448365944937	0.0336206838044043	1.0513910719356e-05	0.0335144471741038	3.66605523932093e-05	1.0513910719356e-05	1.0513910719356e-05	1.0513910719356e-05	4.52889006488336e-05	1.0513910719356e-05	6.09477296516689e-05	0	2.41527900893709e-05	1.0513910719356e-05
"Syzygium_wrightii"	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0
"Apis_mellifera"	0.0145148074643249	0.0144385273896607	0.0144192156833544	0.0144132218266915	0.0144024130565697	0.0144026999061454	0.0144192156833544	0	1.00314804846303	0.0024279134677171	0.000145148074643249	0.000961281045556962	0.000506111259384767	0.000145148074643249	0.000145148074643249	0.000145148074643249	0.000625228509862239	0.000145148074643249	0.000841403912297901	0	0.000720134995307268	0.000145148074643249
"Lasioglossum_mahense"	0.0169217855865496	0.0168328560522678	0.0168103419022022	0.0168033540894092	0.0167907529101717	4.06685672984439e-05	0.0168103419022022	0	0.00283256571233662	1.00283053228397	0.000169217855865496	0.00112068946014681	0.000590039257172191	0.000169217855865496	0.000169217855865496	0.000169217855865496	0.000728909619537886	0.000169217855865496	0.000980933204286999	0	2.0334283649222e-06	0.000169217855865496
