"Microtus_arvalis"	"Dryomys_nitedula"	"Arvicola_terrestris"	"Neomys_schelkovnikovi"	"Ctenophthalmus_wladimiri"	"Ceratophyllus_sciurorum"	"Amphipsylla_rossica"	"Frontopsylla_elata"	"Megabothris_walkeri"	"Ctenophthalmus_bogatschevi"	"Neopsylla_pleskei"	"Nosopsyllus_consimilis"	"Hystrichopsylla_talpae"	"Palaeopsylla_soricis"	"Callopsylla_caspia"	"Leptopsylla_taschenbergi"	"Peromyscopsylla_bidentata"	"Rhadinopsylla_integella"	"Stenoponia_ivanovi"
"Microtus_arvalis"	1.00825570756301	0	0.00138354127967479	0.000461761258329748	0.00920054950983737	0	0.00916596097784551	0.00920054950983737	3.45885319918698e-05	0.009189049040762	0.0091659609778455	0.00920054950983737	0.00916596097784551	2.30880629164874e-05	0.0091659609778455	0	0.0091659609778455	0.0091659609778455	0.0091659609778455
"Dryomys_nitedula"	0	1.01010101010101	0	0	0	0.0505050505050505	0	0	0	0	0	0	0	0	0	0.0505050505050505	0	0	0
"Arvicola_terrestris"	0.00380473851910568	0	1.00629452908659	1.74249531445188e-06	0.0251919517591566	0	3.45885319918698e-05	0.0251919517591566	0.0251573632271647	3.46756567575925e-05	3.45885319918698e-05	0.0251919517591566	3.45885319918698e-05	8.7124765722594e-08	3.45885319918698e-05	0	3.45885319918698e-05	3.45885319918698e-05	3.45885319918698e-05
"Neomys_schelkovnikovi"	0.00253968692081362	0	3.48499062890376e-06	1.00755783818957	2.317518768221e-05	0	2.30880629164874e-05	2.317518768221e-05	8.71247657225941e-08	0.0504009799723949	2.30880629164874e-05	2.317518768221e-05	2.30880629164874e-05	0.0503778919094784	2.30880629164874e-05	0	2.30880629164874e-05	2.30880629164874e-05	2.30880629164874e-05
"Ctenophthalmus_wladimiri"	0.0506030223041056	0	0.0503839035183132	2.317518768221e-05	1.00171962506345	0	0.000460027475491869	0.0017196250634497	0.00125959758795783	0.00046118623487598	0.000460027475491869	0.0017196250634497	0.000460027475491869	1.1587593841105e-06	0.000460027475491869	0	0.000460027475491869	0.000460027475491869	0.000460027475491869
"Ceratophyllus_sciurorum"	0	0.101010101010101	0	0	0	1.0050505050505	0	0	0	0	0	0	0	0	0	0.00505050505050505	0	0	0
"Amphipsylla_rossica"	0.100825570756301	0	0.000138354127967479	4.61761258329748e-05	0.000920054950983737	0	1.00091659609778	0.000920054950983738	3.45885319918698e-06	0.0009189049040762	0.00091659609778455	0.000920054950983737	0.000916596097784551	2.30880629164874e-06	0.000916596097784551	0	0.000916596097784551	0.000916596097784551	0.000916596097784551
"Frontopsylla_elata"	0.0506030223041056	0	0.0503839035183132	2.317518768221e-05	0.0017196250634497	0	0.000460027475491869	1.00171962506345	0.00125959758795783	0.00046118623487598	0.000460027475491869	0.0017196250634497	0.000460027475491869	1.1587593841105e-06	0.000460027475491869	0	0.000460027475491869	0.000460027475491869	0.000460027475491869
"Megabothris_walkeri"	0.000380473851910568	0	0.100629452908659	1.74249531445188e-07	0.00251919517591566	0	3.45885319918698e-06	0.00251919517591566	1.00251573632272	3.46756567575925e-06	3.45885319918698e-06	0.00251919517591566	3.45885319918699e-06	8.71247657225941e-09	3.45885319918699e-06	0	3.45885319918699e-06	3.45885319918698e-06	3.45885319918698e-06
"Ctenophthalmus_bogatschevi"	0.050539769724191	0	6.93513135151849e-05	0.0504009799723949	0.000461186234875979	0	0.0004594524520381	0.000461186234875979	1.73378283787962e-06	1.00297950145066	0.0004594524520381	0.000461186234875979	0.0004594524520381	0.00252004899861974	0.0004594524520381	0	0.0004594524520381	0.0004594524520381	0.0004594524520381
"Neopsylla_pleskei"	0.100825570756301	0	0.000138354127967479	4.61761258329749e-05	0.000920054950983738	0	0.000916596097784551	0.000920054950983738	3.45885319918699e-06	0.0009189049040762	1.00091659609778	0.000920054950983737	0.000916596097784551	2.30880629164874e-06	0.000916596097784551	0	0.000916596097784551	0.000916596097784551	0.000916596097784551
"Nosopsyllus_consimilis"	0.0506030223041056	0	0.0503839035183132	2.317518768221e-05	0.0017196250634497	0	0.000460027475491869	0.0017196250634497	0.00125959758795783	0.000461186234875979	0.000460027475491869	1.00171962506345	0.000460027475491869	1.1587593841105e-06	0.000460027475491869	0	0.000460027475491869	0.000460027475491869	0.000460027475491869
"Hystrichopsylla_talpae"	0.100825570756301	0	0.000138354127967479	4.61761258329749e-05	0.000920054950983738	0	0.000916596097784551	0.000920054950983738	3.45885319918698e-06	0.000918904904076199	0.000916596097784551	0.000920054950983738	1.00091659609778	2.30880629164874e-06	0.000916596097784551	0	0.000916596097784551	0.000916596097784551	0.000916596097784551
