"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Tococa_bullifera"	"Tachigalia_spp."	"Palicourea_corymbifera"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Crematogaster_laevis"	"Pseudomyrmex_concolor"	"Allomerus_septemarticulatus"	"Azteca_sp8"	"Crematogaster_brasiliensis"	"Crema_limata"	"Camponotus_femoratus"	"Pachycondila_unidentata"	"Solenopsis_sp5"
"Cordia_nodosa"	1.00756306786458	0	0	0	0	0	0	0.0025379422364347	0.0251890766966144	0	0	0	0	0	0	0	0.0252525252525253	0.0252525252525253	0.0251890766966144	6.34485559108675e-05	6.34485559108675e-05
"Hirtella_myrmecophila"	0	1.00756306786458	0	0	0.0025379422364347	0	0	0	0	0.0505050505050505	0	0	0	0	0.000126897111821735	0.0503781533932288	0	0	0	0	0
"Maieta_guianensis"	0	0	1.00756942862206	0	0	0.0025315814789499	0	0	0	0	0.050378471431103	0	0.050631629578998	0	0	0	0	0	0	0	0
"Myrcia_madida"	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0
"Hirtella_physophora"	0	0.0025379422364347	0	0	1.00756306786458	0	0	0	0	0.0505050505050505	0	0	0	0	0.0503781533932288	0.000126897111821735	0	0	0	0	0
"Tococa_bullifera"	0	0	0.0050631629578998	0	0	1.00503784714311	0	0	0	0	0.00025315814789499	0	0.100756942862206	0	0	0	0	0	0	0	0
"Tachigalia_spp."	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0
"Palicourea_corymbifera"	0.0025379422364347	0	0	0	0	0	0	1.00756306786458	6.34485559108675e-05	0	0	0	0	0	0	0	0.0252525252525253	0.0252525252525253	6.34485559108675e-05	0.0251890766966144	0.0251890766966144
"Azteca_r.am.1"	0.100756306786458	0	0	0	0	0	0	0.00025379422364347	1.00251890766966	0	0	0	0	0	0	0	0.00252525252525253	0.00252525252525253	0.00251890766966144	6.34485559108675e-06	6.34485559108675e-06
"Allomerus_octoarticulatus"	0	0.0505050505050505	0	0	0.0505050505050505	0	0	0	0	1.0050505050505	0	0	0	0	0.00252525252525253	0.00252525252525253	0	0	0	0	0
"Pheidole_minutula"	0	0	0.100756942862206	0	0	0.00025315814789499	0	0	0	0	1.00503784714311	0	0.0050631629578998	0	0	0	0	0	0	0	0
"Myrcidris_sp."	0	0	0	0.101010101010101	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0
"Crematogaster_laevis"	0	0	0.050631629578998	0	0	0.050378471431103	0	0	0	0	0.0025315814789499	0	1.00756942862206	0	0	0	0	0	0	0	0
"Pseudomyrmex_concolor"	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0
"Allomerus_septemarticulatus"	0	0.00025379422364347	0	0	0.100756306786458	0	0	0	0	0.00505050505050505	0	0	0	0	1.00503781533932	1.26897111821735e-05	0	0	0	0	0
"Azteca_sp8"	0	0.100756306786458	0	0	0.00025379422364347	0	0	0	0	0.00505050505050505	0	0	0	0	1.26897111821735e-05	1.00503781533932	0	0	0	0	0
"Crematogaster_brasiliensis"	0.0505050505050505	0	0	0	0	0	0	0.0505050505050505	0.00126262626262626	0	0	0	0	0	0	0	1.00252525252525	0.00252525252525253	0.00126262626262626	0.00126262626262626	0.00126262626262626
"Crema_limata"	0.0505050505050505	0	0	0	0	0	0	0.0505050505050505	0.00126262626262626	0	0	0	0	0	0	0	0.00252525252525253	1.00252525252525	0.00126262626262626	0.00126262626262626	0.00126262626262626
"Camponotus_femoratus"	0.100756306786458	0	0	0	0	0	0	0.00025379422364347	0.00251890766966144	0	0	0	0	0	0	0	0.00252525252525253	0.00252525252525253	1.00251890766966	6.34485559108675e-06	6.34485559108675e-06
"Pachycondila_unidentata"	0.00025379422364347	0	0	0	0	0	0	0.100756306786458	6.34485559108675e-06	0	0	0	0	0	0	0	0.00252525252525253	0.00252525252525253	6.34485559108675e-06	1.00251890766966	0.00251890766966144
"Solenopsis_sp5"	0.00025379422364347	0	0	0	0	0	0	0.100756306786458	6.34485559108675e-06	0	0	0	0	0	0	0	0.00252525252525253	0.00252525252525252	6.34485559108675e-06	0.00251890766966144	1.00251890766966
