"Lathyrus_latifolius"	"Lathyrus_pratensis"	"Lathyrus_tuberosus"	"Lathyrus_niger"	"Lathyrus_pannonicus"	"Lathyrus_sylvestris"	"Lathyrus_vernus"	"Vicia_cassubica"	"Vicia_pisiformis"	"Vicia_sepium"	"Vicia_sparsifolia"	"Vicia_tenuifolia"	"Vicia_villosa"	"Vicia_cracca"	"Lathyrus_nissolia"	"Vicia_angustifolia"	"Vicia_grandiflora"	"Pisum_sativum"	"Vicia_pannonica_spp._pannonica"	"Vicia_pannonica_spp._striata"	"Lathyrus_hirsutus"	"Lathyrus_odoratus"	"Trifolium_pratense"	"Trifolium_striatum"	"Glycyrrhiza_echinata"	"Galega_officinalis"	"Cytisus_scoparius"	"Astragalus_glycyphyllos"	"Trifolium_fragiferum"	"Coronilla_coronata"	"Anthyllis_vulneraria_ssp._polyphylla"	"Onobrychis_arenaria"	"Coronilla_varia"	"Tetragonolobus_maritimus"	"Trifolium_rubens"	"Astragalus_asper"	"Astragalus_onobrychis"	"Astragalus_varius"	"Astragalus_vesicarius"	"Oxytropis_pilosa"	"Trifolium_alpestre"	"Trifolium_diffusum"	"Trifolium_medium"	"Chamaecytisus_hirsutus"	"Chamaecytisus_supinus"	"Cytisus_sessilifolius"	"Genista_pilosa"	"Genista_tinctoria"	"Laburnum_anagyroides"	"Petteria_ramentacea"	"Spartium_junceum"	"Brucchus_affinis"	"Brucchus_atomarius"	"Brucchus_brachialis"	"Brucchus_libanensis"	"Brucchus_loti"	"Brucchus_luteicornis"	"Brucchus_pisorum"	"Brucchus_rufimanus"	"Brucchus_occidentalis"	"Brucchus_tristiculus"	"Brucchus_venustus"	"Brucchus_viciae"	"Bruchidius_dispar"	"Bruchidius_glycyrhizae"	"Bruchidius_imbricornis"	"Bruchidius_lividimanus"	"Bruchidius_marginalis"	"Bruchidius_martinezi"	"Bruchidius_pauper"	"Bruchidius_picipis"	"Bruchidius_poupillieri"	"Bruchidius_pusillus"	"Bruchidius_seminarius"	"Bruchidius_sericatus"	"Bruchidius_varipes"	"Bruchidius_varius"	"Bruchidius_villosus"
"Lathyrus_latifolius"	1.00182007419388	0.00126415468679252	0.00125875052403378	0.000564610320569104	0.000564610320569104	0.00182007419388233	0.000561323669848549	0.000561323669848549	0.000561323669848549	0.000561323669848549	0.000561323669848549	0	0	0	2.11751203817842e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0503500209613514	0.0505191302863694	0	0	4.23502407635684e-05	0	0	0	0	0	0	9.8599521616661e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lathyrus_pratensis"	0.000842769791195012	1.00364060877562	0.000840575537300924	0.00112108744401371	0.00112108744401371	0.000842769791195012	2.19425389408796e-06	2.19425389408796e-06	2.19425389408796e-06	2.19425389408796e-06	2.19425389408796e-06	0	0	0	0.00168114004820037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336230214920369	0.000197482850467916	0	0	0.0336228009640074	0	0	0	0	0	0	0.0335667957035887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lathyrus_tuberosus"	0.00251750104806757	0.00252172661190277	1.0025146818962	5.6398698875988e-06	5.6398698875988e-06	0.00251750104806757	2.81915186363706e-06	2.81915186363706e-06	2.81915186363706e-06	2.81915186363706e-06	2.81915186363706e-06	0	0	0	4.22399767487902e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100587275848157	0.000253723667727335	0	0	8.44799534975803e-05	0	0	0	0	0	0	8.46215407188523e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lathyrus_niger"	0.000564610320569104	0.00168163116602057	2.8199349437994e-06	1.00223778481408	0.00223778481407892	0.000564610320569104	0.000561790385625305	0.000561790385625305	0.000561790385625305	0.000561790385625305	0.000561790385625305	0	0	0	2.81680262315003e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000112797397751976	0.0505611347062774	0	0	5.63360524630006e-05	0	0	0	0	0	0	0.0502798328536086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lathyrus_pannonicus"	0.000564610320569104	0.00168163116602057	2.8199349437994e-06	0.00223778481407892	1.00223778481408	0.000564610320569104	0.000561790385625305	0.000561790385625305	0.000561790385625305	0.000561790385625305	0.000561790385625305	0	0	0	2.81680262315003e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000112797397751976	0.0505611347062774	0	0	5.63360524630006e-05	0	0	0	0	0	0	0.0502798328536086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lathyrus_sylvestris"	0.00182007419388233	0.00126415468679252	0.00125875052403378	0.000564610320569104	0.000564610320569104	1.00182007419388	0.000561323669848549	0.000561323669848549	0.000561323669848549	0.000561323669848549	0.000561323669848549	0	0	0	2.11751203817842e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0503500209613514	0.0505191302863694	0	0	4.23502407635684e-05	0	0	0	0	0	0	9.8599521616661e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lathyrus_vernus"	0.0011226473396971	6.58276168226388e-06	2.81915186363706e-06	0.00112358077125061	0.00112358077125061	0.0011226473396971	1.00111982818783	0.00111982818783346	0.00111982818783346	0.00111982818783346	0.00111982818783346	0	0	0	1.10264014778289e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000112766074545482	0.100784536905011	0	0	2.20528029556579e-07	0	0	0	0	0	0	0.00011257750251447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vicia_cassubica"	0.0011226473396971	6.58276168226388e-06	2.81915186363706e-06	0.00112358077125061	0.00112358077125061	0.0011226473396971	0.00111982818783346	1.00111982818783	0.00111982818783346	0.00111982818783346	0.00111982818783346	0	0	0	1.10264014778289e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000112766074545482	0.100784536905011	0	0	2.20528029556579e-07	0	0	0	0	0	0	0.00011257750251447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vicia_pisiformis"	0.0011226473396971	6.58276168226388e-06	2.81915186363706e-06	0.00112358077125061	0.00112358077125061	0.0011226473396971	0.00111982818783346	0.00111982818783346	1.00111982818783	0.00111982818783346	0.00111982818783346	0	0	0	1.10264014778289e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000112766074545482	0.100784536905011	0	0	2.20528029556579e-07	0	0	0	0	0	0	0.00011257750251447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vicia_sepium"	0.0011226473396971	6.58276168226388e-06	2.81915186363706e-06	0.00112358077125061	0.00112358077125061	0.0011226473396971	0.00111982818783346	0.00111982818783346	0.00111982818783346	1.00111982818783	0.00111982818783346	0	0	0	1.10264014778289e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000112766074545482	0.100784536905011	0	0	2.20528029556579e-07	0	0	0	0	0	0	0.00011257750251447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
