"Saurauia_ferox"	"Fissistigma_sp."	"Goniothalamus_sp."	"Popowia_pisocarpa"	"Poikilospermum_sp."	"Combretaceae"	"Costus_sp."	"Tetracera_indica"	"Dryobalanops_lanceolata"	"Diospyros_sp."	"Glochidion_sp."	"Mallotus_floribundus"	"Mallotus_miquelianus"	"Mallotus_sp."	"Mallotus_wrayi"	"Bauhinia_sp."	"Spatholobus_sp."	"Fordia_sp."	"Ryparosa_hullettii"	"Lauraceae"	"Leea_indica"	"Magnolia_candollii"	"Aglaia_sp."	"Chisocheton_sp."	"Ardisia_sp."	"Chionanthus_pluriflorus"	"Passifloraceae"	"Uncaria_sp."	"Urophyllum_sp."	"Rubiaceae"	"Paranephelium_xestophyllum"	"Selaginella_sp."	"Pterospermum_sp."	"Brownlowia_peltata"	"Callicarpa_longifolia"	"Tetrastigma_sp."	"Globba_pendula"	"Zingiber_flagelliforme"	"Haaniella_echinata"	"Necrosciinae"	"Centrophasma_longipennis"	"Asceles_margaritatus"	"Lonchodes_hosei_herberti"	"Lonchodes_imitator"	"Dinophasma_ruficornis"	"Unidentified_juveniles"	"Acacus_sarawacus"	"Marmessoidea_rubescens"	"Lonchodes_thami"	"Lonchodes_malleti"
"Glochidion_sp."	0.000459622339336647	0.000458087586347999	7.69107895955022e-07	0.000459157413885148	0	0.000458087586347999	0.000458087586347999	1.15387301347103e-06	0.000458087586347999	1.18040413117e-06	1.00045808758635	0.000459993628776888	8.79684489975826e-07	8.79684489975826e-07	0.000460802743467817	0.000458087586347999	0.000458087586347999	0.000458087586347999	0.000458087586347999	0	0.00045924145936147	1.0263579389133e-06	0.000461656164237216	0.000458087586347999	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	0.00046064944242834	3.00719641194171e-07	3.00719641194171e-07	0.000458087586347999	0.000458087586347999	0.000458967270837974	0	0.000458087586347999	0.000458087586347999	0	0.10077926899656	4.60425896594582e-05	1.53821579191004e-05	6.15779142983078e-05	2.70647677074754e-05	0	2.30774602694206e-05	3.07907381673989e-05	1.15414041059304e-05	0	1.5354981414278e-05	0
"Mallotus_floribundus"	0.000154647852912521	0.000153331209592296	2.58111943169238e-07	0.000154092830072035	0	0.000153331209592296	0.000153331209592296	3.86224709300493e-07	0.000153331209592296	0.00048014718903284	0.000153331209592296	1.00175117663167	0.00047964368049627	0.00047964368049627	0.000634795041945361	0.000153331209592296	0.000153331209592296	0.000153331209592296	0.000153331209592296	0	0.000153717434301596	0.00111820174158463	0.000635881236500041	0.000153331209592296	5.03508536569841e-07	5.03508536569841e-07	5.03508536569841e-07	5.03508536569841e-07	0.00127578556974274	5.03508536569841e-07	5.03508536569841e-07	0.000153331209592296	0.000153331209592296	0.000632974890088566	0	0.000153331209592296	0.000153331209592296	0	0.0337328661103051	3.94992996067611e-05	5.16223886338476e-06	0.0335750576347389	4.53157682912857e-05	0	7.72449418600987e-06	0.033546052247539	1.5897030912501e-05	0	4.25261856580913e-05	0
"Mallotus_miquelianus"	3.28873441245616e-06	8.79684489975826e-07	3.50246283452426e-09	2.09097031221098e-06	0	8.79684489975826e-07	8.79684489975826e-07	2.21582994956127e-09	8.79684489975826e-07	0.00143765219946264	8.79684489975826e-07	0.00143893104148881	1.0014364444161	0.00143644441610324	0.0014409409338751	8.79684489975826e-07	8.79684489975826e-07	8.79684489975826e-07	8.79684489975826e-07	0	8.81900319925387e-07	1.60694089559336e-06	0.00144334150427639	8.79684489975826e-07	1.20778335940063e-06	1.20778335940063e-06	1.20778335940063e-06	1.20778335940063e-06	2.49494185843062e-06	1.20778335940063e-06	1.20778335940063e-06	8.79684489975826e-07	8.79684489975826e-07	0.00143732410059322	0	8.79684489975826e-07	8.79684489975826e-07	0	0.000193530587794682	7.227149767441e-05	7.00492566904852e-08	0.100551109127227	0.000108700502346057	0	4.43165989912255e-08	4.82082268678007e-05	3.60835376069097e-05	0	8.31647286143539e-08	0
"Mallotus_sp."	3.28873441245616e-06	8.79684489975826e-07	3.50246283452426e-09	2.09097031221098e-06	0	8.79684489975826e-07	8.79684489975826e-07	2.21582994956127e-09	8.79684489975826e-07	0.00143765219946264	8.79684489975826e-07	0.00143893104148881	0.00143644441610324	1.0014364444161	0.0014409409338751	8.79684489975826e-07	8.79684489975826e-07	8.79684489975826e-07	8.79684489975826e-07	0	8.81900319925387e-07	1.60694089559336e-06	0.00144334150427639	8.79684489975826e-07	1.20778335940063e-06	1.20778335940063e-06	1.20778335940063e-06	1.20778335940063e-06	2.49494185843062e-06	1.20778335940063e-06	1.20778335940063e-06	8.79684489975826e-07	8.79684489975826e-07	0.00143732410059322	0	8.79684489975826e-07	8.79684489975826e-07	0	0.000193530587794682	7.227149767441e-05	7.00492566904852e-08	0.100551109127227	0.000108700502346057	0	4.43165989912255e-08	4.82082268678007e-05	3.60835376069097e-05	0	8.31647286143539e-08	0
"Mallotus_wrayi"	0.000952546135072399	0.000115200685866954	6.6408480923587e-07	0.000396458631113814	0	0.000115200685866954	0.000115200685866954	2.90178050042706e-07	0.000115200685866954	0.000640829093906398	0.000115200685866954	0.000476096281459021	0.000360235233468774	0.000360235233468774	1.00159337522898	0.000115200685866954	0.000115200685866954	0.000115200685866954	0.000115200685866954	0	0.000115490863916997	6.60362123292137e-07	0.0013160715474097	0.000115200685866954	0.000280593860437624	0.000280593860437624	0.000280593860437624	0.000280593860437624	0.000116248543134027	0.000280593860437624	0.000280593860437624	0.000115200685866954	0.000115200685866954	0.000475435919335729	0	0.000115200685866954	0.000115200685866954	0	0.0253441508907299	0.0251203634761633	1.32816961847174e-05	0.0252164663428142	0.0252534474393861	0	5.80356100085412e-06	1.98108636987641e-05	3.29017886852424e-05	0	3.87495143780088e-06	0
"Bauhinia_sp."	0.000459622339336647	0.000458087586347999	7.69107895955022e-07	0.000459157413885148	0	0.000458087586347999	0.000458087586347999	1.15387301347103e-06	0.000458087586347999	1.18040413117e-06	0.000458087586347999	0.000459993628776888	8.79684489975826e-07	8.79684489975826e-07	0.000460802743467817	1.00045808758635	0.000458087586347999	0.000458087586347999	0.000458087586347999	0	0.00045924145936147	1.0263579389133e-06	0.000461656164237216	0.000458087586347999	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	0.00046064944242834	3.00719641194171e-07	3.00719641194171e-07	0.000458087586347999	0.000458087586347999	0.000458967270837974	0	0.000458087586347999	0.000458087586347999	0	0.10077926899656	4.60425896594582e-05	1.53821579191004e-05	6.15779142983078e-05	2.70647677074754e-05	0	2.30774602694206e-05	3.07907381673989e-05	1.15414041059304e-05	0	1.5354981414278e-05	0
"Spatholobus_sp."	0.000459622339336647	0.000458087586347999	7.69107895955022e-07	0.000459157413885148	0	0.000458087586347999	0.000458087586347999	1.15387301347103e-06	0.000458087586347999	1.18040413117e-06	0.000458087586347999	0.000459993628776888	8.79684489975826e-07	8.79684489975826e-07	0.000460802743467817	0.000458087586347999	1.00045808758635	0.000458087586347999	0.000458087586347999	0	0.00045924145936147	1.0263579389133e-06	0.000461656164237216	0.000458087586347999	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	0.00046064944242834	3.00719641194171e-07	3.00719641194171e-07	0.000458087586347999	0.000458087586347999	0.000458967270837974	0	0.000458087586347999	0.000458087586347999	0	0.10077926899656	4.60425896594582e-05	1.53821579191004e-05	6.15779142983078e-05	2.70647677074754e-05	0	2.30774602694206e-05	3.07907381673989e-05	1.15414041059304e-05	0	1.5354981414278e-05	0
"Fordia_sp."	0.000459622339336647	0.000458087586347999	7.69107895955022e-07	0.000459157413885148	0	0.000458087586347999	0.000458087586347999	1.15387301347103e-06	0.000458087586347999	1.18040413117e-06	0.000458087586347999	0.000459993628776888	8.79684489975826e-07	8.79684489975826e-07	0.000460802743467817	0.000458087586347999	0.000458087586347999	1.00045808758635	0.000458087586347999	0	0.00045924145936147	1.0263579389133e-06	0.000461656164237216	0.000458087586347999	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	0.00046064944242834	3.00719641194171e-07	3.00719641194171e-07	0.000458087586347999	0.000458087586347999	0.000458967270837974	0	0.000458087586347999	0.000458087586347999	0	0.10077926899656	4.60425896594582e-05	1.53821579191004e-05	6.15779142983078e-05	2.70647677074754e-05	0	2.30774602694206e-05	3.07907381673989e-05	1.15414041059304e-05	0	1.5354981414278e-05	0
"Ryparosa_hullettii"	0.000459622339336647	0.000458087586347999	7.69107895955022e-07	0.000459157413885148	0	0.000458087586347999	0.000458087586347999	1.15387301347103e-06	0.000458087586347999	1.18040413117e-06	0.000458087586347999	0.000459993628776888	8.79684489975826e-07	8.79684489975826e-07	0.000460802743467817	0.000458087586347999	0.000458087586347999	0.000458087586347999	1.00045808758635	0	0.00045924145936147	1.0263579389133e-06	0.000461656164237216	0.000458087586347999	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	3.00719641194171e-07	0.00046064944242834	3.00719641194171e-07	3.00719641194171e-07	0.000458087586347999	0.000458087586347999	0.000458967270837974	0	0.000458087586347999	0.000458087586347999	0	0.10077926899656	4.60425896594582e-05	1.53821579191004e-05	6.15779142983078e-05	2.70647677074754e-05	0	2.30774602694206e-05	3.07907381673989e-05	1.15414041059304e-05	0	1.5354981414278e-05	0
"Lauraceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0
