"Byrsonima_crassifolia"	"Casearia_guianensis"	"Cnestidium_rufescens"	"Connarus_turczaninowii"	"Cupania_sylvatica"	"Desmopsis_panamensis"	"Doliocarpus_major"	"Eugenia_coloradensis"	"Eugenia_oerstedeana"	"Flemingia_sp."	"Heliconia_metallica"	"Herrania_purpurea"	"Heteropteris_laurifolia"	"Hiraea_reclinata"	"Inga_cocleensis"	"Inga_marginata"	"Inga_quaternata"	"Inga_sapindoides"	"Isertia_haenkaena"	"Luehea_seemannii"	"Mabea_occidentalis"	"Maripa_panamensis"	"Miconia_affinis"	"Miconia_argentea"	"Mouriri_myrtilloides"	"Nectandra_globosa"	"Nuerolaena_lobata"	"Paulinia_fibrigera"	"Paulinia_turbacensis"	"Piper_dilatatum"	"Pithecellobium_sp."	"Rheedia_edulis"	"Serjania_mexicana"	"Serjania_sp."	"Solanum_rudepannum"	"Tetracera_portobellensis"	"Uncaria_tomentosa"	"Vatairea_erythrocarpa"	"Vernonia_arborescens"	"Vernonia_patens"	"Vismia_baccifera"	"Zanthoxylum_setulosum"	"Adippe_alliaceae"	"Adippe_inequalis"	"Amastris_triviale"	"Anchistrotus_maculatus"	"Aphetea_inconspicua"	"Atymna_sp."	"Bolbonotus_corrugata"	"Bolbonotus_pictipennis"	"Campylenchia_hastata"	"Ceresa_vitulus"	"Chelyoidea_nitida"	"Cymbomorpha_prasina"	"Cyphonia_clavata"	"Cyphonia_trifida"	"Enchophyllum_dubium"	"Endoiastus_caviceps"	"Genus_unknown"	"Gerridius_scutellatus"	"Guayaquila_compressa"	"Guayaquila_sp."	"Harmonides_sp."	"Heteronotus_trinodosus"	"Horiola_picta"	"Ischnocentrus_fowleri"	"Membracis_flava"	"Membracis_fuscata"	"Notocera_bituberculata"	"Notocera_cerviceps"	"Notocera_cervipes"	"Poppea_zebrina"	"Potnia_gladiator"	"Potnia_granadensis"	"Sphongophorus_guerinii"	"Sphongophorus_nymph"
"Byrsonima_crassifolia"	1.00559286790765	7.52015512115283e-10	1.22246127606593e-06	1.35834169607428e-07	3.82763346707223e-13	3.80849529973687e-10	1.22457401910717e-06	1.35085914172874e-07	0	1.22246127606593e-06	7.48255434554706e-10	1.35085914172874e-07	0	0	0.000561914950810944	1.35764737862185e-07	0	0	1.54384756597752e-06	0.000561914950810944	0	1.35985772751788e-07	1.22246127606593e-06	1.35313254397021e-07	0	1.37134432832936e-09	4.23223977772861e-06	1.57473201261758e-12	1.57473201261758e-12	0.000561914950810944	0	7.48255434554706e-10	2.34635069880019e-09	1.52364969205562e-10	0	0.000564247100524891	0	3.16240131358331e-07	0	0.00168443143153599	0.000561914950810944	0	7.61699059947374e-12	4.09346282006315e-08	7.61699059947374e-12	0	4.54809433078601e-09	0.0335197622635884	0.000122246127606593	6.82020672442654e-09	0.0336415493720927	0	0	0	8.46447955545723e-05	0	6.85672164164682e-11	0	0	9.40411834208153e-06	7.65526693414446e-12	9.40411834208152e-06	5.23778804188294e-08	6.78823689310923e-09	9.45601399210115e-06	0	5.14615855325839e-08	9.48720394074994e-06	4.72419603785274e-11	4.69270139760039e-11	7.61824846027808e-12	0	0	3.76007756057641e-11	0	0.0336039838351652
"Casearia_guianensis"	1.12802326817292e-09	1.00575062145608	2.42615881593836e-07	0.000722733453192867	1.30602525197364e-09	1.29949512571377e-06	0.000723400625378379	8.65104394719494e-07	0	2.42615881593836e-07	0.000721868348798148	8.65104394719494e-07	0	0	2.43738260021893e-07	8.69451652984416e-07	0	0	2.44323321549337e-07	2.43738260021893e-07	0	0.00072353960274916	2.42615881593836e-07	1.35194595838597e-06	0	1.29614140566577e-06	4.74751273415287e-15	4.86968446629555e-07	4.86968446629555e-07	2.43738260021893e-07	0	0.000721868348798148	0.000725582985478037	8.10200559087906e-07	0	1.11344717420574e-06	0	8.93028883670243e-10	0	1.88951006819284e-12	2.43738260021893e-07	0	2.59899025142755e-08	3.86898209591233e-05	2.59899025142755e-08	0	2.4184486688774e-05	3.76007756057641e-11	2.42615881593836e-05	1.46052469099943e-05	6.73427056834133e-08	0	0	0	9.49502546830574e-14	0	6.48070702832887e-08	0	0	1.8557452903429e-08	2.61205050394728e-08	1.8557452903429e-08	0.0505307844158703	4.34725826492208e-08	6.05573076303645e-05	0	8.14411071831124e-09	2.67908665101073e-08	1.46090533988867e-05	1.45116597095608e-05	4.05100279543953e-08	0	0	0.0502875310728039	0	3.76952511091738e-11
"Cnestidium_rufescens"	3.66738382819779e-06	4.85231763187672e-07	1.00100587864072	7.26346548272168e-07	2.31787512351438e-12	2.30628574789681e-09	0.00100748382681518	2.43540943900435e-07	0	0.00100587864072016	4.82805604371733e-07	2.43540943900435e-07	0	0	0.00100952767227147	2.44764767739131e-07	0	0	0.00101094115866663	0.00100952767227147	0	7.27157396663972e-07	0.00100587864072016	2.45024838238414e-07	0	1.1280205936136e-06	1.54349222366628e-11	1.0811900171971e-09	1.0811900171971e-09	0.00100952767227147	0	4.82805604371733e-07	1.61097312562368e-06	8.14923006837483e-10	0	0.00101484674979895	0	1.69271408424315e-06	0	6.14309905019179e-09	0.00100952767227147	0	4.61257149579362e-11	3.36714147193659e-05	4.61257149579362e-11	0	2.43254517540989e-08	1.22246127606593e-07	0.100587864072016	4.45168301393523e-08	0.00021894189307855	0	0	0	3.08698444733256e-10	0	5.64010296806798e-08	0	0	1.69141124966491e-05	4.63575024702876e-11	1.69141124966491e-05	3.37963923060213e-05	1.22382383869566e-08	1.70478660730305e-05	0	3.3698038622221e-05	5.07814225272944e-05	3.24357005159131e-08	3.22194625124737e-08	4.07461503418741e-11	0	0	2.42615881593836e-08	0	1.22553282559102e-07
"Connarus_turczaninowii"	2.03751254411143e-07	0.000722733453192867	3.63173274136084e-07	1.00143837699126	3.32451397297414e-09	3.30789140310927e-06	0.00072076865078789	0.000719257205337757	0	3.63173274136084e-07	0.000719119785926903	0.000719257205337757	0	0	5.6590491903469e-07	0.000722871563153524	0	0	7.69402590059392e-07	5.6590491903469e-07	0	0.00143998186460521	3.63173274136084e-07	0.000720943667320733	0	1.29215234859427e-06	8.57528122166566e-13	4.85923432724143e-07	4.85923432724143e-07	5.6590491903469e-07	0	0.000719119785926903	0.000724025914758972	1.61293803070142e-06	0	0.00072263556009774	0	4.0366464062311e-07	0	3.41296192622293e-10	5.6590491903469e-07	0	6.61578280621854e-08	3.85707476055388e-05	6.61578280621854e-08	0	4.81462002164375e-05	6.79170848037142e-09	3.63173274136084e-05	5.05938594892783e-05	1.21638986939163e-05	0	0	0	1.71505624433313e-11	0	6.46076174297133e-08	0	0	1.2043926001629e-05	6.64902794594828e-08	1.2043926001629e-05	0.0503383850148832	3.61435781576762e-05	0.050348004373643	0	2.56467530019797e-08	1.21099392186933e-05	1.45777029817243e-05	1.44805182951795e-05	8.06469015350712e-08	0	0	3.61366726596434e-05	0	6.80877329000253e-09
"Cupania_sylvatica"	1.14829004012167e-12	2.61205050394728e-09	2.31787512351438e-12	6.64902794594828e-09	1.00503020823848	0.00505719728563186	4.87272730861015e-09	4.05003769452074e-09	0	2.31787512351438e-12	2.59899025142755e-09	4.05003769452074e-09	0	0	3.46041890478997e-12	4.07038964273441e-09	0	0	4.60666956542435e-12	3.46041890478997e-12	0	3.38754095498446e-06	2.31787512351438e-12	3.38341612197074e-06	0	2.2828333488031e-09	4.83280951891041e-18	2.27738287082927e-09	2.27738287082927e-09	3.46041890478997e-12	0	2.59899025142755e-09	3.39330047753561e-06	3.39788133370705e-06	0	4.0693360056544e-09	0	2.27343887669189e-12	0	1.92345818852634e-15	3.46041890478997e-12	0	0.000101143945712637	6.81425754617726e-08	0.000101143945712637	0	0.000101426757811155	3.82763346707223e-14	2.31787512351438e-10	0.000101380982528287	6.85526268765354e-11	0	0	0	9.66561903782082e-17	0	1.14141667440155e-10	0	0	6.78222667609067e-11	0.10060416476956	6.78222667609067e-11	1.81929317599928e-07	2.0351948213672e-10	2.83502638616452e-07	0	1.53555652180812e-13	6.82031663007567e-11	6.8321486124878e-08	6.78660095507122e-08	1.69894066685353e-07	0	0	1.30602525197364e-10	0	3.83725075801486e-14
"Desmopsis_panamensis"	2.28509717984212e-10	5.19798050285509e-07	4.61257149579362e-10	1.32315656124371e-06	0.00101143945712637	1.00638225984074	9.6967273441342e-07	8.05957501209627e-07	0	4.61257149579362e-10	5.17199060034082e-07	8.05957501209627e-07	0	0	6.88623362053204e-10	8.10007538904148e-07	0	0	9.16727243519446e-10	6.88623362053204e-10	0	0.000674120650041908	4.61257149579362e-10	0.000673299808272177	0	4.54283836411818e-07	9.61729094263172e-16	4.53199191295024e-07	4.53199191295024e-07	6.88623362053204e-10	0	5.17199060034082e-07	0.000675266795029586	0.000676178385407703	0	8.09797865125226e-07	0	4.52414336461686e-10	0	3.82768179516742e-13	6.88623362053204e-10	0	0.0201276451968148	1.35603725168927e-05	0.0201276451968148	0	0.0201839248044199	7.61699059947375e-12	4.61257149579362e-08	0.020174815523129	1.36419727484305e-08	0	0	0	1.92345818852634e-14	0	2.27141918205909e-08	0	0	1.34966310854204e-08	0.0202287891425275	1.34966310854204e-08	3.62039342023857e-05	4.05003769452074e-08	5.64170250846739e-05	0	3.05575747839815e-11	1.35724300938506e-08	1.35959757388507e-05	1.35053359005917e-05	3.38089192703852e-05	0	0	2.59899025142755e-08	0	7.63612900844958e-12
"Doliocarpus_major"	1.22457401910717e-06	0.000482267083585586	0.000335827942271727	0.000480512433858594	1.62424243620338e-09	1.61612122402237e-06	1.00193187860642	6.56685690935434e-07	0	0.000335827942271727	0.000479855748167658	6.56685690935434e-07	0	0	0.000337046388292642	6.59985619030587e-07	0	0	0.00033751846468865	0.000337046388292642	0	0.000481048908677951	0.000335827942271727	1.72824336826835e-06	0	0.00112180393565798	5.15386598278292e-12	1.07476495728502e-06	1.07476495728502e-06	0.000337046388292642	0	0.000479855748167658	0.00160139978635467	5.39170672720765e-07	0	0.000339399867744018	0	5.654608679606e-07	0	2.0512386611476e-09	0.000337046388292642	0	3.23224244804473e-08	0.0334858474793906	3.23224244804473e-08	0	1.60942445807148e-05	4.0819133970239e-08	0.0335827942271727	3.21467303199873e-05	7.31067612548989e-05	0	0	0	1.03077319655659e-10	0	5.60901967828989e-05	0	0	5.6566644624003e-06	3.24848487240676e-08	5.6566644624003e-06	0.0335899023717361	3.29992809515293e-08	4.59679983654804e-05	0	1.12506154896217e-05	1.6963826038818e-05	3.22429487185505e-05	3.20279957270935e-05	2.69585336360383e-08	0	0	2.41133541792793e-05	0	4.09216959032964e-08
"Eugenia_coloradensis"	4.05257742518621e-07	1.73020878943899e-06	2.43540943900435e-07	0.00143851441067551	4.05003769452074e-09	4.02978750604813e-06	1.9700570728063e-06	1.00143679285293	0	2.43540943900435e-07	1.72155774549179e-06	0.00143679285293002	0	0	6.46770700625813e-07	0.00144401291751761	0	0	1.0526017702356e-06	6.46770700625813e-07	0	0.00144011991973959	2.43540943900435e-07	0.00143919696218428	0	4.98329991364255e-09	1.70560869399217e-12	2.77965665546996e-09	2.77965665546996e-09	6.46770700625813e-07	0	1.72155774549179e-06	4.14168841665023e-06	1.61357694881791e-06	0	0.00144305536031881	0	8.05552153767716e-07	0	6.78832260208883e-10	6.46770700625813e-07	0	8.05957501209627e-08	1.4875150242223e-07	8.05957501209627e-08	0	4.81652719222148e-05	1.35085914172874e-08	2.43540943900435e-05	7.21232776276678e-05	2.41937854035226e-05	0	0	0	3.41121738798434e-11	0	2.49164995682128e-10	0	0	2.40509226719802e-05	8.10007538904147e-08	2.40509226719802e-05	0.000120509042184425	7.22006458758805e-05	0.100575499705101	0	3.50867256745201e-08	2.41665646130315e-05	8.33896996640987e-08	8.28337683330047e-08	8.06788474408957e-08	0	0	8.65104394719494e-08	0	1.35425330302978e-08
"Eugenia_oerstedeana"	0	0	0	0	0	0	0	0	1.00504416015486	0	0	0	6.34489564623464e-06	0.00252526846720139	0	0	0	0	0	0	0	0	0	0	0.00252523658330367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000126897912924693	0	0	0	0	0.0505047316660733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050378471431103	0	0	0
"Flemingia_sp."	3.66738382819779e-06	4.85231763187672e-07	0.00100587864072016	7.26346548272168e-07	2.31787512351438e-12	2.30628574789681e-09	0.00100748382681518	2.43540943900435e-07	0	1.00100587864072	4.82805604371733e-07	2.43540943900435e-07	0	0	0.00100952767227147	2.44764767739131e-07	0	0	0.00101094115866663	0.00100952767227147	0	7.27157396663972e-07	0.00100587864072016	2.45024838238414e-07	0	1.1280205936136e-06	1.54349222366628e-11	1.0811900171971e-09	1.0811900171971e-09	0.00100952767227147	0	4.82805604371733e-07	1.61097312562368e-06	8.14923006837483e-10	0	0.00101484674979895	0	1.69271408424315e-06	0	6.14309905019179e-09	0.00100952767227147	0	4.61257149579362e-11	3.36714147193659e-05	4.61257149579362e-11	0	2.43254517540989e-08	1.22246127606593e-07	0.100587864072016	4.45168301393523e-08	0.00021894189307855	0	0	0	3.08698444733256e-10	0	5.64010296806798e-08	0	0	1.69141124966491e-05	4.63575024702876e-11	1.69141124966491e-05	3.37963923060213e-05	1.22382383869566e-08	1.70478660730305e-05	0	3.3698038622221e-05	5.07814225272944e-05	3.24357005159131e-08	3.22194625124737e-08	4.07461503418741e-11	0	0	2.42615881593836e-08	0	1.22553282559102e-07
