"Amelanchier_lamarckii"	"Cornus_sanguinea"	"Crataegus_monogyna"	"Crataegus_oxyacantha"	"Euonymus_europaea"	"Fragaria_vesca_dom."	"Frangula_alnus"	"Hedera_helix"	"Ligustrum_vulgare"	"Lonicera_xylosteum"	"Malus_domesticus"	"Prunus_avium"	"Prunus_avium_duralis"	"Prunus_domestica"	"Prunus_padus"	"Prunus_serotina"	"Prunus_spinosa"	"Rhamnus_cathartica"	"Ribes_rubrum"	"Rosa_canina"	"Rubus_fruticosus"	"Rubus_ideaus"	"Sambucus_nigra"	"Sambucus_racemosa"	"Sorbus_aria"	"Sorbus_aucuparia"	"Sorbus_torminalis"	"Taxus_baccata"	"Viburnum_lantana"	"Viburnum_opulus"	"Viscum_album"	"Carduelis_chloris"	"Coccothraustes_coccothraustes"	"Columba_palumbus"	"Corvus_corone_corone"	"Erithacus_rubecula"	"Ficedula_hypoleuca"	"Fringilla_coelebs"	"Garrulus_glandarius"	"Parus_caeruleus"	"Parus_major"	"Parus_montanus"	"Parus_palustris"	"Passer_domesticus"	"Passer_montanus"	"Phoenicurus_ochruros"	"Phoenicurus_phoenicurus"	"Phylloscopus_collybita"	"Pica_pica"	"Pyrrhula_pyrrhula"	"Sitta_europaea"	"Sturnus_vulgaris"	"Sylvia_atricapilla"	"Sylvia_borin"	"Sylvia_communis"	"Sylvia_curruca"	"Turdus_iliacus"	"Turdus_merula"	"Turdus_philomelos"	"Turdus_pilaris"	"Turdus_torquatus"	"Turdus_viscivorus"
"Amelanchier_lamarckii"	1.00302125111993	0.000374202376935017	0.000608633308359667	3.25615466688448e-05	3.37061721212776e-07	3.25615466688448e-05	0.000218021377605637	7.75355273438643e-05	0.000208390478297578	0.000147633225255964	0.000416880099865507	0.000339380802826045	3.02379737039597e-07	0.000104324132326518	0.000146918065690544	0.000147227907093172	0.000362049395855651	7.82843125698654e-05	0.000146918065690544	0.000417652397661208	4.43270775511788e-05	0.000147686945677402	0.00105835732358088	0.000218310182892805	3.32767062342646e-05	0.0010743362085528	3.28713880714727e-05	0.000268128581986766	0.000114356519021699	0.000182984912242846	4.5309127099857e-05	0.00838430346819055	0.00839161837374296	0.00836388210704214	8.19985439964771e-06	3.70767893334054e-05	1.2010479985261e-05	0.00837849276241182	1.81427842223758e-05	0.00840509820102463	2.48718418364268e-05	2.95373891354803e-06	2.8372271395432e-05	0.00835851042599938	0.00836439018890817	1.4653283741865e-05	5.87976290878264e-06	1.30405165408147e-06	9.5045929424788e-06	2.89746647899587e-05	1.30405165408147e-06	1.40796173084304e-05	0.00842214473472398	0.00840353297646241	1.42051828650947e-05	0.00836439018890816	1.77551699875414e-05	0.00846600213389966	4.95746244204612e-05	0.00840283688930147	3.35160727483458e-06	1.26841898519787e-05
"Cornus_sanguinea"	0.0004082207748382	1.0014363064447	0.000651052514361826	3.54834034911687e-05	8.33317331047268e-05	3.54834034911687e-05	0.000301848552667698	0.000224509982994141	0.000310027226982698	0.000272204190836562	0.000150275491071232	0.000503058637050707	5.02364167933136e-07	0.000479721475248716	8.42204568752217e-05	0.000141599431823911	0.000166509065401451	0.000142572069317759	8.42204568752217e-05	0.000357310771632075	4.83158714495561e-05	8.48577771606257e-05	0.00119612716772039	0.000605756281644802	0.000223467137452509	0.001137167091498	9.28623784398582e-05	0.000349353288726006	4.8737053384053e-05	0.000339338771721943	0.00010656883487616	2.17841928604982e-05	0.00913367399621389	9.08767524780834e-06	9.8779907662459e-06	0.00916649064151995	0.00911818352667692	1.49215479696443e-05	3.01418500759882e-05	0.00916599619908006	0.00913299660750684	1.69715554321251e-06	0.00914233313088558	3.40183979031834e-06	1.00469907220983e-05	0.00911629740861385	6.64515093177996e-06	5.99651844060895e-06	1.22541919215419e-05	3.7386025604171e-05	5.99651844060895e-06	1.65231416980259e-05	0.00918001557541566	5.05418321396303e-05	1.40281419324825e-05	1.00469907220983e-05	2.25630142116733e-05	0.00922568490770385	0.00918063599179032	0.00914357621181938	4.36691610907508e-06	1.6909127747225e-05
"Crataegus_monogyna"	0.000730359970031601	0.000716157765798008	1.00139329025727	3.90086633512173e-05	9.15900085040862e-05	3.90086633512173e-05	0.000421945491299396	0.000194059336555448	0.000484053411620071	0.000103210324229958	0.000499437951678447	0.000499857458353068	3.53551267103736e-07	0.000383608154241278	3.97162668234862e-05	0.000102774459111808	0.000183085692233853	0.000447404187483952	3.97162668234862e-05	0.000249814640319212	4.02472411822507e-07	4.01141604028705e-05	0.000794045165957322	0.000279157248207205	0.00010250272075769	0.000863262503240523	0.000102066855639539	0.000531957785322255	7.07603472268956e-07	0.000463555225421985	0.000264785839828869	2.15017948139787e-05	0.0100477638808601	1.04026455997993e-05	8.48179133581152e-06	0.0100749009354495	1.44113527793046e-05	0.0100366671673789	2.12130760262242e-05	0.0100750621077876	0.0100381316830133	8.0228320805741e-07	3.05105582705062e-05	6.08633308359667e-06	1.04976951166929e-05	1.52381996929171e-05	4.41136203309623e-06	4.79510192801598e-06	1.59385277938774e-05	0.010053552094969	4.79510192801598e-06	1.28931533689077e-05	7.64697582462762e-05	3.6615727253574e-05	9.52995775735626e-06	1.04976951166929e-05	0.0100390701193761	0.0101422524713165	0.0100893107661315	0.0100698972865012	6.64947231652819e-06	2.17509096480614e-05
"Crataegus_oxyacantha"	0.000390738560026138	0.000390317438402855	0.000390086633512173	1.00038562493272	4.62056466457248e-07	0.000385624932723538	0.000388809536635304	0.000387270679622984	0.000387619281805141	0.00038799487711846	0.000386887794945512	0.00039010325618338	2.85818042500422e-07	0.00038870622981037	0.000386769323805599	0.000387409607081224	0.000386752909128833	0.000388037201850078	0.000386769323805599	0.000387899419372206	5.43407157362454e-07	0.000387942130562222	0.000392372888631135	0.000388958412097702	0.0003868504860364	0.000393796574489089	0.000386265215999164	0.000388825864282311	1.14439108206037e-06	0.00038835504739333	1.78587021743596e-06	2.58748895644018e-05	3.367729163292e-05	5.22513753932993e-06	5.21984334064028e-06	5.08262113102973e-05	1.05901698816222e-05	2.00532808335233e-05	1.71490825500253e-05	5.37509813759071e-05	1.97077272787926e-05	7.75884261124444e-06	4.09689026065027e-05	3.25615466688448e-06	5.43600404816857e-06	7.6971726028464e-06	2.17984938128408e-06	4.85882787262962e-06	1.16871300381416e-05	3.42963769976105e-05	4.85882787262962e-06	7.39969272192436e-06	0.000103247359898866	7.21180709637502e-05	1.1907674864974e-05	5.43600404816857e-06	1.74529724728719e-05	0.10026248250812	0.000102445324100151	4.75535622018547e-05	4.86032330352889e-06	1.01248133996051e-05
"Euonymus_europaea"	4.04474065455331e-06	0.000916649064151995	0.000915900085040861	4.62056466457248e-07	1.00091100514014	4.62056466457248e-07	0.000914359548575977	0.000912456760769077	0.000913779049159449	2.16238627187154e-06	1.46671232891309e-06	4.75617410377572e-06	5.44712342395512e-07	0.000916049813399143	1.17614371263228e-06	1.73915849765734e-06	8.97245822658657e-07	2.83083911198649e-06	1.17614371263228e-06	2.3793476413983e-06	4.26549375613386e-07	1.50358784370138e-06	0.000919364410898038	0.000914797996258153	1.4482990256965e-06	0.000919091368806439	1.0250712514823e-06	2.85783947236005e-06	7.14087246175036e-07	0.00091408881898811	1.39489347246031e-06	4.70665816307006e-06	2.2226603148726e-05	4.62916301615348e-06	4.63509162823032e-06	0.100210565415618	2.48757283242443e-05	9.24159743349366e-06	3.26827405437307e-05	8.15753198372863e-05	3.86854685171456e-05	3.00717568740276e-08	2.96259441949941e-05	3.37061721212776e-08	5.14128623266593e-06	1.80362102150495e-05	5.10758006054465e-06	1.14506226674893e-05	4.68227228009677e-06	6.54818923052138e-05	1.14506226674893e-05	9.74267168877498e-06	8.10443813665433e-05	3.45045444673981e-05	9.73310866145087e-06	5.14128623266593e-06	1.43843568930357e-05	0.000120134681278884	9.00823656040084e-05	5.57282091738173e-05	3.57229934045007e-08	4.70568695844633e-06
"Fragaria_vesca_dom."	0.000390738560026138	0.000390317438402855	0.000390086633512173	0.000385624932723538	4.62056466457248e-07	1.00038562493272	0.000388809536635304	0.000387270679622984	0.000387619281805141	0.00038799487711846	0.000386887794945512	0.00039010325618338	2.85818042500422e-07	0.00038870622981037	0.000386769323805599	0.000387409607081224	0.000386752909128833	0.000388037201850078	0.000386769323805599	0.000387899419372206	5.43407157362454e-07	0.000387942130562222	0.000392372888631135	0.000388958412097702	0.0003868504860364	0.000393796574489089	0.000386265215999164	0.000388825864282311	1.14439108206037e-06	0.00038835504739333	1.78587021743596e-06	2.58748895644018e-05	3.367729163292e-05	5.22513753932993e-06	5.21984334064028e-06	5.08262113102973e-05	1.05901698816222e-05	2.00532808335233e-05	1.71490825500253e-05	5.37509813759071e-05	1.97077272787926e-05	7.75884261124444e-06	4.09689026065027e-05	3.25615466688448e-06	5.43600404816857e-06	7.6971726028464e-06	2.17984938128408e-06	4.85882787262962e-06	1.16871300381416e-05	3.42963769976105e-05	4.85882787262962e-06	7.39969272192436e-06	0.000103247359898866	7.21180709637502e-05	1.1907674864974e-05	5.43600404816857e-06	1.74529724728719e-05	0.10026248250812	0.000102445324100151	4.75535622018547e-05	4.86032330352889e-06	1.01248133996051e-05
"Frangula_alnus"	0.000373750933038234	0.000474333439906382	0.000602779273284852	5.55442195193291e-05	0.000130622792653711	5.55442195193291e-05	1.00079610503974	0.00035194863627526	0.000511129516388661	0.000341504406168475	5.64414748420093e-05	0.000463590722077658	3.93509752723673e-07	0.000307828000657347	0.000251122647613852	0.000341049539316636	5.62500077398673e-05	0.00042717797790966	0.000251122647613852	0.000176443273342983	7.58547323994366e-05	0.000252076770822051	0.000800942719977895	0.00059220588659388	0.000145925978073952	0.000801574560507775	0.000145471111222113	0.00034267707794211	0.000195578428094523	0.000557309908204773	0.000166710649809608	1.25263296360461e-05	2.74840985745922e-05	7.12246391119083e-06	7.87112881985269e-06	0.0143685071919082	1.61643775410456e-05	1.10237663362341e-05	2.36105851634204e-05	0.014352147874333	2.65085755195401e-05	5.04153541644102e-06	3.18406796287387e-05	3.11459110865195e-06	7.56427288630693e-06	1.2769676761161e-05	4.44968177765497e-06	3.84785000821683e-06	1.49907617850137e-05	0.0143382032839295	3.84785000821683e-06	1.23208105975077e-05	0.014412399155893	0.0143668434834104	1.34990899966349e-05	7.56427288630693e-06	2.60483371951811e-05	0.0144414970750256	0.0143883026724454	4.23837155844525e-05	4.28346347427637e-06	1.63223585393693e-05
"Hedera_helix"	0.000232606582031593	0.000617402453233888	0.00048514834138862	9.68176699057459e-05	0.000228114190192269	9.68176699057459e-05	0.000615910113481705	1.00061421968451	0.000326489406147399	0.000387199428650211	9.76214156709126e-05	0.00038985850050034	3.60516508084294e-07	0.000327477045295734	0.000229710272082673	0.000386707325712335	9.7457912104974e-05	0.000387690743357778	0.000229710272082673	9.85031830189407e-05	0.000132290770780187	0.000230543389339616	0.000620251906597734	0.000616208669555977	0.000254306826473284	0.000620840527111403	0.000253814723535408	0.000388441761474746	0.000132892602176927	0.000615309300142955	0.000290286898042377	1.02612515496982e-05	2.68597637339963e-05	5.04259081915363e-06	6.35302347305985e-06	0.0250925609211496	1.67612018698462e-05	1.00439187865132e-05	2.16309904850576e-05	5.61516497152282e-05	2.43565634535392e-05	4.61086778679231e-06	3.44472056513094e-05	1.93838818359661e-06	5.38423210913957e-06	1.21627961359535e-05	3.44584392554296e-06	4.09346306619668e-06	1.28145358623562e-05	4.34467013964945e-05	4.09346306619667e-06	9.79886739860281e-06	0.0251352464482356	7.22197676088268e-05	1.11609143478923e-05	5.38423210913957e-06	2.68715341982192e-05	0.0251725941754939	0.0251195285807459	3.75158777826331e-05	4.85552201843433e-06	1.84657179425536e-05
"Ligustrum_vulgare"	0.000500137147914188	0.000682059899361935	0.000968106823240141	7.75238563610282e-05	0.00018275580983189	7.75238563610282e-05	0.000715581322944126	0.000261191524917919	1.0009653076561	7.92720520906668e-05	0.000329331958996376	0.000248909857455123	3.61993843994477e-07	0.000430116567674547	7.82683153632365e-05	7.87780721865485e-05	7.85304157315211e-05	0.000366006787112922	7.82683153632365e-05	0.000496907024025968	4.02101901689053e-07	7.87737260892771e-05	0.000720382898972901	0.000429784132250836	7.85275930884584e-05	0.000971659295511949	7.80336131843402e-05	0.000247290835816536	7.44459002208366e-07	0.00079885042421203	1.62176410836124e-06	2.15819270484147e-05	3.26907835997834e-05	9.02610604351131e-06	6.93254528968577e-06	0.0201031390815079	1.55749734093055e-05	2.48266097648988e-05	2.17196306396686e-05	0.0200842908729712	3.21927423741891e-05	1.57547452178554e-06	3.45785932882763e-05	4.16780956595157e-06	8.16993678246768e-06	1.50609682337298e-05	4.00212721651611e-06	5.37645709593184e-06	1.30326584082345e-05	0.0200674845222316	5.37645709593184e-06	1.09346725062019e-05	7.639936132092e-05	4.10828520623176e-05	1.04358982158614e-05	8.16993678246768e-06	2.2914988117882e-05	0.0201562026538673	8.15610917299215e-05	0.0200784439181214	3.0911354477067e-06	1.00642248401015e-05
"Lonicera_xylosteum"	0.000354319740614312	0.000598849219840437	0.000206420648459917	7.75989754236921e-05	4.32477254374308e-07	7.75989754236921e-05	0.000478106168635865	0.000309759542920169	7.92720520906668e-05	1.00076334969142	7.82404583890412e-05	0.000480066293262619	3.7873100208766e-07	0.000366699426587291	0.000351108378984031	0.000476820412058594	7.83714639279804e-05	0.000310599212098657	0.000351108378984031	0.000365373264977562	0.000106016057167539	0.00035231853706911	0.000768876565137748	0.000478594572961488	0.000489840287854812	0.000769544622769687	0.000203311008498256	0.000311373717484767	0.000273509403560339	0.000310560458101396	0.000232591358054793	1.67202350494516e-05	2.48137839636455e-05	6.8003876189677e-06	7.84827555770359e-06	4.75724979811738e-05	1.56980524517373e-05	7.62488626935314e-06	2.27238601252596e-05	5.27621077647942e-05	2.42118451643626e-05	7.04637074138219e-06	0.0200570495549589	2.95266450511927e-06	7.22420097810676e-06	1.35633434035672e-05	4.27153647298749e-06	4.58374283234114e-06	1.30249290926812e-05	2.89516564066188e-05	4.58374283234114e-06	1.21198120306911e-05	0.0201430508618324	0.020099201567136	1.51656303282181e-05	7.22420097810676e-06	2.12193519124937e-05	0.0201757336101599	0.0201139252919302	3.09856071763207e-05	3.89217146855958e-06	1.7555230977633e-05
