"Symplocos_prunifolia"	"Cleyera_japonica"	"Eurya_japonica"	"Schefflera_octophylla"	"Myrsine_sguinii"	"Daphniphyllum_teijsmannii"	"Myrica_rubra"	"Ardisia_sieboldii"	"Litsea_acuminata"	"Vaccinium_bracteatum"	"Neolitsea_aciculata"	"Persea_thunbergii"	"Diospyros_morrisiana"	"Prunus_jamasakura"	"Taxillus_yadoriki"	"Hypsipetes_amaurotis"	"Turdus_pallidus"	"Sphenurus_formosae"	"Zosterops_japonica"	"Columba_janthina"	"Turdus_chrysolaus"	"Ficedula_narcissina"	"Turdus_dauma"
"Symplocos_prunifolia"	1.00355418163504	0.00104750389722374	0.00104367898432401	0.000709383720740571	0.000707304647669546	0.000970317978700693	0.000468779967361457	0.000371089351374479	0.000130326557635965	0.000240762793738514	0.000130326557635965	0.000130326557635965	0.000336374336654468	0.000130326557635965	0.000130326557635965	0.0169424524926755	0.016853395561696	0.0168187168327234	0.0168107648147534	8.31629228409817e-05	0.0167582469598741	0.0167259030272507	1.74583982870624e-05
"Cleyera_japonica"	0.00104750389722374	1.00313573476568	0.001043965098882	0.00112732795504984	0.000707451179526172	0.000552023159212943	0.000886744120055727	0.000371166152658553	0.000130353425176238	0.000240812727482316	0.000130353425176238	0.000130353425176238	0.000336513919355825	0.000130353425176238	0.000130353425176238	0.0169459452729109	0.0168568909237621	0.0168256959677912	0.0168142513433809	0.0167950710209466	3.58591702608272e-05	1.74583982870624e-05	0.0167189289127614
"Eurya_japonica"	0.00156551847648602	0.001565947648323	1.00156127405364	0.00106003998866946	0.00105797630673075	0.000198375994631033	0.000700038516149243	0.000554916510130177	0.000194677087304206	0.000360239422825971	0.000194677087304206	0.000194677087304206	0.000503297746906334	0.000194677087304206	0.000194677087304206	0.0253080213495468	0.025216759597818	0.0251648873453167	0.0251529898300288	8.25472775481289e-05	3.27045077624681e-05	2.60919746081003e-05	2.60991274720499e-05
"Schefflera_octophylla"	0.00106407558111086	0.00169099193257475	0.00106003998866946	1.0016861712439	0.00105803761988043	0.00082524209317348	0.000824982328822955	0.000555040800013001	0.000194846336016259	0.000360194463996742	0.000194846336016259	0.000194846336016259	2.00236878902328e-06	0.000194846336016259	0.000194846336016259	0.0253300236821136	0.025213612479772	0.000100118439451164	0.0251498409933716	0.0251253449607069	4.52426627909636e-05	1.77345930185143e-05	2.81831988762459e-05
"Myrsine_sguinii"	0.00141460929533909	0.00141490235905234	0.001410635075641	0.00141071682650724	1.00140880771369	0.000262617875844173	0.000262828700251662	0.000738847995382658	0.000259092225492065	0.000479755769890594	0.000259092225492065	0.000259092225492065	1.82736194667878e-06	0.000259092225492065	0.000259092225492065	0.0336819893139684	0.0335829038923416	9.1368097333939e-05	0.0334979859155834	7.6364512516748e-05	3.23307507837906e-05	2.35768215889849e-05	2.35817059842057e-05
"Daphniphyllum_teijsmannii"	0.00194063595740139	0.00110404631842589	0.00026450132617471	0.00110032279089797	0.000262617875844173	1.0027698247999	0.0010988080122699	0.000260745491109798	0.00025921964688556	1.52584422423797e-06	0.00025921964688556	0.00025921964688556	1.88345033053745e-06	0.00025921964688556	0.00025921964688556	0.0336985540951228	0.000106809095696658	9.41725165268726e-05	9.36192367187441e-05	0.033508196602152	0.0334580047592868	3.23439326233564e-05	1.84007719737648e-05
"Myrica_rubra"	0.000937559934722915	0.00177348824011145	0.000933384688198991	0.00109997643843061	0.000262828700251662	0.0010988080122699	1.00176675135358	0.000260733117829901	0.000259047627458234	1.68549037166709e-06	0.000259047627458234	0.000259047627458234	0.000670555987947329	0.000259047627458234	0.000259047627458234	0.0336761915695705	0.000117984326016697	0.0335277993973664	0.000104779121088035	0.0334859095271578	5.22529326543785e-05	1.56259989120486e-05	2.95581373351909e-05
"Ardisia_sieboldii"	0.00111326805412344	0.00111349845797566	0.00110983302026035	0.001110081600026	0.00110827199307399	0.000391118236664697	0.000391099676744852	1.00110568093226	0.000387729042606472	0.000717951889657957	0.000387729042606472	0.000387729042606472	1.56102718636584e-06	0.000387729042606472	0.000387729042606472	0.0504047755388414	0.050256632276057	7.80513593182921e-05	0.000129553040477943	7.23842780805627e-05	3.15917421242138e-05	1.85544675687239e-05	1.85583076329277e-05
"Litsea_acuminata"	0.000781959345815792	0.000782120551057428	0.000778708349216824	0.000779385344065034	0.000777276676476194	0.00077765894065668	0.000777142882374703	0.000775458085212944	1.00077360254205	1.85554316771274e-06	0.000773602542045232	0.000773602542045232	1.43167274063055e-06	0.000773602542045232	0.000773602542045232	0.10056833046588	0.000129888021739892	7.15836370315274e-05	9.09295631624732e-05	8.43467035536291e-05	3.89546204521525e-05	1.30326557635965e-05	1.30353425176238e-05
"Vaccinium_bracteatum"	0.00144457676243108	0.00144487636489389	0.00144095769130388	0.00144077785598697	0.00143926730967178	4.5775326727139e-06	5.05647111500128e-06	0.00143590377931591	1.85554316771274e-06	1.00143404823615	1.85554316771274e-06	1.85554316771274e-06	1.69038163210114e-06	1.85554316771274e-06	1.85554316771274e-06	0.000241220611802656	0.100383376530374	8.45190816050568e-05	0.000168176517793414	6.04218526074963e-05	2.42288637962751e-05	2.40762793738514e-05	2.40812727482316e-05
