"Echium_wildpretii"	"Pimpinella_cumbrae"	"Pterocephalus_lasiospermus"	"Mentha_longifolia"	"Erysimum_scoparium"	"Spartocytisus_supranubius"	"Tolpis_webbii"	"Argyranthemum_teneriffae"	"Scrophularia_glabrata"	"Nepeta_teydea"	"Adenocarpus_viscosus"	"Anastoechus_latifrons"	"Anthophora_alluaudi"	"Apis_mellifera"	"Euodynerus_reflexus"	"Geron_hesperidon"	"Eristalis_tenax"	"Megachile_canariensis"	"Anthrax_anthrax"	"Eucera_gracilipes"	"Hyleaus_canariensis"	"Lasioglossum_viride"	"Linnaemyia_soror"	"Cephalodromia_sp1_M_PL_008"	"Cyclyrius_webbianus"	"Estheria_simonyi"	"Lasioglossum_actifrons"	"Melecta_curvispina"	"Osmia_canariensis"	"Andrena_wollestoni"	"Colletes_dimidiatus"	"Gasteruption_sp1_M_PL_008"	"Lucilia_sericata"	"Macroglossum_stellatarum"	"Scaeva_albomaculata"	"Stomorhina_lunata"	"Unidentified_sp1_M_PL_008"	"Anthidium_manicatum"	"Bibio_elmoi"	"Dermasothes_gracile"	"Drosophila_sp1_M_PL_008"	"Lasioglossum_chalcodes"	"Leptochilus_eatoni"	"Nyctia_lugubris"	"Peleteria_ruficornis"	"Phylloscopus_collybita"	"Serinus_canarius"	"Tachina_canariensis"	"Tachysphex_unicolor"
"Echium_wildpretii"	1.00408919557368	0.000770143525272209	0.00106832187853444	0.000816064001041268	0.00100097246529877	0.000674946033095999	0.000460297378797966	0.00051554734323181	0.000375814833126549	0.000328511722396652	1.19534653472854e-06	0.00561573725600725	0.00561452198488371	0.00561627929155103	3.74936939035465e-05	3.63200670023434e-05	0.00560395945506112	0.00560916702155933	0.00559677398781452	0.00560235266821132	0.00559702745152589	0.00559677398781452	0.00559793982931136	1.86197044616591e-05	2.44411285559585e-05	0.00559270471264564	1.76703418529056e-05	0.00559591390395661	1.77003625406844e-05	1.32531176027079e-05	1.42999337097439e-05	1.31318957414761e-05	1.4995832607129e-05	0.00558828303339565	1.29996538913395e-05	0.00558507384208467	0.00558563827078883	6.57023444793303e-06	6.80053334201057e-06	5.50102518051578e-06	7.36496204616872e-06	0.00557827330874267	5.50102518051578e-06	5.50102518051578e-06	6.80053334201057e-06	0.00557827330874267	0.00557827330874267	6.80053334201057e-06	5.36878333037927e-06
"Pimpinella_cumbrae"	0.000990184532492841	1.0042141665302	0.00110831416888717	0.000688119944440755	0.000244266473935438	0.000423304779784767	0.000805778735022934	0.000662352314006758	0.000722033671995315	0.000121794375036745	0.000120694575204881	3.30717278282102e-05	3.11320634757879e-05	0.00720298411441265	0.0072062189401023	0.00720888666573812	0.00720218245437499	3.06358403274753e-05	0.00719669065405967	1.5082963862658e-05	0.00719323497816895	0.00719669065405967	0.00719365586632382	0.00719249274246076	1.60935273874595e-05	1.91518878286209e-05	0.00718900743197172	1.58602196976357e-05	1.63939232773639e-05	1.47756206298396e-05	1.04377193123926e-05	0.00718087486213636	1.73787056921478e-05	7.94368991987016e-06	1.82312965205557e-05	1.12353580508554e-05	1.4963201094898e-05	2.43588750073489e-06	5.73433287033962e-06	0.00717295833235859	9.46217591438226e-06	5.50102518051578e-06	0.00717295833235859	0.00717295833235859	5.73433287033962e-06	5.50102518051578e-06	5.50102518051578e-06	5.73433287033962e-06	1.03147667427902e-05
"Pterocephalus_lasiospermus"	0.00137355670097285	0.00110831416888717	1.00304161179613	0.000628014111303541	0.0012253361057252	0.000387629482323001	0.000530607038998003	0.000602225832066291	0.000721395535191425	0.000122191321873124	0.00036012800754072	0.0071978505816921	4.21741537339723e-05	0.0072052939232173	3.68390398810005e-05	0.00721799504677282	0.00719199638065465	0.00719540675525465	0.00719043599224239	2.66350523037081e-05	2.64869825742342e-05	0.00719043599224238	2.93840774386309e-05	2.31523439376161e-05	0.0071820697533857	0.00717744726288941	2.34556312080297e-05	0.00718446717301913	0.00719484270283521	1.09395822355084e-05	9.54044517556285e-06	0.00717249947117869	0.0071731861675733	1.98842316182123e-05	0.00717488859190365	1.28643214884898e-05	1.62340967333359e-05	2.44382643746247e-06	5.23345092752951e-06	7.91652977776551e-06	8.60322617237558e-06	7.63087056096028e-06	7.91652977776551e-06	7.9165297777655e-06	5.23345092752951e-06	7.63087056096028e-06	7.63087056096028e-06	5.23345092752951e-06	1.03056505027347e-05
"Mentha_longifolia"	0.0012240960015619	0.000802806601847547	0.000732683129854131	1.00484659128585	0.00042360290630986	0.000702730491945185	0.000311089241933323	0.000212279024884917	0.000562524833561015	0.000281920468875408	6.86114383705036e-07	3.36051548114821e-05	0.00840624075145943	3.2845020278503e-05	0.00840482713744884	2.21592916026755e-05	0.00839537852671282	2.79667454339739e-05	2.58043861907514e-05	2.4483088359786e-05	2.42315983136855e-05	2.58043861907514e-05	0.00838928901775948	1.26555058928621e-05	0.0083831910740394	0.00838575557831832	0.00838749199596998	1.62700133326387e-05	9.50378570981336e-06	1.16967321013353e-05	0.00838152971062594	1.09677837978691e-05	8.26600842588547e-06	1.10365624051092e-05	1.32695199784012e-05	0.00838052212739078	9.83309084036652e-06	5.63840937750816e-06	0.00837372159404878	5.73433287033962e-06	3.03255749835596e-06	6.80053334201057e-06	5.73433287033962e-06	5.73433287033962e-06	0.00837372159404878	6.80053334201057e-06	6.80053334201057e-06	0.00837372159404878	8.03606905087165e-06
"Erysimum_scoparium"	0.00180175043753778	0.000341973063509613	0.00171547054801528	0.000508323487571832	1.00263123392069	0.000959285383248188	0.000540684029180362	0.00033882575882352	0.000171036697515338	0.000589005911358264	0.00050342086355689	0.0100777728199896	0.0100654403190238	0.0100665171841202	3.83194702679845e-05	0.0100777783265293	3.57003298774472e-05	0.0100659927017625	2.71491318426703e-05	0.0100587609085676	2.9869666237632e-05	2.71491318426703e-05	2.15287864386338e-05	1.4041583087302e-05	0.0100428017293273	2.64991147733383e-05	9.12207519552923e-06	0.0100485754249172	0.010063736743442	1.741727684529e-05	1.4894755543634e-05	1.46960257966064e-05	1.70937290404452e-05	0.0100363220638599	1.46967424503283e-05	1.42457537160862e-05	1.48500926361808e-05	1.17801182271653e-05	4.2360290630986e-06	2.44266473935438e-06	4.84036798319314e-06	1.00097246529877e-05	2.44266473935438e-06	2.44266473935438e-06	4.2360290630986e-06	1.00097246529877e-05	1.00097246529877e-05	4.2360290630986e-06	2.44338139307626e-06
"Spartocytisus_supranubius"	0.001349892066192	0.000658474101887415	0.000602979194724668	0.000936973989260246	0.00106587264805354	1.00264343739623	0.00143635069934881	0.000189390534102952	0.000375739718904873	0.000840725808925383	1.17394338225953e-06	0.0111977166587525	0.0111886311076099	0.0111703567243328	0.0111931307509455	4.03877671402085e-05	4.22722813768485e-05	0.011180902142574	2.18774913278893e-05	0.0111754552807626	0.0111706398082875	2.18774913278893e-05	2.27164824455686e-05	2.53633492425267e-05	2.27738373057375e-05	1.96145111929354e-05	1.78792132892913e-05	2.24651210963021e-05	1.50244178976817e-05	0.0111584370214777	0.011148290754313	9.01038069008632e-06	7.01257330664695e-06	1.81581268482687e-05	9.67470451810296e-06	1.5307516944902e-05	1.02049794263469e-05	1.68145161785077e-05	7.80811657716872e-06	4.70338644205297e-06	2.7055790586136e-06	7.49940036773331e-06	4.70338644205297e-06	4.70338644205297e-06	7.80811657716872e-06	7.49940036773332e-06	7.49940036773332e-06	7.80811657716872e-06	5.36771027006961e-06
"Tolpis_webbii"	0.00103566910229542	0.00141011278629014	0.000928562318246505	0.000466633862899985	0.000675855036475453	0.00161589453676742	1.00249118954666	0.000631990761437994	0.00021296924677422	0.000421766755158883	0.00021036614800379	0.0125766744437655	4.58330197799938e-05	5.61999129659652e-05	0.0125745328557013	0.0125741499887226	0.0125574870242676	0.0125682391086623	2.55009572212966e-05	3.8901986444767e-05	0.0125649202044979	2.55009572212966e-05	2.8743006396042e-05	0.0125502405429702	1.72797538763961e-05	1.62749207466162e-05	1.70032675230135e-05	1.91448555872042e-05	2.39094457524191e-05	0.0125490942530751	2.18429992660267e-05	1.67048221752617e-05	1.56610274365892e-05	1.25122675997291e-05	9.67500579853532e-06	9.64233275914111e-06	1.47821566840888e-05	8.43533510317767e-06	3.88861552416654e-06	1.00722341877867e-05	9.0284394491142e-06	5.75371723497458e-06	1.00722341877867e-05	1.00722341877867e-05	3.88861552416654e-06	5.75371723497458e-06	5.75371723497458e-06	3.88861552416654e-06	3.04241781106028e-06
"Argyranthemum_teneriffae"	0.00132569316831037	0.00132470462801352	0.00120445166413258	0.000363906899802715	0.000484036798319314	0.000243502115275224	0.000722275155929135	1.00418730744054	2.83291637048981e-06	1.62505598454514e-06	0.000240674258333608	3.25750758291561e-05	1.80164379398865e-05	0.014378509274611	2.4301723274021e-05	0.014389500885872	3.74913610803967e-05	3.25425747094653e-05	2.54708343667907e-05	1.49434102076664e-05	2.85611564682788e-05	2.54708343667907e-05	0.0143653926588952	0.0143640235787998	1.64761516539247e-05	1.90007457169003e-05	1.25352036466023e-05	2.08085562017374e-05	2.54773070722491e-05	1.17340185077278e-05	5.73813655696955e-06	1.80654020867578e-05	0.0143541361896086	1.22053300293619e-05	8.64369640623972e-06	1.03975195445247e-05	0.0143528979254824	3.25011196909029e-08	3.03255749835596e-06	9.46217591438226e-06	0.0143455329634363	7.36496204616872e-06	9.46217591438225e-06	9.46217591438225e-06	3.03255749835596e-06	7.36496204616872e-06	7.36496204616872e-06	3.03255749835596e-06	4.04702338641401e-08
"Scrophularia_glabrata"	0.000966380999468268	0.00144406734399063	0.00144279107038285	0.000964328286104598	0.000244338139307626	0.000483093924306266	0.000243393424884823	2.83291637048981e-06	1.00382765223998	0.000481268853114505	8.62903098999956e-07	3.61533203696102e-05	0.0143712363531064	3.38407624729141e-05	0.0143767813729368	2.61898318384755e-05	3.70676874378361e-05	2.65279433073201e-05	0.0143663842325756	2.28052520558152e-05	2.40936781542994e-05	0.0143663842325756	2.37600893579053e-05	1.33976547877146e-05	2.07851009466826e-05	2.37105028839856e-05	0.0143587458677934	1.81178152261902e-05	1.27921770507609e-05	8.4101280811299e-06	1.34037793209413e-05	2.06204172455249e-05	1.03461207365988e-05	7.81216472345553e-06	0.0143507006825025	1.34048523812509e-05	5.40925356424341e-06	9.6253770622901e-06	8.03606905087165e-06	1.03147667427902e-05	4.04702338641401e-08	5.36878333037927e-06	1.03147667427902e-05	1.03147667427902e-05	8.03606905087165e-06	5.36878333037927e-06	5.36878333037927e-06	8.03606905087165e-06	0.0143403950319997
"Nepeta_teydea"	0.00118264220062795	0.000341024250102885	0.000342135701244746	0.000676609125300979	0.00117801182271653	0.00151330645606569	0.000674826808254214	2.2750783783632e-06	0.000673776394360307	1.00351550710009	8.95163871637205e-07	0.020116354172396	0.0201207387972951	4.00770839114942e-05	0.020113259667224	2.51724265818131e-05	2.55236928668162e-05	4.60440303942461e-05	2.10753254484205e-05	0.0201054750108553	3.42559732303533e-05	2.10753254484205e-05	1.4677032445867e-05	1.09037237236035e-05	1.98623540421359e-05	1.46524702629037e-05	1.76996739405331e-05	2.07941791125608e-05	1.42687028582096e-05	2.52498512816853e-05	2.24529255560158e-05	4.87971393819737e-06	2.47632755715338e-06	1.83503526750983e-05	1.20692034997526e-05	1.22086438254412e-05	6.60273556762393e-06	0.0200703101420017	5.63840937750816e-06	2.4358875007349e-06	3.25011196909029e-08	6.57023444793303e-06	2.4358875007349e-06	2.4358875007349e-06	5.63840937750816e-06	6.57023444793303e-06	6.57023444793303e-06	5.63840937750816e-06	9.6253770622901e-06
