"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"R25"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"
"R1"	1.0008581508977	0.000568741101299934	0.000683438093660678	0.000581464603451069	0.000280259845739461	0.000498093669015312	0.000660406600981562	0.000660406600981562	0.000699881211380966	0.000683108041349338	0.000690006084906063	0.000858150897696112	0.000289614985883518	0.000766498282385058	0.000683438093660678	3.30052311340257e-07	6.16442954382858e-05	4.42327985770818e-05	0.000312640056333247	4.39027462657415e-05	4.39027462657415e-05	4.39027462657415e-05	4.42327985770818e-05	4.42327985770818e-05	3.30052311340257e-07	0.00921957671580572	0.00918701982523038	0.00914935520395236	0.00917150923316598	0.00918618493541001	0.00917938102384969	0.00918704775812642	2.97047080206231e-05	0.00916499709246347	0.00919713646904182	0.0091729265139292	0.00916526153110536
"R2"	0.000782019014287408	1.00078000041741	0.000781107014154596	0.000558618830225403	0.00014548161939066	0.00044421471278953	0.000666907458531559	0.000666907458531559	0.000721149850491821	0.000780724236443723	0.000551294553462685	0.000782019014287408	0.000158327366546667	0.000781378005798135	0.000781107014154596	3.82777710873726e-07	8.44242744961102e-05	6.05281224726111e-05	0.000272543302883577	6.01453447617373e-05	6.01453447617373e-05	6.01453447617373e-05	6.05281224726111e-05	6.05281224726111e-05	3.82777710873726e-07	0.0126305223999648	0.0125953417123618	5.7905522707981e-05	0.01258265103942	0.0125974712051651	0.0125922407685374	0.0125983662635759	3.44499939786354e-05	0.0125789121086912	0.0126062245177855	7.19146289853481e-05	6.41008489273667e-05
"R3"	0.000751781903026746	0.000624885611323677	1.00086268264437	0.000447680116583293	0.000116736224039735	0.000355975921579933	0.000534349983781103	0.000534349983781103	0.000577732383657348	0.000750662899727438	0.00056702342141066	0.000751781903026746	0.000126986930385706	0.00075123153137146	0.000862682644371677	0.000112019744644239	0.000179364734419029	0.000160291975609876	0.000455369155137758	4.82722309656373e-05	4.82722309656373e-05	4.82722309656373e-05	0.000160291975609876	0.000160291975609876	0.000112019744644239	0.0101371685027838	0.0100874404956989	0.0100621830723009	0.010082009392607	0.010093883836691	0.0100835615636587	0.0100898618238966	0.0100817770179815	0.0100728801918931	0.0101017484662185	6.25494808423647e-05	5.50371655286501e-05
"R4"	0.00079951382974522	0.000558618830225403	0.000559600145729116	1.000797461924	0.000384481429603367	0.000586975585678704	0.000684529539974678	0.000684529539974678	0.000738691321698304	0.000559266794351612	0.000693927714581588	0.00079951382974522	0.000301134701937644	0.000673702225597406	0.000559600145729116	3.33351377504784e-07	8.43932016665547e-05	6.05078952982126e-05	0.000272355320364383	6.01745439207078e-05	6.01745439207078e-05	6.01745439207078e-05	6.05078952982126e-05	6.05078952982126e-05	3.33351377504784e-07	0.0126366542233486	9.27059410325749e-05	5.18371300967119e-05	0.0125769958208767	0.0125922075884317	0.0125874355395943	0.0125951458475341	3.00016239754306e-05	6.90819000346426e-05	0.0126089775433575	0.0125878974370374	0.0125811604147814
"R5"	0.000770714575783517	0.000290963238781319	0.000291840560099338	0.000768962859206733	1.0007665312888	0.000768526810364764	0.000769680505359466	0.000769680505359466	0.000650372458745128	0.000291454145674835	0.000769511686959062	0.000770714575783517	0.000599809924169728	0.000519698145638285	0.000291840560099338	3.8641442450343e-07	0.000167806062971884	0.000120237624569376	0.000121862864221034	0.000119851210144873	0.000119851210144873	0.000119851210144873	0.000120237624569376	0.000120237624569376	3.8641442450343e-07	0.0251687541304232	9.07769091025565e-05	3.92725514812511e-05	5.97479883588254e-05	7.68519995890358e-05	7.68435668832968e-05	8.53936967383974e-05	3.47772982053087e-05	5.62525767094302e-05	0.025112947282107	0.0251068399959795	0.0251016430145231
"R6"	0.000782718622738347	0.000507673957473749	0.000508537030828476	0.000670829240775661	0.000439158177351294	1.00078019993672	0.000781536423999949	0.000781536423999949	0.000713451266107128	0.000508239132920884	0.000662260121130613	0.000782718622738347	0.000453825082842907	0.000638974079218686	0.000508537030828476	2.97897907592529e-07	9.62744042573389e-05	6.90000790916767e-05	7.08379704310581e-05	6.87021811840842e-05	6.87021811840842e-05	6.87021811840842e-05	6.90000790916767e-05	6.90000790916767e-05	2.97897907592529e-07	0.0144274580486577	0.0143836435393767	4.52140357707682e-05	6.7872562038965e-05	8.52400381278527e-05	0.014373324832025	0.0143806832778153	2.68108116833276e-05	6.80794674191957e-05	0.014396475952462	0.0143808440927583	0.0143744543519661
"R7"	0.000807163623421909	0.00059280662980583	0.000593722204201226	0.000608470702199714	0.000342080224604207	0.000607861663111071	1.0008058799169	0.000805879916895249	0.000753001312000088	0.000593426761753399	0.000601971514291499	0.000807163623421909	0.000353502905536355	0.000695239326325372	0.000593722204201226	2.95442447826699e-07	7.5096625909272e-05	5.38376219220787e-05	0.000141290657351884	5.3542179474252e-05	5.3542179474252e-05	5.3542179474252e-05	5.38376219220787e-05	5.38376219220787e-05	2.95442447826699e-07	0.0112438576895929	0.0112091023711671	4.96105558055162e-05	7.29932037000309e-05	0.0112020127574088	0.0112011821099252	0.0112078706823062	2.65898203044029e-05	0.0111848924881033	0.0112201775192168	0.011199382102917	0.0111924297096537
"R8"	0.000807163623421909	0.00059280662980583	0.000593722204201226	0.000608470702199714	0.000342080224604207	0.000607861663111071	0.000805879916895249	1.0008058799169	0.000753001312000088	0.000593426761753399	0.000601971514291499	0.000807163623421909	0.000353502905536355	0.000695239326325372	0.000593722204201226	2.95442447826699e-07	7.5096625909272e-05	5.38376219220787e-05	0.000141290657351884	5.3542179474252e-05	5.3542179474252e-05	5.3542179474252e-05	5.38376219220787e-05	5.38376219220787e-05	2.95442447826699e-07	0.0112438576895929	0.0112091023711671	4.96105558055162e-05	7.29932037000309e-05	0.0112020127574088	0.0112011821099252	0.0112078706823062	2.65898203044029e-05	0.0111848924881033	0.0112201775192168	0.011199382102917	0.0111924297096537
"R9"	0.000855410369465625	0.000641022089326063	0.000641924870730386	0.00065661450817627	0.000289054426108946	0.000554906540305544	0.000753001312000088	0.000753001312000088	1.00085421264487	0.00064169668669985	0.000650156988966294	0.000855410369465625	0.000300475025077981	0.000743500511850783	0.000641924870730386	2.28184030536035e-07	7.5045800148535e-05	7.51311255708801e-07	0.000189372091587256	5.23127225172767e-07	5.23127225172767e-07	5.23127225172767e-07	7.51311255708801e-07	7.51311255708801e-07	2.28184030536035e-07	0.000109856717286281	0.0112109679613144	5.39677899029504e-05	0.0111907906100925	0.0112075239725814	0.0112044398004956	0.0112116637670397	2.05365627482431e-05	0.0111883048828533	0.0112226424176998	0.0111984207666026	0.0111909857614841
"R10"	0.000834909828315858	0.000693977099061087	0.000834069888586042	0.000497126039423655	0.000129535175855482	0.000395297103382909	0.000593426761753399	0.000593426761753399	0.00064169668669985	1.0008336671968	0.000629668857851071	0.000834909828315858	0.000140963660748329	0.000834298654598037	0.000834069888586042	4.02691790987983e-07	7.51721922436274e-05	5.39257356730276e-05	0.000381642754793227	5.35230438820396e-05	5.35230438820396e-05	5.35230438820396e-05	5.39257356730276e-05	5.39257356730276e-05	4.02691790987983e-07	0.0112398392152283	0.0112057380949133	0.0111752078187174	0.011197226571134	0.0112104138325063	0.0112014317582446	0.0112084280788873	3.62422611889185e-05	0.0111895705812749	0.0112154250678959	6.94603583280633e-05	6.1117371782083e-05
