"Ilex_anomala"	"Cheirodendron_platyphyllum"	"Cheirodendron_trigynum"	"Dubautia_paleata"	"Dubautia_raillardioides"	"Clermontia_faurieri"	"Dryopteris"	"Elaphoglossum"	"Elaeocarpus_bifidus"	"Styphelia_tameiameiae"	"Vaccinium_calycinum"	"Vaccinium_dentatum"	"Dicranopteris_linearis"	"Scaevola_glabra"	"Broussaisia_arguta"	"Myrsine_wawraea"	"Metrosideros_polymorpha"	"Peperomia_hesperomannii"	"Coprosma_kauensis"	"Hedyotis_terminalis"	"Psychotria"	"Coprosoma_elliptica"	"Melicope_clusiifolia"	"Wilkstroemia_oahuensis"	"Hedychium_gardinerianum"	"Rubus_argutus"	"Croesia_zimmermani"	"Schreckensteinia_festaliella"	"Scotorythra_apicalis"	"Spheterista_pleonectes"	"Udea_ommatias"	"Leaf_miner_sp._3"	"Thyrocopa_complex"	"Amakua_omaomao"	"Carposina_sp._3"	"Haliophyle_euclidias"	"Scotorythra_hecataea"	"Eupithecia_orichloris"	"Udea_pyranthes"	"Eupithecia_rhodopyra"	"Udea_constricta"	"Carposina_graminis"	"Eccoptocera_sp._1"	"Eupithecia_monticolans"	"Scotorythra_complex"	"Unkn_code"	"Leaf_miner_sp._4"	"Fletcherana_leucoxyla"	"Hyles_calida"	"Paralopostega_sp._1"	"Agrotis_hephaestaea"
"Ilex_anomala"	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cheirodendron_platyphyllum"	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cheirodendron_trigynum"	0	0	1.00196988952471	0.000299643920725029	0.00197805634581023	0.00029841165150096	7.46655517609456e-07	0.000297168896008564	0.000296422240490954	0.000298055786865607	0.000298662072414898	0.000296422240490954	0.00168217925218096	0.000297911799488396	0.000296422240490954	6.40027085100535e-07	0.000298555177080626	0.000297062267576055	3.02584622496151e-07	0	6.40027085100535e-07	0.00030107169938367	0.000297911799488396	0	0.000296422240490954	0.00029841165150096	9.94705505003201e-06	9.94705505003201e-06	0	0	6.44336046815072e-05	4.94514086452557e-05	0.0502040185266202	9.94705505003201e-06	9.94705505003201e-06	1.49331103521891e-05	9.93519289552022e-06	7.46655181037245e-06	7.46655181037245e-06	5.60726417393654e-05	1.48955899744198e-05	7.46387942701564e-06	1.49304312373881e-05	3.84016251060321e-05	0.0503917808834622	6.20940757270388e-05	0	6.05169244992302e-06	6.0214339876734e-06	1.48955899744198e-05	0
"Dubautia_paleata"	0	0	0.000299643920725029	1.0028073331749	0.00281722685436616	0.000298785209796945	7.47590197476823e-07	0.000297540898595776	0.000296793308398299	0.00029842795365374	0.000299035943002841	0.000296793308398299	3.16507219534229e-06	0.000298284732058592	0.000296793308398299	6.39885409928408e-07	0.000298927968619303	0.000297433193808227	3.00135183552775e-07	0	6.39885409928408e-07	0.000298634507635011	0.000298284732058592	0	0.000296793308398299	0.000298785209796945	9.9595069932315e-06	9.9595069932315e-06	0	0	0.0502107973301043	7.0430671359154e-05	8.55183698019169e-05	9.9595069932315e-06	9.9595069932315e-06	1.49518039495365e-05	9.94759845512466e-06	7.47589857507102e-06	7.47589857507102e-06	1.0550240651141e-07	1.49142366029296e-05	7.47319921548258e-06	1.49490977905536e-05	3.83931245957045e-05	0.0504548624277108	6.07819255921162e-06	0	6.00270367105549e-06	5.97269015270021e-06	1.49142366029296e-05	0
"Dubautia_raillardioides"	0	0	0.000989028172905114	0.00140861342718308	1.00476040121101	0.000150142341041633	3.75671012849761e-07	0.000149517063114205	0.000149141392101355	0.000149963290715052	0.000150268337401458	0.000149141392101355	0.000844259555764844	0.00014989084633302	0.000149141392101355	3.22020977980103e-07	0.000150214553075119	0.000149463413079335	1.52238374130506e-07	0	3.22020977980103e-07	0.000151477182259853	0.00014989084633302	0	0.000149141392101355	0.000150142341041633	5.00474470138775e-06	5.00474470138775e-06	0	0	0.0251894407016345	0.0251190100302754	0.0251966034241128	5.00474470138775e-06	5.00474470138775e-06	7.51342025699521e-06	4.9987763571684e-06	3.75670843503645e-06	3.75670843503645e-06	2.81419851921615e-05	7.494542316651e-06	3.75536382687797e-06	7.51207226191442e-06	1.93212586788062e-05	0.0253540366572303	3.11715288373585e-05	0	3.04476748261012e-06	3.02954364519706e-06	7.494542316651e-06	0
"Clermontia_faurieri"	0	0	0.00019894110100064	0.00019919013986463	0.00020018978805551	1.00691118314827	4.99853721108058e-07	0.000198941781001007	0.000198441927279899	0.000199534882914643	0.000199941397518007	0.000198441927279899	7.02356124457599e-07	0.000199439122894371	0.000198441927279899	4.27839358361501e-07	0.000199869202896018	0.000198869766638261	2.0067399305944e-07	0	4.27839358361501e-07	0.000199670623094143	0.000199439122894371	0	0.000198441927279899	0.0001997737522952	6.65912507650668e-06	6.65912507650668e-06	0	0	1.49642516946193e-05	5.00474470138775e-06	1.4975211622235e-05	0.0335637061049423	0.0335637061049423	9.99707442216117e-06	6.65116276382143e-06	4.99853493795017e-06	4.99853493795017e-06	2.34118708152533e-08	9.97195614471855e-06	4.99673007240046e-06	9.99526501035063e-06	2.56703615016901e-05	0.0337351276375829	4.01682433269812e-06	0	4.01347986118881e-06	3.99341246188287e-06	9.97195614471855e-06	0
"Dryopteris"	0	0	1.49331103521891e-06	1.49518039495365e-06	1.50268405139904e-06	1.49956116332418e-06	1.00503778712737	0.00503927669145436	1.48956408890201e-06	1.49776813875475e-06	1.50081955819562e-06	1.48956408890201e-06	5.27209383094117e-09	1.49704933557991e-06	1.48956408890201e-06	3.21148939021983e-09	1.50027764390462e-06	1.49277557829223e-06	1.50631863807842e-09	0	3.21148939021983e-09	1.49878704488803e-06	1.49704933557991e-06	0	1.48956408890201e-06	1.49956116332418e-06	4.99853721108058e-08	4.99853721108058e-08	0	0	1.12326121032658e-07	3.75671012849761e-08	1.12408389506953e-07	4.99853721108058e-08	4.99853721108058e-08	0.100755742547309	4.99256046251583e-08	3.75204889548904e-08	3.75204889548904e-08	1.75736461031372e-10	7.48524667789957e-08	3.75069410976155e-08	7.5027430052506e-08	1.9268936341319e-07	0.000253225895113342	3.01514773587919e-08	0	3.01263727615684e-08	2.99757408977606e-08	7.48524667789957e-08	0
"Elaphoglossum"	0	0	0.000297168896008564	0.000297540898595776	0.000299034126228409	0.000298412671501511	0.00251963834572718	1.00281606159942	0.000296423253691501	0.000298055859612195	0.000298663092080928	0.000296423253691501	1.04914667235729e-06	0.000297912817780403	0.000296423253691501	6.39086388653747e-07	0.000298555251137019	0.000297062340080154	2.99757408977606e-07	0	6.39086388653747e-07	0.000298258621932717	0.000297912817780403	0	0.000296423253691501	0.000298412671501511	9.94708905005036e-06	9.94708905005036e-06	0	0	2.2352898085499e-05	7.47585315571024e-06	2.23692695118837e-05	9.94708905005036e-06	9.94708905005036e-06	0.0503927669145437	9.9351953204065e-06	7.4665773020232e-06	7.4665773020232e-06	3.49715557452431e-08	1.48956408890201e-05	7.46388127842549e-06	1.49304585804487e-05	3.83451833192248e-05	0.0503919531275551	6.00014399439959e-06	0	5.99514817955211e-06	5.96517243865435e-06	1.48956408890201e-05	0
"Elaeocarpus_bifidus"	0	0	0.000592844480981908	0.000593586616796598	0.00059656556840542	0.000595325781839697	1.48956408890201e-06	0.000592846507383001	1.00059135694329	0.000594613951085636	0.00059582536460366	0.000591356943294099	2.09302125088364e-06	0.000594328586225225	0.000591356943294099	1.27496128791727e-06	0.000595610224630134	0.000592631904582017	5.98008499317133e-07	0	1.27496128791727e-06	0.000595018456820547	0.000594328586225225	0	0.000591356943294099	0.000595325781839697	1.98441927279899e-05	1.98441927279899e-05	0	0	4.45934700499654e-05	1.49141392101355e-05	4.46261306342604e-05	1.98441927279899e-05	1.98441927279899e-05	2.97912817780403e-05	1.98204650361878e-05	1.48956341150915e-05	1.48956341150915e-05	6.97673750294548e-08	2.97164293112613e-05	1.48902556157534e-05	2.97858897308449e-05	7.64976772750364e-05	0.100530680359997	1.19701365114404e-05	0	1.19601699863427e-05	1.19003691364109e-05	2.97164293112613e-05	0
"Styphelia_tameiameiae"	0	0	0.000198703857910404	0.000198951969102493	0.000199951054286736	0.000199534882914643	4.99256046251583e-07	0.00019870390640813	0.000198204650361878	1.0041061357936	0.000200409993061233	0.000198204650361878	1.26771609266156e-06	0.000199200653630029	0.000198204650361878	0.000560910690595806	0.000762224194177175	0.000759115340957684	7.65999963489795e-07	0	0.000560910690595806	0.000762169963672346	0.000199200653630029	0	0.000198204650361878	0.000199534882914643	6.65116276382143e-06	6.65116276382143e-06	0	0	1.49463748122931e-05	4.9987763571684e-06	1.49762264557773e-05	6.65116276382143e-06	6.65116276382143e-06	9.98512092503166e-06	0.0334702045264534	5.01024982653082e-06	5.01024982653082e-06	4.22572030887188e-08	9.96003268150143e-06	1.90556048544294e-05	2.40658546809602e-05	0.0336546414357484	0.0336947905615193	1.52856564765356e-05	0	1.53199992697959e-05	1.52433992734469e-05	9.96003268150143e-06	0
