"Fuchsia_regia"	"Justicia_brasiliana"	"Hippeastrum_aulicum"	"Heliconia_farinosa"	"Nematanthus_australis"	"Psychotria_suterella"	"Nidularium_inocentii"	"Ipomea_sp1_M_PL_069_01"	"Sinningia_douglasii"	"Vriesea_vagans"	"Aechmea_blumenavii"	"Billbergia_amoena"	"Justicia_carnea"	"Tillandsia_sp1_M_PL_069_01"	"Vriesea_carinata"	"Hedychium_coronarium"	"Vriesea_erythrodactylon"	"Vriesea_incurvata"	"Clytolaema_rubricauda"	"Thalurania_glaucopis"	"Phaethornis_eurynome"	"Amazilia_fimbriata"	"Amazilia_versicolor"	"Ramphodon_naevius"
"Fuchsia_regia"	1.00176357019	1.12983492895796e-06	0.000505671420274408	0.000505671420274408	0.00176357018999907	0.00050454158534545	1.12983492895796e-06	0.000506238232249795	1.97851159502852e-06	0.00176652920038497	0.000505671420274408	1.12983492895796e-06	0.000505671420274408	0.00050454158534545	1.12983492895796e-06	8.47970238274364e-07	0.00125902860465362	2.95901038590448e-06	0.0503611441861448	0.050454158534545	0.000101685143606216	1.69735333214113e-05	1.69594047654873e-05	5.91802077180896e-05
"Justicia_brasiliana"	2.25966985791592e-06	1.00111920079572	0.00112145291130168	0.00112145291130168	2.25966985791592e-06	2.25211557986743e-06	0.00111920079572182	5.07410748893071e-06	0.00112201428828835	2.26346125029497e-06	0.00112145291130168	0.00111920079572182	0.00112145291130168	2.25211557986743e-06	0.00111920079572182	8.49934252752213e-09	7.55427804849016e-09	3.79139237905355e-09	3.02171121939606e-07	0.000225211557986743	0.100728071614963	5.62698513307153e-05	1.69986850550443e-07	7.5827847581071e-08
"Hippeastrum_aulicum"	0.000505671420274408	0.000560726455650842	1.00106470737123	0.00106470737122761	0.000505671420274408	0.000503980915576766	0.000560726455650842	0.000507082886393587	0.000562979041398327	0.000506519862254734	0.00106470737122761	0.000560726455650842	0.00106470737122761	0.000503980915576766	0.000560726455650842	8.49385069335992e-07	1.69050469764241e-06	8.48441980326188e-07	6.76201879056962e-05	0.0503980915576766	0.0504653810085758	4.50517149497026e-05	1.69877013867198e-05	1.69688396065238e-05
"Heliconia_farinosa"	0.000505671420274408	0.000560726455650842	0.00106470737122761	1.00106470737123	0.000505671420274408	0.000503980915576766	0.000560726455650842	0.000507082886393587	0.000562979041398327	0.000506519862254734	0.00106470737122761	0.000560726455650842	0.00106470737122761	0.000503980915576766	0.000560726455650842	8.49385069335992e-07	1.69050469764241e-06	8.48441980326188e-07	6.76201879056962e-05	0.0503980915576766	0.0504653810085758	4.50517149497026e-05	1.69877013867198e-05	1.69688396065238e-05
"Nematanthus_australis"	0.00176357018999907	1.12983492895796e-06	0.000505671420274408	0.000505671420274408	1.00176357019	0.00050454158534545	1.12983492895796e-06	0.000506238232249795	1.97851159502852e-06	0.00176652920038497	0.000505671420274408	1.12983492895796e-06	0.000505671420274408	0.00050454158534545	1.12983492895796e-06	8.47970238274364e-07	0.00125902860465362	2.95901038590448e-06	0.0503611441861448	0.050454158534545	0.000101685143606216	1.69735333214113e-05	1.69594047654873e-05	5.91802077180896e-05
"Psychotria_suterella"	0.0010090831706909	2.25211557986743e-06	0.00100796183115353	0.00100796183115353	0.0010090831706909	1.00100570971557	2.25211557986743e-06	0.00100909166529824	3.94379450830192e-06	0.00101077626325917	0.00100796183115353	2.25211557986743e-06	0.00100796183115353	0.00100570971557366	2.25211557986743e-06	1.69027079614446e-06	3.37345511723632e-06	1.69309256827332e-06	0.000134938204689453	0.100570971557366	0.000202690402188068	3.38335785686899e-05	3.38054159228892e-05	3.38618513654665e-05
"Nidularium_inocentii"	2.25966985791592e-06	0.00111920079572182	0.00112145291130168	0.00112145291130168	2.25966985791592e-06	2.25211557986743e-06	1.00111920079572	5.07410748893071e-06	0.00112201428828835	2.26346125029497e-06	0.00112145291130168	0.00111920079572182	0.00112145291130168	2.25211557986743e-06	0.00111920079572182	8.49934252752213e-09	7.55427804849016e-09	3.79139237905355e-09	3.02171121939606e-07	0.000225211557986743	0.100728071614963	5.62698513307153e-05	1.69986850550443e-07	7.5827847581071e-08
"Ipomea_sp1_M_PL_069_01"	0.000337492154833197	1.6913691629769e-06	0.000338055257595725	0.000338055257595725	0.000337492154833197	0.000336363888432748	1.6913691629769e-06	1.00369461554074	0.00167871250967171	0.00033805841683795	0.000338055257595725	1.6913691629769e-06	0.000338055257595725	0.000336363888432748	1.6913691629769e-06	0.00168123051179353	1.12826640044907e-06	5.66262004753686e-07	4.51306560179629e-05	0.0336363888432748	0.000152223224667921	0.0335404228101748	0.0336246102358705	1.13252400950737e-05
"Sinningia_douglasii"	1.97851159502852e-06	0.000561007144144176	0.000562979041398327	0.000562979041398327	1.97851159502852e-06	1.97189725415096e-06	0.000561007144144176	0.00251806876450757	1.00307288614077	1.98183124535575e-06	0.000562979041398327	0.000561007144144176	0.000562979041398327	1.97189725415096e-06	0.000561007144144176	4.21787062731587e-06	6.61434087756167e-09	3.31965032722906e-09	2.64573635102467e-07	0.000197189725415096	0.0504906429729758	0.0502375799325221	8.43574125463173e-05	6.63930065445812e-08
"Vriesea_vagans"	0.00117768613358998	7.54487083431657e-07	0.000337679908169823	0.000337679908169823	0.00117768613358998	0.000336925421086391	7.54487083431657e-07	0.000338058416837951	1.32122083023717e-06	1.00285751446603	0.000337679908169823	7.54487083431657e-07	0.000337679908169823	0.000336925421086391	7.54487083431657e-07	5.66262004753686e-07	0.000840760712503591	0.00167982833243891	0.0336304285001437	0.0336925421086391	6.79038375088491e-05	1.13346749361102e-05	1.13252400950737e-05	0.0335965666487782
