"Alseis_blackiana"	"Capparis_frondosa"	"Chrysophyllum_panamense"	"Clytostoma_binatum"	"Connarus_panamensis"	"Cordia_bicolor"	"Cupania_rufescens"	"Cupania_sylvatica"	"Desmopsis_panamensis"	"Doliocarpus_major"	"Faramea_occidentalis"	"Garcinia_intermedia"	"Guatteria_dumetorum"	"Gustavia_superba"	"Heisteria_concinna"	"Hirtella_triandra"	"Hybanthus_prunifolius"	"Inga_marginata"	"Inga_vera"	"Lacistema_aggregatum"	"Licania_platypus"	"Mouriri_myrtilloides"	"Myrcia_fosteri"	"Nectandra_cissiflora"	"Ouratea_lucens"	"Paullinia_bracteosa"	"Paullinia_fibrigera"	"Prioria_copaifera"	"Psychotria_horizontalis"	"Psychotria_limonensis"	"Psychotria_marginata"	"Pterocarpus_rohrii"	"Sorocea_affinis"	"Swartzia_simplex"	"Talisia_princeps"	"Tetragastris_panamensis"	"Trichilia_tuberculata"	"Gymnelia_jansonis"	"arct_unknown"	"Quenyalia_amisena"	"Trichaea_pilicornis"	"Scotura_nervosa"	"gele_unknown"	"Anisodes_urcearia"	"Edula_antithesis"	"geom_species_1"	"Drephalys_alcomon"	"Entheus_sp."	"hesp_unknown"	"Telemiades_antiope"	"Udranomia_sp."	"lima_unknown"	"lyca_unknown"	"lyma_unknown"	"Tarchon_felderi"	"Nagara_vitrea"	"noct_unknown"	"Bardaxima_perses"	"Calledema_plusia"	"Elasmia_mandela"	"Gonodonta_fulvangula"	"noto_unknown"	"Strophocerus_sp."	"Zunacetha_annulata"	"nymp_unknown"	"Pyrrhogyra_otolatis"	"oeco_unknown"	"Homoeopteryx_malecena"	"Itaballia_sp."	"Perrhybris_pyrrha"	"psyc_unknown"	"Cosmopterosis_thetysalis"	"Desmia_sp."	"Spilorula_perspicata"	"satu_unknown"	"Periphoba_arcaei"	"Xylophanes_amadis"	"Xylophanes_sp."	"thyr_unknown"	"tort_unknown"	"ypon_unknown"	"unkn_unknown"
"Alseis_blackiana"	1.00239894702795	0	2.45160625688252e-10	0.000721609459785683	1.34748176116138e-12	1.53560416275851e-10	2.45160625688252e-10	2.46392588631409e-10	7.63896075162212e-10	0.0023989470279479	0	2.46392588631409e-10	0	6.0921799502059e-07	3.05460300671722e-07	0	3.05808427927476e-07	1.07259548188446e-09	0	0.000722215119086781	1.54332076659147e-10	8.81066649381958e-10	6.05659301098684e-07	6.05659301098684e-07	0.000726149533180873	9.12366952461187e-07	0.000721609459785683	0	1.54230495568941e-10	2.06934650616453e-13	3.62524613485967e-13	0.00240697026215509	0	6.05659301098684e-07	0	1.53560416275851e-10	6.08061275829121e-07	2.69496352232277e-11	4.84527440878947e-05	0	3.1040197592468e-12	6.11616855854953e-09	6.14298344559664e-09	4.40533324690979e-11	6.11616855854953e-09	3.09367302671597e-12	0	1.21843599004118e-08	7.71660383295734e-12	0	1.21024922196812e-05	0	1.52283467827751e-08	7.63650751679305e-09	0.0503201270448666	1.23196294315704e-11	7.67802081379256e-09	1.21024922196812e-05	0	1.23196294315704e-11	0	3.50664526454019e-08	0	1.21466571275053e-05	8.02323420718363e-05	3.04122317487062e-08	1.52779215032442e-08	0	0	0	2.68148870471115e-11	0	3.1040197592468e-12	1.21843599004118e-08	1.21024922196812e-05	0	3.08460991137883e-12	9.06311533714917e-15	0	1.22580312844126e-08	6.11616855854953e-09	0.0505126621849978
"Capparis_frondosa"	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336700336700337	0.0336700336700337	0	0.0336700336700337	0	0	0	0	0	0	0	0	0	0
"Chrysophyllum_panamense"	4.90321251376504e-10	0	1.0020129066781	4.88140223736602e-10	2.41402965934496e-12	5.119982037242e-10	0.00201290667809981	0.00202302178703499	1.91784626197181e-09	4.90321251376504e-10	0	0.00202302178703499	0	0.0020225195333525	1.01845989380513e-06	0	1.28871047309627e-09	1.92156760883859e-09	0	5.09140801174531e-07	5.14571059019296e-10	1.01922056113229e-06	5.08652660950794e-07	5.08652660950794e-07	5.12983003733471e-07	5.11635399823814e-07	4.88140223736602e-10	0	5.14232369290661e-10	6.89957555295978e-13	1.20872263446589e-12	4.91961121782445e-10	0	5.08652660950794e-07	0	5.119982037242e-10	1.52660562452956e-06	4.82805931868992e-11	4.06922128760635e-05	0	1.03493633294397e-11	2.57742094619254e-11	7.38133996828901e-11	5.09610280566143e-08	2.57742094619254e-11	1.03148654516749e-11	0	4.045039066705e-05	2.57285529509648e-11	0	8.54971672889119e-09	0	3.821317980346e-08	2.54614973451284e-08	6.54308291970653e-11	0.000101151089351749	2.559991018621e-08	8.5497167288912e-09	0	0.000101151089351749	0	4.05649783330649e-05	0	5.10915016109419e-08	1.63987040594148e-11	1.70545133274605e-08	3.83569252394363e-08	0	0	0	4.80391902209647e-11	0	1.03493633294397e-11	4.045039066705e-05	8.54971672889119e-09	0	1.02846473858132e-11	3.02180658616471e-14	0	0.100645333904991	2.57742094619254e-11	3.41698156615621e-08
"Clytostoma_binatum"	0.00144321891957137	0	4.88140223736602e-10	1.00143679925013	2.68297589193919e-12	3.05754709784834e-10	4.88140223736602e-10	4.90593189685027e-10	1.52099628557549e-09	0.00144321891957137	0	4.90593189685027e-10	0	1.21301619115571e-06	6.08203128434458e-07	0	6.08896285894126e-07	2.13564880998359e-09	0	0.00143800518059239	3.07291165612898e-10	1.75429504696674e-09	1.20593046259562e-06	1.20593046259562e-06	0.00144583900696957	1.81661719557941e-06	0.00143679925012979	0	3.0708890713048e-10	4.12028344140466e-13	7.218240916145e-13	0.00144804573870037	0	1.20593046259562e-06	0	3.05754709784834e-10	1.21071304331809e-06	5.36595178387838e-11	9.64744370076496e-05	0	6.18042516210699e-12	1.21779257178825e-08	1.22313169381321e-08	8.7714752348337e-11	1.21779257178825e-08	6.15982374489996e-12	0	2.42603238231142e-08	1.53645582806449e-11	0	2.40973167828262e-05	0	3.03212173032018e-08	1.52050782108614e-08	0.000192590083247149	2.45296594842513e-11	1.52877354892417e-08	2.40973167828262e-05	0	2.45296594842513e-11	0	6.98209428692762e-08	0	2.41852536932742e-05	4.82681912900122e-05	6.05539065193136e-08	3.04199257115098e-08	0	0	0	5.33912202495899e-11	0	6.18042516210699e-12	2.42603238231143e-08	2.40973167828262e-05	0	6.1417781426096e-12	1.80456022903625e-14	0	2.44070111868301e-08	1.21779257178825e-08	0.100575947509086
"Connarus_panamensis"	2.69496352232277e-12	0	2.41402965934496e-12	2.68297589193919e-12	1.00503147836249	3.61642931399046e-12	2.41402965934496e-12	2.42616046165323e-12	7.96839197729623e-09	2.69496352232277e-12	0	2.42616046165323e-12	0	5.99880304946068e-09	7.19375222078814e-09	0	6.36874729415237e-06	0.00505677654250039	0	1.99831034038523e-09	3.63460232561855e-12	3.9967501940806e-09	1.99562736449329e-09	1.99562736449329e-09	5.21979427959519e-09	5.20837357756382e-09	2.68297589193919e-12	0	3.63221003702442e-12	4.87342086404205e-15	8.5376470776075e-15	2.70397677825027e-12	0	1.99562736449329e-09	0	3.61642931399046e-12	6.3428400139278e-06	0.100629567249812	1.59650189159463e-07	0	7.31013129606308e-14	1.27374945883047e-07	0.000126546788508393	1.9983750970403e-10	1.27374945883047e-07	7.28576419174287e-14	0	1.19976060989214e-10	1.81730116280928e-13	0	8.69965713265865e-11	0	0.000126577984562858	1.79843805519703e-10	3.59628911507286e-13	1.21308023082661e-13	1.80821465699523e-10	8.69965713265865e-11	0	1.21308023082661e-13	0	1.59070657724408e-07	0	1.27815398712479e-07	9.01325592750089e-14	1.73612452585461e-10	1.59367839545925e-07	0	0	0	0.00012641941356251	0	7.31013129606308e-14	1.19976060989214e-10	8.69965713265865e-11	0	7.26442007404885e-14	2.13441176940188e-16	0	1.20701482967248e-10	1.27374945883047e-07	1.87808312435743e-10
"Cordia_bicolor"	3.07120832551702e-10	0	5.119982037242e-10	3.05754709784834e-10	3.61642931399046e-12	1.00201188754728	5.119982037242e-10	5.14571059019296e-10	1.5953363787806e-09	3.07120832551702e-10	0	5.14571059019296e-10	0	1.27230267197816e-06	0.00201946578859493	0	1.27330821906604e-06	2.87867773393641e-09	0	1.82183987330496e-09	0.00202199753495712	1.27154309338995e-06	1.51608516352013e-09	1.51608516352013e-09	1.2725761839786e-06	1.27014135285845e-06	3.05754709784834e-10	0	0.0020206666598828	2.71117555404762e-06	4.7496534142338e-06	3.08147992526792e-10	0	1.51608516352013e-09	0	0.00201188754728234	1.26988775750936e-06	7.23285862798092e-11	1.2128681308161e-07	0	4.06676333107143e-05	2.54661643813207e-08	2.55381313246691e-08	6.35771546694977e-08	2.54661643813207e-08	4.05320745330119e-05	0	2.54460534395632e-08	0.000101099876747856	0	2.12096030663101e-08	0	3.18191608810824e-08	5.04866447148733e-05	4.09836830060633e-11	2.57285529509648e-11	0.100594377364117	2.12096030663101e-08	0	2.57285529509648e-11	0	5.06074151169201e-05	0	5.05756585274162e-05	1.02715997508931e-11	4.23380450952818e-08	3.1906727575612e-08	0	0	0	7.19669433484101e-11	0	4.06676333107143e-05	2.54460534395632e-08	2.12096030663101e-08	0	4.0413333197656e-05	1.18741335355845e-07	0	2.559991018621e-08	2.54661643813207e-08	2.14028296849384e-08
"Cupania_rufescens"	4.90321251376504e-10	0	0.00201290667809981	4.88140223736602e-10	2.41402965934496e-12	5.119982037242e-10	1.0020129066781	0.00202302178703499	1.91784626197181e-09	4.90321251376504e-10	0	0.00202302178703499	0	0.0020225195333525	1.01845989380513e-06	0	1.28871047309627e-09	1.92156760883859e-09	0	5.09140801174531e-07	5.14571059019296e-10	1.01922056113229e-06	5.08652660950794e-07	5.08652660950794e-07	5.12983003733471e-07	5.11635399823814e-07	4.88140223736602e-10	0	5.14232369290661e-10	6.89957555295978e-13	1.20872263446589e-12	4.91961121782445e-10	0	5.08652660950794e-07	0	5.119982037242e-10	1.52660562452956e-06	4.82805931868992e-11	4.06922128760635e-05	0	1.03493633294397e-11	2.57742094619254e-11	7.38133996828901e-11	5.09610280566143e-08	2.57742094619254e-11	1.03148654516749e-11	0	4.045039066705e-05	2.57285529509648e-11	0	8.54971672889119e-09	0	3.821317980346e-08	2.54614973451284e-08	6.54308291970653e-11	0.000101151089351749	2.559991018621e-08	8.5497167288912e-09	0	0.000101151089351749	0	4.05649783330649e-05	0	5.10915016109419e-08	1.63987040594148e-11	1.70545133274605e-08	3.83569252394363e-08	0	0	0	4.80391902209647e-11	0	1.03493633294397e-11	4.045039066705e-05	8.54971672889119e-09	0	1.02846473858132e-11	3.02180658616471e-14	0	0.100645333904991	2.57742094619254e-11	3.41698156615621e-08
"Cupania_sylvatica"	2.46392588631409e-10	0	0.00101151089351749	2.45296594842513e-10	1.21308023082661e-12	2.57285529509648e-10	0.00101151089351749	1.00604171949097	9.63741840186841e-10	2.46392588631409e-10	0	0.00101659386283165	0	0.00101634147404648	5.11788891359364e-07	0	6.4759320256094e-10	9.65611863737984e-10	0	2.55849648831422e-07	2.58578421617737e-10	5.1217113624738e-07	2.5560435223658e-07	2.5560435223658e-07	2.57780403886167e-07	2.57103215991866e-07	2.45296594842513e-10	0	2.58408225774201e-10	3.46712339344712e-13	6.07398308776827e-13	2.47216644111782e-10	0	2.5560435223658e-07	0	2.57285529509648e-10	7.67138504788725e-07	2.42616046165323e-11	2.04483481789264e-05	0	5.20068509017068e-12	1.29518640512188e-11	3.70921606446684e-11	2.5608556812369e-08	1.29518640512188e-11	5.18334947320345e-12	0	2.03268294809296e-05	1.29289210808868e-11	0	4.29634006476944e-09	0	1.92026029163116e-08	1.27947222839841e-08	3.2879813666867e-11	5.08296931415825e-05	1.28642764754824e-08	4.29634006476945e-09	0	0.0503020859745486	0	2.03844112226457e-05	0	2.56741214125336e-08	8.24055480372605e-12	8.57010719972887e-09	1.92748368037368e-08	0	0	0	2.41402965934496e-11	0	5.20068509017068e-12	2.03268294809296e-05	4.29634006476944e-09	0	5.16816451548403e-12	1.51849577194207e-14	0	0.0505755446758746	1.29518640512188e-11	1.71707616389759e-08
"Desmopsis_panamensis"	1.52779215032442e-09	0	1.91784626197181e-09	1.52099628557549e-09	7.96839197729623e-09	1.5953363787806e-09	1.91784626197181e-09	1.92748368037368e-09	1.00503146044766	1.52779215032442e-09	0	1.92748368037368e-09	0	4.76579977390794e-06	3.17342152198563e-06	0	1.19964211064271e-08	6.3428400139278e-06	0	1.5864309891753e-06	1.60335314450312e-09	3.17578767403077e-06	1.58490999288973e-06	1.58490999288973e-06	1.59840691991616e-06	1.59420791541572e-06	1.52099628557549e-09	0	1.60229782039987e-09	2.14984033102415e-12	3.76626163254606e-12	1.53290182306798e-09	0	1.58490999288973e-06	0	1.5953363787806e-09	0.00504251634036781	1.59367839545925e-07	0.000126792799431178	0	3.22476049653622e-11	2.39928422128543e-10	1.58810928770324e-07	1.58789383701538e-07	2.39928422128543e-10	3.2140112948811e-11	0	9.53159954781589e-08	8.01676572251558e-11	0	2.66401153319359e-08	0	0.000126221479509543	7.93355380496408e-08	2.03875942468042e-10	9.63741840186840e-11	7.976681893903e-08	2.66401153319359e-08	0	9.63741840186840e-11	0	0.000126396349426425	0	1.59355845650896e-07	5.10967274355995e-11	5.31402638471906e-08	0.100629208953276	0	0	0	1.58571000348195e-07	0	3.22476049653622e-11	9.53159954781589e-08	2.66401153319359e-08	0	3.20459564079973e-11	9.41565408136515e-14	0	9.58923130985906e-08	2.39928422128543e-10	1.06469739990284e-07
"Doliocarpus_major"	0.0023989470279479	0	2.45160625688252e-10	0.000721609459785683	1.34748176116138e-12	1.53560416275851e-10	2.45160625688252e-10	2.46392588631409e-10	7.63896075162212e-10	1.00239894702795	0	2.46392588631409e-10	0	6.0921799502059e-07	3.05460300671722e-07	0	3.05808427927476e-07	1.07259548188446e-09	0	0.000722215119086781	1.54332076659147e-10	8.81066649381958e-10	6.05659301098684e-07	6.05659301098684e-07	0.000726149533180873	9.12366952461187e-07	0.000721609459785683	0	1.54230495568941e-10	2.06934650616453e-13	3.62524613485967e-13	0.00240697026215509	0	6.05659301098684e-07	0	1.53560416275851e-10	6.08061275829121e-07	2.69496352232277e-11	4.84527440878947e-05	0	3.1040197592468e-12	6.11616855854953e-09	6.14298344559664e-09	4.40533324690979e-11	6.11616855854953e-09	3.09367302671597e-12	0	1.21843599004118e-08	7.71660383295734e-12	0	1.21024922196812e-05	0	1.52283467827751e-08	7.63650751679305e-09	0.0503201270448666	1.23196294315704e-11	7.67802081379256e-09	1.21024922196812e-05	0	1.23196294315704e-11	0	3.50664526454019e-08	0	1.21466571275053e-05	8.02323420718363e-05	3.04122317487062e-08	1.52779215032442e-08	0	0	0	2.68148870471115e-11	0	3.1040197592468e-12	1.21843599004118e-08	1.21024922196812e-05	0	3.08460991137883e-12	9.06311533714917e-15	0	1.22580312844126e-08	6.11616855854953e-09	0.0505126621849978
