"Sideroxylon_puberulum"	"Psiadia_terebinthina"	"Aphloia_theiformis"	"Coffea_mauritiana"	"Polyscias_mauritiana"	"Dracaena_reflexa"	"Claoxylon_linostachys"	"Bertiera_zaluzania"	"Pittosporum_senacia"	"Coffea_macrocarpa"	"Antirhea_borbonica"	"Stillingia_lineata"	"Doratoxylon_apetalum"	"Mimusops_erythroxylon"	"Phyllanthus_phillyreifolius"	"Antidesma_madagascariense"	"Croton_fothergillifolius"	"Grangeria_borbonica"	"Erythroxylum_macrocarpum"	"Chassalia_coriacea"	"Chassalia_petrinensis"	"Erythrospermum_monticolum"	"Flagellaria_indica"	"Monimiastrum_globosum"	"Roussea_simplex"	"Cordemoya_integrifolia"	"Molinaea_alternifolia"	"Euodia_chapelieri"	"Faujasiopsis_flexuosa"	"Ochna_mauritiana"	"Agauria_salicifolia"	"Olea_lancea"	"Pandanus_wiehii"	"Apis_mellifera"	"Nacoleia_sp1_M_PL_064"	"Pachycerina_crinicornis"	"Technomyrmex_albipes"	"Brachymyrmex_sp1_M_PL_064"	"Stomorhina_lunata"	"Chaetocnema_sp1_M_PL_064"	"Lygistorrhina_sp1_M_PL_064"	"Chrysomya_megacephala"	"Panara_naso"	"Psilopa_iceryae"	"Lygaeidae_sp1_M_PL_064"	"Ornidia_obesa"	"Sapromyza_sp1_M_PL_064"	"Zosterops_mauritianus"	"Drosophila_sp1_M_PL_064"	"Eristalinus_flaveolus"	"Musca_domestica"	"Polistes_hebraeus"	"Stomoxys_calcitrans"	"Ahasverus_advena"	"Allograpta_nasuta"	"Nacoleia_sp2_M_PL_064"	"Paragus_borbonicus"	"Pelecophora_intemipta"	"Acopsis_viridicans"	"Dysauxes_florida"	"Eilema_squalida"	"Lecithoceridae_sp1_M_PL_064"	"Mauritiborium_undulatus"	"Pheidole_megacephala"	"Bactrocera_cucurbitae"	"Calcidoidae_sp1_M_PL_064"	"Condica_capensis"	"Dioxyna_sororcula"	"Episyrphus_sp1_M_PL_064"	"Eumolpinae_sp1_M_PL_064"	"Fannia_pusio"	"Henotesia_narcissus"	"Homoneura_sp1_M_PL_064"	"Ischiodon_aegyptius"	"Lecithoceridae_sp2_M_PL_064"	"Limoniidae_sp1_M_PL_064"	"Melanostoma_bituberculatum"	"Miridae_sp1_M_PL_064"	"Mythimna_sp1_M_PL_064"	"Orthellia_albigena"	"Psyllidae_sp1_M_PL_064"	"Sarcophaga_arno"	"Spilogona_sp1_M_PL_064"	"Stomoxys_niger"	"Syritta_sp1_M_PL_064"	"Trichoplusia_indicator"	"Zaprionus_vittiger"
"Sideroxylon_puberulum"	1.00449435435579	0.000271668615664775	0.000166854607188077	0.000330722230291473	0.000295594384204942	0.000193720467619275	5.68588134725764e-07	0.000369767679958569	9.24438364760292e-05	0.000510074313671501	5.4699853722388e-05	0.000245712713679766	0.000376251142616166	4.23494756414666e-07	6.01332947561852e-05	3.77366665155315e-05	0.000408259017363004	0.000385881599223125	0.000618632181870711	2.74214034182539e-07	5.45471457531712e-05	5.99777833762662e-05	9.7328337948858e-05	7.55043805984305e-05	0.000155998345991926	3.77052018121625e-05	0.000331717996707251	0.000185722889208435	9.69614841739366e-05	2.75591994153306e-07	3.7359643748263e-05	0	5.41380421600224e-05	0.00595794886289353	0.00595518463760246	0.00597754299972209	0.0059644266407432	1.631892348309e-05	0.00596018404256735	2.76446451119544e-05	0.00593193511218316	0.00592221813137122	1.3710701709127e-05	4.51808304525708e-06	7.20943113844635e-06	0.00592925386486225	2.26390513053979e-06	0.00592649620970362	3.67469144768303e-06	0.0059254567386484	0.00590879031973995	0.00592874789608503	0.00593452981840687	1.50791447953495e-06	5.18477905965164e-06	2.78091011980127e-06	3.76723749944442e-06	2.26390513053979e-06	1.89529378241921e-08	0.00590879031973994	1.12362312473111e-05	2.78091011980128e-06	1.51008761196861e-06	1.50333236890463e-06	0	1.50333236890463e-06	1.36367864382928e-06	2.26390513053979e-06	3.67469144768303e-06	8.46989512829332e-09	7.5473333031063e-07	8.46989512829333e-09	7.5473333031063e-07	7.39535359917138e-06	0.00590879031973994	0.00590879031973994	4.92657307008237e-06	1.36367864382928e-06	8.50123856119168e-06	8.46989512829332e-09	3.2442779316286e-06	1.37795997076653e-08	4.92657307008236e-06	7.5473333031063e-07	1.49944458440666e-06	0.00590879031973994	1.36367864382928e-06
"Psiadia_terebinthina"	0.000384863872191764	1.00414273555475	0.000298584915946176	0.00048814485664566	0.00041835760271212	8.47836393702682e-05	0.000449243200579795	5.37440986411817e-05	0.0004025717364067	0.000161876516477623	7.67895691026948e-05	0.000158475107195854	0.000336861057784873	0.00010618958093872	0.000421451918077705	0.000334255041606105	0.000214101008019899	7.73339886778015e-05	0.000106112178020891	2.39545774243214e-07	7.70405018467237e-05	0.000365041881031099	5.33969624237625e-05	0.000106066281508078	0.000220693937236449	0.000157783886961302	8.48090155537029e-05	5.30601185664195e-05	0.00013690514392071	2.40749521852476e-07	5.27939354404419e-05	0	7.64626980828733e-05	1.97915025140535e-05	0.00841089678911605	0.0084470296704707	4.25037108574756e-05	0.00840428027941409	0.00841112084802677	0.00839919612166877	0.00839500008980037	1.19344737837022e-05	1.19772887121607e-05	0.0083836672774808	0.00838980352968742	1.3512398760285e-05	0.00836785612962289	5.1073234037116e-06	5.42383174050733e-06	9.24386723223149e-06	2.26390513053979e-06	5.96579114783301e-06	1.06473250391053e-05	1.12498386445519e-05	7.5451573706689e-06	4.9764152657696e-06	0.00837839242757483	0.00836785612962289	1.49747733526598e-05	2.26390513053979e-06	6.53742039642845e-06	4.97641526576961e-06	2.12132563016156e-06	1.05362979519426e-05	0	1.05362979519426e-05	1.92601254616809e-06	0.00836785612962289	5.42383174050733e-06	2.12379161877439e-06	6.6851008321221e-06	2.12379161877439e-06	6.6851008321221e-06	1.07488197282363e-06	2.26390513053979e-06	2.26390513053979e-06	6.97262671186868e-06	1.92601254616809e-06	2.69794194129372e-06	2.12379161877439e-06	1.77989874745875e-06	1.20374760926238e-08	6.97262671186868e-06	6.6851008321221e-06	9.12604702577748e-06	2.26390513053979e-06	1.92601254616809e-06
"Aphloia_theiformis"	0.000472754720366217	0.000597169831892352	1.00415012983772	0.000260557481207735	0.000106660568541077	0.000210572226347294	0.000337170843664151	0.000316303204106458	0.000594102024739195	0.000154499001470685	0.000153257315995184	0.000106350716904927	0.000337021154737525	4.47094979009541e-07	7.32606088798464e-07	0.000105945010642877	0.000259043332419892	0.000363435714668952	0.000211825499374831	3.93958632864035e-07	0.000153899671070331	6.35044379186626e-07	0.000105904522471777	0.000211313668966329	0.000105559419026013	0.000105515472368099	0.000210700679642383	0.00010542833885879	0.000105467477007598	3.95938324486467e-07	0.000105072300859416	0	0.000152745423537304	0.0167758274929325	0.0168019965891034	0.0168115681375066	4.79206537454993e-05	0.0167723585100465	3.95176148182106e-05	3.54537206945993e-05	2.435590832984e-05	7.13356961999731e-06	1.96979316432017e-05	7.11119158810682e-06	1.79931195302593e-05	1.82297949763188e-05	4.9764152657696e-06	1.26373991915109e-05	2.89508312453039e-06	1.05367601260439e-05	2.78091011980128e-06	1.53972279761056e-05	1.42415199749445e-05	2.48180090598564e-08	7.12135650385696e-06	0.0167358354972953	4.99473041798956e-06	4.97641526576961e-06	1.12390281221384e-05	2.78091011980128e-06	1.0237849157604e-05	0.0167358354972953	4.22627337932657e-06	1.83151522199616e-08	0	1.83151522199616e-08	3.84749177675828e-06	4.9764152657696e-06	2.89508312453039e-06	8.94189958019083e-09	2.11890021285754e-06	8.94189958019083e-09	2.11890021285754e-06	6.32606408212915e-06	2.78091011980128e-06	2.78091011980128e-06	1.77767614235128e-06	3.84749177675828e-06	2.57498335784475e-06	8.94189958019083e-09	3.53015074905923e-06	1.97969162243233e-08	1.77767614235128e-06	2.11890021285754e-06	1.58761094796656e-08	2.78091011980128e-06	3.84749177675828e-06
"Coffea_mauritiana"	0.000624697546106116	0.00065085980886088	0.000173704987471823	1.00354812909908	0.000183487872346419	0.000224555377693119	7.4648403939527e-07	0.000183546789387455	0.000313039685068015	0.000215469614417969	0.000102285712240215	0.00032275658860121	0.000336684813979846	0.000141129055287763	0.000113018334213611	7.10228549855544e-05	0.000396646395789362	0.000214812257030801	0.000142140356594695	4.54210293241672e-07	0.000102620090627304	0.000112860577065318	0.000182925052626585	0.000700623467515143	0.000293929462101619	0.00021027460059283	0.000113043263674913	7.07157343840417e-05	0.00018224855181722	4.56492757026806e-07	7.02745244134127e-05	0	0.000101850439947599	4.32457801248814e-05	0.0112035483942359	0.011243923906146	0.011204077803775	2.30217117172074e-05	0.0111974027403807	0.0112000060943534	0.0111827468844103	1.03239828937562e-05	2.27105146620836e-05	9.66580326685139e-06	8.50684574759417e-06	1.58599205863429e-05	5.42383174050733e-06	9.71463317867705e-06	0.0111505347677676	1.51987796037698e-05	3.67469144768304e-06	1.1414003816698e-05	1.76483988251603e-05	5.64409553238822e-06	0.0111645472371179	2.89508312453039e-06	8.24929009584761e-06	5.42383174050734e-06	2.48828013131757e-08	3.67469144768303e-06	8.70544585231024e-06	2.89508312453039e-06	1.40124693503029e-05	2.82545835534028e-06	0	2.82545835534028e-06	2.56550226568261e-06	5.42383174050733e-06	0.0111505347677675	2.82258110575527e-06	1.42045709971109e-06	2.82258110575527e-06	1.42045709971109e-06	3.6709357877491e-06	3.67469144768304e-06	3.67469144768304e-06	3.05813120577366e-06	2.56550226568261e-06	3.59116024029949e-06	2.82258110575527e-06	6.09750175421951e-06	2.28246378513403e-08	3.05813120577366e-06	1.42045709971109e-06	2.82151442663295e-06	3.67469144768303e-06	2.56550226568261e-06
"Polyscias_mauritiana"	0.000837517421914003	0.000836715205424241	0.000106660568541077	0.000275231808519629	1.00474013951238	0.00016860048253609	0.000561509684010631	0.000106101942239753	0.000106348292355222	0.000729745112096643	9.43480785545054e-07	0.000105975704792517	1.62593099717688e-06	4.66212268349149e-07	6.27297162600239e-07	0.000106209155001492	0.000274562248551268	1.0251470067618e-06	1.26968063301804e-06	4.33734877865858e-08	3.35517538371778e-07	0.000169153093674473	0.000105754973965985	7.01513865599097e-07	0.000105533204956567	0.000105379219581736	0.000168678732174711	0.000105449452157399	0.000273201827622158	4.3591445011644e-08	0.000105127712166358	0	3.33001156833989e-07	2.01297488439534e-05	3.66301272517388e-05	0.0168204339466173	2.74745219740553e-05	2.96349064432749e-05	0.01680741154558	2.01205932302091e-05	2.02746395104825e-05	0.016762757983478	2.16867438932929e-06	1.33256371537604e-05	0.0167713586080519	1.05898457508355e-05	6.97262671186868e-06	7.06977325876105e-06	3.05813120577366e-06	2.25802365760518e-05	4.92657307008237e-06	4.97336308913504e-06	1.28695996416489e-05	4.23815158722881e-06	3.07216148308564e-06	1.77767614235128e-06	6.98830914093368e-06	6.97262671186868e-06	1.8716989467021e-05	4.92657307008236e-06	1.22095925742213e-05	1.77767614235129e-06	1.40302773119819e-08	1.5682429065006e-08	0	1.5682429065006e-08	8.38793845929444e-09	6.97262671186868e-06	3.05813120577366e-06	9.32424536698299e-09	2.12418310002984e-06	9.32424536698299e-09	2.12418310002985e-06	2.12203884479506e-06	4.92657307008237e-06	4.92657307008237e-06	0.016745668991873	8.38793845929444e-09	1.2162418534944e-05	9.32424536698299e-09	3.52516579886617e-06	2.1795722505822e-09	0.016745668991873	2.12418310002985e-06	4.22882734186184e-06	4.92657307008237e-06	8.38793845929444e-09
"Dracaena_reflexa"	0.00109774931650922	0.000339134557481073	0.000421144452694587	0.000673666133079356	0.000337200965072181	1.00108750749709	6.51113230352348e-07	0.00075595088585842	2.25934260103083e-06	0.000337461711528687	8.45688239813941e-07	0.000336242351384137	0.000336879515076057	8.54647532074538e-07	0.000336921045441003	9.72258773083954e-07	0.000671291232869648	0.000754534787183923	0.000421539441496065	3.10588298303355e-07	5.66605467278421e-07	0.000336250131660199	0.000336386636189814	0.00042059522114365	1.09627358204367e-06	1.01971689590992e-06	0.000754167455977176	1.14001620798297e-06	0.000335204642920766	3.1214904352096e-07	5.91364561135152e-07	0	5.62355926273833e-07	0.0334576188707455	6.18591518901216e-05	9.46183297816244e-05	0.0334673982841379	1.83340740271859e-05	0.0334613278359631	3.42681867819813e-05	2.52454510454257e-05	1.77017268639903e-05	1.55294149151677e-05	1.12518197793089e-05	8.4678411712237e-06	4.00182519967831e-05	2.82612131234227e-06	2.86020239960786e-05	7.48517925643729e-06	2.55075354368469e-05	6.45734892064249e-06	3.23463759585083e-05	2.19460658739128e-05	8.42334624214646e-06	1.58970836793103e-05	7.01907421157645e-06	1.12491474483673e-05	2.82612131234227e-06	2.17037743450783e-08	6.45734892064249e-06	5.66664627080216e-06	7.01907421157646e-06	8.411904422873e-06	8.42302613602507e-06	0	8.42302613602507e-06	1.41651366819605e-08	2.82612131234227e-06	7.48517925643728e-06	1.70929506414908e-08	1.94451754616791e-08	1.70929506414908e-08	1.94451754616791e-08	1.51190177171684e-05	6.45734892064249e-06	6.45734892064249e-06	5.62001608453635e-06	1.41651366819605e-08	5.62436185881146e-06	1.70929506414908e-08	1.12128878729938e-05	1.5607452176048e-08	5.62001608453634e-06	1.94451754616791e-08	8.40625329150499e-06	6.45734892064249e-06	1.41651366819605e-08
"Claoxylon_linostachys"	3.22199943011266e-06	0.00179697280231918	0.000674341687328302	2.23945211818581e-06	0.00112301936802126	6.51113230352348e-07	1.00513963300918	6.81909384871446e-07	0.000672578943339335	1.33281959901249e-06	3.64172728226943e-07	8.95496176948692e-07	0.000672592642129295	3.60393651686402e-07	9.24508353291904e-07	8.72548943201961e-07	1.24016716362423e-06	6.7593544698485e-07	7.74354628026032e-07	2.70411472341698e-07	3.64888275473248e-07	8.42919222395354e-07	5.3865743905431e-07	7.72958819941734e-07	1.00454345215937e-06	7.23687652903227e-07	1.04340669570974e-06	3.68687421401251e-07	7.05825043730184e-07	2.71770323961505e-07	3.66870405806624e-07	0	3.62151613407198e-07	1.1373366718236e-05	3.98366774747918e-05	5.86992649290598e-05	1.69991508450839e-05	0.0335611346300342	3.3895463792356e-05	2.85453797677282e-05	3.18836523176375e-05	1.87581560648288e-05	1.35205736170849e-05	1.50132973120838e-05	0.033538346196459	1.68685492142469e-05	1.49747733526598e-05	4.54970359887215e-08	2.48828013131757e-08	6.59699410802183e-08	1.89529378241921e-08	4.87572344659139e-08	7.26806237850725e-08	2.82808535936119e-08	4.03419777120104e-08	1.12390281221384e-05	1.49978860614921e-05	1.49747733526598e-05	0.0335046544336393	1.89529378241921e-08	4.04222963948886e-08	1.12390281221384e-05	1.54591763988347e-08	2.31127088322976e-08	0	2.31127088322976e-08	9.12220688683119e-09	1.49747733526598e-05	2.48828013131757e-08	7.20787303372804e-09	1.74509788640392e-08	7.20787303372805e-09	1.74509788640392e-08	1.36381876974289e-08	1.89529378241921e-08	1.89529378241921e-08	1.8716989467021e-05	9.12220688683119e-09	2.22136599835415e-08	7.20787303372805e-09	1.7955247968477e-08	1.35885161980753e-08	1.8716989467021e-05	1.74509788640392e-08	2.10729805598839e-08	1.89529378241921e-08	9.1222068868312e-09
"Bertiera_zaluzania"	0.00125721011185913	0.000128985836738836	0.000379563844927749	0.000330384220897419	0.000127322330687703	0.000453570531515052	4.09145630922867e-07	1.00325513528877	0.000127612090199828	1.65223026063363e-06	3.57241116188955e-07	0.000328813852715214	0.000202853315419303	5.33671188159702e-07	0.000202705986843848	0.000126847221942207	0.000328679590866599	0.000454556811554212	0.000924338595548086	4.61991278056639e-07	3.57653556521868e-07	6.31343228635585e-07	0.000328445366493217	0.000253613203489077	0.000126435904266645	0.000126494364588281	0.000252881737111676	0.000126899376076975	0.000126472739964735	4.64312842267979e-07	0.000125965218277474	0	3.54971154847954e-07	0.0201342143600287	3.90468270332749e-05	0.0201544349243958	0.0201385330327432	1.50381589321294e-05	5.07521687260586e-05	4.23317048645432e-05	2.35342994585589e-05	9.54492961497699e-06	2.30995639028319e-05	3.62760999238366e-06	3.21055900531612e-06	2.08960777217098e-05	1.07488197282363e-06	0.0200879037026337	3.6709357877491e-06	1.39964825875139e-05	7.39535359917138e-06	3.41649171471614e-05	3.73663119800352e-05	2.64570044790836e-08	8.74319985753064e-06	6.32606408212915e-06	6.14253164391983e-06	1.07488197282363e-06	1.36381876974289e-08	7.39535359917137e-06	4.53992268200082e-08	6.32606408212916e-06	5.07226406978154e-06	5.0676496710962e-06	0	5.0676496710962e-06	8.9413389130467e-09	1.07488197282363e-06	3.6709357877491e-06	1.06734237631941e-08	2.53694443884413e-06	1.06734237631941e-08	2.53694443884414e-06	0.0200651027057754	7.39535359917138e-06	7.39535359917138e-06	2.12203884479506e-06	8.9413389130467e-09	2.75371710105604e-08	1.06734237631941e-08	1.09481788831072e-05	2.32156421133989e-08	2.12203884479506e-06	2.53694443884414e-06	1.57835807158896e-08	7.39535359917138e-06	8.9413389130467e-09
"Pittosporum_senacia"	0.000314309044018499	0.000966172167376079	0.000712922429687034	0.000563471433122428	0.000127617950826266	1.3556055606185e-06	0.000403547366003601	0.000127612090199828	1.00136345590544	0.000184603962326326	0.000183350725755326	0.000378234505497274	0.000402917383104491	0.000253009854429233	8.60790748009371e-07	0.000126945479413655	0.000309731832077018	0.000184333911947379	0.000655840533587059	0.000402235250028021	0.00018411940786465	9.50178906803497e-07	0.000126705192956821	0.000656317804754634	0.000126481165204141	0.000377067600968799	1.3016064307962e-06	0.000126544068703252	0.000126169805832709	0.000404256532691478	0.000125830003244204	0	0.000182738512305665	4.50371122149096e-05	0.0201012363536231	0.0201328005190727	4.52839069427613e-05	0.0200707271067761	3.39802588504511e-05	0.0200990078179676	3.25580979968342e-05	7.05257528206378e-06	0.020111762501401	1.06140987890772e-05	2.36299794420251e-05	1.19651981881594e-05	8.05143472813399e-06	1.53317940933014e-05	6.26079370136031e-06	1.11202460764997e-05	1.84887672952059e-06	1.73879000879894e-05	2.85626183618993e-05	5.08395156125475e-06	1.9387149796453e-05	1.18820404947839e-05	8.07295449683422e-06	8.051434728134e-06	1.34515788667867e-05	1.84887672952058e-06	1.2244268993205e-05	1.18820404947839e-05	1.31263560950927e-05	2.15197687002343e-08	0	2.15197687002343e-08	4.60298519661625e-06	8.05143472813399e-06	6.26079370136031e-06	5.06019708858467e-06	2.53890958827311e-06	5.06019708858467e-06	2.53890958827311e-06	2.55224180399656e-06	1.84887672952059e-06	1.84887672952059e-06	2.12696584710443e-06	4.60298519661625e-06	3.07673270543877e-06	5.06019708858467e-06	4.22350643189404e-06	2.02128266345739e-05	2.12696584710443e-06	2.53890958827311e-06	2.37544726700874e-08	1.84887672952059e-06	4.60298519661625e-06
"Coffea_macrocarpa"	0.00144521055540259	0.000323753032955246	0.000154499001470685	0.000323204421626954	0.000729745112096643	0.000168730855764344	6.66409799506245e-07	1.37685855052802e-06	0.000153836635271938	1.00395054633173	0.000992226001726726	1.09371555592771e-06	1.33039135193044e-06	3.31684828895957e-07	5.31319886637997e-07	6.02485310446552e-07	0.00088051121959993	0.00015425390454528	1.42118020001685e-06	6.247230524388e-08	0.000154277059391402	0.000168874313759891	7.63455641286654e-07	6.90483887129692e-07	6.64945705103975e-07	4.86078891761029e-07	0.000168809803450507	5.82343372752068e-07	0.000168377450497614	6.278623642601e-08	3.67808748867208e-07	0	0.000153119981445966	2.62489580252502e-05	0.0168431979590563	5.88493998187533e-05	3.93102040281824e-05	8.40513144835905e-06	0.0168009641748746	9.46161143150567e-06	1.48568478118383e-05	0.016753172762625	3.12361526219399e-06	6.93184949149994e-06	1.48825741362213e-05	1.41614917933402e-05	2.69794194129372e-06	8.55246206886919e-06	3.59116024029949e-06	0.0167586205684821	8.50123856119169e-06	1.23812725114906e-05	8.58138495539443e-06	4.2284915405752e-06	3.60496991804208e-06	2.57498335784475e-06	2.71122493845967e-06	2.69794194129372e-06	2.22136599835415e-08	8.50123856119168e-06	0.0167821204056152	2.57498335784476e-06	1.38096777425938e-08	1.32829971659499e-08	0	1.32829971659499e-08	3.85692648478504e-06	2.69794194129372e-06	3.59116024029949e-06	6.63369657791914e-09	1.2049706208931e-08	6.63369657791915e-09	1.2049706208931e-08	2.75371710105605e-08	8.50123856119169e-06	8.50123856119169e-06	1.21624185349441e-05	3.85692648478504e-06	0.0167325091055289	6.63369657791914e-09	2.54485213762218e-08	3.1393118213005e-09	1.21624185349441e-05	1.2049706208931e-08	4.22185784399729e-06	8.50123856119169e-06	3.85692648478504e-06
