"Cirsium_arvense"	"Angelica_archangelica"	"Anthriscus_sylvestris"	"Epilobium_hirsutum"	"Umbellifer_sp1_M_PL_046"	"Lathyrus_pratensis"	"Unidentified_sp27_M_PL_046"	"Chamaenerium_angustifolium"	"Cirsium_pratensis"	"Rubus_fruticosus"	"Trfolium_sp1_M_PL_046"	"Trifolium_arvense"	"Torilis_japonica"	"Stachys_sylvatica"	"Ranunculus_sp1_M_PL_046"	"Silene_dioica"	"Meligethes_sp1_M_PL_046"	"Unidentified_sp1_M_PL_046"	"Unidentified_sp2_M_PL_046"	"Musca_sp1_M_PL_046"	"Unidentified_sp3_M_PL_046"	"Unidentified_sp4_M_PL_046"	"Unidentified_sp5_M_PL_046"	"Lucilia_sp1_M_PL_046"	"Unidentified_sp6_M_PL_046"	"Bombus_pascuorum"	"Bombus_terrestris"	"Pieris_sp1_M_PL_046"	"Unidentified_sp7_M_PL_046"	"Unidentified_sp8_M_PL_046"	"Meligethes_sp2_M_PL_046"	"Unidentified_sp10_M_PL_046"	"Unidentified_sp11_M_PL_046"	"Unidentified_sp12_M_PL_046"	"Unidentified_sp9_M_PL_046"	"Bombus_lapidarius"	"Unidentified_sp13_M_PL_046"	"Unidentified_sp14_M_PL_046"	"Unidentified_sp15_M_PL_046"	"Unidentified_sp16_M_PL_046"	"Unidentified_sp17_M_PL_046"	"Apis_mellifera"	"Asilus_sp1_M_PL_046"	"Andreana_sp1_M_PL_046"	"Cetonia_aurata"	"Colias_croceus"	"Unidentified_sp18_M_PL_046"	"Rhynconycha_sp1_M_PL_046"	"Unidentified_sp19_M_PL_046"	"Unidentified_sp20_M_PL_046"	"Unidentified_sp21_M_PL_046"	"Unidentified_sp22_M_PL_046"	"Vespula_sp1_M_PL_046"	"Ichneumonidae_1"	"Inachis_io"	"Pararge_aegeria"	"Unidentified_sp23_M_PL_046"	"Unidentified_sp24_M_PL_046"	"Unidentified_sp25_M_PL_046"	"Unidentified_sp26_M_PL_046"
"Cirsium_arvense"	1.00169925660879	0.000945713972526314	0.000767053749828659	0.00100662889476641	0.000807770858082897	0.000671870483326962	0.000747856303728352	0.00051375798414172	0.000696600794932365	0.000427471391542802	0.000339758325410466	0.000507510169101162	0.000310070280855959	0.000344614033344011	0.000176428985664508	0.000138647264970456	0.00338887393657388	0.00338540775494962	0.00338540775494962	0.00338255794567267	0.00338119854483126	0.00337511883762692	0.00337239312839103	0.00336977960281095	0.00336712168206267	0.00336624633206394	0.0033677932870126	0.0033649240522562	0.00336567331469778	0.00336405600926184	0.00336056353530193	0.00335903327353864	0.00335899788325068	0.00335899788325068	0.00335879258809571	0.0033579287861839	0.00335564037986602	0.00335669353088564	1.92899246727926e-05	0.00335616389101254	0.00335684622567806	0.00335443871086961	0.00335390873357639	1.31766762124673e-05	0.00335063332354329	0.00335112329343382	1.41094221301264e-05	0.00334601221358104	6.11616992277056e-06	6.86199675932486e-06	6.58909079559377e-06	6.93821941560555e-06	6.58026220837071e-06	3.51204720905607e-06	2.85421102300955e-06	0.00333899752202929	3.35935241663481e-06	2.81882073505418e-06	3.50264434269005e-06	3.06821499931464e-06
"Angelica_archangelica"	0.00105079330280702	1.00194630128876	0.000965168309108774	0.000744285054293533	0.00105173592764	0.000828426240035905	0.000725401509421471	0.000487701399833285	0.000484661596520371	0.000329889125141512	0.000541975130879478	0.000252024126101575	0.000302971242161692	0.000143138414813889	0.000195744244146605	5.07931893406705e-05	0.00375571695068789	0.00375444712095437	0.00375444712095437	0.0037522478601201	0.0037521853654889	0.00374674649628708	0.00374536490539078	0.00374119586592248	0.00373857363210532	2.59238179080187e-05	0.00373453031811663	2.55425251241907e-05	0.00374047308013139	0.00373281747600474	0.00373171438796412	0.00373332690044592	0.00373337173224427	0.00373337173224427	0.00373478648769292	1.68460653841422e-05	1.40897114970926e-05	0.00372902182353901	0.00372985116437135	0.00372765796274947	0.00372945245724161	1.36383773059569e-05	0.00372465734088318	9.31723742088579e-06	1.27993565320847e-05	1.12725500358238e-05	0.00372232280535182	0.0037189876362409	0.00371508126646373	0.0037150543581956	5.8262683813841e-06	6.55323766154827e-06	8.43343813921773e-06	4.57276490278263e-06	2.70945222129603e-06	3.50264434269005e-06	4.14213120017952e-06	2.75428401965174e-06	0.00371091222699542	3.8606732364351e-06
"Anthriscus_sylvestris"	0.000920464499794391	0.00104238177383748	1.00188693371762	0.000723142477473723	0.00107738660076148	0.000649265034064135	0.000782863873885161	0.000570839642551269	0.000598657846788057	0.00035600047870825	0.000429231173431305	0.000271896701645332	0.000371519226643675	0.000109862745075148	0.000211264105454719	9.9300203278837e-05	0.00405362889472444	0.00405114638964247	0.00405114638964247	0.00404877305311775	0.00405026446142665	0.00404448017808751	0.00404138645018038	0.00403808467192322	0.0040359370222364	2.4743866433319e-05	2.68157196336114e-05	0.00403048072435302	0.00403568723672906	0.00403001850188301	0.00402785571448246	0.004029492888562	0.00402969900472944	0.00402969900472944	0.00402962333547166	1.58974203039264e-05	1.50865853141607e-05	0.00402452983755586	0.00402648012664953	0.0040245980498693	0.00402596780195407	1.32395375764312e-05	1.78316246407731e-05	9.53586523287509e-06	1.32009812052357e-05	1.15524676828543e-05	0.00401898526758533	1.16131778042779e-05	7.16245149359898e-06	7.10699840675577e-06	6.28765589414747e-06	0.00401087361179707	0.004012232024439	4.68428956852817e-06	3.17133134750705e-06	3.06821499931464e-06	3.24632517032067e-06	3.3774475149425e-06	3.8606732364351e-06	0.00400754773487047
"Epilobium_hirsutum"	0.0012079546737197	0.000803827858637015	0.000723142477473723	1.00140646327327	0.000638610685287493	0.000576001177273697	0.000667191672777204	0.000591692929262784	0.000834814666920291	0.00061231085952804	0.00034969196697728	0.000541645934549309	0.000256965842043244	0.000513180891855822	0.000211307934855893	0.000166207256578472	0.00405836710839917	0.0040542119269847	0.0040542119269847	0.00405012985458785	0.00404872158335936	0.00404187646373738	0.00403921166405176	0.00403652172584424	0.00403557386949775	0.0040368749524037	0.00403665153966992	0.00403360908277195	0.00403049173239424	0.00403153229477488	0.00402637590231014	2.21759410936401e-05	2.12248112627754e-05	2.12248112627754e-05	2.15786963608089e-05	0.00402681575885898	0.00402630861434237	0.00402173804304947	1.79593578357235e-05	2.04736929646299e-05	0.00402163460536001	0.00402263385207583	0.00402004393634689	0.00401812691734884	0.0040176261862967	0.00401880394405406	0.00401427213141705	9.78022399314193e-06	5.66707842469167e-06	5.85714610354261e-06	7.41803076073962e-06	7.53042917056318e-06	5.66913810679704e-06	2.77656819690214e-06	3.2871829403488e-06	4.02651557906566e-06	2.88000588636848e-06	2.33605310948404e-06	2.97714021717413e-06	2.89256990989489e-06
"Umbellifer_sp1_M_PL_046"	0.00105361416271682	0.00123464652375131	0.00117107239213204	0.000694142049225536	1.00188603008413	0.000618815283446745	0.000715645018202026	0.000528030950216758	0.000462248424477158	0.000342945666735603	0.000374263666376342	0.000295230477323744	0.000311525863692783	0.000167507376712027	0.00018586116253	5.94309993450771e-05	0.0044000193124484	0.00439853353746477	0.00439853353746477	0.00439624723301987	0.00439588398470357	0.00439151925844013	0.00438891099694894	0.00438603204566912	3.16996904546362e-05	2.4184827374365e-05	0.00437897135347542	2.58497482458132e-05	0.00438405664570138	0.00437888649285959	2.47860181881637e-05	0.00437840112622466	0.00437829967425198	0.00437829967425198	0.0043783465722255	1.60860663706609e-05	1.46692738805914e-05	2.22179713855129e-05	0.00437467395387819	0.00437418907869412	0.00437515011272535	1.40021682417865e-05	0.00436945564486846	9.67145168790841e-06	1.24348872996192e-05	1.1316916186307e-05	0.00436805984042528	0.00436411102986891	7.45171618260065e-06	7.66684132001635e-06	5.86452953591415e-06	7.25233637117904e-06	0.0043607105073256	0.00435602621775707	2.93350527898199e-06	3.51204720905607e-06	3.09407641723372e-06	2.83205330629802e-06	4.57276490278263e-06	4.68428956852817e-06
"Lathyrus_pratensis"	0.00100780572499044	0.00111837542404847	0.000811581292580169	0.000720001471592121	0.000711637575963756	1.00175547384969	0.000810039809396235	0.00049518683260221	0.000578744249318831	0.000386955600375079	0.000401973350936086	0.000332204342943427	0.000357795180110242	0.000331539851682062	0.000213473015771713	6.82225290142863e-05	0.00505527917910988	0.00505357361588453	0.00505357361588452	0.00505099391188203	0.00504919541106853	0.00504439774514367	0.0050411875498766	0.00503809544717709	3.15682031305347e-05	0.00503273858608324	0.00503413165304224	2.56351443396674e-05	0.00503539260004455	2.52852104473154e-05	0.00502967062879846	0.00502942049145868	0.00502992213695532	0.00502992213695532	0.00502976155619928	0.00502431574142232	1.65910620065828e-05	0.00502645538296891	2.03758724931246e-05	1.93612926877985e-05	2.07720901377184e-05	1.63733253913336e-05	1.66908117499656e-05	1.15261463645908e-05	1.35048031795335e-05	1.22229736570809e-05	1.33625386741024e-05	1.05955600340481e-05	7.23423389968788e-06	0.00501291950044861	6.6299030494817e-06	6.46157099986974e-06	6.3404015875544e-06	3.09407641723372e-06	2.75103795890117e-06	3.35935241663481e-06	0.00500877736924842	3.25268345554765e-06	4.14213120017953e-06	3.24632517032068e-06
"Unidentified_sp27_M_PL_046"	0.00112178445559253	0.000979292037718985	0.000978579842356451	0.000833989590971505	0.00082299177093233	0.000810039809396235	1.0014521541186	0.000523071620989435	0.000509213304406007	0.000526038847340806	0.000429779063448144	0.000237602480153928	0.000357804069682875	0.000236933400932503	0.000213473808247191	6.82618802391315e-05	0.00505441188801216	0.00505270534100618	0.00505270534100617	0.00504919841535724	0.00505006253333488	0.00504504999353315	0.00504205359622696	0.0050387476034312	3.34667915978986e-05	2.80226283036739e-05	2.90159146960952e-05	2.76477630903605e-05	0.00503571770777576	2.65107010092148e-05	0.00502875649924131	0.00502907575661612	0.00502942256743602	0.00502942256743602	0.00502947579596193	1.8303756409039e-05	1.75639999967111e-05	0.00502592753643905	0.00502459226884625	1.97448076440758e-05	0.00502545556248308	0.00501868536515281	1.71094353229009e-05	1.21181714720911e-05	0.0050171649732778	1.18842233527328e-05	1.44555103714293e-05	1.09445141567592e-05	6.93300034286231e-06	7.67720659408853e-06	0.00501076769624195	6.7432821716814e-06	7.49254446043594e-06	3.57822509101013e-06	2.9059534499413e-06	3.73928151864176e-06	4.05019904698117e-06	3.25276426984432e-06	3.62700754710735e-06	3.9143193694258e-06
"Chamaenerium_angustifolium"	0.000856263306902867	0.000731552099749927	0.000792832836876763	0.0008217957350872	0.000674706214165857	0.000550207591780233	0.000581190689988261	1.0016406600423	0.000464052291015756	0.000717315139077337	0.000577007966064323	0.000368880527316968	0.000355770019418772	0.000445635157683078	0.000292689467679934	0.000230451015906261	0.0056177888821971	0.00561202760679944	0.00561202760679944	0.00560724550587226	0.00561025852622596	0.00560005872801242	0.00559708169981478	0.0055926431769989	0.00559590675414048	0.00559289181348819	2.94259146042795e-05	0.00559527323531801	0.00558972153060418	2.53898564160546e-05	2.02572372244248e-05	0.00558199582484795	2.05597641834441e-05	2.05597641834441e-05	2.17640140955165e-05	1.90008561768192e-05	0.00558581145543335	1.76791689410039e-05	0.00558082909868192	0.00557941283783342	1.78616362610847e-05	1.65777033844385e-05	1.43624197470572e-05	0.00557719596901268	1.16254156967205e-05	1.17934666410873e-05	1.21014717881339e-05	8.49716852328757e-06	7.14797503717543e-06	5.46049018019719e-06	7.68805437712354e-06	5.74939963092792e-06	6.10483662648904e-06	2.93350527898199e-06	0.00556467033356832	2.85421102300955e-06	2.75103795890117e-06	3.23427290380702e-06	2.70945222129603e-06	3.17133134750705e-06
"Cirsium_pratensis"	0.00116100132488728	0.000726992394780557	0.00083146923165008	0.00115946481516707	0.000590650764609702	0.000643049165909813	0.000565792560451119	0.000464052291015756	1.0014350481534	0.000554845749855748	0.000360440966195435	0.000577642862322173	0.000293792403651462	0.000368394742169674	0.000292584166840819	7.57885081009154e-05	0.0056129592330146	0.00561106452031208	0.00561106452031207	0.00560736554864638	0.00560446159507355	0.00559979425955414	0.00559571626852582	0.00559294364570893	0.00559395462693658	0.00559279845551025	0.00559270837563771	3.02626466246427e-05	2.8489251563437e-05	0.00558913505931306	0.00558409855895716	2.10787694858808e-05	2.11715412356551e-05	2.11715412356551e-05	2.12733240193479e-05	0.00558374879274423	2.03635637503047e-05	2.05705136604774e-05	1.67661420569288e-05	1.98482513734276e-05	1.99233146335792e-05	1.9834464420263e-05	0.00557729652020141	1.45988466314909e-05	0.0055748648717759	0.00557684959949299	1.32243474150327e-05	9.13061564405497e-06	5.46518724200114e-06	5.90781025466224e-06	6.52793446796058e-06	0.00556685392222328	5.8939237292512e-06	2.56804680265088e-06	2.57806828342086e-06	3.87000441629092e-06	3.21524582954906e-06	2.67084003319511e-06	2.69256442511318e-06	3.32587692660032e-06
"Rubus_fruticosus"	0.000854942783085603	0.000593800425254723	0.000593334131180416	0.0010205180992134	0.000525850022327924	0.000515940800500105	0.000701385129787741	0.000860778166892804	0.000665814899826897	1.00135087260701	0.000458374928201903	0.000440738810140873	0.000378519509058087	0.000560761047422124	0.000303100158890865	0.000276278582212423	0.00673151541791819	0.00672460845336288	0.00672460845336287	4.89359693161169e-05	0.00672223498402613	0.00671180205848465	0.00670755693075497	0.0067040309697688	0.00670695508537448	0.00670647153719418	0.00670264904056002	0.00670730663857777	2.8185475042498e-05	0.00669683506260801	2.12900803499482e-05	2.05774416594759e-05	1.92364271782763e-05	1.92364271782763e-05	1.93213017184622e-05	2.2490991234073e-05	0.00669990104167729	1.75911086842433e-05	1.86738893661919e-05	1.81636354258773e-05	1.72977091266468e-05	1.97192412148062e-05	1.51164186186914e-05	0.00669014426784502	1.41377789884493e-05	1.43036767573512e-05	1.0940974200756e-05	7.33537455613278e-06	5.72522182044524e-06	4.77896483677728e-06	0.0066791794096957	6.07230819042665e-06	4.65964096962568e-06	2.28630444490402e-06	4.78210092718225e-06	2.84980927695201e-06	2.57970400250053e-06	3.44108644598261e-06	2.19926083427675e-06	2.37333652472167e-06
