"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"C1"	"C2"	"C3"	"C4"
"R1"	1.00144231001921	0.00144231001921467	0.00144231001921467	0.00144231001921467	0.00144231001921467	0.00144473000246838	0	0.00144231001921467	2.41998325371588e-06	0.0504808506725133	0.0504808506725133	4.83996650743177e-05	0
"R2"	0.00144231001921467	1.00144231001921	0.00144231001921467	0.00144231001921467	0.00144231001921467	0.00144473000246838	0	0.00144231001921467	2.41998325371588e-06	0.0504808506725133	0.0504808506725133	4.83996650743177e-05	0
"R3"	0.00144231001921467	0.00144231001921467	1.00144231001921	0.00144231001921467	0.00144231001921467	0.00144473000246838	0	0.00144231001921467	2.41998325371588e-06	0.0504808506725133	0.0504808506725133	4.83996650743177e-05	0
"R4"	0.00144231001921467	0.00144231001921467	0.00144231001921467	1.00144231001921	0.00144231001921467	0.00144473000246838	0	0.00144231001921467	2.41998325371588e-06	0.0504808506725133	0.0504808506725133	4.83996650743177e-05	0
"R5"	0.00144231001921467	0.00144231001921467	0.00144231001921467	0.00144231001921467	1.00144231001921	0.00144473000246838	0	0.00144231001921467	2.41998325371588e-06	0.0504808506725133	0.0504808506725133	4.83996650743177e-05	0
"R6"	0.000963153334978922	0.000963153334978922	0.000963153334978922	0.000963153334978922	0.000963153334978922	1.00264262171306	0	0.000963153334978922	0.00167946837807882	0.0337103667242623	0.0337103667242623	0.0335893675615765	0
"R7"	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0.101010101010101
"R8"	0.00144231001921467	0.00144231001921467	0.00144231001921467	0.00144231001921467	0.00144231001921467	0.00144473000246838	0	1.00144231001921	2.41998325371588e-06	0.0504808506725133	0.0504808506725133	4.83996650743177e-05	0
"R9"	4.83996650743177e-06	4.83996650743177e-06	4.83996650743177e-06	4.83996650743177e-06	4.83996650743177e-06	0.00503840513423647	0	4.83996650743177e-06	1.00503356516773	0.000169398827760112	0.000169398827760112	0.100671303354581	0
"C1"	0.0144231001921467	0.0144231001921467	0.0144231001921467	0.0144231001921467	0.0144231001921467	0.0144473000246838	0	0.0144231001921467	2.41998325371588e-05	1.00480850672513	0.00480850672513346	0.000483996650743177	0
"C2"	0.0144231001921467	0.0144231001921467	0.0144231001921467	0.0144231001921467	0.0144231001921467	0.0144473000246838	0	0.0144231001921467	2.41998325371588e-05	0.00480850672513346	1.00480850672513	0.000483996650743177	0
"C3"	4.83996650743177e-05	4.83996650743177e-05	4.83996650743177e-05	4.83996650743177e-05	4.83996650743177e-05	0.0503840513423647	0	4.83996650743177e-05	0.0503356516772904	0.00169398827760112	0.00169398827760112	1.00671303354581	0
"C4"	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	1.01010101010101
